"start","end","text"
"120","2560"," L'imagerie des traumatismes crânio-encephaliques."
"5880","8700"," Le traumatisme crânien s'inscrit généralement dans le"
"8700","10040"," cadre d'un polytraumatisme."
"10340","12140"," C'est pour cela que, avant de faire"
"12140","15379"," toute investigation radiologique, afin de faire toute imagerie,"
"15800","18120"," il faut assurer les fonctions vitales du patient. "
"18780","21720"," L'imagerie repense essentiellement sur le scanner, qui"
"21720","24540"," permet de faire un bilan lésionnel et de"
"24540","27080"," poser l'indication chirurgicale."
"27140","29880"," Et puis, il ne faut pas oublier de"
"29880","32640"," faire une imagerie sur le rachis cervical, si"
"32640","35120"," on suspecte des lésions cervicales qui peuvent être,"
"35240","39700"," bien évidemment, souvent associées aux lésions traumatiques cérébrales."
"41800","45640"," Nos objectifs pédagogiques, c'est reconnaître les indications"
"45640","47900"," de l'imagerie en cas de traumatisme cérébral,"
"48040","50680"," décrire l'aspect scanographique des différentes lésions post "
"50680","53600","-traumatiques et connaître les lésions secondaires au traumatisme"
"53600","54060"," crânien. "
"55240","57840"," On a vu déjà une introduction, on va"
"57840","60840"," voir la physiopathologie des lésions post-traumatiques, les"
"60840","63640"," moyens d'exploration en imagerie et les lésions"
"63640","65880"," élémentaires ainsi que les lésions secondaires."
"67480","70520"," Pour la physiopathologie, il existe deux mécanismes en"
"70520","71300"," post-traumatique."
"71860","75480"," Le mécanisme d'impact direct, c'est quoi?"
"75940","77260"," C'est quand il y a un choc"
"77260","80500"," direct sur la boîte crânienne, ça produit de"
"80500","83160"," l'énergie cinétique qui va être propagée de"
"83160","87160"," façon linéaire dans les tissus encéphaliques. "
"87240","90600"," Les tissus encéphaliques vont bouger de façon linéaire"
"90600","95860"," et cette force cinétique va se propager de"
"95860","98240"," façon linéaire dans le paranchyme cérébral."
"98660","101660"," Ça va donner des lésions superficielles et localisées."
"102080","104120"," On va voir un regard du choc, mais"
"104120","107420"," également dans le côté controlatéral au choc. "
"108220","109440"," Au niveau de l'os, ça va donner"
"109440","111080"," des fractures ou des embarrures."
"111200","112360"," Au niveau des ménages, ça va donner des"
"112360","112780"," hématomes."
"112880","115540"," Au niveau du paranchyme, des contusions et des"
"115540","116060"," hématomes. "
"117100","119540"," Au niveau du point d'impact, on peut"
"119540","122140"," avoir, comme l'illustre bien la dernière image"
"122140","124640"," en bas et à droite, on peut avoir"
"124640","127460"," des lésions au regard du point d'impact"
"127460","128800"," ou du choc direct."
"129280","130780"," C'est les lésions du cou."
"130980","132840"," Ça s'appelle les lésions du cou et"
"132840","136680"," par propagation de la force cinétique, les éléments"
"136680","141200"," intra dans la boîte crânienne vont se déplacer"
"141200","144780"," vers le côté controlatéral au point d'impact"
"144780","147800"," et vont se cogner ou vont percuter la"
"147800","151840"," boîte crânienne dans ce côté controlatéral et ça"
"151840","154400"," va produire des lésions de contre-cou. "
"154700","157680"," Dans cette dernière image en bas et à"
"157680","159860"," droite, on voit que le point d'impact"
"159860","162820"," était occipital, donc on a eu des lésions"
"162820","166400"," occipitales directes sur le point d'impact, mais"
"166400","168680"," par déplacement de l'encéphale qui s'est"
"168680","171180"," déplacée vers l'avant, vers le frontal, on"
"171180","173700"," a eu des lésions à point d'impact"
"173700","176040"," ou bien des lésions de contre-cou au"
"176040","176940"," niveau frontal."
"179380","184260"," Deuxième mécanisme de traumatisme crânien, c'est des"
"184260","187580"," phénomènes d'impulsion où le transfert d'énergie"
"187580","190960"," cinétique se fait pas de façon linéaire, mais"
"190960","193100"," de façon angulaire."
"193740","195800"," Donc qu'est-ce que ça va donner?"
"195800","200520"," Ça va donner que les structures intra-encéphaliques"
"200520","204740"," vont se cisailler ou vont se tordre les"
"204740","207680"," unes sur les autres, ça va créer des"
"207680","212020"," lésions suite à ces cisaillements de structure, c "
"212020","213320","'est-à-dire ils vont se heurter les"
"213320","216240"," structures intracrâniennes les unes contre les autres, ça"
"216240","218160"," peut être des axones les unes contre les"
"218160","220540"," autres ou des vaisseaux et ça donne des"
"220540","222920"," lésions profondes multiples et bilatérales. "
"223000","225020"," Au niveau cortical on peut voir des confusions,"
"225380","227040"," au niveau profond on peut voir des lésions"
"227040","228480"," axonales diffuses."
"230960","234900"," Le patient peut se présenter avec une confusion,"
"235120","236840"," une amnésie, des troubles de conscience."
"237240","239320"," L'évaluation des troubles de conscience se fait"
"239320","243400"," par le score de Glasgow et puis on"
"243400","245280"," peut avoir des signes de focalisation, c'est "
"245280","247340","-à-dire perte de la mobilité ou perte"
"247340","250980"," de la sensibilité sur un membre ou sur"
"250980","253460"," une partie du corps et puis on peut"
"253460","256279"," avoir d'autres signes qui signent l'hypertension"
"256279","259360"," intracrânienne comme les nausées et les vomissements. "
"259880","262840"," La gravité du traumatisme crânien est classée selon"
"262840","268080"," le score de Glasgow, en classe en traumatisme"
"268080","270880"," crânien sévère quand le GCS est inférieur à"
"270880","272960"," 8, en modéré quand le GCS est entre"
"272960","276280"," 9 et 12 et en mineur quand le"
