"start","end","text"
"710","5950"," Exploration radiologique d'une ondule du sein En"
"5950","9150"," termes de secours, vous devez être capable de"
"9150","11450"," connaître l'apport de l'imagerie dans l "
"11450","14390","'exploration d'une ondule du sein, d'écrire"
"14390","17970"," les signes radiologiques d'une tumeur bénigne, connaître"
"17970","20990"," les étiologies des lésions bénignes du sein et"
"20990","23210"," d'écrire les signes radiologiques d'une tumeur"
"23210","23590"," maligne."
"24650","27190"," On va aborder le plan suivant, une introduction,"
"28210","31930"," la mammographie, l'échographie, les autres techniques d "
"31930","35870","'imagerie, les étiologies, tout d'abord les tumeurs"
"35870","38770"," malignes et les tumeurs bénignes ainsi que les"
"38770","40510"," autres lésions, avant de conclure."
"41850","45010"," Il faut savoir que le nodule mammaire peut"
"45010","47170"," être détecté par la patiente elle-même dans"
"47170","49910"," le cadre de l'autopalpation ou par un"
"49910","51350"," examen clinique ordinaire. "
"52330","55290"," Le cancer du sein représente le premier cancer"
"55290","57770"," chez la femme et c'est la première"
"57770","61250"," cause de mortalité prématurée des femmes avec un"
"61250","63730"," taux de décès par cancer de la femme"
"63730","65350"," de 18,9%."
"66250","69470"," Le rôle principal de l'imagerie est de"
"69470","71630"," différencier le nodule bénin d'un nodule malin."
"72310","77910"," A la mammographie, le nodule du sein peut"
"77910","79910"," être visible sous forme tout d'abord d "
"79910","83170","'une opacité, cette opacité qui peut avoir une"
"83170","86730"," forme ronde, ovale ou stellaire et qui peut"
"86730","89550"," avoir des contours réguliers ou irréguliers. "
"91370","95150"," La mammographie permet de préciser le siège et"
"95150","96250"," la taille de l'opacité."
"97250","100730"," Ce schéma montre bien les différents types d "
"100730","103830","'opacité qu'on peut avoir, une opacité ronde,"
"104150","108650"," ovale ou carrément stellaire et les contours réguliers"
"108650","110710"," et irréguliers de cette opacité."
"112750","116530"," Ces trois mammographies montrent à gauche et au"
"116530","119990"," milieu des opacités ronde et ovale de contours"
"119990","123850"," réguliers et à droite une image d'opacité"
"123850","124610"," stellaire. "
"125990","129509"," Deuxièmement, le nodule mammaire peut se traduire par"
"129509","134710"," une clarté qui traduit la présence de graisse."
"138830","142430"," Troisièmement, la mammographie permet d'objectiver des calcifications."
"143490","146790"," Par définition, les macro-calcifications ont une taille"
"146790","149730"," supérieure à 1,5 mm et les micro "
"149730","152850","-calcifications ont une taille inférieure à 1,5"
"152850","153370"," mm. "
"153370","157570"," La morphologie de ces micro-calcifications a été"
"157570","160770"," établie par ce qu'on appelle la classification"
"160770","161690"," de l'égale."
"162510","166330"," La mammographie permet d'établir le nombre et"
"166330","170790"," la répartition des micro-calcifications en foyers arrondis"
"170790","172130"," ou triangulaires."
"173050","175610"," Là, on a la classification de l'égale"
"175610","179530"," des micro-calcifications en cinq types et les"
"179530","182230"," degrés de pourcentage de malignité correspondantes. "
"182230","185090"," Le type 1, ce sont des micro-calcifications"
"185090","189330"," annulaires ou arciformes en tasse de thé ou"
"189330","189870"," de café."
"191210","192910"," Et là, vous remarquez que ce sont des"
"192910","194870"," calcifications typiquement bénignes."
"195350","198350"," Le type 2, ce sont des calcifications rondes"
"198350","200030"," et régulières à centre dense. "
"200750","203830"," Notez bien que 22% des cancers ont"
"203830","204630"," cet aspect-là."
"205190","208050"," Le type 3, ce sont des calcifications poussiéreuses"
"208050","211110"," dont la morphologie est pratiquement indéterminée."
"211110","215490"," En général, ce type de micro-calcifications représente"
"215490","218770"," donc 36% des cancers et en général"
"218770","221230"," nécessite des clichés d'agrandissement pour mieux voir"
"221230","222010"," la morphologie. "
"223010","225190"," Le type 4, ce sont des micro-calcifications"
"225190","226230"," irrégulières."
"226970","230950"," On dirait également de contours polyhédriques ou en"
"230950","231670"," grains de sel."
"232290","235070"," Notez bien que 52% des cancers présentent"
"235070","235730"," cet aspect-là. "
"235730","239410"," Le type 5, ce sont les micro-calcifications"
"239410","239730"," vermiculaires."
"240530","243910"," On les appelle également les micro-calcifications branchées,"
"244470","247070"," en Y, en W ou en V."
"247890","250750"," Et notez bien que là, 90% des"
"250750","252550"," cancers prennent cet aspect-là."
"254430","256910"," Cette mammographie en cliché de face à gauche"
"256910","259730"," et de profil à droite, notez bien l "
"259730","263830","'aspect des micro-calcifications qui sont arciformes en"
"263830","267410"," forme de tasses de thé ou de café. "
"267590","270830"," Ce sont des micro-calcifications bénines de type"
"270830","274350"," 1 qu'on voit dans les seins dystrophiques"
"274350","275270"," microcystiques."
"276130","279210"," Là, c'est une mammographie qui objective des"
"279210","282550"," micro-calcifications rondes à centres denses de type"
"282550","282790"," 2."
"283710","287330"," Là, c'est une mammographie qui montre des"
"287330","292990"," foyers de micro-calcifications groupés de type polymorphes."
"293130","296190"," Notez bien la présence de micro-calcifications de"
"296190","299910"," type 5 vermiculaires et de micro-calcifications en"
"299910","301330"," grains de sel de type 4."
"302370","305310"," La mammographie permet de détecter d'autres anomalies,"
"305470","309690"," notamment un épaississement cutané, une rétraction mamlonaire et"
"309690","311230"," les adénopathies axillaires. "
"312150","315270"," Sur ces deux clichés de mammographie, celui du"
"315270","317590"," côté gauche, notez bien la présence de masses"
"317590","322150"," avec micro-calcifications et un important épaississement cutané."
"322490","326950"," A droite, vous avez plusieurs masses ganglionaires au"
"326950","327810"," niveau axillaire."
"331500","334520"," La mammographie nous permet de classer les seins"
"334520","336660"," selon le système BI-RADS de l'ACR. "
"337180","339700"," Le BI-RADS, c'est en anglais le"
"339700","342240"," Breast Imaging Report in a Data System."
"343520","345320"," L'ACR, c'est le Collège Américain de"
"345320","345860"," Radiologie."
"347460","349880"," Cette classification permet de classer les seins en"
"349880","350740"," cinq catégories. "
"351320","353320"," L'ACR ou le BI-RADS 1, c "
"353320","354740","'est une mammographie normale."
"355260","356780"," Quand on a un aspect bénin, c'est"
"356780","357700"," un BI-RADS 2."
"358240","360480"," Un aspect probablement bénin, c'est un 3."
"361100","363320"," L'aspect suspect, c'est un 4."
"363440","364700"," Et l'aspect malin, c'est un BI "
"364700","365360","-RADS 5."
"366670","369750"," L'échographie en matière d'ondules du sein"
"369750","373190"," permet d'établir l'échostructure et de savoir"
"373190","376210"," la nature solide ou kystique d'une ondule"
"376210","380510"," du sein, le caractère homogène ou hétérogène, le"
"380510","385450"," nombre de lésions, le siège, la taille, la"
"385450","388270"," forme qui peut être ronde ou ovalaire, les"
"388270","392150"," contours réguliers, irréguliers ou flous, et le grand"
"392150","393610"," axe par rapport au plan cutané."
"393610","398030"," D'autres moyens d'exploration, notamment la galactographie,"
"398490","401450"," est indiqué en cas de tumeur intracanalère, l "
"401450","404830","'IRM en cas de discordance mammo-échographique, et,"
"404890","406750"," bien sûr, la radiologie interventionnelle. "
"406930","408510"," On peut réaliser des gestes à type de"
"408510","412270"," cytoponction ou de microbiopsie quand le sein est"
"412270","414970"," classé BI-RADS 4 ou 5."
"416010","418490"," Ici, vous avez un cliché de galactographie qui"
"418490","424870"," montre des lésions multiples, intracanalères, polyhypoïdes, très probablement"
"424870","425830"," de nature bénine."
"427090","429190"," Alors, quelles sont les étiologies d'une ondule"
"429190","430290"," du sein ?"
"430290","432170"," D'abord, on a les tumeurs malignes, c "
"432170","433150","'est le cancer du sein."
"434550","436410"," Cliniquement, il y a les facteurs de risque,"
"436570","438150"," c'est l'âge de 50 et 60"
"438150","441490"," ans, les antécédents familiaux de cancer du sein"
"441490","445630"," ou gynécologique, la puberté précoce, la ménopause tardive,"
"446430","449610"," la nulliparité, la première grossesse tardive et le"
"449610","450570"," traitement hormonal. "
"451530","454550"," Dans la symptomatologie clinique, on aura des nodules"
"454550","455050"," mammaires."
"456230","460090"," Il faut savoir déterminer leur consistance, leur mobilité"
"460090","460810"," et leur taille."
"461470","464450"," On peut avoir un écoulement mammaire, une déformation"
"464450","468490"," mammaire, une rétraction mamlonaire, des remaniements de la"
"468490","470050"," peau à type de méplat ou de peau"
"470050","474170"," d'orange, des adénopathies axillaires ou suislaviculaires ou"
"474170","477670"," carrément, le nodule du sein peut être asymptomatique. "
"478110","479090"," Et là, c'est tout l'intérêt du"
"479090","479970"," dépistage."
"480890","482790"," A la mammographie, le cancer du sein se"
"482790","485830"," manifeste par une opacité stellaire qui donnera donc"
"485830","488970"," une image étoilée ou image d'étoile blanche"
"488970","490790"," et qui est à centre dense et qui"
"490790","492730"," présente des prolongements courts et épais."
"493670","495770"," Le cancer du sein peut également se manifester"
"495770","499390"," par des opacités rondes, un foyer de désorganisation"
"499390","505270"," architecturale, des microcalcifications, un épaississement cutané, une"
"505270","508070"," rétraction mamlonaire ou des adénopathies axillaires. "
"509390","512270"," Ici, vous avez une mammographie qui objective l "
"512270","515510","'image d'étoile blanche ou d'opacité stellaire"
"515510","517990"," à centre dense et qui présente des prolongements"
"517990","520850"," spiculés, courts et denses."
"523059","525260"," Là, vous avez une mammographie qui montre une"
"525260","529920"," masse sous forme des deux organisations architecturales avec"
"529920","533760"," une rétraction du tissu avoisinant qui donne le"
"533760","534560"," signe de l'attente."
"536820","538480"," Là, vous avez un doute sur le cliché"
"538480","541080"," de mammographie d'en haut, sur une lésion,"
"541240","544840"," un foyer de désorganisation architecturale sur le cadran"
"544840","549660"," externe et le cliché d'agrandissement qui montre"
