"start","end","text"
"460","3960"," Bonjour, je me présente, je suis Professeur Moissy,"
"4640","7080"," chargé cette année de vous enseigner les magies"
"7080","8040"," du thorax."
"8460","13780"," On verra au cours de ce module les"
"13780","16700"," bases d'interprétation et d'analyse des principaux"
"16700","17580"," moyens des magies."
"18020","22260"," On verra également les principaux syndromes menaçant cet"
"22260","25060"," appareil que vous allez voir lors de votre"
"25060","29300"," pratique courante, en tant que généraliste et spécialiste. "
"29800","34500"," On verra également la principale pathologie menaçante de"
"34500","38200"," cet appareil thoracique, à savoir la pathologie infectieuse"
"38200","38980"," et tumorale."
"39620","42860"," Et également, on verra la place exacte de"
"42860","46980"," la radiologie interventionnelle dans le diagnostic et le"
"46980","51680"," traitement de certaines lésions qui intéressent le thorax."
"54910","58590"," Donc, on retient comme objectif pour ce cours,"
"59010","63170"," initialement adopter une approche systématique d'analyse de"
"63170","65970"," ces clichés thoraciques de face, partant des critères"
"65970","69170"," de jugement de la bonne qualité et le"
"69170","72970"," plan d'interprétation à suivre lors de l "
"72970","74390","'analyse de ces clichés. "
"74390","80030"," Connaître également l'intérêt, la technique et le"
"80030","82750"," plan d'interprétation des incidents de profil."
"83330","86410"," Également identifier les pièges à éviter lors de"
"86410","88950"," l'analyse de ces clichés et connaître le"
"88950","91910"," rôle et la place des autres moyens d "
"91910","97070","'imagerie, tels la tomodensitométrie, l'échographie, les magies"
"97070","102290"," par résonance magnétique, l'angiographie et la scintigraphie."
"105400","108220"," Donc, on a adopté comme plan pour ce"
"108220","113260"," cours, après avoir introduit la radiographie standard, partant"
"113260","116540"," du cliché de face, sa technique de réalisation,"
"116960","119220"," les critères de jugement de la bonne qualité,"
"119860","124340"," la segmentation pulmonaire, un bref rappel, puis l "
"124340","127419","'aspect normal et le plan d'analyse à"
"127419","132280"," suivre devant ces clichés thoraciques de face. "
"132280","136940"," Également, on verra la place et le plan"
"136940","141340"," d'analyse des incidents de profil, la place"
"141340","145240"," des clichés complémentaires et les images pièges à"
"145240","148040"," éviter lors de l'analyse de ces clichés."
"148320","151080"," Puis, on verra les autres techniques d'exploration,"
"151940","155700"," la tomodensitométrie, l'échographie, les magies par résonance"
"155700","159940"," magnétique, l'angiographie pulmonaire, la scintigraphie et la"
"159940","163740"," radiophotographie lors des dépistages de masse."
"164740","170580"," Puis, on verra la radiologie interventionnelle, sa place"
"170580","175400"," et son intérêt devant la pathologie thoracique. "
"178150","181910"," Donc, la radiographie thoracique représente ce jour une"
"181910","184890"," page d'écriture qui est indispensable de savoir"
"184890","188010"," lire, et ceci dans les deux sens, de"
"188010","191190"," l'image au discours et du discours à"
"191190","192670"," la décision thérapeutique."
"193350","197710"," Plusieurs techniques radiologiques sont disponibles et permettent d "
"197710","199230","'explorer le thorax."
"199230","204070"," Les plus importantes et les plus utilisées sont"
"204070","209470"," la radiographie standard et la tomodensitométrie, comme vous"
"209470","213470"," présentent les images ci-dessous. "
"219580","222940"," Pour la radiographie standard de face la plus"
"222940","227600"," utilisée, chez un sujet valide bien sûr, la"
"227600","231920"," position doit être debout, de face, une inspiration"
"231920","235800"," profonde suivie d'une apnée, les zones plates"
"235800","239220"," doivent être bien dégagées, la partie antérieure du"
"239220","243980"," thorax doit être déposée sur le plan de"
"243980","244580"," la cassette."
"244580","250500"," Le rayon incident doit être posterior antérieur avec"
"250500","254400"," une haute tension en général entre 115 et"
"254400","260579"," 130 kV, et la distance foyer film ou"
"260579","265940"," tube radiogène film doit être entre 1,5"
"265940","267620"," et 2 m."
"267620","271420"," La question qui se pose pourquoi on fait"
"271420","275760"," une incidence posterior antérieure et la partie antérieure"
"275760","281820"," du thorax doit être plaquée sur le plan"
"281820","282500"," de la cassette."
"282500","286300"," La réponse est facile, de cette manière on"
"286300","291380"," évite l'agrandissement géométrique qui cache plus d "
"291380","296000","'éléments thoraciques à explorer et les seins seront"
"296000","297940"," moins irradiés. "
"297940","305220"," Pour la formation de l'image radiologique, le"
"305220","308500"," type de collègue produit un faisceau de rayon"
"308500","314440"," X, ce faisceau incident est homogène, il va"
"314440","320160"," traverser l'organisme ou le corps humain, il"
"320160","323880"," sera atteigni selon les différents milieux d'absorption,"
"324320","329440"," le faisceau incident de rayon X est hétérogène,"
"329960","333300"," cela représente l'image radiante qui sera détectée"
"333300","337940"," au niveau de l'appareil de détection."
"342390","348810"," Les différentes densités radiologiques, la couleur blanche signifie"
"348810","351250"," qu'il y a une absorption importante et"
"351250","352750"," la couleur noire signifie qu'il y a"
"352750","355450"," une absorption quasi nulle."
"355450","358090"," L'os s'exprime par un aspect très"
"358090","362610"," opaque, l'hydrique un aspect opaque, la densité"
"362610","364770"," graisseuse par un aspect peu opaque en voyant"
"364770","368030"," ce qui tannit sur ce cliché de face,"
"368750","372090"," l'aérique un aspect noir ou clair. "
"375640","380740"," La numérisation en radiographie a apporté un plus"
"380740","384620"," à cette imagerie, cela permet une meilleure résolution"
"384620","389340"," en contraste, l'image peut être visualisée sur"
"389340","392100"," station de travail ou reproduite sur film chaque"
"392100","395080"," fois qu'on a besoin, avec possibilité de"
"395080","397960"," traitement d'image, de stockage et de transfert"
"397960","400820"," d'image par internet, avec un gain de"
"400820","405020"," coût, peu de clichés ou pas de clichés"
"405020","408080"," ratés avec la numérisation."
"410420","415840"," Les incidences les plus utilisées de base sont"
"415840","418740"," la face et le profil."
"419020","425700"," Les autres incidences utilisées dans certaines indications particulières"
"425700","429000"," sont de clichés de face et ou de"
"429000","433560"," profil couché, des clichés des sommets, quand on"
"433560","437820"," veut explorer les sommets dans certaines pathologies infectieuses,"
"438580","444200"," particulièrement la tuberculose, l'incidence en expiration forcée"
"444200","448100"," et le péché tangentiel, on verra au fur"
"448100","450340"," et à mesure les cités de chaque incidence. "
"450340","457910"," Pour l'incidence de profil, c'est la"
"457910","461490"," même chose que l'incidence de face, réalisé"
"461490","464270"," chez le sujet valide en position de roue,"
"464710","467770"," en expiration forcée suivie d'apnée et en"
"467770","471410"," haute tension, un seul profil est demandé, le"
"471410","474530"," plus souvent c'est le profil gauche qui"
"474530","476990"," permet une superposition des deux poumons."
"476990","479590"," Pourquoi le gauche ?"
"479590","481790"," Tout simplement parce que le corps dans ce"
"481790","487010"," cas-là sera près de la plaque, en"
"487010","491990"," conséquence moins d'agrandissements géométriques et ça cache"
"491990","494810"," moins de structures thoraciques."
"499490","502410"," Pour l'interprétation d'un cliché de face,"
"503350","506010"," il faut connaître les critères de jugement de"
"506010","509810"," la bonne qualité de cette incidence. "
"509810","513570"," Le bon centrage est jugé sur la distance"
"513570","517510"," qui sépare le bord interne des deux clavicules"
"517510","520130"," aux épineuses, qui doit être identique."
"521030","523950"," La position de vos sujets sur le niveau"
"523950","527310"," hydroaérique dans la poche aérogastrique."
"528970","533710"," L'inspiration profonde jugée sur le sommet de"
"533710","538610"," la coupe droite au niveau ou sous la"
"538610","545650"," partie antérieure du sixième arc costal à droite. "
"545650","550850"," La bonne pénétration ou l'exposition correcte ou"
"550850","554430"," le noircissement, donc jugé sur l'aspect des"
"554430","555330"," corps vertébraux."
"555830","558530"," Les corps vertébraux ou les vaisseaux pulmonaires doivent"
"558530","562470"," être légèrement visibles derrière la silhouette cardiaque, bien"
"562470","568930"," visibles en suscardiaque et non visibles en souscardiaque."
"568930","573910"," Les vaisseaux vu jusqu'à 1-1,5"
"573910","577830"," cm de la paroi et il faut vérifier"
"577830","580970"," les dégagements des hémopathes qui doivent se projeter"
"580970","583710"," en dehors de la cage thoracique. "
"587520","590900"," Il faut savoir que la qualité technique d "
"590900","595560","'un film peut largement affecter la représentation anatomique"
"595560","598280"," et amener à des erreurs diagnostiques."
"602320","607160"," Pour la qualité technique, voici la différence entre"
"607160","612480"," une incidence antérieure et une autre incidence antérieure."
"612620","620720"," Sur l'incidence du côté gauche, les scapulas"
"620720","623400"," se projettent sur les champs thoraciques et semble"
"623400","627220"," exister une augmentation de l'index ou le"
"627220","628320"," rapport cardiothoracique. "
"628320","633480"," Alors sur ce cliché du côté droit, l "
"633480","637980","'incidence est posterior antérieure, les scapulas se projettent"
"637980","640760"," en dehors des champs pulmonaires et le rapport"
"640760","644060"," cardiothoracique est normal."
"649570","656070"," Sur cet diapositif, vous voyez que la qualité"
"656070","658870"," de l'image est impactée par l'état"
"658870","659890"," respiratoire."
"659890","664750"," Donc, quand on a une aspiration insuffisante, les"
"664750","669530"," bases pulmonaires apparaissent plus opaques et le rapport"
"669530","672870"," cardiothoracique est faussement augmenté. "
"675910","680870"," Voici l'exemple type de radio-pulmonaire non"
"680870","686850"," centré jugé sur la distance séparant la ligne"
"686850","690850"," verticale passant par les épineuses et les bords"
"690850","693690"," intègres des deux clavicules qui doit être identique."
"695170","699290"," Pour le bref rappel de ces augmentations pulmonaires,"
"700470","704910"," les poumons sont recouverts par une plèvre viscérale,"
"705290","708550"," ils sont subdivisés en lobes, séparés par des"
"708550","712090"," cessures dans lesquelles s'introduit la plèvre viscérale."
"733130","742600"," Le plan d'interprétation de ces clichés thoraciques"
"742600","744560"," de face doit être centripète. "
"744560","748100"," Il faut adopter une véritable checklist pour être"
"748100","751860"," systématique dans votre interprétation et ne rien oublier."
"751860","754740"," Il faut commencer par le nom et la"
"754740","755100"," date."
"755360","757840"," Vérifier le nom du patient et la date. "
"758160","761340"," Un cliché antérieur n'est pas un cliché"
"761340","762620"," actuel."
"763140","766020"," Il faut commencer également par le compte de"
"766020","769620"," nom, étudier les clichés mots, la charpente osseuse,"
"770280","773880"," le diaphragme, la plèvre, les cessures, le parenchyme"
"773880","779060"," pulmonaire, les îles pulmonaires, les contours médiastinaux et"
"779060","781180"," la clarté tracheale."
"783520","787440"," Sur ces clichés, il faut vérifier et étudier"
"787440","788520"," les bords du médiastin. "
"788520","795520"," Pour le bord droit, il est représenté par"
"795520","796680"," différents arcs."
"796740","802640"," Un arc supérieur, ça représente le tronvénum brachiocéphalique"
"802640","806780"," et la vingt-quarte supérieure."
"807360","811000"," Alors que pour l'arc inférieur, ça représente"
"811000","813960"," l'oreillette droite et la vingt-quarte inférieure. "
"813960","821120"," Le bord médiastinal gauche, la partie supérieure, représente"
"821120","824540"," l'artère sous-carrière gauche, celui du bouton"
"824540","831940"," aortique, et l'arc moyen représente le tronc"
"831940","833740"," de l'artère pulmonaire."
"833740","838900"," Dans ces deux tiers supérieurs, l'oreillette gauche"
"838900","843460"," dans son tiers inférieur, puis l'arc inférieur"
"843460","849040"," gauche représente le ventricule gauche et la pointe"
"849040","849780"," du cœur."
"853400","857160"," Les principales lignes médiastinales à étudier, il y"
"857160","860240"," a les lignes médiastinales postérieures, représentées ici par"
"860240","861240"," la couleur jaune. "
"861700","867400"," Ces bras dépassent en haut le manubrium externe,"
"867660","870260"," ça correspond à l'adoucement des deux plèvres"
"870260","872300"," viscérales en pré-vertébrale."
"872300","876540"," La ligne médiastinale antérieure, en général, elle est"
"876540","883180"," sous le manubrium externe, correspond à l'adoucement"
"883180","889140"," des plèvres viscérales en rétro-externe."
"889140","892620"," La ligne paratrachale droite, en général, elle est"
"892620","893520"," rectiligne. "
"894140","897940"," Les lignes paravertébrales droite et gauche, leurs déformations"
"897940","903480"," orientent vers un processus disco-vertébrale ou vertébrale"
"903480","905100"," sous-jacent."
"905100","910260"," La ligne para-aortique gauche, sa déformation oriente"
"910260","913360"," vers une pathologie vasculaire, particulièrement l'aorte."
"913660","917500"," La ligne para-osophagienne, en général, elle est"
"917500","922340"," représentée par une fine ligne opaque, réalisant un"
"922340","923440"," S italique. "
"928460","932040"," Donc, la silhouette cardiaque, on l'évalue selon"
"932040","933940"," un index cardio-thoracique."
"935120","939740"," On mesure le Psi A, qui correspond au"
"939740","941720"," plus grand diamètre de l'arc inférieur."
"942700","945740"," Le Psi B, également, représente le plus grand"
"945740","947460"," diamètre de l'arc inférieur. "
"948240","948660"," Gauche."
"949740","952980"," Puis, on mesure le plus grand diamètre thoracique."
"952980","957520"," On fait le rapport Psi A plus Psi"
"957520","958740"," B sur S C."
"959300","961960"," Ça ne doit pas dépasser 0,5 chez"
"961960","966300"," l'adulte et ça peut atteindre 0,6"
"966300","968120"," chez le nourrisson et le nouveau-né. "
"968120","974140"," Quelques paramètres peuvent influencer cet index cardio-thoracique."
"974480","978220"," Le rang un peu élevé, la mauvaise inspiration,"
"978780","981840"," le cliché réagissant à une incidence antéro-postéro"
"981840","986160"," et pas postéro-antéro et le cliché en"
"986160","988820"," decubitus dorsal."
"994030","998250"," Pour le cliché thoracique de profil, également, il"
"998250","1000250"," y a des critères de jugement de la"
"1000250","1000630"," qualité. "
"1001010","1004510"," Pour un profil strict, le sternum est vide"
"1004510","1008610"," de profil, les côtes ne sont jamais superposées."
"1009170","1012690"," L'inspiration profonde se juge sur l'écule"
"1012690","1015510"," de sacre postère qui doit être claire et"
"1015510","1021870"," la copole droite diaphragmatique, située en avant, sous"
"1021870","1023349"," la sixième côte."
"1027329","1030990"," Pour le plan d'analyse de cette incidence"
"1030990","1034010"," de profil, il faut toujours vérifier le nom"
"1034010","1036890"," du patient et la date de réalisation de"
"1036890","1037710"," cette incidence. "
"1037710","1041630"," Étudier le squelette, le racisme, le sternum, les"
"1041630","1043109"," homoplates et les côtes."
"1045050","1048570"," Étudier les copoles diaphragmatiques, droite et gauche."
"1049330","1051250"," La silhouette cardiaque également. "
"1051950","1054170"," L'avortement de l'artère primaire droite-gauche."
"1054170","1060330"," Laissez-sûr et vérifiez la liberté des espaces"
"1060330","1063050"," clairs, rétro-sternal, rétro-cardiaque, les trous de"
"1063050","1067790"," congélation, ainsi qu'il faut étudier la trachée,"
"1068310","1072630"," saline postérieure, ainsi que les branches sous-droite"
"1072630","1074150"," et gauche."
"1078790","1084510"," Sur ces clichés réalisés en profil, vous voyez"
"1084510","1088310"," bien la clarté des espaces rétro-sternal et"
"1088310","1091550"," l'écule de sacre postère en rétro-cardiaque. "
"1092130","1096290"," Vous voyez bien que les cessures sont bien"
"1096290","1099870"," visibles, la grande cessure et la petite cessure"
"1099870","1101550"," à droite."
"1105480","1111240"," Les clichés complémentaires souvent sont dépassés au détriment"
"1111240","1115500"," de l'imagerie en coupe, mais des fois"
"1115500","1118040"," on est amené à les réaliser."
"1118480","1120560"," Il y a l'incidence des sommets. "
"1148720","1155740"," Pour le cliché de face, on décubit juste"
"1155740","1160420"," le dorsal, tandis qu'on le réalise chez"
"1160420","1163900"," les sujets invalides, les sujets alités ou les"
"1163900","1167720"," malades hospitalisés qui ne peuvent pas tolérer la"
"1167720","1168620"," position debout."
"1169160","1172260"," Quelques modifications sont annotées par rapport au cliché"
"1172260","1177980"," du debout, comme l'agrandissement de la silhouette"
"1177980","1181920"," cardiaque, la modification de la vascularisation et l "
"1181920","1184360","'horizontalisation des côtes."
"1186890","1191990"," Également, comme cliché complémentaire, on décrit le cliché"
"1191990","1195290"," de face en décubitus latéral avec rayon horizontal. "
"1196430","1199970"," Ceci est réalisé pour la mobilisation d'un"
"1199970","1204350"," épanchement pleural quand on est devant un épanchement"
"1204350","1207150"," pleural de faible abondance ou quand on est"
"1207150","1210290"," devant un épanchement sous-pulmonaire."
"1210910","1215170"," Cela permet de les dégager et rend mieux"
"1215170","1215990"," visibles."
"1217890","1222930"," Ici, nous sommes devant une cérébration de la"
"1222930","1226870"," corpule diaphragmatique gauche par rapport à celle du"
"1226870","1227750"," côté droit. "
"1228350","1232510"," On a suspecté un épanchement pleural de petite"
"1232510","1233970"," abondance du côté gauche."
"1235010","1239590"," Ce qui a motivé la réalisation d'un"
"1239590","1241770"," cliché de face en décubitus latéral gauche."
"1241950","1244290"," Vous voyez qu'il y a une opacité"
"1244290","1250670"," bordante bien visible du côté gauche témoignant la"
"1250670","1254030"," présence d'un épanchement pleural de ce côté. "
"1254030","1262660"," Donc, soit on complète par un cliché thoracique"
"1262660","1266700"," de face en décubitus latéral gauche, rayon incident"
"1266700","1271700"," horizontal, ou on complète par une exploration échographique"
"1271700","1275240"," des bases thoraciques comme vous voyez sur cette"
"1275240","1280220"," image échographique la présence d'un épanchement pleural"
"1280220","1280860"," gauche."
"1283580","1286300"," En tant que cliché complémentaire, on décrit le"
"1286300","1289760"," cliché en expiration forcée qui est indiqué en"
"1289760","1292740"," cas de pneumothorace de faible abondance, en cas"
"1292740","1297320"," d'anphysème objectif ou pour l'étude de"
"1297320","1300520"," la mobilité des coppoles diaphragmatiques."
"1303080","1306860"," Sur ces deux clichés thoraciques de face, vous"
"1306860","1310540"," voyez que l'expiration forcée a nettement amélioré"
"1310540","1313920"," la visualisation d'un pneumothorace de petite abondance. "
"1317440","1320880"," Lors de l'interprétation ou d'analyse de"
"1320880","1323000"," ces clichés thoraciques, il faut se méfier des"
"1323000","1326820"," images pièges et les variantes qu'on peut"
"1326820","1327300"," avoir."
"1328280","1330860"," Il faut se méfier des seins développés chez"
"1330860","1333060"," les femmes, qui s'expriment sous forme d "
"1333060","1336780","'opacités de tonalité digre en projection des deux"
"1336780","1337300"," bases pulmonaires."
"1338400","1341160"," Il faut se méfier également des opacités des"
"1341160","1345160"," pectoraux développées surtout chez les sujets sportifs. "
"1345780","1348280"," Il faut se méfier également des mamelons qui"
"1348280","1353580"," s'expriment sous forme d'opacités ongulaires, mais"
"1353580","1355940"," cette fois-ci ce sont des opacités bilatérales"
"1355940","1356410"," et symétriques."
"1357300","1359720"," Parfois, on est amené à faire des cerclages"
"1359720","1363160"," pour confirmer la nature de ces images ongulaires."
"1363560","1366700"," Également, il faut se méfier des calcifications chondrocostales"
"1366700","1369680"," fréquemment visibles chez les sujets âgés. "
"1370080","1372420"," Ce sont en général des calcifications en projection"
"1372420","1374300"," des articulations chondrocostales."
"1378170","1380750"," D'autres images pièges on peut avoir comme"
"1380750","1382950"," le bord spinal de l'homoplate qui peut"
"1382950","1384770"," se projeter sur les champs pulmonaires."
"1384770","1390690"," Les creux susclaviquilaires développés surtout chez les sujets"
"1390690","1391270"," maigres. "
"1391850","1394810"," Le timis hypertrophique chez le nourrisson ou le"
"1394810","1395550"," petit-enfant."
"1396230","1400590"," Certaines variantes costales également peuvent représenter des images"
"1400590","1401070"," pièges."
"1401610","1405870"," Les sutures accessoires, particulièrement la suture azigose en"
"1405870","1407390"," apicales droits. "
"1407390","1413190"," La projection de certaines légions cutanées lors de"
"1413190","1416110"," certains phagomoteuses peut représenter des images pièges."
"1416250","1418650"," Les cheveux longs, tricés ou la barre."
"1420950","1424550"," Voilà donc, comme on a déjà dit, les"
"1424550","1428130"," opacités mammaires peuvent représenter des images pièges. "
"1428130","1430630"," Donc vous avez sur ce cliché thoracique de"
"1430630","1434610"," face des opacités de tonalités idriques et symétriques"
"1434610","1439870"," bilatérales qui correspondent à des opacités mammaires chez"
"1439870","1440670"," une femme."
"1442130","1444850"," Sur l'autre cliché, vous avez ici une"
"1444850","1450670"," image pseudolongulaire qui correspond vraisemblablement à un mât"
"1450670","1450890"," blanc."
"1455660","1458520"," Comme image piège également, on peut avoir des"
"1458520","1460260"," calcifications chondrocostales. "
"1460260","1464040"," Ça s'exprime sous forme des classifications en"
"1464040","1468380"," projection des articulations chondrocostales chez le sujet âgé."
"1470440","1474000"," Pour le nourrissant ou le petit-enfant, on"
"1474000","1476340"," peut avoir un élargissement d'humidité moyen et"
"1476340","1480160"," supérieur et ça correspond vraisemblablement à une hypertrophie"
"1480160","1480560"," chimique."
"1483440","1487240"," Également, comme image piège, on peut avoir une"
"1487240","1490580"," suçure accessoire qui est la suçure quasi-gosse"
"1490580","1492660"," en apicale droit. "
"1493700","1497240"," Chez les sujets où les patients sont mastectomisés,"
"1497420","1500460"," on peut avoir une assimilité de densité des"
"1500460","1501380"," deux bases pulmonaires."
"1506530","1509410"," Certaines phagomoteuses comme la maladie de Ricklinghausen dont"
"1509410","1511970"," des lésions cutanées, ces lésions peuvent apparaître sous"
"1511970","1516170"," forme des images pseudolongulaires sur le cliché thoracique"
"1516170","1516730"," de face."
"1517270","1519170"," D'où l'intérêt de bien examiner ces"
"1519170","1523030"," patients et de les contextualiser avant de se"
"1523030","1523300"," prononcer. "
"1524680","1529920"," A côté de la radiographie standard qui représente"
"1529920","1533020"," toujours l'examen de première intention pour l "
"1533020","1535980","'exploration de la pathologie thoracique, on a d "
"1535980","1539620","'autres techniques d'exploration de cet appareil."
"1540360","1543880"," La tomodensitométrie ou le scanner est un examen"
"1543880","1547960"," morphologique essentiel en pathologie thoracique et il intervient"
"1547960","1551740"," en deuxième intention après la radiographie standard."
"1551740","1555200"," C'est l'exploration de références, ces domaines"
"1555200","1558600"," d'application sont larges pour l'exploration des"
"1558600","1564160"," lésions bronchopulmonaires, médiastinales, pleurales ou parigitales. "
"1564920","1570620"," Pour le repérage également des ponctions thoraciques à"
"1570620","1573000"," visée diagnostique ou thérapeutique."
"1574320","1579540"," Voici à titre d'exemple une tomodensitométrie aux"
"1579540","1583600"," fenêtres parenchymateuses et médiastinales sans injection de produits"
"1583600","1584160"," de contraste."
"1588590","1592310"," Sur cet diapositif vous avez un aperçu sur"
"1592310","1595430"," l'historique du scanner depuis la découverte des"
"1595430","1599730"," rayons X par angène en 1895 jusqu'à"
"1599730","1602590"," l'invention du scanner spiralé en 1989. "
"1605870","1609190"," Le protocole de réalisation de ce scanner."
"1610210","1614570"," Habituellement, ça se réalise en déquibitus dorsal, en"
"1614570","1617970"," procrivitus ou en déquibitus latéral est utilisé pour"
"1617970","1622430"," mobiliser certaines connexions pleurales ou aspergulaires et pour"
"1622430","1626270"," différencier un vaisseau d'un ongule parenchymateux."
"1627350","1631370"," Les coupes sont réalisées en apnée après une"
"1631370","1633310"," inspiration profonde. "
"1635580","1639800"," Le scanogramme ou le topogramme se réalise habituellement"
"1639800","1641260"," de face."
"1641780","1644280"," Les coupes sont réalisées de l'apexe jusqu "
"1644280","1647680","'au composant diaphragmatique prenant les loges surénamiennes."
"1648240","1651460"," Le mode d'acquisition peut être séquentiel ou"
"1651460","1655780"," actuellement spiralé avec l'avènement des scanners multibarrette,"
"1656460","1659880"," avec la monobarrette, la doublebarrette ou les multibarrettes. "
"1659880","1666620"," 4, 10, 16, 32 jusqu'au actuellement 256."
"1673330","1677910"," Pour l'épaisseur des coupes, ça diffère selon"
"1677910","1682010"," le type de scanner séquentiel ou spiralé."
"1683110","1687190"," Pour les séquentiels, les coupes en général 5"
"1687190","1691410"," à 10 mm en mode spiralé ou séquentiel"
"1691410","1698150"," pour la pathologie tumorale bronchopimolaire et médiastinale et"
"1698150","1702650"," des coupes millimétriques fines selon un mode séquentiel"
"1702650","1706490"," 1 ou 1,5 mm pour les bronchopathies"
"1706490","1709350"," chroniques et les pneumopathies interstitielles. "
"1712470","1715650"," L'injection de produits de contraste a pour"
"1715650","1720690"," but d'opacifier les structures vasculaires, médiastinales, iliaires"
"1720690","1726570"," et lésionnelles afin de reconnaître la nature vasculaire"
"1726570","1729750"," d'une anomalie, étudier les rapports des vaisseaux"
"1729750","1735090"," avec les processus expansifs thoraciques, comme le refoulement,"
"1735290","1738810"," la sténose ou la compression, et également étudier"
"1738810","1740870"," la nature de la prise de contraste d "
"1740870","1743690","'une lésion thoracique normale ou non."
"1747020","1749940"," Sur ces images scanographiques réalisées après injection de"
"1749940","1753800"," produits de contraste, vous voyez bien les principales"
"1753800","1757300"," structures vasculaires et médiastinales."
"1757300","1759440"," Vous voyez ici le tronc de l'artère"
"1759440","1764140"," pulmonaire, ainsi que ses branches artérielles droite et"
"1764140","1768280"," gauche, la haute assemblante, la haute descendante, ainsi"
"1768280","1773560"," que le contraste avec les branches souches sur"
"1773560","1776000"," ce fenêtrage par enchimante. "
"1779500","1783080"," L'avènement des scanners Metivaret a permis la"
"1783080","1786780"," possibilité de reconstruire des coupes selon les épaisseurs"
"1786780","1790260"," souhaitées pouvant aller de 0,5 à 3"
"1790260","1791300"," mm, voire moins."
"1791300","1794880"," Le choix de l'épaisseur de coupe se"
"1794880","1797360"," varie en fonction de la pathologie en question,"
"1797460","1803320"," inframillimétrique pour explorer les bronchopneumopathies chroniques ou les"
"1803320","1807840"," pneumopathies infiltratives diffuses, de 2 à 3 mm"
"1807840","1811220"," pour explorer la pathologie tumorale vasculaire et la"
"1811220","1812300"," pathologie traumatique."
"1812300","1817060"," Les avantages de ces scanners Metivaret sont, comme"
"1817060","1821020"," suit, la rapidité de l'acquisition, en conséquence"
"1821020","1824260"," la réduction du flux cinétique, on permet une"
"1824260","1829740"," meilleure qualité d'image, on permet d'analyser"
"1829740","1833020"," de manière plus fine les structures, on permet"
"1833020","1835880"," la possibilité de reconstruire dans les différents plans"
"1835880","1839060"," d'espace et on permet d'étudier également"
"1839060","1840360"," la pathologie cardiaque. "
"1841190","1845520"," Sur ce diapositif, vous avez des coupes scannographiques"
"1845520","1850900"," réalisées, natives réalisées selon un plan axial et"
"1850900","1856840"," une autre reconstruction coronale permettant d'analyser et"
"1856840","1859550"," de caractériser cette lésion basithoracique."
"1863150","1867030"," Sur ce diapositif, vous avez une image scannographique"
"1867030","1869890"," reconstruite selon un plan coronale permettant d'explorer"
"1869890","1875310"," mieux certaines lésions basithoraciques nodulaires ou pseudonodulaires et"
"1875310","1877330"," sur l'autre coupe, vous avez une reconstruction"
"1877330","1880750"," volumique permettant de mieux explorer le cadre osseux."
"1880750","1889930"," Les indications de ce scanner sont multiples et"
"1889930","1890670"," valides. "
"1933630","1942070"," L'échographie trouve sa place dans la caractérisation"
