"start","end","text"
"840","3880"," Bonjour chers étudiants, le cours d'aujourd'hui"
"3880","7780"," porte sur les cardiopathies congénitales, une entité qui"
"7780","12040"," contient une grande diversité pathologique du plus ou"
"12040","15480"," moins simple, si l'on ose dire, au"
"15480","16420"," plus complexe."
"16780","19440"," Donc pour faire simple, nous allons nous contenter"
"19440","23160"," aux cardiopathies les plus fréquentes, notamment l'échinte"
"23160","26440"," gauche-droite et la tétralogie de Fallot et"
"26440","28360"," la transposition des gros vaisseaux."
"29760","33420"," Les cardiopathies congénitales constituent des maladies de la"
"33420","36860"," structure cardiaque existant dès la naissance. "
"39420","41540"," D'une manière générale, on peut classer les"
"41540","47040"," cardiopathies congénitales en deux entités, les cardiopathies congénitales"
"47040","48620"," non cyanogènes, c'est-à-dire qui ne"
"48620","52020"," donnent pas de cyanose, et les cardiopathies congénitales"
"52020","54440"," cyanogènes qui donnent une cyanose."
"55200","56720"," Il faut savoir qu'on ne peut pas"
"56720","60520"," traiter toutes les cardiopathies congénitales dans ce chapitre"
"60520","63819"," parce que ça constitue une entité très vaste"
"63819","64660"," et très lourde."
"65000","67980"," Donc on va se limiter à traiter des"
"67980","71520"," chapitres ou les cardiopathies les plus fréquentes, à"
"71520","74620"," savoir l'échinte gauche-droite, la tétralogie de"
"74620","78300"," Fallot et la transposition des gros vaisseaux. "
"80570","82650"," On commence par l'échinte gauche-droite."
"84050","86610"," Au terme de ce cours, nous devons être"
"86610","90050"," capables de classifier l'échinte gauche-droite, de"
"90050","95430"," préciser les mécanismes physiopathologiques dans cette entité, de"
"95430","98510"," citer les signes fonctionnels retrouvés chez un enfant"
"98510","102010"," suivi pour l'échinte gauche-droite ainsi que"
"102010","104230"," les signes physiques dans la même situation."
"105370","108430"," Nous devons être capables aussi d'énumérer les"
"108430","112330"," résultats des bilans paracliniques demandés chez un enfant"
"112330","115210"," suspect d'avoir un échinte gauche-droite. "
"115710","118730"," Enfin, nous devons être capables d'énumérer les"
"118730","123170"," modalités thérapeutiques chirurgicales proposées chez un enfant suivi"
"123170","126710"," pour l'échinte gauche-droite avec retentissement hémodynamique"
"126710","128330"," ainsi que leurs indications."
"129530","132270"," Pour traiter cette question, nous allons suivre le"
"132270","132930"," plan suivant."
"133450","137530"," D'abord une introduction, un petit aperçu épidémiologique"
"137530","139230"," et classification. "
"139810","142530"," On va s'étaler sur le mécanisme physiopathologique"
"143310","145730"," d'échinte gauche-droite ainsi que sur le"
"145730","146950"," diagnostic positif."
"147390","149590"," Après, on va voir l'évolution et complications"
"149590","151070"," et on va finir par..."
"151070","153070"," Il faut savoir que l'échinte gauche-droite"
"153070","158290"," constitue une cardiopathie congénitale cyanogène caractérisée par une"
"158290","162310"," communication entre le cœur gauche, où la circulation"
"162310","165050"," systémique l'une part, et le cœur droit,"
"165350","167710"," ou la circulation pulmonaire, d'autre part."
"168930","171630"," Elles peuvent être isolées ou faire partie d "
"171630","174210","'une cardiopathie beaucoup plus complexe. "
"175830","179070"," C'est la cardiopathie la plus fréquente, notamment"
"179070","183750"," quand il s'agit de communication interventriculaire, communication"
"183750","187390"," interauriculaire et de canal artériel persistant."
"187390","193770"," Les étiologies responsables de ces cardiopathies sont multiples."
"194290","197710"," On peut noter les trisomies 21, les trisomies"
"197710","201930"," 13, 18, certains anomalies génétiques comme le D "
"201930","204650","-George et puis d'autres étiologies. "
"210060","213500"," La classification d'échinte gauche-droite et anatomique"
"213500","217240"," est basée sur le niveau du chant."
"217600","219840"," On commence par l'échinte qui se fond"
"219840","222800"," au niveau des veines pulmonaires et on trouve"
"222800","226180"," le retour des veines pulmonaires anormales partielles, c "
"226180","228720","'est-à-dire une veine ou deux veines"
"228720","232900"," pulmonaires qui se jettent au niveau de la"
"232900","236200"," veine cave supérieure, dans le cas le plus"
"236200","236700"," fréquent."
"237840","240420"," L'échinte à l'étage atriel, on trouve"
"240420","242560"," les communications interauriculaires. "
"243360","246420"," Dans l'échinte à l'étage ventriculaire, on"
"246420","249780"," trouve les communications interventriculaires."
"250780","253780"," Il y a une autre entité qui ressemble"
"253780","259040"," à la communication interventriculaire, c'est le canal"
"259040","260959"," atrioventriculaire."
"262400","265780"," A l'étage artériel, on trouve le canal"
"265780","270840"," artériel persistant ou bien la fenêtre artériopulmonaire. "
"275100","277540"," Cette diapositive vous montre le chant à l "
"277540","279960","'étage veineux et atrial."
"280760","283080"," Ici le chant à l'étage atrial, c "
"283080","285660","'est-à-dire au niveau des oreillettes, qui"
"285660","289100"," s'appelle communication interauriculaire parce qu'il lie"
"289100","293000"," les deux oreillettes droite et gauche."
"294320","299340"," Le retour veineux pulmonaire anormal partiel, donc regardez"
"299340","302120"," ici, il y a une veine pulmonaire qui"
"302120","304860"," se jette au niveau de la veine cave"
"304860","305800"," supérieure. "
"310630","315760"," Le chant à l'étage ventriculaire, on trouve"
"315760","318200"," les communications interventriculaires."
"318780","321140"," C'est un trou, une communication qui se"
"321140","324200"," fait entre les deux ventricules gauche et droite."
"326380","331220"," Le canal atrioventriculaire constitue un chant aussi à"
"331220","333400"," l'étage ventriculaire et atrial. "
"333840","337200"," C'est une entité beaucoup plus complexe caractérisée"
"337200","344120"," par une communication interauriculaire, une communication interventriculaire et"
"344120","348200"," une seule valve auriculoventriculaire au lieu d'avoir"
"348200","351480"," deux valves distinctes mitraille et tricuspide."
"353750","355570"," On la classe avec le chant à l "
"355570","359130","'étage ventriculaire parce que sur le plan physiopathologique"
"359130","365250"," elle est presque identique à la communication interventriculaire."
"367600","371300"," Le chant à l'étage artériel, on trouve"
"371300","375780"," le canal artériel persistant, c'est un canal"
"375780","378680"," qui relie l'artère pulmonaire et l'aorte"
"378680","379820"," au niveau de l'ise. "
"382260","386080"," On trouve aussi la fenêtre aortopulmonaire, c'est"
"386080","390820"," une communication entre l'aorte ascendante et l "
"390820","393540","'artère pulmonaire, le tronc de l'artère pulmonaire"
