"start","end","text"
"1420","5320"," Toujours dans la suite des cours concernant les"
"5320","7580"," péricardies, il y a la tamponade."
"7960","11420"," La tamponade constitue la compression aiguë ou sub "
"11420","15340","-aiguë des cavités cardiaques par un épanchement péricardique."
"15700","19860"," Il s'agit d'un épanchement soit abondant"
"19860","23700"," et qui s'est installé progressivement, soit un"
"23700","27200"," épanchement qui s'est installé rapidement même s "
"27200","28740","'il n'est pas très abondant. "
"28740","33520"," Elle constitue une véritable urgence médico-chirurgicale qui"
"33520","35200"," met en jeu le pronostic vital."
"36920","40760"," Voici la courbe que l'on a vue"
"40760","44460"," lors du cours précédent qui concerne la péricardite,"
"44560","48540"," la courbe de l'élasticité du péricarde où"
"48540","50660"," on voit la relation entre la pression et"
"50660","52890"," le volume au sein de la cavité péricardique."
"52890","56810"," L'installation de la tamponade soit un épanchement"
"56810","60090"," pas très volumineux mais installé rapidement et on"
"60090","65050"," a un accroissement brutal de la pression au"
"65050","68090"," sein de la cavité péricardique, soit la tamponade"
"68090","73990"," s'installe quand l'épanchement est progressif dans"
"73990","79290"," le temps et devient volumineux jusqu'à arriver"
"79290","81690"," à la limite de l'élasticité du péricarde"
"81690","83170"," où on a à ce moment-là une"
"83170","89230"," augmentation très importante de la pression dans le"
"89230","89810"," péricarde. "
"93160","97900"," De manière, l'installation aiguë, même d'un"
"97900","101440"," petit volume, peut entraîner la tamponade ou l "
"101440","105740","'installation progressive d'un grand volume."
"106220","107800"," Une fois arrivé à la limite de l "
"107800","111020","'élasticité, on va avoir une augmentation importante de"
"111020","113640"," la pression dans la cavité péricardique."
"113640","121990"," Un petit rappel physiologique, à chaque inspiration, on"
"121990","126150"," a une baisse des pressions intratoraciques et intrapéricardiques. "
"126730","129669"," Comme conséquence, quand on a une baisse des"
"129669","132930"," pressions intratoraciques et intrapéricardiques, on a une augmentation"
"132930","136030"," du retour veineux et par conséquent du volume"
"136030","137350"," du ventricule droit."
"138050","140850"," Quand le volume du ventricule droit augmente à"
"140850","144150"," l'inspiration, donc celui-ci étant donné le"
"144150","148830"," phénomène d'interdépendance VD-VG, le VD va"
"148830","153150"," comprimer légèrement le ventricule droit, le ventricule gauche"
"153150","156810"," et va donner une baisse du remplissage du"
"156810","160250"," ventricule gauche par déplacement du septum de droite"
"160250","161050"," à gauche."
"162370","164910"," Ce qui aura comme conséquence aussi une baisse"
"164910","167930"," de la pression artérielle à l'inspiration, moins"
"167930","170510"," de 10% par rapport à l'expiration. "
"170750","174010"," Tout ceci est un phénomène physiologique tout à"
"174010","174810"," fait normal."
"175470","179910"," Sachez que ce phénomène normal physiologique va devenir"
"179910","184150"," pathologique, il va s'exagérer en cas de"
"184150","184730"," tamponade."
"185230","188190"," Les conséquences de l'épanchement péricardique de grande"
"188190","191670"," abondance dans le cadre de la tamponade sur"
"191670","194190"," le ventricule droit, donc on aura une accumulation"
"194190","198230"," du liquide intrapéricardique, une élévation importante de la"
"198230","202370"," pression intrapéricardique qui va gêner le remplissage du"
"202370","203110"," ventricule droit. "
"203710","206190"," En même temps, on aura une élévation de"
"206190","210050"," la pression intracavitaire avec un retentissement en amont."
"210310","213070"," Le retentissement en amont va concerner quoi ?"
"213070","217790"," Va concerner la veine cave supérieure et va"
"217790","218870"," donner les signes droits."
