"start","end","text"
"57940","62600"," Je suis là pour répondre à vos questions"
"62600","67420"," et discuter avec vous, éventuellement compléter des choses"
"67420","70400"," concernant le cours d'ischémie aiguë du moment"
"70400","74600"," inférieur et les artéopathies oblétraires du moment inférieur."
"75320","79380"," Comme la dernière fois, je suis à vous,"
"79960","88520"," j'attends vos questions concernant le premier chapitre,"
"88760","91860"," c'est-à-dire les ischémies des moments"
"91860","94260"," inférieurs, ischémies aiguës du moment inférieur."
"112330","118490"," En attendant, je vous rappelle la définition de"
"118490","122030"," l'ischémie aiguë, c'est une baisse brutale"
"122030","127770"," de la précision tessulaire en oxygène, en sang"
"127770","130930"," oxygéné, ce qui va menacer l'immédiat la"
"130930","131570"," viabilité. "
"132710","135550"," L'ischémie peut survenir sur l'artère saine"
"135550","140210"," ou artère pathologique et l'ischémie peut être"
"140210","144790"," d'origine embolique ou thrombotique."
"147490","152630"," Les symptômes doivent être présents ou la durée"
"152630","154370"," des symptômes ne doivent pas dépasser 15 jours."
"154510","156050"," Autrement dit, on n'est plus dans l "
"156050","158770","'ischémie aiguë, on est dans l'ischémie, on"
"158770","160650"," est dans l'artéropathie et on est dans"
"160650","161990"," le contexte chronique. "
"163210","167510"," Donc, les symptômes ne doivent pas dépasser les"
"167510","168050"," 15 jours."
"175570","179630"," Bien, vous avez une question concernant la définition,"
"179770","180650"," quelque chose qui n'est pas clair."
"183470","187690"," Donc, l'ischémie engage le pronostic fonctionnel parce"
"187690","188750"," que si il n'est pas traité, ça"
"188750","191570"," va aller vers l'amputation et peut engager"
"191570","194190"," également le pronostic vital parce que si on"
"194190","196470"," ne traite pas, il peut se compliquer de"
"196470","200810"," l'insuffisance rénale, d'hypercalémie et donc, il"
"200810","204450"," va compromettre le pronostic vital. "
"205090","207870"," Il y a une question également qui prête"
"207870","208530"," à confusion."
"209450","211570"," C'est la différence entre l'ischémie critique"
"211570","214250"," et l'ischémie aiguë."
"215530","217710"," Dans l'ischémie critique, le délai, vous le"
"217710","219190"," voyez ici, c'est plus de deux semaines. "
"219950","221090"," Alors que dans l'ischémie aiguë, c'est"
"221090","221810"," moins de deux semaines."
"222890","226150"," Donc, les douleurs ischémiques qui sont là depuis"
"226150","227790"," plus de deux semaines, on n'est plus"
"227790","229650"," dans l'ischémie aiguë, on est dans l "
"229650","232870","'ischémie critique assez souvent."
"233330","235370"," L'ischémie critique est associée à des troubles"
"235370","239910"," trophiques ischémiques et à une pression distale effondrée. "
"258329","260370"," J'entends toujours des questions, je ne vais"
"260370","262250"," pas faire le re-commentaire du cours, ce"
"262250","263310"," n'est pas l'objectif, c'est juste"
"263310","265250"," pour meubler un peu le silence, s'il"
"265250","267630"," vous plaît, posez vos questions."
"287210","290030"," L'abolition du poux n'est pas synonyme"
"290030","290490"," d'ischémie."
"290490","293210"," L'abolition du poux veut dire que le"
"293210","296010"," poux est absent, mais l'ischémie est traduit"
"296830","297810"," une douleur. "
"298150","301410"," L'ischémie, c'est traduit par une douleur,"
"301930","306250"," ça traduit un manque en oxygène au niveau"
"306250","306750"," du tissu."
"307350","309330"," Le poux peut être absent, mais ce, pour"
"309330","314150"," autant, sans pour autant que ça s'accompagne"
"314150","318870"," d'une baisse importante de la perversion tessutale."
"319390","323070"," Donc, pas mal de fois, le patient peut"
"323070","329770"," développer une atterrosclerose avec une dislocation collatérale suffisante"
"329770","332010"," avec une abolition de poux pédiaire ou tibiale"
"332010","334250"," postérieure, mais sans développer d'ischémie. "
"335330","337970"," Donc, quand on parle d'ischémie, ça veut"
"337970","342850"," dire qu'il y a une baisse importante"
"342850","344850"," d'oxygénation du tissu."
"345630","348130"," Il peut s'accompagner d'une abolition du"
"348130","350910"," poux ou non, mais l'essentiel, c'est"
"350910","354230"," qu'il n'y a pas suffisamment d "
"354230","356830","'oxygène pour les tissus."
"357190","357690"," C'est ça l'ischémie. "
"359810","362130"," Est-ce que c'est clair, petit Sam"
"362130","363370"," Mahfouz ?"
"378440","385200"," Très bien, autre question, pourquoi on a la"
"385200","386420"," douleur de l'ischémie ?"
"386420","390800"," Question numéro un, je l'avais expliqué quand"
"390800","396420"," même dans la sonorisation, la douleur est la"
"396420","399260"," conséquence d'un métabolisme en anaérobie."
"399680","405900"," Quand on a une baisse d'oxygène au"
"405900","409300"," niveau du tissu, le métabolisme cellulaire va se"
"409300","411280"," faire, va continuer à se faire, il ne"
"411280","412380"," va pas s'arrêter, mais il va se"
"412380","415300"," faire en anaérobie, c'est-à-dire dans"
"415300","417460"," un milieu où manque l'oxygène."
"418100","425200"," Ce métabolisme en anaérobie va engendrer une production"
"425200","427180"," de lactate, d'acide lactique. "
"427800","432940"," Les lactates, c'est un acide qui va"
"432940","435960"," stimuler, qui va irriter les terminaisons nerveuses et"
"435960","437800"," donc qui va donner de la douleur."
"438400","440100"," C'est le même mécanisme que vous avez"
"440100","442700"," au niveau du membre inférieur, au niveau du"
"442700","443800"," cœur, partout."
"444380","445180"," Là où il y a de l'ischémie,"
"445320","446120"," il y a de la douleur, c'est"
"446120","448760"," le même mécanisme, c'est le métabolisme en"
"448760","451400"," anaérobie avec une production de lactate. "
"475350","477610"," Alors, moi, je vous pose une question, pourquoi"
"477610","483590"," l'ischémie sur l'artère saine est plus"
"483590","486910"," grave que l'ischémie sur l'artère pathologique"
"486910","487150"," ?"
"638370","640450"," Professeur, votre micro est désactivé."
"685800","689340"," Excusez-moi, je viens de faire attention que"
"689340","690640"," le micro était éteint."
"691300","696540"," Donc, la deuxième question, comment la thrombose veineuse"
"696540","702640"," associée aggrave le pronostic de l'ischémie aiguë"
"734600","735020"," ?"
"735020","736720"," Est-ce que vous m'entendez maintenant ?"
"737680","742880"," Si on a une thrombose, le membre va"
"742880","746920"," être oedématisé et on aura donc un mauvais"
"746920","747840"," retour veineux. "
"749960","753520"," Oui, c'est vrai, mais comment le mauvais"
"753520","757640"," retour veineux, comment la thrombose va aggraver les"
"757640","759580"," signes ou les conséquences de l'ischémie ?"
"759580","762720"," Comment la thrombose veineuse va aggraver le pronostic"
"762720","768820"," de l'ischémie aiguë du membre inférieur ?"
"768820","780330"," Oui, exactement, le"
"780330","787010"," membre oedématisé, l'œdème va comprimer les artères"
"787010","791130"," et donc il va compromettre le reste de"
"791130","796210"," la circulation artérielle, va être compromis par l "
"796210","797130","'œdème du membre inférieur."
"797330","798890"," Donc, l'association avec l'œdème, que ce"
"798890","802010"," soit la thrombose veineuse ou autre, va certainement"
"802010","807630"," aggraver les signes de l'ischémie et aggraver"
"807630","808310"," le pronostic."
"809150","811310"," La même chose pour la survenue d'une"
"811310","815990"," chute tensionnelle, de la tension artérielle, la chute"
"815990","819530"," prolongée de la tension artérielle va favoriser également,"
"819690","822370"," va aggraver les signes de l'ischémie. "
"833920","837840"," Alors, parmi les…"
"837840","841120"," Pouvez-vous détailler encore plus la partie des"
"841120","843620"," indications ?"
"843620","844180"," Ok."
"849780","851880"," Alors, on va arriver aux indications."
"852200","854200"," Pour Imane Mchichi, on va revenir aux indications"
"854200","857480"," de chaque méthode de revascularisation. "
"858020","861020"," Pour l'ischémie aiguë, quel est le délai"
"861020","862600"," hors l'heure qu'on ne doit pas"
"862600","865280"," dépasser pour la revasculariser ?"
"865280","869400"," Alors, sur ce tableau-là, le tableau que"
"869400","871580"," vous voyez là maintenant qui est projeté sur"
"871580","874420"," la sensibilité des tissus répond à ta question."
"877820","881320"," On va répondre à la question de Khadija"
"881320","885660"," Moussor après avoir analysé ce tableau-là."
"885980","890100"," Alors, en analysant ce tableau, quels sont les"
"890100","894580"," tissus qui sont rapidement endommagés par l'ischémie"
"894580","894760"," ?"
"895280","897300"," Selon le délai que vous avez ici, selon"
"897300","901700"," les données de ce tableau-là, vous avez"
"901700","905940"," le changement des tissus en fonction de l "
"905940","906220","'ischémie. "
"907200","908960"," Donc, c'est le tissu nerveux, c'est"
"908960","910860"," lui qui est…"
"910860","912460"," C'est les nerfs que vous voyez ici"
"912460","914500"," qui sont…"
"914500","917200"," En fait, après deux heures, ils perdent totalement"
"917200","917820"," de la fonction."
"917820","919900"," Donc, c'est au bout de deux heures,"
"920640","925160"," les nerfs perdent totalement la fonction."
"925780","927780"," Et puis, ça c'est la fonction. "
"928200","930920"," Maintenant, sur le plan pathologique, vous avez à"
"930920","932540"," 6 heures le début de la dégénérescence des"
"932540","938040"," cylindraxes, dégénération totale des cylindraxes à 8 heures,"
"938480","941820"," à 12 heures, altération très avancée, 24-48"
"941820","943420"," heures, altération irréversible."
"943420","948280"," Et donc, selon ce tableau-là, les tissus"
"948280","950380"," nerveux sont les premiers à souffrir."
"951020","952340"," Et donc, au bout de 6 heures, 8"
"952340","955760"," heures, si on ne fait rien, la dégénérescence"
"955760","956460"," s'installe déjà. "
"957060","959060"," Donc, la réponse à la question, quel est"
"959060","960180"," le délai ?"
"960180","962200"," C'est un délai de 6 à 8"
"962200","965560"," heures qu'on ne doit pas dépasser, sinon"
"965560","967080"," les lésions sont irréversibles."
"967880","969120"," Qu'est-ce qu'on peut tirer comme"
"969120","971900"," autre information à partir de ce tableau ?"
"973340","978440"," Quels sont les tissus qui souffrent en dernier"
"978440","980070"," et qui meurent en dernier ?"
"985720","990340"," Ayub Bensour, maintenant la question est individualisée."
"1001710","1003310"," Ayub Bensour, tu es avec nous. "
"1004110","1005030"," Est-ce que tu es d'accord ?"
"1005030","1008890"," Est-ce que la peau est le dernier"
"1008890","1011470"," tissu à mourir ?"
"1017010","1018770"," Alors, il ne veut pas répondre."
"1019190","1019790"," Je ne sais pas ce qu'il est"
"1019790","1020510"," en train de faire."
"1020510","1022070"," Il est avec nous, mais il ne veut"
"1022070","1022630"," pas être avec moi. "
"1025770","1030010"," Alors, la réponse est juste la peau."
"1031230","1033010"," La peau, c'est le dernier tissu à"
"1033010","1033270"," mourir."
"1033490","1035270"," Alors, quel est le corollaire ?"
"1035270","1037950"," Qu'est-ce qu'on tire comme information"
"1037950","1041010"," à partir de cette constatation ?"
"1041010","1042869"," Si la peau est le dernier tissu à"
"1042869","1046329"," mourir, qu'est-ce qu'on déduit ?"
"1050710","1052310"," Le tout est déjà mort. "
"1054930","1056350"," Oui, c'est déjà mort."
"1056870","1058450"," Donc, on pratique clinique."
"1058590","1059370"," Qu'est-ce qu'on voit ?"
"1059370","1060470"," Qu'est-ce qu'on déduit sur le"
"1060470","1061340"," plan clinique ?"
"1072970","1075030"," Si on a des lésions cutanées, c'est"
"1075030","1076590"," un stade grave. "
"1077790","1080070"," Si il y a trop de trafic cutané,"
"1080430","1081850"," l'ischémie est irréversible."
"1083390","1087750"," Si on trouve des escarres, par exemple, c "
"1087750","1089330","'est un stade avancé d'ischémie."
"1089330","1093340"," Si il y a une atteinte cutanée, c "
"1093340","1093980","'est grave. "
"1097000","1099170"," Donc, exactement, si il y a une atteinte"
"1099170","1100530"," cutanée, c'est grave."
"1101090","1103010"," C'est irréversible."
"1103390","1104530"," C'est l'amputation. "
"1117180","1118620"," Les lésions sont irréversibles."
"1118740","1119140"," Exactement."
"1119300","1120540"," C'est le mode thoralie. "
"1121580","1123260"," Les lésions sont irréversibles."
"1123520","1126040"," Donc, c'est un stade avancé de l "
"1126040","1126520","'ischémie."
"1126760","1127820"," Tout le reste est atteint. "
