"start","end","text"
"650","2550"," Vous m'entendez ?"
"12880","13240"," Très bien."
"13740","14560"," Ok, merci."
"16500","19800"," Bien, donc, il est prévu, je pense, trois"
"19800","25840"," séances interactives autour de la partie cardiovasculaire que"
"25840","27440"," je vous ai traitée. "
"28060","29780"," Je rappelle, il s'agit du cours de"
"29780","33700"," risque cardiovasculaire, cours d'atherosclerose, et puis des"
"33700","36500"," cours sur l'HTA et l'insuffisance cardiaque."
"37800","40160"," Alors, il y a plusieurs fins manières de"
"40160","41200"," mener cette séance."
"42400","44020"," On peut revoir un peu ce que vous"
"44020","44820"," n'avez pas compris. "
"46200","47560"," Vous pouvez prendre la parole si vous voulez,"
"47720","51700"," vous pouvez poser des questions directes sur la"
"51700","52400"," messagerie."
"53940","58800"," On peut éventuellement reprendre certains QCM, ça ne"
"58800","59500"," me dérange pas."
"62480","64980"," C'est une séance qui, normalement, vous appartient. "
"66540","70620"," Vous me dites ce qui vous intéresse."
"72060","75940"," Alors, en attendant vos suggestions, on pourrait éventuellement"
"75940","80960"," repasser un peu les différents cours et voir"
"80960","83920"," les points les plus importants, disons."
"85340","89100"," Donc là, j'ai ouvert le cours, comme"
"89100","90960"," ça j'ai les slides devant mes yeux,"
"91260","92760"," j'ai ouvert le cours sur la prévention"
"92760","93860"," cardiovasculaire. "
"97860","103860"," Et éventuellement, à travers ce qu'on a"
"103860","105380"," vu dans ce cours, ce qui est important,"
"105460","106820"," c'est bien sûr d'être capable de"
"106820","111300"," distinguer l'importance de la différenciation entre prévention"
"111300","112400"," primaire et secondaire."
"113180","115380"," Une importance qui, pour l'instant, a sa"
"115380","122480"," place, puisque les malades en prévention secondaire vont"
"122480","129380"," être, nous disons, candidats à un traitement certainement"
"129380","130240"," plus intense."
"131080","135680"," Et une surveillance plus rapprochée, parce que les"
"135680","140400"," avantages des traitements qu'on a actuellement sont"
"140400","142080"," plus importants quand il s'agit de quelqu "
"142080","143200","'un en prévention secondaire. "
"144100","145500"," Ça ne veut pas dire que ceux qui"
"145500","147760"," sont en prévention primaire, il ne faut pas"
"147760","151100"," les traiter, mais disons que leur risque, probablement,"
"151240","151880"," est plus faible."
"153860","155660"," Et donc, ils auront peut-être, d'abord,"
"156720","159020"," ils pourront se contenter d'un traitement non"
"159020","161960"," pharmacologique, et si on va vers un traitement"
"161960","166240"," pharmacologique, ce sera un traitement de moindre intensité."
"169240","171780"," Dans ce cours-là, il était question aussi"
"171780","177440"," d'étaler un peu l'importance des facteurs"
"177440","180880"," de risque cardiovasculaire, de les répartir en facteurs"
"180880","182880"," de risque majeurs et autres qui ne sont"
"182880","183300"," pas majeurs. "
"184640","185980"," Et les autres, on peut les appeler aussi"
"185980","189480"," les marqueurs, puisqu'ils n'arrivent pas au"
"189480","192000"," degré de facteur de risque, donc ils seront"
"192000","193740"," des marqueurs de risque cardiovasculaire."
"193740","196660"," Et rappelez-vous que j'ai insisté sur"
"196660","200080"," les marqueurs qui vont modifier le risque, les"
"200080","201280"," modificateurs de risque."
"201280","204160"," Et on a d'autres qui vont servir"
"204160","207600"," à, disons, on a quelqu'un qui a"
"207600","211460"," quelques facteurs de risque et pour lesquels on"
"211460","214960"," a calculé le score et on a trouvé"
"214960","219580"," qu'il est faible ou intermédiaire. "
"220320","223200"," On peut utiliser les modificateurs de risque pour"
"223200","227840"," encore ajuster son niveau de risque, soit vers"
"227840","229440"," un niveau plus élevé, soit vers un niveau"
"229440","229840"," plus bas."
"231800","234920"," Et avant d'entamer cette partie, je vous"
"234920","238120"," ai listé la vraie définition ou les éléments"
"238120","241680"," importants pour parler d'un facteur de risque,"
"241980","244080"," ce qu'on a appelé les éléments qui"
"244080","249680"," permettent un certain lien de causalité entre un"
"249680","254700"," facteur de risque et un événement ou une"
"254700","255120"," maladie."
"256140","257380"," Je ne sais pas, est-ce que vous"
"257380","260320"," avez des questions sur ces éléments-là ?"
"260320","265160"," Vous les avez tous sur vos diapositives et"
"265160","267900"," ils sont importants à connaître, bien sûr. "
"271430","273710"," Alors, je défile un peu les slides pour"
"273710","276810"," voir les points qui peuvent être difficiles."
"280800","282320"," Alors, bien sûr, il y a une différence"
"282320","285080"," entre le risque absolu et le risque relatif."
"288580","289920"," C'est à partir de ces deux notions"
"289920","292020"," qu'on va calculer le risque cardiovasculaire global. "
"294900","299820"," Donc, un risque absolu, c'est ce qui"
"299820","301280"," concerne le malade directement."
"302060","304560"," C'est son risque à lui de faire"
"304560","305180"," un événement."
"306280","306440"," D'accord ?"
"306440","307760"," Donc, c'est un chiffre. "
"308720","310180"," Comme son nom l'indique, c'est un"
"310180","310800"," chiffre absolu."
"310880","314080"," Le relatif, c'est toujours par rapport à"
"314080","315600"," quelqu'un qui a le même âge que"
"315600","318420"," lui, le même genre, etc."
"318420","323180"," Donc, un jeune, par exemple, peut avoir un"
"323180","327840"," risque absolu très faible, mais un risque relatif"
"327840","328540"," plus élevé. "
"328740","332100"," Puisque si on le compare avec des gens"
"332100","336040"," qui sont du même âge, même, par exemple,"
"337160","342660"," 3%, alors que les gens du même âge"
"342660","344300"," que lui, ils ont, par exemple, un risque"
"344300","346300"," 0,5%."
"346820","348860"," Ça fait de lui quelqu'un qui a"
"348860","351340"," 6 fois le risque, le risque normal."
"351660","353340"," Donc, il a un risque relatif plus élevé. "
"358950","360610"," Quoi d'autre ?"
"364200","366180"," Puis, un élément important aussi dans le cours,"
"366400","369020"," c'est les patients à haut risque cardiovasculaire."
"369120","371300"," Leur définition, il faut la connaître correctement."
"372360","373860"," Un patient à haut risque, ça veut dire"
"373860","374580"," quoi ?"
"374580","376120"," Là, je regarde vos questions. "
"376880","378080"," On ne voit pas les diapos."
"378640","379820"," C'est normal que vous ne les voyez"
"379820","382460"," pas, parce que je n'ai pas projeté"
"382460","384900"," de vous les montrer, parce qu'il n "
"384900","385560","'y a rien de nouveau."
