"start","end","text"
"220","1180"," On sent que quelqu'un a déjà pris"
"1180","2460"," la parole, donc il attend ce qu'il"
"2460","3340"," finisse, après l'autre."
"3680","5920"," Ça va donner plus d'interactivité par rapport"
"5920","8040"," aux écritures au chat."
"8160","11540"," D'autres qui veulent faire des commentaires sur"
"11540","13180"," le chat, je vais les consulter de temps"
"13180","14740"," à autre, mais je veux que la séance"
"14740","18640"," soit un petit peu vivante. "
"19020","20280"," Il n'y ait pas un silence, puis"
"20280","22100"," vous répondez, après je lis ce qu'il"
"22100","23140"," y a dans le chat, il y aura"
"23140","25560"," beaucoup de silence, d'accord ?"
"25560","28820"," Vous pouvez prendre la parole comme vous voulez,"
"29300","33860"," et on va améliorer, rectifier ou bien approuver"
"33860","35100"," vos réponses."
"35220","37960"," L'essentiel, c'est d'approfondir les connaissances"
"37960","40020"," qu'on a vues sur les cours de"
"40020","42080"," vagulopathie d'une manière générale."
"44840","49120"," Notre cas clinique, c'est une patiente, Houda. "
"49960","52040"," C'est une dame jeune de 32 ans"
"52040","53880"," qui consulte pour des douleurs thoraciques."
"55300","57380"," Je veux que quelqu'un d'entre vous"
"57380","59060"," fasse l'interrogatoire."
"59180","60860"," Je vais jouer comme la dernière fois le"
"60860","63200"," rôle de la patiente, et vous me posez"
"63200","64300"," des questions dans ce sens. "
"66180","67860"," C'est-à-dire, vous imaginez, moi je"
"67860","69460"," suis la patiente devant vous, et on va"
"69460","72500"," voir comment vous allez mener votre interrogatoire."
"74160","77600"," Un volontaire ou une volontaire ?"
"83970","91730"," Madame, tout d'abord, les caractéristiques de la"
"91730","95890"," douleur, où se trouve la douleur ?"
"95890","98610"," Tu imagines que je suis la patiente devant"
"98610","98750"," toi."
"98810","100470"," Tu t'appelles comment ton prénom ?"
"101350","101830"," Firdaus. "
"102270","103050"," Firdaus, d'accord."
"104030","106170"," Tu es le médecin et je suis la"
"106170","107790"," patiente, d'accord ?"
"107790","109630"," Et tu vas faire l'interrogatoire avec moi"
"109630","112050"," et je vais répondre à certains types de"
"112050","114310"," questions, d'accord ?"
"114310","114590"," D'accord."
"114770","115630"," C'est-à-dire aux questions que tu"
"115630","116610"," vas me poser. "
"117590","119010"," Donc moi je viens, je te dis que"
"119010","120730"," ça fait trois mois que je sens des"
"120730","122390"," douleurs au niveau de ma poitrine."
"122930","124050"," Du moment qu'il y a beaucoup de"
"124050","125450"," personnes qui ne parlent pas arabe, on est"
"125450","127430"," obligé de mener l'interrogatoire en français."
"129110","131350"," Donc on va faire avec, d'accord ?"
"131350","131590"," D'accord. "
"132010","134290"," Donc tu es le médecin, tu ne mets"
"134290","136410"," pas la blouse, mais ça ne fait pas"
"136410","137330"," grave."
"137950","140450"," Et moi je suis la patiente."
"142270","144090"," Où se trouve la douleur ?"
"146030","146430"," Ici. "
"148250","150170"," Imagine que je suis une patiente devant toi."
"150370","152790"," La baisse, comment allez-vous, comment vous appelez,"
"152910","153210"," tout ça."
"153650","154710"," Un vrai interrogatoire. "
"155010","156770"," Tu es le médecin, je suis la patiente."
"156770","157870"," C'est-à-dire que si tu me"
"157870","158870"," dis si j'ai de la douleur, je"
"158870","159790"," vais être..."
"159790","161030"," Est-ce qu'on est dans la police"
"161030","162110"," ou quoi ?"
