"start","end","text"
"162120","164200"," Je ne sais pas si vous arrivez à"
"164200","164700"," m'entendre."
"168610","172510"," Faites-moi signe sur le chat."
"178330","178830"," Très bien. "
"181930","184610"," Je vais commencer le partage de l'écran."
"195060","198860"," Vous arrivez à voir l'écran ?"
"198860","202540"," Parlez directement pour me dire, pas sur le"
"202540","204140"," chat, dites-moi si vous arrivez à voir"
"204140","204740"," l'écran."
"205740","206620"," La présentation. "
"209160","209940"," Oui, madame."
"210040","217650"," Oui, sinon je dois revenir sur le chat"
"217650","218150"," pour voir."
"220290","221370"," D'accord, très bien. "
"222210","225870"," Donc, on va commencer un cas clinique."
"226370","228170"," Le cas de la dernière fois, on n "
"228170","229570","'a pas pu le terminer, mais ce n "
"229570","229990","'est pas grave."
"230870","233930"," J'avais l'intention de le terminer aujourd "
"233930","236450","'hui, mais j'ai senti qu'il y"
"236450","237150"," aura une coupure. "
"237610","239130"," Donc, j'ai préféré faire le cas de"
"239130","240930"," la maladie venestrambourg-ombolique."
"241330","243210"," Après, si on fait une autre séance, on"
"243210","244790"," peut l'utiliser, c'est-à-dire pour"
"244790","248370"," terminer les vaguelopathies et voir les cardiopathies congénitales."
"249110","256630"," Donc, je vais commencer par notre cas clinique,"
"257550","259290"," si vous êtes bien évidemment prêts. "
"262570","266370"," Donc, c'est madame Aicha, âgée de 56"
"266370","269370"," ans, admise pour un gros membre inférieur."
"270610","273130"," Donc, l'interrogatoire montre une notion d'accouchement"
"273130","275810"," par césarienne il y a une semaine."
"277370","288390"," Donc, la"
"288390","291770"," question, quel est votre premier diagnostic et expliquez"
"291770","292530"," le mécanisme. "
"293110","294210"," Comme je l'ai dit et je le"
"294210","296130"," dis à chaque fois, essayez de parler, de"
"296130","299170"," participer, même si vous n'avez pas révisé"
"299170","300430"," le cours, même si vous n'avez pas"
"300430","303910"," vu l'enregistrement, donc voilà le cours sonorisé."
"304230","306790"," Essayez de participer pour qu'on puisse expliquer"
"306790","307650"," et avancer dans le cas clinique."
"307650","309250"," Donc, il n'y a pas de problème,"
"309410","311050"," même si vous faites des erreurs, ce n "
"311050","311570","'est pas grave. "
"312210","313930"," Donc, quel est votre diagnostic et quel est"
"313930","316510"," le mécanisme de cette thrombose veineuse?"
"317730","320010"," Si quelqu'un veut prendre la parole, il"
"320010","321110"," n'y a pas de souci, bien sûr,"
"325090","327350"," mais je préfère parce que sinon, je n "
"327350","330870","'aime pas beaucoup le..."
"335770","337730"," Est-ce qu'on peut enregistrer la séance?"
"338010","338830"," Oui, il n'y a pas de souci,"
"338910","341890"," vous pouvez l'enregistrer, mais pas à diffuser,"
"341890","343350"," c'est-à-dire en dehors de notre"
"343350","345090"," quartier, c'est-à-dire avec les prochaines"
"345090","346070"," promotions et tout ça."
"346410","348390"," Ça doit se limiter à cette promotion, c "
"348390","348670","'est tout."
"350550","350810"," D'accord?"
"351390","353330"," Donc, si quelqu'un peut prendre la parole,"
"353450","355030"," je préfère parce que sinon, ça nous donne"
"355030","356770"," le sentiment de parler à un écran. "
"357570","357790"," D'accord?"
"358010","359770"," J'aimerais bien que, gars, s'il y"
"359770","361790"," a quelqu'un, quelques-uns de votre groupe"
"361790","365350"," peuvent activer la caméra, ça nous donne, ça"
"365350","369170"," donne plus de vie à la séance."
"369910","372330"," Sinon, au moins, lever le micro et parler."
"373950","375790"," C'est moi qui enregistre la séance?"
"376030","377030"," Je ne sais pas comment faire. "
"378270","383370"," Je dois appeler le..."
"383370","384770"," Vous me demandez trop."
"388580","389880"," Je pense, dans ce cas-là, c'est"
"389880","391080"," programmé au niveau de la fac."
"391260","394500"," Je n'ai pas la main pour l "
"394500","395120","'enregistrer. "
"395360","396060"," Je suis désolée."
"400160","401320"," Professeur, s'il vous plaît, est-ce que"
"401320","404600"," le groupe de la maladie thromboembolique, est-ce"
"404600","405840"," qu'il est désormais sur la plateforme?"
"405860","407060"," Je vais démarrer l'enregistrement."
"413230","414690"," J'ai peur de faire une bêtise. "
"414850","416810"," Bon, on va essayer de faire avec."
"416970","418390"," Après, si vous n'avez pas compris quelque"
"418390","423070"," chose, je peux l'expliquer."
"423250","424750"," On a même programmé une autre séance. "
"426910","431090"," Donc, est-ce que quelqu'un peut prendre"
"431090","431630"," la parole?"
"438140","440680"," Donc, j'ai dit, madame Aisha, âgée de"
"440680","442980"," 26 ans, admise pour un grand nombre inférieur"
"442980","447200"," et dans les antécédents, on trouve, c'est "
"447200","449000","-à-dire, à l'interrogatoire, on trouve une"
"449000","449860"," notion d'accouchement."
"451060","452380"," Donc, quel est votre diagnostic?"
"453620","457260"," C'est une thrombose veineuse."
"457840","459560"," Si quelqu'un peut prendre la parole, c "
"459560","459980","'est mieux. "
"460080","462180"," Au lieu d'écrire sur le chat, je"
"462180","462660"," préfère."
"464220","464500"," Une."
"467360","467740"," Merci. "
