"start","end","text"
"5130","7150"," Bonjour, aujourd'hui nous allons parler de la"
"7150","7990"," maladie de Wilson."
"19720","22140"," La maladie de Wilson est une maladie rare."
"22640","24480"," C'est une maladie métabolique due à une"
"24480","26800"," accumulation toxique de cuivre dans l'organisme. "
"27460","31360"," C'est une maladie génétique autosomale récessive dont"
"31360","33280"," le gène responsable se trouve au niveau du"
"33280","34260"," chromosome 13."
"35100","39380"," Les manifestations sont initialement hépatiques mais les symptômes"
"39380","41220"," peuvent être multiples et graves."
"41220","44300"," Le traitement est un traitement qui doit être"
"44300","46500"," précoce et c'est un traitement à vie. "
"50670","53130"," Le cuivre est un métal qui est essentiel"
"53130","53550"," à la vie."
"53830","57190"," Une alimentation saine apporte en moyenne 2 mg"
"57190","58310"," de cuivre par jour."
"59890","63129"," Environ 25 % de cet apport ne sera"
"63129","65670"," pas absorbé et sera directement éliminé dans les"
"65670","65930"," selles. "
"66790","69990"," Environ 50 % sera absorbé dans une protéine"
"69990","73550"," appelée métalotionéine et ce complexe est éventuellement éliminé"
"73550","74130"," dans les selles."
"75310","77750"," Environ 25 % est transporté jusqu'au foie"
"77750","81490"," incorporé dans une protéine dite céréloglasmine ou sécrétée"
"81490","82010"," par la bile."
"82990","84690"," La majorité du cuivre dans le foie est"
"84690","85590"," éliminé par la bile. "
"86390","89050"," Moins de 5 % circulera sous forme libre"
"89050","91150"," dans le sang et moins de 5 %"
"91150","92630"," sera éliminé dans les urines."
"92630","95590"," Et ces formes-là pourront être dosées par"
"95590","97590"," la cuprémie et par la cuprerie."
"100550","102990"," Sur cette diapositive, vous voyez le modèle à"
"102990","103670"," Marie de Wilson. "
"104550","106130"," L'absorption du cuivre est normale."
"106410","108290"," Le cuivre est transporté jusqu'au foie mais"
"108290","110390"," il n'est pas incorporé dans la céréloglasmine"
"110390","111770"," ni éliminé dans la bile."
"112390","114110"," L'élimination du cuivre dans la bile va"
"114110","117090"," diminuer et l'augmentation de la concentration du"
"117090","119250"," cuivre dans les hépatocytes va entraîner une surcharge"
"119250","120150"," du cuivre dans le sang. "
"120710","122810"," L'augmentation du cuivre dans le sang va"
"122810","124590"," entraîner une surcharge du cuivre dans les urines"
"124590","126610"," et l'élimination du cuivre dans les selles"
"126610","127289"," va diminuer."
"132220","134780"," La maladie de Wilson est une maladie génétique."
"136420","138580"," Le gène défectueux se situe au niveau du"
"138580","139560"," chromosome 13. "
"140100","142820"," Il est lié à un défaut de synthèse"
"142820","148660"," de la céréloglasmine qui est la principale responsable"
"148660","149880"," du transport du cuivre."
"149880","155240"," Mais également à une ATP qui est responsable"
"155240","156960"," de l'excrétion biliaire."
"159760","162340"," Il s'agit en fait de cette ATP7B"
"162340","166060"," que vous voyez là dont la défaillance sera"
"166060","168340"," à l'origine d'un défaut d'excrétion"
"168340","169980"," du cuivre au niveau de la bile. "
"169980","172700"," Ce qui va être à l'origine d "
"172700","178040","'une surcharge des hépatocytes et bien sûr d "
"178040","181920","'un recangement et d'un transfert au niveau"
"181920","182280"," du sang."
"184460","186100"," Et donc il y aura un défaut d "
"186100","191720","'excrétion biliaire du cuivre avec une accumulation hépatique"
"191720","194300"," et un relargage avec un dépôt de ce"
"194300","196760"," cuivre au niveau du cerveau, au niveau des"
"196760","199260"," noyaux gris centraux, au niveau de la cornée,"
"199780","201800"," au niveau des globules rouges et au niveau"
"201800","202200"," des reins."
"202800","205000"," Et nous enverrons tout de suite les conséquences. "
"208810","211750"," Le diagnostic de la maladie de Wilson repose"
"211750","213630"," sur un nombre d'arguments."
"214290","218090"," Cliniques, biologiques mais également génétiques."
"221850","224450"," L'atteinte hépatique est de spectre variable. "
"225410","228550"," Parfois asymptomatique, elle peut prendre l'aspect d "
"228550","231950","'une hépatite aiguë et être révélée par un"
"231950","235210"," tableau d'insuffisance hépatocellulaire parfois sévère."
"236270","240350"," Parfois encore, c'est une forme chronique, une"
"240350","244750"," cirrhose voire même une cirrhose décompensée qui peut"
"244750","246270"," révéler une maladie de Wilson."
"247410","251550"," Un autre mode de révélation est parfois retrouvé. "
"252070","254790"," C'est un tableau d'hémolyse sévère avec"
"254790","257110"," un ictère majeur et un test de Combs"
"257110","259110"," négatif qui peut être retrouvé."
"259110","262770"," Dans ce cas-là, les transaminases peuvent être"
"262770","265970"," peu élevées mais le TP est généralement très"
"265970","266170"," bas."
"268830","272410"," L'atteinte neurologique mérite être mentionnée car souvent"
"272410","275090"," les neurologues adressent ces patients au service des"
"275090","275410"," pathologies. "
"276890","278870"," Ce sont des enfants chez qui on remarque"
"278870","282090"," une baisse du rendement scolaire avec une micrographie,"
"282390","283230"," c'est une petite écriture."
"283230","287530"," On peut noter également un syndrome extrapyramidal avec"
"287530","291270"," des tremblements au repos, une akinésie qui est"
"291270","293110"," comme vous le savez une raréfaction de l "
"293110","296970","'activité motrice, une difficulté à l'initiation du"
"296970","300110"," mouvement et une hypertenue avec une rigidité."
"301190","305050"," On peut remarquer également une dysarthrie, un trouble"
"305050","310550"," d'élocution et parfois une simple dépression peut"
"310550","313070"," être révélatrice d'une maladie de Wilson. "
"317700","320860"," D'autres anomalies peuvent être révélatrices, secondaire au"
"320860","324920"," dépôt du cuivre, l'ébolisse importante dont j "
"324920","327240","'ai parlé tout à l'heure, des douleurs"
"327240","329720"," articulaires ou bien ce qu'on appelle un"
"329720","332440"," anneau de Keeser-Fleischer qui est secondaire à"
"332440","333980"," un dépôt de cuivre au niveau de la"
"333980","335820"," cornée et qu'on va voir tout de"
"335820","336040"," suite."
"338320","341540"," Ceci est un anneau de Keeser-Fleischer qui"
"341540","344160"," est un anneau verdâtre que vous voyez bien"
"344160","346680"," ici qui est caractéristique du dépôt de cuivre."
"348360","350160"," Donc à chaque fois qu'on est face"
"350160","352120"," à un enfant ou un patient chez qui"
"352120","354500"," on suspect une maladie de Wilson, on demande"
"354500","359100"," systématiquement un examen ophtalmologique à la recherche de"
"359100","359580"," cet anneau. "
"361500","365260"," Enfin biologiquement, il faudra toujours rechercher la triade"
"365260","371500"," céruloplasmine basse, cuprémie basse et cuprurie élevée."
"376090","379450"," Les tests génétiques ne sont pas systématiques, mais"
"379450","381610"," ils ont un intérêt majeur dans les dépistages"
"381610","385650"," dans la fratrie pour détecter les cas présymptomatiques"
"385650","387890"," et initier un diagnostic précoce."
"391650","394430"," Le traitement de la maladie de Wilson repose,"
"394890","396930"," un, sur la diminution des apports en substances"
"396930","401070"," riches en cuivre, le chocolat, les champignons, etc.,"
