"start","end","text"
"780","2900"," Les parasitoses digestives."
"15760","19220"," Les parasitoses digestives constituent un véritable problème de"
"19220","20000"," santé publique."
"21640","23680"," Elles sont associées à un défaut d'hygiène"
"23680","26680"," et avec l'avènement de la pandémie du"
"26680","28760"," sida, il y a eu l'émergence de"
"28760","29640"," nouveaux pathogènes. "
"30660","34660"," La symptomatologie est variable selon le parasite, le"
"34660","37800"," diagnostic positif n'est pas toujours facile et"
"37800","41680"," la prévention repose sur l'éducation sanitaire et"
"41680","43120"," sur l'amélioration de l'hygiène."
"159920","162220"," Il existe différents types de parasites."
"163620","166340"," Les protozoaires sont des êtres unicellulaires doués de"
"166340","166840"," mouvements. "
"167980","169160"," C'est le cas de l'amybiase et"
"169160","169920"," de la gerdiase."
"170660","172620"," Les helminthes sont pluricellulaires."
"173720","176320"," C'est le cas des nématodoses, l'oxyurose,"
"176440","178440"," l'ascaridiose et les tricocéphaloses. "
"179420","181720"," C'est le cas des prématodoses et des"
"181720","182420"," cestédoses."
"183500","186800"," On appelle une zoonose un parasite adulte retrouvé"
"186800","189160"," chez l'adulte et chez un ou plusieurs"
"189160","189680"," animaux."
"202560","204840"," La vie du parasite peut être rythmée par"
"204840","205960"," un cycle évolutif. "
"207160","209240"," Un parasite peut habiter un hôte."
"210460","213240"," Cet hôte peut être intermédiaire, la forme larvaire"
"213240","215820"," y vit alors jusqu'à sa maturation ou"
"215820","219020"," bien définitif, quand il représente le gîte des"
"219020","223300"," formes sexuées, et il est le gîte et"
"223300","224400"," le lieu de leur reproduction."
"225500","227580"," Un parasite peut avoir un ou plusieurs hôtes"
"227580","230780"," définitifs, fonction de sa capacité d'adaptation. "
"235410","237430"," On décrit trois types de cycles."
"283650","285690"," Ici, c'est un cycle direct et court."
"286570","288230"," C'est le cas de l'amybiase entamée"
"288230","292110"," par histolytica, avec diffusion qui est dominée par"
"292110","293110"," le péril fécal. "
"294050","298170"," Entamée par histolytica, histolytica est ingérée sous forme"
"298170","298750"," de gîte."
"299830","303390"," Elle va se transformer en trophozoïde mobile avec"
"303390","306650"," pseudopode dans le tube digestif, adhérée à la"
"306650","307350"," paroi colique."
"308390","311230"," Elle va excréter des enzymes protéolytiques responsables d "
"311230","315270","'ulcérations, des plages de nécrose, responsables de la"
"315270","316910"," fameuse diarrhée éclairosanglante. "
"317490","320050"," Les amybes vont diffuser dans la sous-muqueuse."
"367690","370590"," Deuxième type de cycle, c'est le cycle"
"370590","371390"," direct et long."
"372750","374530"," Le parasite est émis dans les selles sous"
"374530","376710"," forme de kystes ou de larves, ou d "
"376710","377410","'œufs. "
"377450","379290"," Il n'y a pas d'hôtes intermédiaires."
"379850","381910"," La maturation se fait dans le milieu extérieur,"
"382250","384390"," et la transmission peut se faire par voie"
"384390","385530"," orale ou transcutanée."
"386090","387870"," C'est l'exemple de l'ascaris et"
"387870","388830"," des trichocéphales. "
"407360","409860"," L'ascaridiose a un cycle complexe."
"410740","412920"," Les œufs résistants peuvent vivre un mois au"
"412920","413620"," milieu extérieur."
"414460","416500"," Après contamination par l'eau ou les aliments"
"416500","419260"," soudiés, l'œuf absorbé libère une larve dans"
"419260","422600"," l'estomac, qui traverse la paroi digestive, qui"
"422600","425580"," emprunte le système veineux mésenterique supérieur, puis gagne"
"425580","428260"," le foin, gagne le cœur et les capillaires"
"428260","431320"," pulmonaires, et qui peut passer par effraction, du"
"431320","433020"," milieu sanguin au milieu aérien. "
"434920","436920"," Elle peut passer dans la trachée, puis dans"
"436920","438780"," l'œsophage, puis dans l'intestin grêle."
"473990","476230"," Le cycle est dit indirect quand le parasite"
"476230","478150"," a un ou plusieurs hôtes intermédiaires avant de"
"478150","478970"," devenir infestant."
"479570","482650"," La contamination humaine se fait alors soit par"
"482650","485150"," consommation de l'hôte intermédiaire, comme c'est"
"485150","487130"," le cas pour le tenias aginata et le"
"487130","489490"," tenias solium, ou l'hôte intermédiaire et le"
"489490","493010"," bœuf et le porc, soit par pénétration transcutanée,"
"493290","494650"," comme c'est le cas de la bilarziose. "
"502650","505350"," Au cours de ce cycle indirect, comme c "
"505350","507150","'est le cas de la schistosomiase, la présence"
"507150","510350"," d'un mollusque hôte intermédiaire est obligatoire."
"511110","516530"," Les femelles embolisées dans les plexus veineux hépatiques"
"516530","518970"," et mésenteriques vont pondre des œufs."
"519110","520570"," Une partie de ces œufs va gagner l "
"520570","523490","'intestin, puis les scelles, va aller dans l "
"523490","525670","'eau et ces œufs vont se transformer en"
"525670","529890"," myracidum et pénétrer dans le mollusque spécifique où"
"529890","532030"," ces myracidum vont subir la maturation. "
"571500","573920"," Cette forme infestante va remonter à la surface"
"573920","575920"," de l'eau et rechercher le contact avec"
"575920","576620"," la peau de l'homme."
"577380","579500"," Elle passera dans la circulation veineuse, puis le"
"579500","581400"," cœur droit, puis le poumon, puis les veines"
"581400","584160"," portes intrahépatiques, où il y aura maturation."
"585040","587800"," Le couple formé gagnera à contre-courant et"
"587800","588360"," fécondera. "
"588600","591420"," Les œufs bloqués dans le tissu interstitiel formeront"
"591420","593960"," le granulum et seront responsables de la fibrose"
"593960","597100"," hépatique et de la fameuse cirrhose bilarzienne."
"614380","617000"," Vous voyez sur ce schéma un parfait résumé"
"617000","619320"," de ce cycle où l'enfant joue dans"
"619320","622000"," l'eau, où l'eau intermédiaire est nécessaire,"
"622660","627220"," où le myracidum est la forme infestante qui"
"627220","629120"," sera responsable de cette contamination."
"632520","635560"," Pour l'étude du chapitre des parasites digestifs,"
"636340","639140"," je prendrai comme titre de description l'amibiase"
"639140","640140"," intestinale. "
"646110","649130"," Après une incubation silencieuse de quelques jours à"
"649130","653270"," quelques mois, peut survenir la dysenterie amibienne."
"653990","657050"," Typique mais peu fréquente, elle se manifeste par"
"657050","658150"," des épreintes."
"658450","660410"," Ce sont des douleurs du cadre colique se"
"660410","662390"," terminant par une envie apérieuse d'aller à"
"662390","665770"," la selle, des ténèsmes ou des contractures douloureuses"
"665770","668170"," du sphincter anal s'accompagnant de faux besoins,"
"668170","672010"," des diarrhées affécales allant de 5 jusqu'à"
"672010","674130"," 20 selles par jour avec glaire et pus,"
"674930","676190"," c'est ce qu'on appelle les crachats"
"676190","678710"," rectaux avec douleur abdominale. "
"690530","692690"," A l'examen, l'état général est conservé"
"692690","693410"," sans fièvre."
"693770","695350"," Le cadre colique est douloureux."
"695870","697550"," Le toucher rectal est souvent normal. "
"698730","700250"," Il faut savoir qu'il existe des formes"
"700250","704070"," frustes où les manifestations cliniques se résument à"
"704070","705550"," quelques crachats rectaux."
"710260","713020"," Lorsqu'on suspecte une amibiase intestinale, le premier"
"713020","715680"," examen à réaliser est un examen parasitologique des"
"715680","716000"," selles."
"717400","719460"," Il est fait sur des selles fraîchement émises,"
"719840","722080"," répétées à trois reprises à 48 heures d "
"722080","722660","'intervalle. "
"723480","726440"," L'examen direct recherche les formes végétatives d "
"726440","728320","'antaméba histolystica histolytica."
"728900","730920"," La PCR ou les visas ne sont pas"
"730920","732320"," réalisés dans la pratique courante."
"736020","740360"," La rectoscopie trouvera une muqueuse inflammatoire, parfois hémorragique,"
"740480","742240"," avec des lésions au coup d'ongles, plus"
"742240","743300"," ou moins confluentes. "
"744220","747200"," Un écouvillonnage de la glaire sera fait pour"
"747200","749580"," rechercher des formes végétatives."
"750300","752700"," Les biopsies rechercheront les amibes au sein des"
"752700","756100"," ulcérations, sinon des micro-abcès riches en polyglanothrophile."
"757380","758940"," Et étant donné les signes cliniques dont on"
"758940","762440"," a parlé, il faudra réaliser une coloscopie pour"
"762440","765460"," éliminer un cancer, bien sûr, et pour apprécier"
"765460","767040"," l'extension des lésions. "
"778600","781020"," D'autres examens peuvent être utiles, notamment les"
"781020","784600"," sérologies, le dosage des anticorps par immunofluorescence indirecte,"
"785460","786740"," émalutination et visa."
"788440","791620"," Habituellement négative dans la dysentrie amibienne, elle peut"
"791620","794940"," être positive au cours des amébobes, de l "
