"start","end","text"
"1140","5280"," L'occlusion intestinale aiguë est une urgence médico "
"5280","6140","-chirurgicale."
"9370","12310"," On rappelle que l'occlusion peut être haute"
"12310","17350"," lorsqu'elle intéresse l'intestin grêle, le jejunum,"
"18090","20310"," mais aussi l'illium."
"21150","25750"," Elle est dite basse lorsqu'elle intéresse le"
"25750","28410"," colon, lorsque l'obstacle siège soit au niveau"
"28410","30970"," du sécum, du colon ascendant, l'ongle colique,"
"31110","33350"," le transverse ou bien l'ongle colique gauche,"
"34210","35990"," ou voire même au niveau du rectum. "
"38290","41410"," La sémiologie est très importante à rappeler."
"41930","45610"," Une occlusion basse est caractérisée par une distanciation"
"45610","47430"," abdominale très importante."
"48470","50690"," La douleur est moins importante. "
"50690","54370"," Quant à l'arrêt des matières et des"
"54370","55790"," gaz, il est tardif."
"56390","60810"," Au contraire, l'occlusion intestinale haute est caractérisée"
"60810","62910"," par un arrêt des matières et des gaz"
"62910","64470"," tardifs."
"65650","71130"," Alors, les vomissements sont alimentaires et la douleur"
"71130","71610"," est très importante. "
"72750","74550"," Comme introduction, on va dire que l'occlusion"
"74550","77310"," intestinale aiguë, c'est l'arrêt complet des"
"77310","78990"," matières et surtout des gaz."
"80510","82630"," Les éthiologies sont très variées."
"83270","85550"," Les plus fréquentes au niveau du grêle, ce"
"85550","87830"," sont les brides et les adhérences. "
"88690","92270"," Quant à l'éthiologie la plus fréquemment rencontrée"
"92270","95270"," au niveau du colon, ce sont essentiellement les"
"95270","95830"," tumeurs."
"96070","98590"," Malheureusement, les tumeurs du colon, les cancers du"
"98590","101450"," colon sont diagnostiqués à un stade tardif, au"
"101450","103790"," stade d'occlusion intestinale aiguë."
"103790","107190"," L'occlusion, qu'elle soit d'origine haute"
"107190","112550"," ou basse, a des répercussions générales très importantes. "
"112910","116670"," Et on va voir que la physiopathologie est"
"116670","118450"," très importante à connaître parce qu'il ne"
"118450","121630"," s'agit pas de traiter uniquement l'éthiologie,"
"122010","125070"," mais la mise en condition et le traitement"
"125070","127789"," médical est très important."
"127789","132750"," Le pronostic est variable selon l'éthiologie de"
"132750","133430"," l'occlusion."
"134170","137130"," Autant il peut être bon quand il s "
"137130","140430","'agit d'une bride qui enrègle son problème,"
"140990","143570"," alors que le pronostic peut être mauvais lorsqu "
"143570","146570","'il s'agit d'un cancer très évolué"
"146570","149410"," diagnostiqué au stade d'occlusion. "
"152360","155880"," Les mécanismes de l'occlusion intestinale aiguë peuvent"
"155880","157500"," être de type mécanique."
"158460","161520"," Une obstruction, une strangulation comme c'est le"
"161520","163740"," cas dans l'ernie."
"166080","169220"," Toute ernie peut se compliquer d'une occlusion"
"169220","173260"," intestinale aiguë lorsque le contenu intestinal n'est"
"173260","174280"," plus réductible. "
"175120","176660"," C'est une urgence, c'est une extrême"
"176660","179460"," urgence parce que c'est une course contre"
"179460","182620"," la montre pour sauver l'intestin de la"
"182620","185780"," nécrose et de la perforation."
"185780","188520"," Donc, mécanisme de la strangulation."
"189320","194900"," Les adhérences et les brides se voient essentiellement"
"194900","197160"," dans l'abdomen cicatriciel. "
"197340","201740"," Quand le patient a déjà été opéré, tout"
"201740","205780"," stress chirurgical expose le patient le restant de"
