"start","end","text"
"1420","3460"," Bonjour chers étudiants, le cours d'aujourd'hui"
"3460","7160"," c'est la tuberculose pulmonaire commune."
"11340","14720"," Les objectifs pédagogiques de ce cours, tout d "
"14720","20360","'abord définir la tuberculose pulmonaire commune, décrire les"
"20360","25700"," aspects radiologiques de la tuberculose pulmonaire commune, établir"
"25700","29660"," le diagnostic de la tuberculose pulmonaire commune, énumérer"
"29660","34580"," les principaux diagnostics différentiels, et connaître l'évolution"
"34580","38560"," de la tuberculose pulmonaire, soit spontanée, soit sous"
"38560","39100"," traitement."
"41960","47420"," Le plan du cours comporte des généralités, une"
"47420","54660"," étude clinique, les principaux diagnostics différentiels, le traitement"
"54660","57100"," curatif et préventif. "
"63800","67060"," Généralités, définissons tout d'abord ce que est"
"67060","69060"," la tuberculose pulmonaire commune."
"69520","74160"," La tuberculose pulmonaire commune comprend toutes les manifestations"
"74160","76900"," dès laquelle elles sont par enchaînateurs de la"
"76900","81080"," tuberculose en dehors de la primo-infection tuberculeuse"
"81660","85540"," et certaines formes aiguës particulières de la tuberculose,"
"85540","90180"," comme la pneumonie casieuse, la bronchopneumonie ou la"
"90180","93540"," physicalopente, et la mylière tuberculeuse."
"98020","103480"," Sur le plan éthiopathylogenique, la tuberculose pulmonaire est"
"103480","109600"," une tuberculose de réinfection, soit par voie endogène,"
"110000","113760"," par réactivation précoce ou tardive des foyers de"
"113760","118720"," primo-infection ou de foyers secondaires véhiculés par"
"118720","122060"," voie sanguine lors de la primo-infection tuberculeuse"
"122760","126560"," ou par voie exogène à la suite d "
"126560","129300","'une recontamination par un cracheur de PECA. "
"130200","134540"," La tuberculose pulmonaire commune touche tous les âges"
"134540","137880"," avec une nette prédominance chez les sujets jeunes"
"137880","141460"," actifs, sujets jeunes entre 20 à 40 ans."
"147250","152390"," Aussi seconde l'étude clinique, la tuberculose pulmonaire"
"152390","156850"," commune est caractérisée par son polymorphisme clinique et"
"156850","157570"," radiologique."
"158130","161150"," Il n'y a pas de paralyses étroites"
"161150","164030"," entre ces deux entités cliniques et radiologiques. "
"165310","168230"," La tuberculose pulmonaire commune est caractérisée par la"
"168230","171830"," présence presque constante du PECA dans les sucrations"
"171830","175890"," bronchiques et par l'efficacité d'un traitement"
"175890","179850"," anti-tuberculeux précoce et bien conduit."
"186100","189620"," En ce qui concerne les modes de réveillation,"
"190780","193000"," le début soit peut-être progressif dans le"
"193000","197320"," succès plus souvent, le début de pneumopathie aiguë"
"197320","202600"," peut être révélé par un accident révélateur ou"
"202600","207200"," découverte systématique par un bilan radiologique ou une"
"207200","211980"," enquête de dépistage familial ou professionnel."
"214680","218660"," Pour le début progressif et le plus fréquent,"
"219180","222880"," il comporte des signes respiratoires, une toux, une"
"222880","226560"," expiration, des hémoptysies et rarement de douleurs thoraciques. "
"226560","229040"," Mais ce surtout qui attire l'attention, c "
"229040","232380","'est les signes généraux, l'astémie, l'anorexie,"
"232820","236840"," l'amégrissement, la sensation fibrille, les sueurs nocturnes."
"237120","240460"," Chez la femme, en activité génitale, c'est"
"240460","243040"," un peu responsable, les signes généraux peuvent être"
"243040","243760"," améliorés."
"244740","247340"," L'examen clinique, il va mettre en évidence"
"247340","249560"," alterations générales. "
"253580","256899"," Pour ce qui est du début aigu, il"
"256899","260579"," réalise le tableau de pneumopathie aiguë, un syndrome"
"260579","263320"," fébrile à 40 degrés, des pointes de côté,"
"263480","264220"," des frissons."
"265940","270160"," L'interrogatoire minutieux révèle souvent des signes généraux"
"270160","273260"," et des signes fonctionnels qui passent inaperçus."
"274140","277880"," L'échec d'une antibiotérapie non spécifique vis "
"277880","280960","-à-vis un genre banal est un argument"
"280960","281880"," supplémentaire. "
"281900","284640"," En faveur de la tuberculose, c'est-à "
"284640","287840","-dire que vous avez une pneumopathie aiguë non"
"287840","292020"," améliorée par une antibiotérapie bien conduite, il faut"
"292020","295720"," évoquer le diagnostic de la tuberculose."
"303490","308090"," Également, la tuberculose pulmonaire peut être révélée par"
"308090","310680"," des accidents comme l'hémoptysie."
"311670","314250"," Il faut rappeler que parmi les étiologies des"
"314250","316640"," hémoptysies, c'est la tuberculose. "
"317310","321550"," Cette hémoptysie est d'abondance variable et se"
"321550","324130"," voit accompagnée par des autres signes de la"
"324130","326270"," maladie, c'est-à-dire des signes respiratoires"
"326270","327530"," ou des signes généraux."
"327890","330930"," Également, un pur pneumothorax par rapport à la"
"330930","333190"," rupture d'une caverne tuberculose dans la plèbe."
"334350","338030"," Autre, on aura également l'héringite ou une"
"338030","338870"," pleurysie. "
"345130","349670"," Également, la tuberculose pulmonaire peut être de découverte"
"349670","355250"," systématique, dépistage familial autour d'un cas index,"
"355970","359370"," dépistage systématique dans la collectivité, au cas d "
"359370","362530","'un bilan général, le diabète ou une colocalisation"
"362530","365210"," tuberculose, vous avez une tuberculose osseuse ou une"
"365210","368930"," tuberculose cutanée, ou vous faites une radiographie thoracique"
"368930","371470"," à la recherche de tuberculose pulmonaire commune."
"371470","376150"," L'interrogatoire permet souvent de retrouver des signes"
"376150","380330"," fonctionnels et des signes généraux sous-mentionnés et"
"380330","383470"," qui passent à un aperçu par le malade"
"383470","385550"," ou sont négligés par le malade."
"387750","391370"," Pour ce qui est du diagnostic positif, il"
"391370","394290"," y a des éléments d'orientation et des"
"394290","396610"," éléments de confirmation du diagnostic. "
"396610","399930"," Les éléments d'orientation, c'est l'interrogatoire,"
"400790","403050"," c'est l'examen clinique, c'est l "
"403050","406450","'imagerie thoracique, c'est la biologie, c'est"
"406450","409190"," l'intradermoriaque sur la tuberculine et les tests"
"409190","410910"," de libération de l'interferon."
"411010","413090"," Ce sont des éléments d'orientation."
"413630","416970"," Les éléments de confirmation, c'est bactériologique et"
"416970","417690"," oestologique. "
"420270","424870"," Les arguments d'orientation de l'interrogatoire, il"
"424870","429110"," faut rechercher la notion de comptage tuberculorescent, il"
"429110","431770"," faut rechercher la notion de vaccination par le"
"431770","436910"," BCG, le caractère progressif d'installation de la"
"436910","437350"," maladie."
"437930","439930"," Il faut rechercher des éléments dans l'interrogatoire"
"439930","445610"," personnel, des antécédents de tuberculose maltraitée également."
"447070","451190"," Utiliser des documents antérieurs, récupérer des documents antérieurs,"
"451310","453610"," des clichés ou des examens bactériologiques. "
"459040","461520"," L'examen clinique, on recherche à quoi ?"
"461520","462240"," L'état général."
"462600","463900"," On voit que l'état général est plus"
"463900","467520"," ou moins altéré en fonction de l'importance"
"467520","469640"," des lésions et la durée d'évolution de"
"469640","470280"," la maladie."
"471980","474460"," Lorsqu'on a des lésions minimes, l'examen"
"474460","477800"," de l'appareil respiratoire sera normal, mais on"
"477800","480780"," peut avoir un syndrome de condensation ou un"
"480780","481460"," syndrome cavitaire. "
"482500","488400"," Sans oublier l'examen des autres appareils, rechercher"
"488400","494240"," un autre foyau tuberculeux, conglionnaire, génital, osteoarticulaire, et"
