"start","end","text"
"640","3640"," Bonjour tout le monde, le cours d'aujourd "
"3640","6400","'hui traitera le syndrome de la queue de"
"6400","6880"," cheval."
"9860","12220"," Le syndrome de la queue de cheval se"
"12220","15420"," définit quand l'ensemble des manifestations cliniques secondaires"
"15420","18260"," à une compression des racines de la queue"
"18260","19920"," de cheval, c'est-à-dire l'ensemble"
"19920","25000"," des racines nerveuses qui se projettent dans l "
"25000","27420","'espace compris entre la deuxième vertèbre lombaire et"
"27420","29020"," la cinquième vertèbre sacre."
"29020","33420"," Comme la compression midulaire, le syndrome de la"
"33420","37300"," queue de cheval peut avoir de nombreuses idéologies. "
"37320","41420"," Son diagnostic est clinique, comme le syndrome de"
"41420","42440"," la compression midulaire."
"42660","45680"," L'imagerie trouve son intérêt dans la mise"
"45680","49100"," en évidence de la cause responsable de ce"
"49100","50320"," syndrome de la queue de cheval."
"50320","53820"," C'est une pathologie grave comme la compression"
"53820","56140"," midulaire parce qu'elle expose un risque de"
"56140","59180"," troubles neurologiques qui peuvent être irrécupérables. "
"59360","62520"," De ce fait, le syndrome de la queue"
"62520","67180"," de cheval constitue une urgence non plus thérapeutique"
"67180","69320"," mais aussi diagnostique."
"75420","79420"," Comme rappel anatomique, nous avons la moelle épinière"
"79420","82880"," qui est contenue dans le canal rachidien."
"83140","85480"," Elle commence au niveau de la première vertèbre"
"85480","87900"," cervicale et s'arrête en regard de l "
"87900","89360","'espace L1 et L2. "
"89940","91840"," Tout ce qui vient après, ce sont les"
"91840","93060"," racines de la queue de cheval."
"93180","95160"," Les racines de la queue de cheval sont"
"95160","98620"," situées dans l'espace compris entre la deuxième"
"98620","101980"," vertèbre lombaire et la cinquième vertèbre sacrée."
"104890","109770"," Toujours dans ce chapitre de rappel anatomique, voici"
"109770","113550"," quelques repères cliniques des racines lombaires et sacrées. "
"113730","118210"," La première racine nerveuse L1 gère la motricité"
"118210","122310"," du psoas et des muscles addicteurs de la"
"122310","122650"," cuisse."
"123490","127770"," La troisième et la quatrième racines nerveuses lombaires"
"127770","132270"," interviennent dans la motricité des muscles quadriceps."
"132270","137310"," La quatrième et la cinquième racines nerveuses lombaires"
"137310","141470"," gèrent la motricité de la loge antérieure et"
"141470","143170"," antéroexterne de la jambe. "
"143910","147730"," Un autre élément, c'est que cette quatrième"
"147730","153190"," racine nerveuse lombaire est sous la dépendance du"
"153190","154430"," réflexe rotilien."
"154890","159270"," La première racine nerveuse sacrée est gérée par"
"159270","161070"," le réflexe achilien."
"162070","168530"," Cette première racine nerveuse sacrée gère la motricité"
"168530","173210"," de la loge antéropostérieure de la jambe. "
"174050","180050"," La deuxième et la quatrième racines nerveuses sacrées"
"180050","183770"," interviennent dans les phénomènes de miction et de"
"183770","184750"," défecation."
"189180","194200"," Comment va se manifester cliniquement le syndrome de"
"194200","194980"," la côte chevale?"
"195820","198840"," Sur le plan clinique, il faudra retenir que"
"198840","201700"," ce syndrome, c'est un syndrome nerveux périphérique."
"202580","205580"," Il n'est pas central comme c'est"
"205580","207480"," le cas pour le syndrome de la compression"
"207480","208160"," midi-lèvre. "
