"start","end","text"
"4550","7770"," Bonjour à tous, aujourd'hui nous allons entamer"
"7770","10510"," le cours de quatrième année médecine concernant les"
"10510","11190"," hydrocéphalies."
"11830","17030"," Nous verrons dans ce cours les hydrocéphalies communes"
"17030","19850"," de l'enfant ainsi que les hydrocéphalies chroniques"
"19850","20790"," de l'adulte."
"22150","24270"," Nous voyons sur cette image l'aspect d "
"24270","29270","'un enfant qui a eu une hydrocéphalie très"
"29270","29870"," importante. "
"29870","34010"," C'est une forme historique avec un volume"
"34010","42450"," crânien extrêmement élevé et qui se fait par"
"42450","45630"," une augmentation du liquide cephalorachidia au dépend des"
"45630","49750"," structures parenchymateuses qui sont complètement laminées, détruites."
"50570","52070"," Donc le but de ce cours c'est"
"52070","54190"," d'éviter d'arriver à ce genre d "
"54190","58030","'extrême par le diagnostic précoce de cette pathologie"
"58030","62270"," afin de procurer aux patients, jeunes enfants ou"
"62270","64510"," adultes, le traitement adéquat pour ne plus voir"
"64510","67030"," ce genre de catastrophes médicales."
"70710","72150"," En vis-à-vis de l'introduction, nous"
"72150","74950"," allons définir l'hydrocéphalie comme étant un trouble"
"74950","78670"," de la formation, de l'écoulement ou de"
"78670","84130"," la résorption du liquide cephalorachidia ou liquide cérébrospinal,"
"84130","87790"," qui est à l'origine de l'augmentation"
"87790","91190"," du volume occupé par ce liquide dans le"
"91190","92390"," système nerveux central. "
"94720","96860"," C'est un trouble de l'hydrodynamique du"
"96860","100700"," liquide cephalorachidia ayant comme conséquence d'abord une"
"100700","104780"," distension active des ventricules cérébraux qui est liée"
"104780","106940"," à un excès de LCR et ensuite à"
"106940","110080"," un risque de décompensation majeure avec l'installation"
"110080","111800"," d'une hypertension intracrânienne."
"112320","114420"," C'est une pathologie qui est fréquente à"
"114420","115600"," la fois chez l'enfant et chez l "
"115600","118800","'adulte, qui peut avoir différentes étiologies comme nous"
"118800","119340"," allons le voir."
"120560","123400"," Ça peut être dû à une pathologie malformative,"
"123840","127919"," tumorale, traumatique ou infectieuse. "
"129860","132360"," L'intérêt de cette question, c'est que"
"132360","134460"," ça se produit sur un cerveau en croissance"
"134460","138620"," et mettant en jeu le pronostic fonctionnel, qu "
"138620","141900","'il soit visuel, pouvant atteindre la cécité, ou"
"141900","146380"," intellectuel avec un retard psychomoteur majeur, voire pronostic"
"146380","149820"," vital par la destruction du paranchyme, qui à"
"149820","151780"," un moment donné devient incompatible avec la vie."
"154360","158860"," En guise d'épidémiologie, dans la population générale,"
"158980","160460"," l'incidence réelle n'est pas connue de"
"160460","160880"," manière précise."
"160880","163860"," En France, nous savons qu'il y a"
"163860","168680"," environ 3500 valves de dérivation ventriculopéritoniale qui sont"
"168680","172880"," utilisées chaque année, avec 600 à 800 nouveaux"
"172880","173980"," malades pédiatriques traités. "
"174780","179280"," Aux Etats-Unis, nous dénombrons 3 hydrocéphalies pour"
"179280","183040"," 1000 naissances et la fréquence des hydrocéphalies acquises"
"183040","183680"," est inconnue."
"185400","186620"," En tout cas, il y a plus de"
"186620","190420"," 100 000 valves de dérivation ventriculopéritoniale chaque année"
"190420","192640"," qui sont posées dans les pays développés."
"192880","195060"," Pour avoir une idée de l'incidence de"
"195060","195700"," cette pathologie. "
"197760","201600"," Concernant la physiologie du liquide cérébrospinal ou liquide"
"201600","205720"," sphalorachédia, le volume total chez le nourrisson est"
"205720","208600"," de 40 à 60 millilitres, chez l'enfant"
"208600","210460"," il est de 60 à 80, chez l "
"210460","212420","'adolescent de 80 à 120 et chez l "
"212420","215540","'adulte de 120 à 150 millilitres, qui se"
"215540","218060"," repartissent de la manière suivante, 30 millilitres dans"
"218060","220880"," les ventricules latéraux, 5 millilitres au niveau du"
"220880","222940"," troisième ventricule et de l'acduque de silvius,"
"223600","226960"," 25 millilitres dans les espaces sous-arachnoïdien et"
"226960","230420"," les citernes, et 75 millilitres dans les espaces"
"230420","231580"," sous-arachnoïdien spinaux."
"231580","236480"," A l'origine, le liquide sphalorachédia est sécrété"
"236480","240440"," par les plexus choroïdes dans 30% des"
"240440","243660"," cas, par le revêtement épandimère des ventricules dans"
"243660","246320"," 30% des cas, dans les espaces sous "
"246320","250240","-arachnoïdien intracrânien dans 20% des cas, et"
"250240","252200"," dans les espaces sous-arachnoïdien spinaux dans 20 "
"252200","252800","% des cas."
"253480","255519"," La production est réalisée à partir du plasma"
"255519","258740"," selon un mécanisme actif de filtration. "
"259839","264640"," Le débit du LCR est de 500 millilitres"
"264640","267700"," par jour chez l'adulte, avec chez l "
"267700","271460","'enfant presque autant, et donc le liquide est"
"271460","273440"," renouvelé 3 à 4 fois par jour."
"276940","281340"," Le liquide sphalorachédia va circuler des ventricules latéraux"
"281340","285800"," dans le troisième ventricule à travers les foramelles"
"285800","289620"," interventriculaires de Monroe, puis du troisième ventricule vers"
"289620","292680"," le quatrième ventricule par l'acduque du mesencephale"
"292680","293900"," ou acduque de Silvius."
"294920","296980"," Par la suite, le liquide sphalorachédia va sortir"
"296980","298780"," du V4 par les trous de Magendie et"
"298780","299260"," de Luschka. "
"299840","302420"," Il circule ensuite dans les espaces sous-arachnoïdiens"
"302420","305400"," péricérébraux et périmédulaires."
"316940","320100"," A noter que l'absorption se fait principalement"
"320100","323420"," au niveau des vilosités arachnoïdiennes dans 40%"
"323420","326340"," des cas, qui sont invaginées dans le sinus"
"326340","329520"," veineux diurmérien, qu'on appelle les granulations de"
"329520","329920"," Pacchioni."
"330480","332020"," Donc le liquide, une fois qu'il a"
"332020","335300"," circulé autour du cerveau, va se résorber principalement"
"335300","338720"," dans les granulations de Pacchioni, qui sont des"
"338720","341880"," vilosités d'arachnoïdes, qui s'invaginent dans les"
"341880","344460"," sinus diurmériens et par un gradient de pression,"
"344700","347100"," va passer dans la circulation veineuse. "
"348020","351780"," Les autres sites de réabsorption, ce sont les"
"351780","354780"," leptoménages des espaces sous-arachnoïdiens, les plexus choroïdes,"
"355520","358000"," les cellules épandimères des ventricules, ainsi que les"
"358000","359880"," gaines des nerfs crâniens et des nerfs rachidiens."
"361720","364600"," L'hydrocéphalie est une distension progressive des cavités"
"364600","368440"," ventriculaires qui est provoquée par une anomalie, soit"
"368440","371080"," de la production du liquide sphalorachédia, qui va"
"371080","375020"," être en excédent, soit un trouble de sa"
"375020","377300"," circulation et un blocage quelque part, et donc"
"377300","379180"," le liquide sphalorachédia ne peut pas arriver au"
"379180","381960"," niveau des sites de résorption, ou bien des"
"381960","382880"," troubles de sa résorption."
"383180","385180"," Ça veut dire que le liquide est produit"
"385180","389680"," de manière normale, qui circule normalement, mais arrivé"
"389680","392260"," sur les sites de résorption, ceux-ci sont"
"392260","397960"," bloqués pour une raison inflammatoire ou autre, et"
"397960","399440"," donc le liquide ne va pas pouvoir être"
"399440","399880"," résorbé. "
"399880","405620"," Il se fera donc un excédent entre la"
"405620","408300"," production et la résorption."
"411060","414040"," Les mécanismes de l'hydrocéphalie sont liés à"
"414040","415200"," une rupture de cet équilibre."
"415940","417460"," Soit il y a un excès de production"
"417460","421580"," au niveau des plexus choroïdes, dans certains cas"
"421580","424220"," de tumeurs comme les papillomes des plexus choroïdes,"
"425220","426400"," ou bien il y a un obstacle sur"
"426400","430700"," la circulation du liquide sphalorachédia au niveau des"
"430700","432120"," foraments interventriculaires. "
"432760","438540"," Il peut y avoir une hydrocéphalie univentriculaire ou"
"438540","441440"," biventriculaire si elle touche un ventricule latéral ou"
"441440","442720"," deux ventricules latéraux."
"443300","444520"," C'est le cas d'une tumeur qui"
"444520","447580"," va combler le troisième ventricule, et donc en"
"447580","452480"," amont, les ventricules latéraux vont être dilatés."
"454040","457340"," Cela peut être un obstacle au niveau de"
"457340","458800"," l'actuque du mesencephale. "
"459280","461760"," On aura une hydrocéphalie triventriculaire."
"462400","464120"," C'est le cas de la sphénose congénitale"
"464120","466040"," de l'actuque de Sylvius."
"467480","469240"," Et puis, au niveau des trous de Magendie"
"469240","470800"," et Luschka, s'il y a un blocage"
"470800","473360"," au niveau des deux trous de Luschka et"
"473360","475340"," du trou de Magendie en même temps, on"
"475340","478960"," aura une hydrocéphalie tétraventriculaire, donc concernant les quatre"
"478960","479480"," ventricules. "
"480780","483920"," Cela peut être aussi un obstacle au niveau"
"483920","486240"," des espaces sous-arachidiens par le fait d "
"486240","489140","'une inflammation dans le cadre du méningite ou"
"489140","490300"," d'une hémorragie méningite."
"491680","495760"," Enfin, un défaut de résorption du liquide cérébro "
"495760","497740","-arachidien peut se faire au niveau des granulations"
"497740","501980"," de Pacchioni, où le liquide ne pourra pas"
"501980","502780"," être résorbé."
"508290","513110"," Sur ce scanner, nous voyons une hydrocéphalie biventriculaire"
"513110","514950"," qui atteint les deux ventricules latéraux. "
"515530","518049"," Et on voit l'explication par une tumeur"
"518049","521970"," localisée au niveau du troisième ventricule."
"525620","528020"," L'aspect clinique et le pronocycle vont dépendre"
"528020","529880"," essentiellement de l'âge."
"531120","533140"," Chez le jeune enfant, chez les nourrissons et"
"533140","534940"," les nouveau-nés, lorsque les situres du crâne"
"534940","538020"," sont perméables, c'est-à-dire qu'elles"
"538020","543340"," ne sont pas encore soudées, la manifestation essentielle"
"543340","544660"," est une macrocranie progressive. "
"544660","546260"," C'est-à-dire que l'hydrocéphalie va"
"546260","552840"," faire augmenter le volume crânien de manière très"
"552840","553320"," progressive."
"554300","557100"," Lorsque le crâne est fermé, chez un enfant"
"557100","558900"," plus âgé en moyenne à partir de 20"
"558900","561560"," mois, l'hydrocéphalie va se traduire par un"
"561560","564140"," syndrome d'hypertension intracrânienne."
"564700","565980"," Vu que le crâne ne pourra pas se"
"565980","569500"," distendre, qu'il est inextensible, une augmentation du"
"569500","571860"," volume du liquide va entraîner une augmentation de"
"571860","572900"," la pression intracrânienne. "
"575140","579920"," Les hydrocéphalies anténatales peuvent être détectées par échographie"
"579920","581840"," dès la 16e semaine de gestation."
"582540","584420"," Dans ce cas, elle oblige à faire le"
"584420","585120"," bilan suivant."
"587490","591170"," C'est un bilan malformatif complet, comprenant une"
"591170","597330"," échographie abdominale, plus ou moins une IRM foetale. "
"598210","601070"," Cela permet de doser l'alpha-fetoprotéine et"
"601070","603150"," l'acetylcholinesterase amniotiques."
"603150","605910"," Et aussi de faire un cariotype et une"
"605910","607230"," enquête génétique familiale."
"608410","612370"," Lors de cette échographie anténatale, nous voyons une"
"612370","615310"," dilatation ventriculaire bilatérale. "
"615430","619010"," C'est une hydrocéphalie chez le fœtus, diagnostiquée"
"619010","621310"," par une simple échographie au cours de la"
"621310","621710"," grossesse."
"623190","628330"," Sur cette IRM anténatale, nous voyons la tête"
"628330","631490"," du fœtus avec le liquide sphalorachidien qui apparaît"
"631490","634190"," en hypersignal T2 et qui montre qu'il"
"634190","637230"," y a une dilatation des ventricules considérable déjà"
"637230","639470"," à la phase fœtale."
"640350","645630"," Parmi les étiologies de l'hydrocéphalie anténatale, nous"
"645630","651170"," avons les étiologies malformatives comme la myeloméningocelle avec"
"651170","656550"," une malformation de Chiari, une sténose de l "
"656550","660950","'acduc de Silvius, une malformation de Dandewalker. "
"661370","665030"," Parmi les causes infectieuses, nous avons la toxoplasmose"
"665030","669610"," congénitale ou une infection acitomégalovirus, ainsi que les"
"669610","672330"," causes anoxiques et d'autres causes génétiques ou"
"672330","672830"," inconnues."
"674430","677110"," Quelle est la conduite à tenir lorsqu'on"
"677110","681590"," diagnostique l'hydrocéphalie au stade fœtal?"
"681590","687890"," Les décisions sont lourdes de conséquences et ne"
"687890","691130"," peuvent être systématisées ou systématiques, mais doivent être"
"691130","692870"," discutées au cas par cas."
"693750","695290"," Faut-il faire une interruption de grossesse?"
"696010","699210"," Cela dépend de la législation en cours. "
"700530","706550"," Un conseil génétique multidisciplinaire est toujours demandé et"
"706550","708990"," les parents sont informés des conclusions et doivent"
"708990","710670"," participer à la décision."
"714680","717300"," Dans les hydrocéphalies du nouveau-né et du"
"717300","722320"," nourrisson, nous avons typiquement une macrocranie évolutive."
"723600","726820"," Cliniquement, dans un stade précoce, on va trouver"
"726820","728280"," un bombement de la fontanelle. "
"728960","731660"," La peau du cuir chevelu qui va devenir"
"731660","737140"," fine, tendue, avec une dilatation veineuse visible."
"738100","740380"," On peut même palper un élargissement des citures"
"740380","740960"," crâniennes."
"741260","742440"," Cela correspond à l'image du haut. "
"743120","745580"," Dans l'image du bas, c'est l "
"745580","749400","'hydrocéphalie qui est vue tardivement, avec le regard"
"749400","751360"," qui est en coucher de soleil et qui"
"751360","753580"," traduit une paralysie de l'élévation du regard,"
"753680","755120"," qu'on appelle le syndrome de Parineau."
"757900","762680"," Les éthiologies, ce sont les hémorragies, les hémorragies"
"762680","765700"," périventriculaires du prématuré, se voient dans 30 à"
"765700","768520"," 50 % des cas, la rupture des malformations"
"768520","773160"," vasculaires ou par traumatisme crânien, en particulier le"
"773160","776540"," shaking baby syndrome ou syndrome du bébé secoué,"
"777040","779060"," qui doit être recherché, qui est une maltraitance"
"779060","780940"," de l'enfant par les parents."
"782760","788680"," Les méningites bactériennes, tuberculeuses ou virales, sont une"
"788680","790400"," cause de ces hydrocéphalies. "
"791100","793940"," Les tumeurs qui compriment ou envahissent les cavités"
"793940","797380"," ventriculaires, ainsi que les voies d'écoulement, les"
"797380","801140"," papillons des plexus corruïdes, le méduloblastome, les épandillons"
"801140","802780"," du V4, les thératomes, entre autres."
"803580","806000"," Il faut noter aussi la sténose congénitale de"
"806000","809720"," l'acduque de Silvius, ainsi que les perturbations"
"809720","813120"," du retour vénocérébral, comme dans la malformation vasculaire"
"813120","814740"," de l'ampoule de Gallien ou dans la"
"814740","815500"," craniosténose."
"817240","821880"," Ici, nous avons une hydrocéphalie triventriculaire intéressant les"
"821880","824500"," deux ventricules latéraux, ainsi que le troisième ventricule,"
"825640","829180"," et qui est due à une tumeur centrée"
"829180","831680"," sur l'acduque de Silvius, et qui va"
"831680","834900"," empêcher le LCR de quitter les ventricules latéraux"
"834900","838360"," et le troisième ventricule qui va y rester"
"838360","838640"," dilaté. "
"840440","845740"," Ici, nous avons une tumeur du quatrième ventricule,"
"845900","850460"," probablement un épandimome, qui comble le quatrième ventricule"
"850460","854640"," et qui entraîne une dilatation tetra, plutôt triventriculaire,"
"855880","858600"," intéressant les deux ventricules latéraux et le troisième"
"858600","860000"," ventricule en amont."
"861600","866060"," Concernant les hydrocéphalies de l'enfant, une hydrocéphalie"
"866060","869760"," acquise doit faire penser systématiquement un processus expansif"
"869760","870900"," intracrânien."
"871520","874220"," Le tableau est dominé par un syndrome d "
"874220","880060","'hypertension intracrânienne comprenant décéphalée, des vomissements, une"
"880060","882020"," obnubilation, c'est-à-dire des troubles de"
"882020","885640"," la conscience modérés, et un oedème papillaire au"
"885640","886180"," fond de l'œil. "
"887260","891320"," Dans ce tableau récapitulant les idéologies des hydrocéphalies"
"891320","893860"," selon l'âge, nous voyons que chez le"
"893860","896060"," nouveau-né, ce sont surtout les malformations et"
"896060","900420"," les infections qui sont en première ligne, qui"
"900420","903240"," sont les plus fréquentes, suivi des hémorragies puis"
"903240","903780"," des tumeurs."
"904400","906860"," Chez le nourrisson, on voit plus souvent des"
"906860","908380"," malformations et des infections."
"910180","911540"," Et chez l'enfant et l'adulte jeune,"
"911620","913220"," ce sont surtout les tumeurs. "
"916220","919700"," Alors se pose le diagnostic différentiel avec les"
"919700","921320"," autres causes de macrocranie, c'est-à-dire"
"921320","924200"," les autres causes qui augmentent le volume crânien,"
"924420","927020"," telle qu'une collection sodurale, ou bien une"
"927020","932440"," malformation crânienne, comme la crâne de stérose, qui"
"932440","937940"," est un défaut de fermeture prématurée d'une"
"937940","941100"," suture, et ça va entraîner une déformation du"
"941100","944140"," crâne qui peut ressembler à une macrocranie d "
"944140","945860","'hydrocéphalie, comme dans l'ascapocéphalie."
"946620","948960"," Ça peut être juste une macrocranie familiale."
"948960","954030"," L'hypertension intracrânienne idiopathique, où il n'y"
"954030","955730"," aura pas de dilatation des ventricules au scanner,"
"956050","957710"," mais on aura les signes cliniques, à savoir"
"957710","960190"," céphalée, vomissement, oedème papillaire au fond d'œil. "
"961010","963870"," Enfin, les autres causes dites d'augmentation de"
"963870","968650"," la taille des ventricules, comme l'atrophie cérébrale,"
"969030","972050"," qui va provoquer une dilatation ventriculaire, mais qui"
"972050","975510"," est passive, sans augmentation de la pression intracrânienne."
"976690","979770"," Quels sont les examens complémentaires à demander pour"
"979770","981450"," confirmer l'hydrocéphalie ?"
"981450","985070"," Nous avons l'échographie transfontanélaire, qui est un"
"985070","987990"," examen anodin, qui peut être réalisé au lit"
"987990","991010"," du malade, et qui est facilement répété."
"991130","992890"," Il n'y a pas de rayons, comme"
"992890","994710"," dans le scanner, et ce n'est pas"
"994710","995670"," un examen qui est coûteux. "
"995870","998670"," Très pratique pour diagnostiquer rapidement l'hydrocéphalie."
"998670","1002710"," Pour avoir le détail de l'hydrocéphalie, le"
"1002710","1006750"," scanner cérébral et ou l'IRN vont confirmer"
"1006750","1011910"," l'hydrocéphalie en précisant sa topographie univentriculaire, biventriculaire,"
"1012010","1015470"," triventriculaire ou tetraventriculaire, et va orienter vers l "
"1015470","1015910","'éthiologie."
"1017170","1018950"," Enfin, d'autres examens peuvent être demandés, comme"
"1018950","1021590"," l'examen ophtalmologique, un fond d'œil, pour"
"1021590","1024869"," confirmer l'hypertension intracrânienne, qui va se manifester"
"1024869","1029530"," par un oedème papillaire. "
"1029530","1034790"," L'électroencéphalogramme, EEG, pour montrer s'il y"
"1034790","1035650"," a une épilepsie."
"1036470","1038589"," Et enfin, un bilan malformatif complet."
"1041460","1043900"," Le traitement de l'hydrocéphalie doit être curatif"
"1043900","1045800"," et éthiologique, il est neurosurgical. "
"1046720","1049540"," Son but est de faire communiquer les ventricules"
"1049540","1053420"," avec une structure où le liquide céphalo-rachidien"
"1053420","1054600"," peut se résorber."
"1055700","1059920"," Les indications sont toutes hydrocéphalies, évolutives."
"1060960","1062760"," Elles doivent être opérées dès que possible. "
"1063340","1067280"," En cas d'hydrocéphalie stabilisée, l'intervention chirurgicale"
"1067280","1069340"," peut être différée sous réserve d'une surveillance"
"1069340","1072800"," régulière, à la fois clinique et morphologique, avec"
"1072800","1074980"," un examen du fond d'œil, un scanner,"
"1076260","1078100"," plus ou moins une IRM cérébrale."
"1079860","1084400"," Les différentes méthodes qui existent, ce sont la"
"1084400","1088400"," dérivation ventriculo-peritoneale, qui est la technique la"
"1088400","1089220"," plus utilisée."
"1091160","1094580"," Nous allons voir le schéma dans le slide"
"1094580","1095020"," qui suit. "
"1095940","1101300"," Il y a la ventriculo-cysternostomie endoscopique, qui"
"1101300","1107900"," permet de schinter, de dériver le liquide d "
"1107900","1109640","'un ventricule vers l'hécitame de la base,"
"1110380","1114180"," sans avoir à mettre du matériel de dérivation,"
"1114420","1116200"," sans avoir à mettre un deval ou un"
"1116200","1116800"," corps étranger."
"1118160","1122040"," Il y a des dérivations ventriculo-atriales dans"
"1122040","1125420"," l'oreillette du cœur, où des dérivations lombo "
"1125420","1127700","-peritoneales peuvent être indiquées."
"1129680","1132940"," Sur ce schéma, nous voyons le principe de"
"1132940","1138040"," la dérivation ventriculo-peritoneale, où un cathéter est"
"1138040","1141380"," inséré dans le ventricule latéral, c'est le"
"1141380","1142120"," cathéter ventriculaire. "
"1142120","1144920"," Il est relié au corps de la valve,"
"1145280","1148200"," qui mesure la pression, et cette valve est"
"1148200","1149900"," reliée à un cathéter distal, qui va aller"
"1149900","1154100"," en sous-cutaner directement dans la cavité peritoneale,"
"1154280","1158100"," où l'excès du liquide cephalorachidia sera résorbé."
"1158560","1161460"," Il existe des modèles où on peut jouer"
"1161460","1165160"," sur la pression d'ouverture de la valve,"
"1165940","1169040"," pour qu'elle puisse dériver un haut débit"
"1169040","1170460"," ou un bas débit en fonction de la"
"1170460","1171360"," situation clinique."
"1171360","1178010"," Sur ce schéma, nous voyons un endoscope qui"
"1178010","1181790"," est inséré à travers le parenchyme du lobe"
"1181790","1185510"," frontal dans le ventricule latéral. "
"1186010","1189250"," Puis, du ventricule latéral, il passe dans le"
"1189250","1192730"," troisième ventricule à travers le trou de Monroe."
"1192730","1197230"," Et il permet de faire une perforation du"
"1197230","1199990"," planche du troisième ventricule, ce qui permet de"
