"start","end","text"
"1610","4550"," Donc bonjour nos chers étudiants, le cours d "
"4550","6910","'aujourd'hui s'intitule l'écéphalée et algives"
"6910","8030"," vasculaires de la face."
"9030","11090"," Donc tout d'abord, il faut savoir que"
"11090","13970"," l'écéphalée ou les algives vasculaires de la"
"13970","15970"," face est un problème très très fréquent, on"
"15970","18530"," pratique de tous les jours chez le neurologue"
"18530","22590"," mais principalement chez le médecin généraliste et chez"
"22590","25330"," d'autres spécialistes qui sont amenés à voir"
"25330","26270"," ce type de patients."
"26270","28650"," Donc ça touche 30% de la population"
"28650","32370"," générale et sachez que presque, donc au Maroc,"
"32430","35050"," si on est 36 millions d'habitants, donc"
"35050","37130"," on doit avoir 12 millions de personnes qui"
"37130","39910"," souffrent d'écéphalée qui vont souffrir d'écéphalée. "
"40470","45230"," Les céphalées primaires elles sont idiopathiques, donc ils"
"45230","47450"," n'ont pas de causes malignes, etc."
"47650","50310"," Donc c'est en général soit chronique, soit"
"50310","53230"," elles sont permanentes ou paroxystiques Comme l'écéphalée"
"53230","55790"," de tension, l'hémigrène, l'écéphalée sans anomalies"
"55790","58730"," structurelles, comme l'écéphalée liée au froid, à"
"58730","61550"," la chaleur, à la toux, au rapport sexuel,"
"61730","61970"," etc."
"63150","64810"," Et donc c'est la majorité pour lesquelles"
"64810","66370"," il n'y a besoin d'aucun examen"
"66370","68690"," complémentaire et juste d'une prise en charge"
"68690","69290"," adaptée. "
"69910","71390"," Et les 10% restants, c'est ça"
"71390","74430"," l'écéphalée symptomatique ou secondaire et ce sont"
"74430","76630"," vraiment celles-là qu'il faut prendre très"
"76630","78450"," au sérieux et on va parler tout à"
"78450","79990"," l'heure des signes et des drapeaux rouges"
"79990","82710"," Donc souvent ça peut être aiguë comme le"
"82710","86290"," cas de méningite, hémorragie méningée ou problème oculaire"
"86290","89610"," ou de névrite optique problème d'encéphalite, d "
"89610","92650","'accident vasculaire, d'hématome ou bien ça peut"
"92650","95410"," être chronique comme les hypertensions intracrâniennes, les tumeurs,"
"95550","97810"," la maladie d'hortone, les causes métaboliques ou"
"97810","100870"," médicamenteuses Donc le diagnostic d'une céphalée ou"
"100870","102690"," d'une algée vasculaire de la face, il"
"102690","105390"," faut d'abord faire un bon anamnèse qui"
"105390","107550"," est complet, il doit axer sur les symptômes"
"107550","110050"," d'alarme ou les drapeaux rouges donc c "
"110050","111810","'est les céphalées de type nouveau, d'intensité"
"111810","115910"," croissante, de fréquence croissante, de céphalée continue, de"
"115910","118750"," début soudain explosif qui doit évoquer l'hémorragie"
"118750","122410"," méningée des constamment homolatérales ou de céphalées à"
"122410","126030"," localisation très circonscrite et les symptômes d'accompagnement"
"126030","129110"," c'est soit des nausées âgées qui vont"
"129110","132470"," être récidivantes modification de la personnalité, des crises"
"132470","136070"," d'épilepsie, une altération d'état général fièvre,"
"136570","139070"," perte pendérale, troubles de la vue, de l "
"139070","142510","'équilibre ou de l'élocution et donc toujours"
"142510","144530"," ne pas oublier aussi que l'examen clinique"
"144530","148130"," pourra mettre en évidence sur plan neurologique ou"
"148130","149870"," somatique des signes d'alarme ou des drapeaux"
"149870","153030"," rouges comme déficit neuropsychologique une stage ou aneudème"
"153030","156690"," papillaire, un syndrome méningé, un déficit neurologique focal,"
"156810","163510"," oculomoteur, paralysie, parésie troubles moteurs sensitifs aphasique, fièvre,"
"163570","167150"," vitesse d'alimentation augmentée, anémie ou bien une"
"167150","170590"," artère temporale non battante ou sinueuse et là"
"170590","174010"," je parle directement de la nouvelle classification des"
"174010","176670"," céphalées, des algies vasculaires et des algies faciales"
