"start","end","text"
"710","3110"," Le cours d'aujourd'hui est intitulé «"
"3110","6110"," Les manifestations cutanées de VIH »."
"7940","11280"," Les manifestations cutanées de VIH sont possibles quel"
"11280","13960"," que soit le stade de l'infection, c "
"13960","15840","'est-à-dire au début de l'infection,"
"15940","19180"," lors de la primo-infection, au stade de"
"19180","22820"," portage asymptomatique ou au stade de sida maladie."
"23920","28400"," Ces manifestations sont fréquentes, polymorphes et parfois révélatrices"
"28400","31040"," de l'infection, le cas par exemple du"
"31040","32700"," zona chez un sujet jeune."
"33760","36480"," Certaines de ces infections sont des marqueurs pronostiques"
"36480","42120"," témoignant d'une défaillance immunitaire importante, le cas"
"42120","44580"," par exemple de la leucoplasie chevelue de la"
"44580","46980"," langue ou de la maladie de Kaposi. "
"48180","53160"," Ces manifestations cutanées ont une évolution chronique, prolongée,"
"53420","54320"," révèle au traitement."
"56010","58930"," Les objectifs de ce cours, c'est de"
"58930","61790"," décrire les manifestations cutanées de la primo-infection"
"61790","65390"," par le VIH, diagnostiquer la maladie de Kaposi,"
"66250","69410"," identifier les différentes infections cutanées rencontrées au cours"
"69410","72590"," de l'infection par le VIH, identifier les"
"72590","76630"," manifestations cutanées non infectieuses de l'infection par"
"76630","80090"," le VIH et énumérer les manifestations dermatologiques devant"
"80090","81830"," faire proposer une sérologie."
"82470","87010"," Ces manifestations cutanées sont classées en manifestations cutanées"
"87010","91370"," de la primo-infection et les manifestations cutanées"
"91370","95590"," secondaires aux dysfonctionnements immunitaires, donc la pathologie cimorale,"
"96350","99810"," la pathologie infectieuse et les manifestations cutanées non"
"99810","101450"," infectieuses non cimorales. "
"103800","105700"," On va commencer par la primo-infection."
"106680","110540"," La période d'incubation est aux alentours de"
"110540","113200"," deux à trois semaines, donc après un contact"
"113200","115480"," avec le virus, le VIH, soit après un"
"115480","118700"," rapport sexuel non protégé, soit après un accident"
"118700","122920"," d'exposition au sang, soit suite à des"
"122920","126860"," injections par des seringues infectées."
"127699","130180"," Il y a l'apparition des signes généraux. "
"130300","132840"," Vous avez un tableau de fièvre, 38-39"
"132840","137000"," degrés, sueur, asthénie, des cépales, des douleurs pharyngées,"
"137140","140160"," des signes digestifs, des polyadénopathies, des signes neurologiques,"
"140280","144100"," type de syndrome mélangé, trouble du comportement, oncéphalite,"
"144220","146380"," crise convulsive, polyradiculonevrite."
"148700","150720"," Sur le plan cutané, on a une éruption"
"150720","154080"," cutanée qui n'est pas constante."
"154480","156140"," On ne voit pas chez tous les malades,"
"156300","157780"," c'est aux alentours de 60 à 70"
"157780","158720"," % des cas. "
"159300","161800"," Ça donne un érythème morbidiforme, c'est-à "
"161800","165280","-dire un érythème généralisé avec des intervalles de"
"165280","165980"," peau saine."
"168540","170580"," Ça touche le tronc, la racine des membres,"
"170740","171840"," le cou, le visage."
"171840","174300"," En général, c'est des petites lésions, des"
"174300","176820"," maculopapilles de quelques millimètres à un centimètre de"
"176820","180120"," diamètre morbidiformes, c'est-à-dire avec des"
"180120","181120"," intervalles de peau saine. "
"181600","183620"," Les pommes et les plantes du pied ne"
"183620","185920"," sont pas respectées, donc elles peuvent être atteintes."
"186380","188040"," Même dans certaines formes, on a une atteinte"
"188040","191100"," isolée des pommes et des plantes."
"192220","194060"," Le prurite est inconstant. "
"195140","198540"," La durée d'évolution de cette primo-infection"
"198540","200640"," est entre 5 à 10 jours."
"201640","204640"," Certaines formes atypiques ont été décrites, des lésions"
"204640","211380"," type dursicaires, des éruptions vésiculopistuleuses ou bien une"
"211380","213400"," éruption palmoplantaire isolée."
"214940","224380"," Donc on voit ici des lésions érythémateuses morbidiformes,"
"224400","228460"," un érythème morbidiforme avec des lésions des macules"
"228460","232360"," érythémateuses et avec des intervalles de peau saine. "
"233180","236180"," Et vous y trouvez des maculopapules, on a"
"236180","239360"," des papules et des macules morbidiformes."
"242250","243730"," Donc lors de la primo-infection, il y"
"243730","245650"," a également atteinte de la muqueuse buccale et"
"245650","246890"," on parle d'un anthème."
"248410","251030"," Donc il peut y avoir des érosions de"
"251030","252670"," 5 à 10 millimètres au niveau de la"
"252670","255269"," muqueuse buccale et de la muqueuse génitale ou"
"255269","256070"," anale. "
"257529","259589"," Donc voici les lésions de la primo-infection."
"261050","264430"," Donc un exanthème maculopapuleux, c'est pas spécifique,"
"264530","266210"," on le voit dans les infections virales de"
"266210","266990"," façon globale."
"267850","274010"," Vous voyez ici donc un ananthème buccal avec"
"274010","275790"," ici des érosions au niveau de la muqueuse"
"275790","276570"," génitale. "
"280420","282940"," Sur le plan biologique, donc, on trouve une"
"282940","285460"," lymphopinie à la numération formule sanguine, donc la"
"285460","287960"," lymphopinie on la trouve dans les exanthèmes viraux,"
"289420","294060"," un syndrome mononucléosique, une thrombopinie modérée et une"
"294060","295080"," cytorrhize hépatique."
"295820","298940"," Mais ce qui est spécifique, qui permet de"
"298940","302780"," confirmer le diagnostic de primo-infection VIH, c "
"302780","305660","'est la positivité de l'antigénémie P24."
"306900","310440"," En sévrologie classique, elle est négative, l'ELISA"
"310440","313140"," à ce stade, et vous avez la charge"
"313140","313580"," virale. "
"313820","315820"," Donc les deux éléments qui permettent de poser"
"315820","318080"," le diagnostic, c'est l'antigénémie P24 et"
"318080","318860"," la charge virale."
"320320","323860"," Le diagnostic différentiel avec la syphilis secondaire, donc"
"323860","327720"," la première floraison de la syphilis, là où"
"327720","329600"," il y a la roseole syphilitique, on a"
"329600","330380"," un exanthème."
"331520","335320"," La primo-infection, les autres virus qui peuvent"
"335320","337720"," donner, donc, un tableau pareil, l'Epstein-Barr"
"337720","342880"," virus, cet omégalovirus, HHVS, donc, herpès humain virus"
"342880","347140"," type VI, parvovirus B19, rubéole rouge, la rougeole,"
"347620","351140"," sans oublier que, donc, les manifestations cutanées du"
"351140","354920"," COVID-19 peuvent donner également un exanthème qui"
"354920","356840"," ressemble à ce qu'on voit dans la"
"356840","357880"," primo-infection VIH. "
"359000","360480"," Bien sûr, il faut chercher ici, à ce"
"360480","362660"," moment-là, d'autres signes qui orientent vers"
"362660","367060"," le COVID, donc le contact avec des cas"
"367060","370480"," suspects ou des cas confirmés, l'existence du"
"370480","375640"," symptôme respiratoire, et donc, le contexte clinique."
"376040","380200"," La fièvre boutonneuse méditerranéenne, l'exanthème médicamenteux, donc"
"380200","383480"," là, c'est un diagnostic différentiel également, il"
"383480","385900"," faut penser à ce diagnostic, surtout de voir"
"385900","388800"," la notion de prise médicamenteuse précédant l'apparition"
"388800","389720"," des lésions."
"390380","393800"," Ptyliasis rosé-giver, c'est une infection virale,"
"394440","397260"," dite herpès humain virus type VII, avec une"
"397260","398800"," sémiologie un petit peu particulière. "
"399360","406180"," Vous avez une lésion arrondie, erythématospoïmeuse, de grande"
"406180","408500"," taille, qu'on appelle le médaillon, et puis,"
"408580","410340"," sept jours après, vous avez d'autres lésions,"
"411000","413440"," de petites tailles, disséminées au niveau du corps."
"415790","418510"," Donc, l'évolution de la primo-infection, donc,"
"418790","422490"," on a une disparition des lésions cutanées et"
"422490","425170"," des autres signes de la primo-infection."
"427490","429110"," Pendant 1-3 semaines, mais c'est pas"
"429110","431090"," une guérison de la maladie, hein, la maladie"
"431090","432590"," continuera à évoluer. "
"434370","436210"," Donc, le risque, si on ne traite pas"
"436210","438010"," le malade au stade de primo-infection, c "
"438010","439530","'est qu'il peut y avoir une lymphopénie"
"439530","442870"," marquée, et le malade, donc, peut développer des"
"442870","444090"," infections opportunistes."
"445030","447610"," Si cette lymphopénie persiste, c'est un marqueur"
"447610","448490"," de mauvais pronostic."
"448490","451530"," D'où l'intérêt de proposer un traitement"
"451530","454950"," rapide, donc la trithérapie, à ce stade, pour"
"454950","458370"," diminuer, donc, la charge virale et améliorer le"
"458370","460090"," pronostic de la maladie. "
"460430","462470"," Donc, la primo-infection, c'est une urgence"
"462470","464630"," diagnostique et thérapeutique."
"467100","471100"," Donc, traitement symptomatique pour les manifestations générales, pour"
"471100","474880"," lutter contre la fièvre, traitement antiritroviral, c'est"
"474880","477040"," une urgence pour diminuer le taux de la"
"477040","479900"," charge virale résiduelle et éviter la progression de"
"479900","481060"," l'infection vers le sida."
"483880","486160"," Donc, après la primo-infection, on va voir"
"486160","488860"," les autres manifestations cutanées de VIH. "
"489460","493100"," Donc, on va voir la pathologie chimorale et"
"493100","495000"," on va parler de la maladie de Kaposi."
"495820","497640"," Donc, la maladie de Kaposi se voit chez"
"497640","501160"," les CVA avec un taux de lymphocytes CD4"
"501160","503060"," inférieur à 200 mm³."
"503060","505540"," Donc, les premiers cas de maladie de Kaposi"
"505540","509120"," ont été décrits chez les homosexuels au San"
"509120","509700"," Francisco. "
"510580","513679"," Sur le plan dermatologique, vous avez des plaques"
"513679","516480"," et des nodules rouges angiomateux."
"519900","522260"," Dans la maladie de Kaposi sida, vous avez"
"522260","526000"," l'atteinte des muqueuses, la muqueuse mucale surtout,"
"526560","529440"," mais anogénitale également, c'est possible."
"529940","532600"," Vous avez l'atteinte viscérale au niveau du"
"532600","533360"," type digestif. "
"533360","536240"," Donc, on fait une exploration systématique dans le"
"536240","537860"," cadre de la maladie de Kaposi, une échographie"
"537860","541900"," abdominale, une fibroscopie, l'atteinte ganglionnaire, l'atteinte"
"541900","543280"," sourceuse et l'atteinte pulmonaire."
"544100","547120"," Aussi, quelques images qui illustrent ces manifestations."
"547520","549580"," Donc, ici, vous avez des papules et des"
"549580","551760"," nodules angiomateux. "
"552600","555000"," Donc, là, chez ces patients, c'est généralisé"
"555000","555920"," au niveau du corps."
"556400","558580"," Vous avez ici l'atteinte de la pointe"
"558580","561540"," du nez avec cette papule angiomateuse."
"563730","565790"," L'atteinte de la muqueuse buccale, vous voyez"
"565790","568910"," ici, cette lésion nodulaire angiomateuse au niveau du"
"568910","569510"," gencive. "
"570110","571870"," Là, l'atteinte au niveau du voile du"
"571870","572250"," palais."
"573850","575950"," Là, l'atteinte pulmonaire."
"579930","583730"," Il y a des diagnostics différentiels de la"
"583730","584510"," maladie de Kaposi. "
"584770","586270"," Donc, il y a d'autres formes cliniques."
"586410","588110"," Ce n'est pas la maladie de Kaposi"
"588110","589410"," associée à l'HIV."
"589610","590730"," Il y a d'autres formes cliniques. "
"590870","593290"," Il y a la forme européenne, dite également"
"593290","595370"," la forme méditerranéenne, qui se voit chez les"
"595370","596670"," sujets de sexe masculin."
"598010","602590"," Les sujets âgés, 50-70 ans, donc, dans"
"602590","604070"," les pays méditerranéens, c'est la forme la"
"604070","607150"," plus fréquente au Maroc, avec des lésions cutanées"
"607150","609810"," localisées le plus souvent au niveau des membres"
"609810","611490"," inférieurs, avec un œdème."
"612150","613210"," Il n'y a pas d'atteinte de"
"613210","615010"," muqueuse, pas d'atteinte viscérale. "
"615690","617730"," Donc, ça, c'est un diagnostic différentiel."
"618370","620030"," Et c'est la forme la plus fréquente"
"620030","620710"," dans notre pays."
"621690","623290"," Vous avez la forme africaine. "
"623790","626550"," Là, elle se voit plutôt chez l'enfant"
"626550","628730"," et l'adulte jeune, avec une atteinte cutanée"
"628730","632490"," ou muqueuse extensive, atteinte ganglionaire, viscérale et osseuse."
"632970","635470"," Mais la sérologie VIH ici, elle est négative."
"636110","637590"," Ce n'est pas une maladie de Kaposi"
"637590","638250"," VIH. "
"638410","639670"," C'est la forme africaine."
"640570","643150"," Vous avez la maladie de Kaposi qui se"
"643150","645030"," voit chez les sujets immunodéprimés."
"645910","648710"," Donc, elle se voit sur un terrain immunodéprimé,"
"649070","652390"," surtout à cause du traitement par des immunosuppresseurs. "
"652390","658590"," Par exemple, les greffés ou les patients qui"
"658590","662890"," présentent des maladies nécessitant un traitement immunosuppresseur, les"
"662890","663650"," maladies systèmes."
"664170","666530"," Donc, ces malades peuvent développer des maladies de"
"666530","671410"," Kaposi, avec des lésions extracutanées possibles et également"
"671410","673590"," atteintes de la muqueuse glucale."
"679870","683170"," Le diagnostic de maladie de Kaposi est suspecté"
"683170","685510"," cliniquement, mais la confirmation, c'est l'histologie. "
"685510","687330"," Il faut faire une biopsie de la lésion"
"687330","688850"," qui va vous montrer l'histologie."
"689010","691050"," L'étude histologique va vous montrer une double"
