"start","end","text"
"520","2840"," Bonjour tout le monde, je suis ravie de"
"2840","6240"," vous retrouver pour vous présenter ce cours intitulé"
"6240","10540"," les infections cutanées dues au virus zona varicelle"
"10540","13560"," et qui fera suite au cours des infections"
"13560","16700"," cutanées à herpes simplex virus, les deux cours"
"16700","19480"," étant inscrits dans la partie des dermatoses virales."
"21950","23750"," Au terme de ce cours, l'étudiant doit"
"23750","26970"," savoir expliquer le cycle du virus zona varicelle"
"26970","30650"," et doit diagnostiquer la varicelle dans sa forme"
"30650","33750"," bini, la varicelle dans ses formes graves et"
"33750","35590"," traiter toutes les formes de varicelle."
"36270","38810"," Et puis l'étudiant doit être capable de"
"38810","42950"," diagnostiquer un zona, de ses complications, traiter un"
"42950","46230"," zona et traiter les algiposes ostériens. "
"46950","50150"," La varicelle et le zona sont dus au"
"50150","53490"," virus varicelle zona, un virus à ADN de"
"53490","56170"," la famille des herpès virides et de contamination"
"56170","57830"," strictement inter-humaine."
"58650","61890"," La varicelle correspond à la primo-infection et"
"61890","65110"," le zona à une recurrence, une infection latente"
"65110","69050"," touchant les ganglions sensitifs s'étant établi après"
"69050","73530"," la primo-infection et peuvent être soumises à"
"73530","74630"," une réactivation."
"75470","79310"," L'infection varicelle zona virus apporte une immunité"
"79310","80930"," durable et définitive. "
"81770","85030"," L'immunité cellulaire joue un rôle majeur en"
"85030","88450"," contrôlant l'infection car la sévérité de la"
"88450","91130"," symptomatologie dépend de l'état immunitaire."
"92610","97010"," Les infections ou varicelles zona virus sont généralement"
"97010","101290"," binines mais des complications graves sont possibles chez"
"101290","105250"," les sujets immunodéprimés mais également chez l'adulte"
"105250","106450"," immunocompétent."
"106770","110470"," La thérapeutique antivirale et en particulier la ciclovire"
"110470","114450"," a transformé le pronostic de ces infections et"
"114450","118450"," la prophylaxie par un vaccin atténué et recommandé"
"118450","119750"," chez les sujets à risque. "
"121930","125430"," Comment peut-on décrire le virus varicelle zona"
"125430","126350"," au VZV?"
"126750","130170"," D'une taille d'environ 200 nanomètres, le"
"130170","134290"," VZV révèle en microscopie électronique une morphologie comparable"
"134290","136610"," à celle des autres virus herpès."
"137350","139950"," Le génome viral est constitué d'une molécule"
"139950","144490"," d'ADN bécaténaire entourée d'une capside écozydrique"
"144490","148630"," composée de 162 capsomères et d'une enveloppe"
"148630","151470"," composée d'une double couche lipidique où sont"
"151470","153210"," ancrées les glycoprotéines."
"154390","158370"," Entre la nucleocapside et l'enveloppe se trouve"
"158370","162630"," une structure amorphe et fibreuse, le tigument, comportant"
"162630","166450"," des protéines virales exprimées au cours du cycle"
"166450","168330"," de réplication du VZV. "
"170970","175090"," La séroprévalence du VZV dans la population générale"
"175090","176330"," est extrêmement élevée."
"176970","179210"," L'infection touche les enfants dès l'âge"
"179210","179850"," de 5 ans."
"180390","183450"," La séroprévalence chez l'adulte étant aux alentours"
"183450","184910"," de 98%. "
"184910","187750"," C'est le plus contagieux des herpès viridés."
"188250","190890"," Le VZV se transmet à partir des vesicules"
"190890","194390"," cutanées et par inhalation de gouttelettes de plage."
"195110","197510"," Il est également disséminé par flux d'air"
"197510","198590"," d'une pièce à l'autre. "
"200150","202390"," Rappelons que l'homme infecté est le seul"
"202390","205730"," réservoir du virus et que la contagiosité commence"
"205730","208070"," 1 à 2 jours avant le début de"
"208070","210330"," l'éruption et se poursuit jusqu'à la"
"210330","211510"," phase de crustation."
"212150","214230"," La durée d'incubation de la maladie est"
"214230","215150"," de 14 jours."
"216970","219910"," La transmission du varicelle zona virus à travers"
"219910","222450"," le placenta peut se faire tout au long"
"222450","224910"," de la grossesse et le risque de varicelle"
"224910","227510"," congénitale qui est de 2% avant la"
"227510","230930"," 24e semaine d'améliorée est nul au 3e"
"230930","232390"," trimestre du gestation. "
"233330","236390"," Enfin, on peut parler de varicelle nosocomiale chez"
"236390","239370"," le personnel de santé avec une prévalence de"
"239370","242290"," 1,2 pour mille dans la source de"
"242290","244430"," contamination et le plus souvent un zona."
"247820","250860"," Le zona touche 10 à 20% de"
