"start","end","text"
"580","4240"," Bonjour tout le monde, aujourd'hui nous allons"
"4240","9000"," entamer un nouveau chapitre relatif aux pathologies de"
"9000","12980"," l'hémostase et qui est intitulé l'hémophilie."
"13580","17780"," L'hémophilie est une anomalie constitutionnelle de la"
"17780","22540"," coagulation qui se caractérise par un syndrome hémorragique"
"22540","28440"," caractéristique associant dans sa forme sévère des hématoses"
"28440","29620"," et des hématomes."
"30440","34240"," Elle se caractérise aussi par une anomalie génétique. "
"34800","37700"," L'anomalie se situe sur le chromosome X"
"37700","41240"," et son expression est liée au sexe, c "
"41240","43500","'est-à-dire que les garçons étant atteints"
"43500","46400"," et les filles sont conductrices."
"46400","50700"," Elle se caractérise aussi par un syndrome biologique"
"50700","53160"," et elle est due à l'absence ou"
"53160","55960"," à une anomalie du facteur 8 qu'on"
"55960","59300"," appelle hémophilie A ou bien une absence ou"
"59300","62080"," à une anomalie du facteur 9 qu'on"
"62080","63940"," appelle hémophilie B."
"63940","69440"," L'hémophilie c'est la maladie hémorragique la"
"69440","72380"," plus grave et la plus fréquente."
"72440","75560"," L'incidence de l'hémophilie A est de"
"75560","78840"," 1 pour 5000 naissances et l'hémophilie A"
"78840","82740"," est 5 fois plus fréquente que l'hémophilie"
"82740","82980"," B."
"82980","87240"," Le pronostic de l'hémophilie a été transformé"
"87240","92000"," par le développement des thérapeutiques transfusionnelles. "
"92540","97280"," Le conseil génétique, la détection des conductrices et"
"97280","102380"," le diagnostic prénatal précoce constituent trois éléments essentiels"
"102380","105420"," de la prise en charge des familles d "
"105420","105880","'hémophiles."
"105880","111160"," Alors important, tout hémophile doit être adressé à"
"111160","114120"," un centre spécialisé dans le traitement de l "
"114120","117320","'hémophilie où il sera suivi de façon globale"
"117320","120100"," en associant aussi sa famille."
"120100","124440"," Sur le plan génétique, l'hémophilie est une"
"124440","126500"," maladie récessive liée au sexe. "
"127060","128759"," Seuls les garçons sont atteints."
"129419","132300"," Les femmes sont conductrices et n'expriment pas"
"132300","133120"," la maladie."
"133960","137520"," Lorsque la mère est conductrice, 50% des"
"137520","141300"," garçons sont hémophiles et 50% des filles"
"141300","143160"," sont conductrices. "
"143160","146580"," Dans le cas où le père est hémophile,"
"146900","150200"," tous les garçons sont indemnes alors que toutes"
"150200","152780"," les filles sont conductrices."
"153420","157140"," Par ailleurs, le type et la gravité de"
"157140","159800"," la maladie sont les mêmes au sein du"
"159800","160700"," même famille."
"163180","166660"," La physiopathologie de l'hémophilie est très facile. "
"166900","170620"," C'est un déficit atteignant la voie intrinsèque"
"170620","171540"," de la coagulation."
"172300","175860"," On a soit une anomalie du facteur 8"
"175860","177580"," qu'on appelle l'hémophilie A ou bien"
"177580","180880"," une anomalie du facteur 9 qu'on appelle"
"180880","182140"," l'hémophilie B."
"182140","186260"," Ce déficit peut être soit quantitatif soit qualitatif"
"186260","190680"," et la sévérité clinique est parallèle à la"
"190680","193640"," sévérité du déficit factoriel."
"194000","196400"," C'est-à-dire, si le chiffre du"
"196400","201200"," facteur hémophilique est très bas, donc le déficit"
"201200","202780"," va être sévère. "
"202780","205420"," Si le chiffre est un petit peu plus"
"205420","209820"," élevé aux alentours des valeurs normales, la sévérité"
"209820","212920"," du déficit va être minime."
"213820","217580"," Quelles sont les circonstances de découverte de cette"
"217580","218820"," hémophilie ?"
"218820","221580"," Les circonstances de découverte de l'hémophilie varient"
"221580","223840"," selon le taux du déficit factoriel."
"224760","227080"," Elles sont d'autant plus précoces et graves"
"227080","228760"," que le déficit est sévère. "
"228760","232400"," Les hématomes et les hématoses sont les principales"
"232400","234900"," circonstances révélant la maladie."
"235660","239720"," Elles sont souvent provoquées par des traumatismes mineurs."
"240680","243600"," La maladie peut être découverte lors d'un"
"243600","248060"," bilan préopératoire ou lors d'une enquête familiale. "
"248760","250640"," C'est le cas le plus souvent des"
"250640","252180"," formes modérées."
"252180","256779"," La circoncision, une extraction dentaire ou tout autre"
"256779","261200"," acte hémorragique peuvent être également un mode de"
"261200","263780"," révélation de la maladie."
"263940","267600"," A noter qu'au Maroc, la circoncision est"
"267600","271200"," le mode de révélation le plus fréquent de"
"271200","271760"," l'hémophilie. "
"271760","276780"," Autre chose, c'est que les manifestations sont"
"276780","279900"," d'autant plus sévères et précoces que le"
"279900","282520"," déficit factoriel est important."
"283420","287840"," Comment se manifeste l'hémophilie sur le plan"
"287840","289020"," clinique ?"
"289020","294880"," On peut avoir plusieurs signes cliniques impliquant la"
"294880","297160"," symptomatologie de cette hémophilie."
"297160","300660"," En premier, nous allons parler des hématomes. "
"301780","305200"," Ils entraînent des tumefactions douloureuses et inflammatoires."
"305900","307540"," Ils sont souvent post-traumatiques."
"308180","311860"," Les hématomes volumineux peuvent se compliquer d'anémie,"
"312180","315220"," de subitère et plus rarement de surinfection ou"
"315220","316140"," nécrose cutanée. "
"317120","320980"," Ils peuvent, selon leur localisation, engager le pronostic"
"320980","322900"," vital ou fonctionnel du malade."
"323670","327300"," Les hématomes superficiels siégeant au niveau du thorax,"
"327400","330000"," de l'abdomen, de la région lombaire et"
"330000","333120"," du cuir chevelu s'accompagnent d'ichymos."
"333860","337360"," Les hématomes profonds, en revanche, sont graves et"
"337360","341280"," dangereux, soit par leur volume, soit par leur"
"341280","342220"," localisation. "
"343400","347000"," Exemple, un hématome au niveau du psoas se"
"347000","350520"," traduit par des douleurs abdominales, un fléchement de"
"350520","353380"," la hanche, souvent des cruraties et une masse"
"353380","354620"," de la fosse iliaque."
"355300","358360"," A droite, ce tableau peut traiter à confusion"
"358360","360680"," avec une appendicite."
"361100","364940"," L'échographie réalisée va mettre en évidence un"
"364940","368260"," épongement sanguin au niveau du psoas. "
"369060","373200"," Les hématomes siégeant au niveau du plancher de"
"373200","377020"," la langue peuvent entraîner une asphyxie."
"377960","379960"," Au niveau des loges de l'avant-bras"
"379960","382620"," ou de la jambe, l'hématome peut occasionner"
