"start","end","text"
"1100","3320"," Notre cours d'aujourd'hui va porter sur"
"3320","5040"," l'insuffisance cardiaque du nourrisson."
"6640","10420"," Comme définition, l'insuffisance cardiaque et l'inaptitude"
"10420","13740"," pour les ventricules a assuré un débit cardiaque"
"13740","17140"," adéquat, qu'il soit systémique ou pulmonaire."
"18220","19600"," Il s'agit d'un syndrome et non"
"19600","21520"," pas d'une maladie et se voit de"
"21520","25420"," façon privilégiée mais non exclusive chez le nourrisson. "
"27750","30670"," Le débit cardiaque se définit par le produit"
"30670","33270"," de la fréquence cardiaque et du volume d "
"33270","34090","'éjection systolique."
"35030","38710"," Le volume d'éjection systolique est la soustraction"
"38710","43470"," du volume télé-systolique du volume télé-diastolique."
"44530","47930"," Une insuffisance cardiaque est due à une anomalie"
"47930","50650"," de ces facteurs qui régissent le débit cardiaque. "
"51730","55570"," Le débit cardiaque dépend également de la contractilité"
"55570","56010"," myocardique."
"57960","62160"," Ceci est un schéma qui illustre les facteurs"
"62160","64760"," déterminants de la performance cardiaque."
"65960","70800"," Nous avons la précharge, la postcharge, la contractilité"
"70800","72920"," et la fréquence cardiaque. "
"76070","78570"," Tout d'abord, l'anomalie du volume télé "
"78570","81950","-diastolique ou précharge, c'est la qualité de"
"81950","83070"," remplissage des ventricules."
"83690","87190"," Nous avons soit un excès de remplissage, soit"
"87190","89630"," une insuffisance de remplissage."
"90850","93350"," Dans l'excès de remplissage du volume télé "
"93350","97290","-diastolique ou précharge, nous avons comme exemple les"
"97290","99350"," chaînes gauche-droite et les anomalies des valves"
"99350","100490"," auriculo-ventriculaires. "
"101910","105550"," Dans les insuffisances de la précharge, nous avons"
"105550","108910"," comme exemple les sténoses auriculo-ventriculaires."
"110960","113620"," Puis nous avons l'excès du volume télé "
"113620","115500","-systolique ou postcharge."
"116320","119380"," Ce sont des situations qui élèvent la résistance"
"119380","123060"," à l'éjection ventriculaire et qui conduisent à"
"123060","124480"," une surcharge systolique. "
"125500","128180"," C'est le cas des cardiopathies obstructives telles"
"128180","129660"," que la coarctation de la horte."
"134660","137500"," Nous avons également l'atteinte de la contractilité."
"138760","141060"," La baisse de la contractilité, qu'elle soit"
"141060","144060"," primitive ou secondaire, comme on l'observe dans"
"144060","148640"," les cardiomyopathies, va être responsable d'une pression"
"148640","151480"," diastolique des ventricules et des oreillettes qui sont"
"151480","151960"," élevées. "
"153040","157300"," En amont, le secteur vénocapillaire va suivre passivement"
"157300","158720"," la pression des oreillettes."
"159560","162320"," Et nous avons à gauche l'œdème pulmonaire"
"162320","164300"," qui apparaît au-delà de 30 mmHg."
"164300","167940"," Et à droite, l'augmentation de la pression"
"167940","171300"," veineuse qui conduit à une hépatome égalie, à"
"171300","173100"," des œdèmes d'éclipse, à la prise de"
"173100","175600"," poids et à l'apparition d'une acite. "
"180180","181580"," Il y a également l'anomalie de la"
"181580","184980"," fréquence cardiaque qui va régir ce débit cardiaque."
"186120","189140"," Dans les tachycardies qui dépassent 200 cycles par"
"189140","192460"," minute, le débit cardiaque ne va pas augmenter."
"193460","196900"," Car le raccourcissement de la diastole interfère avec"
"196900","198400"," le remplissage ventriculaire. "
"199440","202780"," Dans les bradycardies importantes inférieures à 40 cycles"
"202780","207360"," par minute, nous allons observer des dilatations ventriculaires"
"207360","211880"," importantes et l'aboutissement à l'insuffisance cardiaque."
"214660","217440"," Ceci est un schéma physiopathologique de l'insuffisance"
"217440","217920"," cardiaque."
"217920","220700"," Qu'elle soit à bas débit ou à"
"220700","224340"," haut débit, nous avons une hypovolémie efficace. "
"228850","232230"," La diminution du débit cardiaque va entraîner la"
"232230","237770"," simulation du système sympathique de l'hypothalamus et"
"237770","238170"," du rein."
"239630","241810"," Il y aura ensuite une augmentation de la"
"241810","245570"," fréquence cardiaque et de la contractilité myocardique par"
"245570","246750"," le système sympathique."
"247750","251170"," Une rétention d'eau et de sodium avec"
"251170","255250"," une augmentation de la volumie circulante ainsi qu "
"255250","257529","'une vasoconstriction rénale et périphérique. "
"264510","270110"," L'insuffisance circulatoire va être responsable d'une"
"270110","274210"," vasoconstriction des organes les moins nobles, tels que"
"274210","279170"," la peau, les muscles, le tube digestif et,"
"279810","281950"," au bout, une défaillance multiviscérale."
"287610","290710"," Le diagnostic positif de l'insuffisance cardiaque du"
"290710","294410"," nourrissant est une urgence diagnostique et thérapeutique."
"297280","301600"," Le diagnostic est facile devant une triade qui"
"301600","305360"," est la dysplée, la tachycardie et l'hépatomegalie. "
"306600","309480"," La dysplée va se traduire par des signes"
"309480","315680"," plutôt digestifs, des difficultés alimentaires représentées par une"
"315680","319320"," fatigue rapide à la tétée ou bien une"
"319320","322660"," prolongation de la durée des tétés, l'incapacité"
"322660","326200"," de terminer la ration et les sueurs généralisées"
"326200","327700"," et profuses en fin de tétée."
"328500","332840"," Puis nous avons des signes respiratoires représentés par"
"332840","337000"," une tachypnée superficielle devenant permanente et, à un"
"337000","342920"," stade avancé, un véritable état de détresse respiratoire."
"346260","349220"," Ensuite l'hépatomegalie qui est constante, qui est"
"349220","351940"," douloureuse et qui est plus ou moins associée"
"351940","355820"," à la turgescence des veines périphériques et surtout"
"355820","356140"," jugulaires. "
"357780","361200"," La tachycardie qui est une réaction normale à"
"361200","363940"," la baisse du débit cardiaque, elle a une"
"363940","367360"," grande signification quand la fréquence cardiaque est comptée"
"367360","371340"," au repos et nous avons très souvent associé"
"371340","372300"," un bruit de gueule."
"374590","377590"," A côté de ces signes, nous pouvons aussi"
"377590","379610"," observer les oedèmes."
"381820","385680"," Ces oedèmes sont très tardifs, peuvent se voir"
"385680","392780"," surtout au visage, dans les paupières, mais ils"
"392780","396220"," peuvent s'exprimer aussi avec une ascension de"
"396220","397180"," la courbe de poissement. "
"399460","403860"," Le collapsus cardiovasculaire, qui certes est inconstant, mais"
"403860","407120"," quand il survient il est très grave, va"
"407120","409920"," se traduire par une agitation anxieuse, un teint"
"409920","413180"," grisâtre, avec des poux qui sont mal frappées,"
"414200","418320"," des extrémités froides et marbrées, une oligurie, ainsi"
"418320","420680"," qu'un pincement de la tension artérielle."
"423590","427810"," Il est très important de diagnostiquer ce qui"
"427810","429850"," n'est pas une suissance cardiaque."
"431450","434370"," Chez le nouveau-né, le diagnostic différentiel est"
"434370","438290"," représenté par l'infection néonatale et la polyglobulie"
"438290","438710"," sévère. "
"439730","443950"," Chez le nourrissant, les brancolites aiguës sévères peuvent"
"443950","447130"," prêter le même tableau, ainsi que le collapsus"
"447130","450150"," dans le cadre d'une déshydratation sévère, par"
"450150","452890"," exemple, secondaire à des signes digestifs."
"454590","458090"," Vomissement ou diarrhée, ou même signe urinaire."
"460780","464340"," Attention devant un tableau de collapsus, avant de"
"464340","467180"," remplir, toujours palper le foie et ausculter le"
"467180","470540"," cœur, parce que si vous identifiez un choc"
"470540","473260"," cardiogénique, le remplissage est contre-indiqué. "
"476850","479080"," Qu'en est-il du diagnostic éthiologique ?"
"480160","483180"," Grâce à l'anamnèse, nous allons recueillir des"
"483180","487860"," facteurs prédisposants, tels que la consanguinité, l'ombryophytopathie,"
"488900","490580"," les cardiopathies dans la famille."
"491900","493960"," Le mode d'installation est très important à"
"493960","495060"," recueillir."
"495580","497520"," Est-ce qu'il est brutal ou progressif"
"497520","498080"," ?"
"498800","501260"," Est-ce qu'il coïncide ou pas avec"
"501260","505260"," un syndrome infectieux, ce qui peut nous permettre"
"505260","507320"," de penser à une myocardite virale ?"
"509530","512830"," Les fonctions vitales sont importantes à apprécier. "
"513330","519049"," L'examen cardiovasculaire va examiner les poux périphériques,"
"519990","522130"," la tension artérielle, l'existence d'un bruit"
"522130","526390"," de galop, les souffles, ses caractéristiques, s'il"
"526390","527950"," y a un assourdissement des bruits du cœur"
"527950","530310"," ou un frottement péricardique, s'il y a"
"530310","530750"," une cyanose."
"531630","534170"," Et puis, il ne faut pas oublier d "
"534170","535350","'inspecter la face."
"535910","536690"," Est-ce qu'il y a une dysmorphie"
"536690","540670"," faciale qui peut nous faire orienter vers des"
"540670","542490"," syndromes génétiques ?"
"542490","543570"," Est-ce qu'il y a des malformations"
"543570","544930"," des membres ?"
"544930","547070"," Attention à ne pas oublier d'ausculter le"
