"start","end","text"
"840","3800"," Bonjour, nous allons présenter le cours sur la"
"3800","4520"," prématurité."
"5660","7900"," Comment se définit la prématurité ?"
"7900","10140"," Le prématuré est un enfant né avant 37"
"10140","14560"," semaines d'âge gestationnel, soit avant le 259ème"
"14560","17240"," jour, depuis le premier jour des dernières règles."
"17980","20020"," On a trois catégories de prématurés. "
"20640","23680"," La prématurité modérée, ce sont les nouveaux-nous"
"23680","25840"," qui sont nés entre la 32ème et la"
"25840","28880"," 36ème semaine, 6-7ème d'âge gestationnel."
"28880","31920"," Il y a la grande prématurité, les bébés"
"31920","35480"," qui sont nés en 66 et 31, 6 "
"35480","38020","-7ème d'âge gestationnel."
"38300","40420"," Et puis, il y a l'extrême prématurité,"
"40900","42960"," ce sont les nouveaux-nés qui sont nés"
"42960","46600"," entre 22 et la 25ème semaine, 6-7ème"
"46600","47980"," d'âge gestationnel. "
"48560","51660"," La prématurité peut être soit isolée ou associée"
"51660","52960"," à une hypotrophie."
"53300","55880"," Nous avons également une définition basée sur le"
"55880","56620"," poids de naissance."
"56620","59140"," Le faible poids de naissance, les bébés qui"
"59140","62220"," sont nés à moins de 2500 grammes, les"
"62220","64120"," très faibles poids de naissance, les bébés nés"
"64120","67040"," à moins de 1500 grammes et les extrêmes"
"67040","69600"," faibles poids de naissance, les bébés qui sont"
"69600","71960"," nés à moins de 1000 grammes. "
"74980","78320"," Concernant les écologies de la prématurité, ils sont"
"78320","79860"," connus dans 60% des cas."
"80540","82640"," Il y a des facteurs obstétricaux, tels que"
"82640","85860"," les grossesses multiples, tels que le placenta prisia"
"85860","88680"," et les malformations utérines ainsi que les béances"
"88680","90120"," cervicales."
"90160","92140"," Il y a les facteurs maternels, tels que"
"92140","96080"," le diabète, la toxémie gravidique, la low immunisation"
"96080","97240"," et les infections. "
"98180","101720"," Des causes fotales, tels que les malformations chromosomiques,"
"101840","104720"," les infections fotales, les malformations congénitales."
"105620","108660"," Des facteurs socio-économiques, tels que la multiparité,"
"109300","112840"," les conditions défavorables du travail, l'âge maternel"
"112840","115260"," soit inférieur à 18 ans ou plus de"
"115260","119180"," 35 ans, une taille maternelle inférieure à 1m50,"
"119340","122680"," un poids inférieur à 45 kg ou bien"
"122680","124800"," des intervalles entre les grossesses à moins de"
"124800","126360"," 1 an ou de plus de 10 ans."
"129820","133100"," Toute prématurité y expliquée doit être considérée comme"
"133100","135000"," une infection jusqu'à preuve de vie. "
"135200","138860"," Il y a également la prématurité iatrogène provoquée"
"139660","142340"," Quand on extrait le bébé, soit pour sauver"
"142340","144120"," la maman ou pour le sauver lui-même,"
"144480","148020"," ça s'appelle une prématurité iatrogène et c "
"148020","150360","'est dans les cas de césarienne pour souffrance"
"150360","153700"," fœtale aiguë, pour pré-éclampsie ou pour hématome"
"153700","155680"," rétro-placentaire."
"159680","163240"," Concernant le diagnostic clinique, le diagnostic de la"
"163240","165840"," prématurité peut se faire de plusieurs façons."
"166600","169200"," D'abord, avant la naissance, La datation de"
"169200","171380"," l'âge gestationnel peut se faire soit à"
"171380","174820"," partir de la dernière date des règles, à"
"174820","177820"," condition que le cycle soit régulier, à travers"
"177820","180600"," l'échographie du premier trimestre entre la 12e"
"180600","183280"," et la 14e semaine améliorée, et c'est"
"183280","186200"," la datation la plus précise, à travers la"
"186200","189100"," courte thermique de la parturiante ou en connaissant"
"189100","192080"," le jour exact sécondant, dans l'aide à"
"192080","194020"," la procréation médicale par exemple. "
"195330","198170"," Après la naissance, il y a des scores"
"198170","201910"," qui sont utilisés pour évaluer l'âge gestationnel."
"202550","204370"," Les plus utilisés sont le score de Phare"
"204370","206450"," et le score de Bala qui vont s "
"206450","209250","'appuyer sur un simple examen clinique."
"209950","212390"," Le score de Phare se compose de plusieurs"
"212390","215810"," items, ainsi que de nombres allant de 0"
"215810","216610"," à 4."
"217070","220830"," 0 pour ce qui concerne la grande prématurité"
"220830","224350"," et 4 pour tout ce qui s'approche"
"224350","225170"," du terme. "
"226630","229850"," Concernant la peau, on va s'intéresser à"
"229850","232310"," la couleur, à la transparence de la peau,"
"232710","234310"," à la texture de la peau."
"234970","237290"," Ensuite, nous avons un item qui parle des"
"237290","238670"," œdèmes, des extrémités."
"239290","241350"," Nous avons également le lanugo. "
"241750","244110"," Le lanugo, c'est le duvet qu'on"
"244110","246690"," retrouve chez les nouveaux-nés qui sont nés"
"246690","249610"," plus prématurés."
"250390","252930"," Nous avons également d'autres items tels que"
"252930","257430"," le tissu mammaire, le module mamelonaire, les plis"
"257430","261690"," plantaires qui sont absents en présence d'une"
"261690","262730"," grande prématurité."
"263090","266370"," Et puis, on retrouve des indentations profondes sur"
"266370","268250"," toute la plante quand le bébé est à"
"268250","268490"," terme. "
"270680","273360"," On s'intéresse également aux oreilles, à leur"
"273360","274720"," forme, à leur fermeté."
"275520","277540"," Chez les nouveaux-nés à terme, les oreilles"
"277540","279440"," sont bien formées, elles sont fermes."
"279440","282580"," Et puis, pour les organes génitaux externes, il"
"282580","283600"," y a des particularités. "
"283780","286760"," Chez le sexe masculin, les testicules sont bien"
"286760","290080"," descendus dans leur scrotum chez le bébé qui"
"290080","290620"," est à terme."
"291300","294000"," Et puis, les grandes lèvres sont bord à"
"294000","296280"," bord chez la petite fille à terme."
"299030","301430"," Après avoir vu tous les items, ça nous"
"301430","303250"," permet à la fin d'établir un score. "
"303410","305250"," Nous prenons par exemple le score de sept"
"305250","308110"," qui correspond à 29 semaines d'âge gestationnel."
"308110","310930"," Ça nous permet de faire une datation de"
"310930","312870"," ce bébé qui est né et dont on"
"312870","315370"," ne connaît pas exactement l'âge gestationnel."
"316050","317570"," En plus du score de fin, nous avons"
"317570","321030"," aussi le score de valeur qui s'intéresse"
"321030","324070"," en plus de la maturité physique à la"
"324070","329490"," maturité neuromusculaire qui étudie donc la posture, le"
"329490","332550"," retour en flexion, l'angle poplité, le signe"
"332550","335870"," du foulard et le signe talon-oreille. "
"338200","341100"," Quand on a fini d'établir l'âge"
"341100","344860"," gestationnel à travers ces scores, nous devons obligatoirement"
"344860","348440"," toujours évaluer l'existence d'un retard de"
"348440","352180"," croissance intra-hétéra associé et cela ne peut"
"352180","355180"," pas se passer des courbes anthropométriques."
"355380","358580"," Nous devons mettre les bébés qu'on a"
"358580","363240"," datés sur les courbes poids, périmètre crânien et"
"363240","363540"," taille."
"366540","368740"," D'autres moyens sont possibles pour dater l "
"368740","369540","'âge gestationnel. "
"369540","374280"," L'électroencéphalogramme, l'imagerie cérébrale, surtout l'IRM"
"374280","377580"," et l'échographie transfrontalellaire et l'examen du"
"377580","378060"," fond d'œil."
"379460","381880"," En gros, le prématuré ressemble à un bébé"
"381880","384600"," qui respire vite, qui est plus rapide, qui"
"384600","387260"," a une petite taille, qui est harmonieux, qui"
"387260","390000"," est plus faible dans son poids, qui a"
"390000","393940"," une carthoracique étroite avec une peau fine, rosée"
"393940","397300"," avec un lacis veineux sous-cutané, un paniculadip"
"397300","400700"," très mince, des oreilles mal ourlées, un cartilage"
"400700","403320"," et des oreilles moues, les pluies plantaires qui"
"403320","406200"," sont effacées, une hypotonie, une faible réactivité."
"407460","410860"," Les organes génitaux externes chez les petits garçons"
"410860","412980"," trouvent des testicules qui ne sont pas descendues,"
"413440","415800"," un crotone non-twisté et chez la petite"
"415800","418420"," fille, des grandes lèvres bien séparées avec la"
"418420","419760"," protrusion des petites lèvres. "
"420400","425360"," Les scores de maturation morphologique et neurologique sont"
"425360","428100"," utilisés quand l'âge gestationnel n'est pas"
"428100","429380"," connu avec précision."
"430380","432820"," Le prématuré présente beaucoup de complications."
"433320","435380"," Nous devons les connaître afin de les prévenir"
"435380","436320"," et de les traiter. "
"437300","439440"," La première des complications la plus fréquente, c "
"439440","440100","'est l'hypothermie."
"440940","443620"," Elle doit être prévenue par un certain nombre"
"443620","444180"," de mesures."
"444180","446260"," D'abord avant la naissance, en préparant la"
"446260","446980"," salle de naissance. "
"448040","450020"," Et puis juste après la naissance, on doit"
"450020","452640"," le sécher par un linge propre sec et"
"452640","452880"," chaud."
"454120","457000"," Parfois par des sacs spéciaux qui diminuent la"
"457000","458080"," déperdition thermique."
"458860","460580"," Et après la naissance, si le bébé est"
"460580","463520"," hospitalisé, on doit le mettre dans un infubateur"
"463520","466580"," à température adéquate et limiter dans la mesure"
"466580","469720"," du possible la déperdition thermique. "
"470800","473920"," Parmi les autres complications métaboliques, nous retrouvons l "
"473920","478260","'hypoglycémie, l'hypocalcémie, l'hyponatrémie qui est expliquée"
"478260","481040"," par une extrême immaturité tubulaire."
"481720","483600"," Et donc, le nouveau-né perd beaucoup de"
"483600","486220"," sel, ce qui se traduit par une hyponatrémie."
"487100","489600"," Par conséquent, il y a une hypercadémie qui"
"489600","492420"," en résulte et qui risque d'entraîner une"
"492420","493500"," arrhythmie cardiaque. "
"493720","495800"," Donc, il faut monitorer les quotations égales."
"497100","500560"," Parmi les complications respiratoires, nous en avons plusieurs."
"500880","502460"," La première des choses, c'est la maladie"
"502460","505800"," de membranialisme qui se retrouve le plus souvent"
"505800","508060"," chez les prématurés de moins de 34 semaines"
"508730","511659"," et qui est une pathologie résultante d'un"
"511659","512840"," défaut de surfactant. "
"514080","517679"," Son traitement repose sur la prise en charge"
"517679","521480"," par le surfactant exogène par voie endotrachéale."
"522480","527320"," Parfois, une assistance respiratoire est importante afin de"
"527320","529560"," dépasser le cap des maladies de membranialisme."
"530540","534220"," Nous pouvons avoir cette assistance respiratoire soit une"
"534220","538240"," ventilation assistée ou bien une ventilation non invasive,"
"538900","539680"," c'est-à-dire la CIPA. "
"540620","543080"," La prévention dans la maladie de membranialisme est"
"543080","544120"," la plus importante."
"544820","547980"," Elle repose sur la corticothérapie avant la naissance"
"547980","549080"," chez la maman."
"550040","554160"," Les apnées sont également une des complications respiratoires"
"554160","555900"," les plus importantes, les plus fréquentes. "
"556500","558840"," Une apnée est définie par l'arrêt de"
"558840","562200"," mouvement respiratoire de plus de 20 secondes ou"
"562200","566860"," bien arrêt de mouvement respiratoire avec bradycardie et"
"566860","570200"," ou désaturation à moins de 85%."
"571700","574580"," Le traitement repose sur les moyens non médicamentaux,"
"574580","578960"," tels que les décubitus ventrales, les stimulations tactiles"
"578960","583060"," ou bien la pression positive nasale ou bien"
"583060","585920"," sur des traitements médicamentaux tels que la caféine."
"587420","590360"," Parmi les complications respiratoires, il y a également"
"590360","593680"," les anomalies de résorption des liquides pulmonaires, dits"
"593680","597940"," décrets respiratoires transitoires ou étoiles, d'autant plus"
"597940","600340"," fréquentes que la gestationnelle est basse. "
"600340","603720"," L'amélioration est en général rapide entre 2"
"603720","604460"," à 3 jours."
"606040","609820"," Et la radiothoraxe permet de retrouver une diminution"
"609820","613200"," de la transparence pulmonaire avec un syndrome interstitiel"
"613200","615080"," et un pouvoir qui est compliant."
"617180","619900"," Donc le mothoraxe est également une complication très"
"619900","621200"," fréquente chez les prélats. "
"621560","623840"," Nous arrivons aux complications neurologiques."
"624740","628580"," Les hémorragies intraventriculaires, ce sont des hémorragies qui"
"628580","631080"," naissent dans la zone urinative sous le tendymaire,"
"631080","633640"," dans le plancher du ventricule latéral et qui"
"633640","636420"," peuvent s'étendre et qui obéissent à une"
"636420","639520"," stagification allant du stade 1 jusqu'au stade"
"639520","639900"," 4."
"640620","642960"," Le stade 1 a un pronostic qui est"
"642960","646020"," très bon, le stade 4 a un pronostic"
"646020","646920"," fâché."
"648780","651340"," Voici un exemple d'une hémorragie grade 4."
"652100","655940"," La leucomalacie périventriculaire est liée à une miscellinicrose"
"655940","658080"," de la substance blanche périventriculaire. "
"658080","663020"," Ayant comme principale cause les apnées réprématurées."
"664880","667860"," Ainsi, l'échographie transfrontalinaire est systématique."
"668300","671700"," Dès la naissance, elle permet de dépister certaines"
"671700","674320"," lésions de cette leucomalacie périventriculaire. "
"675260","677660"," Le pronostic est en général fâché."
"678160","680620"," L'IRM cérébrale pose le diagnostic d'une"
"680620","682120"," façon certaine."
"682920","686680"," Parmi les complications neurologiques de l'arrhythmopathie des"
"686680","687220"," prématurés. "
"688440","692620"," Les complications digestives sont représentées par l'enthéropodique"
"692620","693820"," ou sur une écrosante."
"694300","696600"," Elle est grave, elle touche 1 à 3"
"696600","698420"," % des prématurés hospitalisés."
"699020","701980"," Elle correspond à une microcephalie d'appareil intestinal. "
"703920","707000"," Si on fait un ASP, on trouve un"
"707000","709040"," aspect de pleumatose radiologique."
"709920","713180"," Parmi les complications hémodynamiques, on retrouve l'impersécence"
"713180","714040"," du canal artériel."
"715220","718900"," Qui peut entraîner une insuffisance cardiaque chez les"
"718900","719320"," prématurés. "
"720240","722220"," Et un risque d'hémorragie intra-alvéolaire."
"722880","724900"," Le traitement repose sur la restriction hydrique."
"725560","728980"," Ainsi que l'ulitrophène ou l'indométacine injectables. "
"730300","733700"," La deuxième complication hémodynamique est représentée par l "
"733700","735040","'hypotension artérielle."
"735040","738840"," Il est donc très important de monitorer régulièrement"
"738840","742000"," la tension artérielle chez les nouveaux-nés prématurés."
"743020","745560"," Les autres complications sont représentées par le nucléaire. "
"745760","748000"," Avec un risque de faire un nucléaire nucléaire"
"748000","749980"," beaucoup plus important chez les prématurés."
"751140","753640"," Le prématuré fait également beaucoup d'années nues."
"754620","756920"," Par l'insuffisance de l'erythropoïdine. "
"757780","759680"," Il fait des océopénies qui sont l'équivalent"
"759680","760580"," d'un rachitisme."
"760580","763240"," Et il est très exposé à faire des"
"763240","764520"," infections et des sepsis."
"765820","768460"," Il est très important d'observer les règles"
"768460","771680"," d'asepsie très rigoureuses lors des soins du"
"771680","773840"," nouveau-né prématuré hospitalier. "
"774200","777300"," Le nouveau-né prématuré a, à côté des"
"777300","780620"," besoins médicaux qu'on lui prodigue, besoin de"
"780620","781620"," soins de développement."
"782180","785860"," Ces mesures reposent sur la promotion de l "
"785860","789700","'allaitement maternel qui est indiscutable dans la prise"
"789700","790700"," en charge du nouveau-né prématuré."
"792040","794140"," Les soins kangourous, le cœur à cœur ou"
