"start","end","text"
"390","3370"," Après le cours sur la dyspnée, on enchaîne"
"3370","6370"," avec un deuxième cours très intéressant portant sur"
"6370","9390"," les infections respiratoires aiguës de l'enfant."
"9790","12750"," Les infections des voies respiratoires chez l'enfant"
"12750","17050"," associent de façon variable de la fièvre, une"
"17050","19770"," toux et s'accompagnent ou non de difficultés"
"19770","20530"," respiratoires."
"21370","23090"," Les éléments en faveur d'une atteinte des"
"23090","26950"," voies respiratoires basses sans la fièvre, l'augmentation"
"26950","30410"," de la fréquence respiratoire, l'existence de signes"
"30410","33170"," de lutte et la présence d'anomalies à"
"33170","34490"," l'auscultation pulmonaire. "
"35450","39650"," Dans les infections respiratoires aiguës basses, on retrouve"
"39650","44830"," la bronchulite virale qui survient en période épidémique"
"44830","46750"," chez un nourrisson de moins d'un an."
"47390","51690"," Après une rhinopharyngite, l'enfant devient polypnéique avec"
"51690","55710"," des racines bilatéraux et ou crépitants lorsque l "
"55710","57230","'infection atteint les alvéoles."
"57710","60050"," On parle alors de broncho-alvéolite. "
"61550","64770"," On trouve également la bronchite."
"65250","66950"," Elle est souvent d'origine virale."
"67950","70270"," Elle suit une atteinte des voies aériennes supérieures. "
"71230","72710"," Et généralement, il n'y a pas d "
"72710","73910","'altération de l'état général."
"74410","76090"," Il n'y a pas de gêne respiratoire."
"76750","78670"," Et l'ébullition est souvent favorable. "
"79790","82390"," Et il y a la pneumonie."
"84030","87550"," La pneumonie aiguë se définit comme une inflammation"
"87550","91530"," des alvéoles et du tissu interstitiel pulmonaire avec"
"91530","95790"," accumulation des sécrétions dans les alvéoles, impliquant donc"
"95790","98130"," des symptômes et des signes respiratoires."
"98910","102670"," Le qualitatif de communautaire concerne les infections acquises"
"102670","106390"," en ondulatoire par opposition aux termes de nosocomial,"
"106970","109770"," définissant celles acquises en milieu hospitalier. "
"110810","114550"," On parle aussi de pneumonie compliquée par opposition"
"114550","117350"," à une pneumonie simple en présence d'un"
"117350","120670"," épanchement pleural, des signes de nécrose ou d "
"120670","121510","'abcès."
"122270","125610"," Malgré les progrès qui ont été réalisés, à"
"125610","130130"," savoir l'amélioration du niveau socio-économique et"
"130130","133390"," surtout l'impact de la vaccination, la pneumonie"
"133390","136990"," aiguë reste encore un problème de santé publique."
"138110","141650"," C'est une cause importante de consultation, cause"
"141650","145570"," importante aussi d'hospitalisation et cause majeure de"
"145570","147870"," décès, surtout chez les enfants de moins de"
"147870","148290"," 5 ans. "
"150230","152390"," Les étiologies sont diverses."
"153110","155830"," Peuvent être virales ou bactériennes."
"156790","159690"," Mais les pneumonies à pneumocoque sont les pneumonies"
"159690","160490"," les plus graves. "
"161810","165410"," Devant tout enfant présentant des signes d'infection"
"165410","170750"," respiratoire aiguë, la principale préoccupation du médecin est"
"170750","174790"," de dépister précocement les signes cliniques en faveur"
"174790","175510"," d'une pneumonie."
"176790","180230"," Quels sont les principaux agents étiologiques responsables de"
"180230","181670"," la pneumonie ?"
"181670","185150"," La pneumonie est suspectée chez tout enfant présentant"
"185150","188670"," un état fébrile associé à une tachypnée et"
"188670","189690"," ou un tirage."
"190830","195630"," Malgré sa prévalence élevée, établir le diagnostic étiologique"
"195630","199070"," de la pneumonie avec certitude reste un défi"
"199070","200110"," pour plusieurs raisons. "
"200810","203870"," L'accès direct au poumon est difficile, les"
"203870","207270"," sécrétions des voies respiratoires inférieures sont rarement obtenues,"
"207990","211490"," les hémocultures sont généralement négatives et pour des"
"211490","214630"," raisons évidentes, le lavage bronco-alvéolaire n'est"
"214630","216290"," que très rarement réalisé."
"217070","221230"," De plus, la coexistence de plusieurs pathogènes, plus"
"221230","223770"," d'une bactérie, plus d'un virus, y"
"223770","226970"," compris la combinaison de virus et de bactéries,"
"227470","230850"," complique encore la détermination de l'agent responsable."
"232390","235470"," L'étiologie est très majoritairement virale chez l "
"235470","237790","'enfant de moins de 5 ans, chez qui"
"237790","239970"," parfois on peut trouver plus d'un virus. "
"240830","244350"," Le pneumocoque est retrouvé à tout âge et"
"244350","247530"," représente l'étiologie bactérienne principale."
"248590","252830"," La prévalence du mycoplasme augmente progressivement avec l "
"252830","254950","'âge, chez les enfants plus grands."
"256529","260010"," Parmi les virus en cause, on retrouve l "
"260010","264530","'influensé A, l'influensé B, le virus respiratoire"
"264530","271190"," syncytial, le parainfluensé, l'adénovirus, le rhinovirus, l "
"271190","275210","'enterovirus et on peut avoir des co-infections"
"275210","277330"," entre plusieurs virus. "
"279070","282170"," Parmi les virus en cause, on retrouve l "
"282170","286330","'influensé A, l'influensé B, le virus respiratoire"
"286330","292330"," syncytial, le parainfluensé, l'adénovirus, le rhinovirus, l "
"292330","295550","'enterovirus et on peut avoir des co-infections,"
"295730","297230"," c'est-à-dire plus d'un virus."
"298230","301270"," Parmi les bactéries en cause, il y a"
"301270","308270"," le pneumocoque, le staphylocoque aureus, le streptocoque, le"
"308270","310550"," mycoplasme et le clamidier."
"312770","317090"," La fièvre, la toux et les difficultés respiratoires"
"317090","319510"," sont les signes d'appels les plus fréquemment"
"319510","320070"," retrouvés. "
"321010","323750"," Une fièvre très élevée et associée à des"
"323750","326490"," frissons marquent souvent le début brutal de la"
"326490","328490"," pneumonie franche aiguë à pneumocoque."
"329570","332690"," Chez le nourrisson, on peut trouver un refus"
"332690","336290"," de téter, des vomissements, une léthargie qui sent"
"336290","337390"," des signes de gravité."
"338450","340290"," Chez l'enfant plus grand, il peut y"
"340290","342790"," avoir des douleurs thoraciques en faveur d'une"
"342790","343770"," atteinte pleurale. "
"344810","346570"," Parmi les signes physiques, il y a la"
"346570","351050"," tachypnée, le tirage sous-costal qui constitue un"
"351050","354070"," élément de diagnostic mais aussi de gravité."
"354970","358530"," La donnée auscultatoire la plus évocatrice est la"
"358530","360670"," présence de râles crépitants au foyer."
"362490","366230"," Les signes cliniques du syndrome de condensation, matité,"
"366630","370330"," augmentation de vibration vocale, diminution du murmure vésiculaire"
"370330","378270"," sont surtout constants en cas de pneumonie La"
"378270","380970"," radiographie du thorax, si elle est faite, montre"
"380970","384130"," des images variables, des infiltres à diffus, un"
"384130","385290"," foyer systématisé. "
"386030","387950"," Et c'est donc une combinaison de facteurs"
"387950","391230"," incluant l'âge, l'état général de l "
"391230","396070","'enfant, la fréquence respiratoire, l'auscultation pulmonaire et"
"396070","399190"," les données de la radiographie thoracique qui vont"
"399190","401070"," nous aider à faire le diagnostic."
"401630","404130"," Mais tous ces éléments ne permettent pas de"
"404130","407970"," distinguer entre origines virales et origines bactériennes."
"409130","411750"," Ce qui distingue les pneumonies aiguës de l "
"411750","414210","'enfant de celles de l'adulte, c'est"
"414210","417970"," des tableaux cliniques atypiques avec des signes extraterrestres"
"417970","419270"," parfois au premier plan. "
"420470","423370"," Dans la pneumonie apicale, l'enfant peut présenter"
"423370","424290"," un méningisme."
"424850","426530"," C'est la forme pseudo-méningée."
