"start","end","text"
"2380","6080"," Chers étudiants, aujourd'hui, nous avons discuté d "
"6080","9680","'un thème, d'un thème très intéressant en"
"9680","10140"," pédiatrie."
"10240","12080"," Il s'agit de développement psychomoteur."
"13280","15980"," Nous allons parler des principaux repères et la"
"15980","19260"," manière d'explorer ce développement psychomoteur s'il"
"19260","19840"," y a un problème. "
"20220","23620"," Donc, on va voir quels sont les âges"
"23620","28560"," des acquisitions psychomotrices, à quel âge les nourrissons"
"28560","31820"," et les enfants sont capables de maintenir la"
"31820","35760"," position assise, de maintenir la position debout pour"
"35760","43620"," développer des compétences motrices, neurosensorielles, psychologiques qui vont"
"43620","48040"," leur permettre d'intégrer dans leur environnement et"
"48040","50300"," favoriser l'intégration dans leur environnement."
"51740","58780"," Donc, l'objectif principal dans cette présentation est"
"58780","62360"," de retenir ces repères, ces âges par rapport"
"62360","64580"," aux acquisitions psychomotrices qu'on va voir."
"65260","70320"," Et deuxièmement, il faut avoir une méthodologie d "
"70320","78240","'exploration, une compétence de savoir indiquer les explorations"
"78240","82360"," selon le tableau clinique et la nature de"
"82360","85220"," retard psychomoteur retrouvé. "
"87480","93080"," Quand on dit développement psychomoteur de nourrissons, nous"
"93080","98680"," faisons allusion principalement à une maturation qui va"
"98680","102380"," subir une loi qu'on appelle la loi"
"102380","104360"," cephalocaudale."
"105020","109540"," Ça veut dire que ces acquisitions vont commencer"
"109540","115780"," à partir de la partie céphalique et vont"
"115780","119700"," passer par la nuque, le tronc et les"
"119700","120620"," membres inférieurs."
"120940","125920"," Donc, ça suit une évolution cephalocaudale de façon"
"125920","126760"," grossière. "
"128419","132440"," Par exemple, à l'âge de trois mois,"
"133700","136440"," il y a un repère très important parce"
"136440","139420"," que ce nouveau né qui était incapable de"
"139420","140460"," maintenir sa tête."
"140680","143720"," Il va commencer à maintenir sa tête et"
"143720","147780"," à l'âge de six mois, il commence"
"147780","150480"," à avoir une position assise avec appui."
"150960","154660"," Puis après, à l'âge de 12, 14"
"154660","157920"," mois, il peut commencer la marche. "
"159220","162520"," Donc ça, c'est la loi cephalocaudale dans"
"162520","166440"," l'évolution de développement psychomoteur."
"167110","171520"," Et bien sûr, il s'agit ici de"
"171520","174660"," compétences essentiellement motrices et pour qu'il y"
"174660","178720"," ait une évolution normale de cette de ces"
"178720","181760"," acquisitions dans le schéma à gauche."
"186070","190320"," Il y a une schématisation du système nerveux"
"190320","192880"," central avec le cerveau, le cervelet, la moelle"
"192880","196020"," épinière et bien sûr, au niveau de la"
"196020","199480"," moelle épinière, la moto neurone, la moto neurone,"
"199600","203780"," les nerfs périphériques, la jonction neuromusculaire, le muscle"
"203780","204340"," et l'os. "
