"start","end","text"
"1100","6260"," Alors, nous avons un symptôme d'une pathologie"
"6260","10280"," qui est assez fréquente chez l'enfant et"
"10280","12780"," qui surtout angoisse beaucoup les parents."
"13820","16380"," Il s'agit de la déformation du dos"
"16380","17540"," chez l'enfant."
"19080","21420"," Alors, dans la déformation du dos chez l "
"21420","23800","'enfant, il y a pas mal de déformations. "
"23960","26620"," Dans la plus fréquente et la plus importante"
"26620","30160"," et la plus angoissante, c'est la scoliose."
"30160","32840"," C'est quoi une scoliose?"
"33340","35800"," Une scoliose chez l'enfant, c'est une"
"35800","39140"," inclinaison latérale du rachis, à droite ou à"
"39140","41160"," gauche, par rapport à la verticale."
"42220","44480"," Mais ce n'est pas une simple inclinaison,"
"44780","48120"," mais il y a une rotation vertébrale autour"
"48120","49660"," de l'axe rachidien. "
"50720","54560"," Cette rotation vertébrale avec cette inclinaison va être"
"54560","57620"," responsable de ce qu'on appelle une jubosité."
"58680","61380"," Cette scoliose peut être associée à une déformation"
"61380","67260"," sur le plan sagittal, notamment une syphose ou"
"67260","69620"," une syphose qu'on appelle une syphoscoliose."
"72380","75460"," Alors, la scoliose, c'est une déformation, c "
"75460","77700","'est une déviation latérale du rachis qui est"
"77700","79000"," supérieure à 10 degrés. "
"79900","81520"," C'est une déformation qui se fait en"
"81520","81980"," 3D."
"85740","88340"," L'objectif du cours, d'abord, c'est"
"88340","90200"," de reconnaître cliniquement une scoliose."
"90560","92000"," S'agit-il bel et bien d'une"
"92000","92500"," scoliose?"
"92980","95020"," Ça peut être une attitude scoliotique chez l "
"95020","95280","'enfant. "
"95520","96660"," Et là, on va le voir tout à"
"96660","98600"," l'heure pour faire la différence entre scoliose"
"98600","99740"," et attitude scoliotique."
"100500","102880"," Une fois que la scoliose a été reconnue"
"102880","105780"," cliniquement, il faut la mesurer."
"106280","109480"," Il faut savoir la mesurer cliniquement et radiologiquement. "
"109480","112300"," Une fois qu'on a mesuré cette scoliose,"
"112860","115980"," on doit trouver une cause à cette scoliose."
"117220","121140"," La scoliose, il faut aussi revoir, chercher le"
"121140","121480"," retentissement."
"122720","124060"," On va voir aussi qu'est-ce qu "
"124060","126400","'on a seulement d'une scoliose et puis"
"126400","128360"," l'évolutivité de cette scoliose. "
"128699","131240"," Et à la fin, après avoir réuni tous"
"131240","133580"," ces éléments là, il faut savoir expliquer aux"
"133580","136800"," parents le schéma thérapeutique, le pronostic de la"
"136800","137940"," scoliose de leur enfant."
"144500","147060"," Alors, les questions qu'il faut se poser."
"148240","149300"," Et c'est bien scoliose. "
"150280","153780"," Quelles sont ses caractéristiques scéniologiques radiologiques?"
"154680","155580"," Retrouver une cause."
"156460","157740"," Quel est le bilan de retentissement?"
"158420","160760"," A quel moment de croissance se situe tant?"
"161580","164200"," Quel est le potentiel évoqué et quel traitement"
"164200","164960"," proposer?"
"165800","168220"," La première question est une scoliose."
"168920","170500"," Alors, la première des choses qu'il faut"
"170500","173160"," éliminer d'abord avant de retenir la scoliose,"
"173480","175720"," c'est que éliminer une attitude scoliotique. "
"176940","178540"," Alors, tout d'abord, il faut voir le"
"178540","178940"," bassin."
