"start","end","text"
"650","4690"," Aujourd'hui, on va aborder le syndrome de"
"4690","5810"," Prader-Willi."
"7230","10650"," Quels sont les objectifs du cours ?"
"11450","13610"," Vous devez être capable, à la fin de"
"13610","16310"," cette séance, de connaître la définition et la"
"16310","19910"," fréquence du syndrome de Prader-Willi, d'écrire"
"19910","23890"," l'histoire clinique de ce syndrome, et surtout,"
"24230","27370"," citer les anomalies moléculaires à l'origine de"
"27370","31189"," ce syndrome, et bien sûr, connaître les moyens"
"31189","34250"," du diagnostic de certitudes qui sont génétiques."
"35250","37350"," De même, vous devez être capable de formuler"
"37350","42750"," un conseil génétique adapté devant ce syndrome, et"
"42750","46270"," enfin, d'écrire la prise en charge devant"
"46270","49950"," un patient qui présente un syndrome de Prader "
"49950","50390","-Willi. "
"51910","54490"," Le plan du cours est le suivant."
"55490","59910"," Après une introduction, on va détailler le tableau"
"59910","60410"," clinique."
"61370","64930"," Après, on va détailler tous les aspects génétiques"
"64930","65570"," de ce syndrome. "
"66890","71250"," Ensuite, on va aborder les moyens génétiques permettant"
"71250","76490"," de poser un diagnostic, permettant de confirmer le"
"76490","78090"," diagnostic clinique de ce syndrome."
"78090","84270"," Ensuite, on va aborder le conseil génétique adapté"
"84270","88430"," devant ce syndrome, et on va terminer par"
"88430","91310"," les moyens de prise en charge spécifiques et"
"91310","92830"," adaptés à ce syndrome."
"97610","102310"," Le syndrome de Prader-Willi, ou Prader-Labar "
"102310","107210","-Willi, est une maladie génétique décrite en 1956"
"107210","109230"," par Prader-Labar-Willi. "
"109590","113070"," Mais l'étiologie génétique n'a été retenue"
"113070","117190"," qu'en 1985, après la mise en évidence"
"117190","120730"," de la déletion du chromosome 15 paterné."
"121830","125290"," Ce syndrome est dû à l'absence ou"
"125290","128130"," à l'inactivation de certains gènes de la"
"128130","131670"," région proximale du bras long du chromosome 15,"
"131670","136790"," et spécifiquement entre la bande 1 et la"
"136790","139670"," bande 3 de la région 1 du bras"
"139670","141030"," long du chromosome 15."
"141270","143930"," C'est une pathologie de l'empreinte parentale"
"143930","145650"," que je vais vous expliquer par la suite"
"145650","146820"," dans le chapitre génétique. "
"148330","152710"," Donc, ce syndrome est le plus fréquent des"
"152710","155670"," syndromes à l'origine d'une obésité syndromique."
"156450","158910"," Donc, sa prévalence en Europe est de l "
"158910","161330","'ordre de 1 sur 50 000, alors que"
"161330","164130"," son incidence toujours en Europe est de l "
"164130","166750","'ordre de 1 sur 30 000 naissances."
"167630","170550"," Le tableau clinique de ce syndrome est très"
"170550","176030"," hétérogène, complexe et dominé par l'obésité, les"
"176030","179810"," difficultés d'apprentissage et les troubles psychiatriques. "
"182540","184980"," Qu'en est-il du tableau clinique?"
"186350","189090"," Le tableau clinique, comme je viens de le"
"189090","191430"," dire, est très hétérogène."
"192470","197530"," En général, il inclut une hypotonie néonatale, des"
"197530","202270"," difficultés alimentaires, un hypogonadisme nécessitant une prise en"
"202270","206270"," charge par les endocrinologues, une dysmorphie faciale qu "
"206270","209010","'on va détailler par la suite, une obésité"
"209010","214310"," d'origine centrale puisque les symptômes et les"
"214310","216770"," signes cliniques de ce syndrome sont à l "
"216770","222390","'origine d'un dysfonctionnement secondaire, un dysfonctionnement hypothalamique."
"222870","226190"," Donc, le tableau clinique inclut également un retard"
"226190","230370"," mental modéré, donc devant un retard, le syndrome"
"230370","233430"," de Prader-Willi est parmi les diagnostics à"
"233430","237110"," évoquer devant un retard mental, et bien sûr,"
"237230","240450"," les troubles du comportement qu'on va détailler"
"240450","241130"," par la suite. "
"244110","248570"," En antenatal, on pense à un syndrome de"
"248570","252310"," Prader-Willi devant une diminution des mouvements fœtaux,"
"253030","256510"," un hydramnios et un retard de croissance intra "
"256510","257089","-utère."
"259630","264950"," Durant la première phase après la naissance, qui"
"264950","266750"," peut s'étaler jusqu'à l'âge d "
"266750","269770","'un an et demi, le tableau clinique est"
"269770","274950"," caractérisé par une grande hypotonie néonatale."
"275870","278530"," On constate chez ces enfants, plutôt que chez"
"278530","282010"," ces nouveau-nés et nourrissants, une diminution du"
"282010","284770"," tonus et un relâchement musculaire. "
"285470","289590"," Donc, le diagnostic différentiel peut se poser avec"
"289590","293310"," les autres myopathies congénitales."
"293550","298490"," Des difficultés alimentaires, secondaires à des difficultés de"
"298490","303310"," suction et de la déglutition nécessitant une alimentation"
"303310","304590"," par un centre nasogastrique."
"305810","308710"," De même, le tableau clinique durant cette phase"
"308710","315470"," inclut une dysmorphie faciale comportant des yeux en"
"315470","320250"," amont, des lèvres chines et une bouche en"
"320250","321310"," chapeau de gendarme. "
"321750","323630"," Donc, je vais vous montrer des photos dans"
"323630","324710"," la slide suivante."
"324710","328350"," De même, le tableau clinique inclut de petites"
"328350","332130"," mains et de petits pieds, un hypogonadisme et"
"332130","333910"," un retard des acquisitions psychomotrices."
"337280","342060"," La deuxième phase, à partir de l'âge"
"342060","345800"," de 18 mois, durant cette phase, le tableau"
"345800","349720"," clinique inclut des troubles du comportement alimentaire. "
"350660","353780"," Donc, au départ, durant la première phase, on"
"353780","356560"," avait des problèmes d'alimentation dus à des"
"356560","359740"," difficultés de la suction et de la déglutition."
"360420","364160"," Là, après un an et demi, c'est"
"364160","368300"," une absence de satiété qui s'installe avec"
"368300","369860"," une hyperphagie."
"370460","374000"," Donc, c'est une obsession pour la nourriture"
"374000","377120"," à l'origine d'une obésité d'origine"
"377120","378080"," centrale. "
"379140","382240"," De même, le tableau clinique inclut un retard"
"382240","383210"," mental modéré."
"384000","387900"," Le quotient intellectuel varie entre 60 et 60."
"388560","390940"," Il y a une petite taille, donc un"
"390940","393640"," retard statural de moins de déviation standard. "
"394100","396560"," Rappelez-vous qu'en antenne interne, on a"
"396560","399460"," constaté un retard de croissance intra-utérin."
"400140","404940"," Les enfants ont de petites extrémités, petites mains"
"404940","406060"," et petits pieds."
"406060","407600"," Je vais vous montrer des photos tout à"
"407600","407840"," l'heure. "
"408340","410300"," Et une dysmorphie faciale modérée."
"410580","413700"," Vous voyez sur les photos à votre droite,"
"414100","419340"," des yeux en amande, une rétraction bitemporale, des"
"419340","423100"," lèvres chines et une bouche en chapeau de"
"423100","426300"," gendarme, si vous voyez l'enfant de profil."
"426300","431540"," De même, on peut constater une hypopigmentation cutanée"
"431540","435240"," quand il y a une microdélétion chromosomique de"
"435240","437420"," type 1 que je vais vous expliquer par"
"437420","437960"," la suite. "
"438380","441160"," De même, le tableau clinique inclut des anomalies"
"441160","444360"," osseuses à type de luxations congénitales de la"
"444360","447920"," hanche, une syphose et une scoliose nécessitant une"
"447920","450260"," prise en charge orthopédique adaptée."
"451980","457560"," Il y a aussi des anomalies hypothalamohippophysaires associant"
"457560","459680"," un retard statural, comme je viens de le"
"459680","462400"," dire, dû à un déficit au normand de"
"462400","467280"," croissance et un développement pubertaire incomplet, un hypogonadisme,"
"467620","470260"," nécessitant une prise en charge endocrinologique."
"470260","474840"," Donc, chaque fois qu'on pose le diagnostic"
"474840","477140"," d'un syndrome de Prader-Willi au service"
"477140","479380"," de génétique du CHU Mohamed VI de Marrakech,"
"479700","482520"," on adresse les patients pour une prise en"
"482520","484340"," charge adaptée au service d'endocrinologie. "
"485980","490220"," Et bien, également, le tableau clinique inclut une"
"490220","491560"," apnée de sommets."
"493200","497680"," Voici à gauche une fillette qui présente un"
"497680","499120"," syndrome de Prader-Willi."
"499480","504560"," Vous voyez la dysmorphie faciale, l'obésité et"
"504560","505560"," le retard statural. "
"506660","510800"," À droite, ce sont des photos d'un"
"510800","512320"," malade du service."
"512940","515820"," Vous voyez les petites mains et les petits"
"515820","516240"," pieds."
"517240","520000"," Donc, chaque fois que vous avez un enfant"
"520000","525140"," qui présente un retard statural, une obésité, un"
"525140","531540"," retard mental et une obsession pour la nourriture"
"531540","534960"," et l'obésité qui s'installe après un"
"534960","539040"," an et demi, il faut penser évoquer un"
"539040","540940"," syndrome de Prader-Willi. "
"544490","548370"," Le tableau clinique inclut également des difficultés d "
"548370","552230","'apprentissage et d'expression orale, un type de"
"552230","555890"," retard de langage, un problème d'élocution, une"
"555890","559930"," dysarthrie et un problème de mastication et de"
"559930","560690"," bégayement."
"560890","564690"," Donc, nécessitons une prise en charge orthophénique, orthophonique"
"564690","565430"," adaptée."
"565430","569170"," De même, ces patients ont des troubles psychiatriques. "
"569290","570770"," Je l'ai dit au départ lors de"
"570770","573690"," l'introduction que le tableau parmi les signes"
"573690","577630"," caractéristiques, c'est les troubles psychiatriques à type"
"577630","581590"," d'accès de colère et d'obsession et"
"581590","587090"," de persévération verbale qui tournent autour de l "
"587090","587810","'alimentation."
"587810","592250"," Ce sont des individus, des patients obsédés par"
"592250","596970"," la nourriture, de telle sorte que les parents"
"596970","600510"," sont obligés de fermer à clé leur réfrigérateur."
"601990","605030"," Donc, durant l'âge de 2 ans à"
"605030","611310"," 5 ans, les enfants ont un comportement caractérisé"
"611310","614930"," par une bonne humeur, une sociabilité, des accès"
"614930","616770"," d'écolaires et un entêtement. "
"617330","619510"," Mais au-delà de l'âge de 5"
"619510","621830"," ans, il y a une obsession pour la"
"621830","625890"," nourriture qui s'installe, une rigidité, une préférence"
"625890","629070"," pour la routine et le rituel, une tendance"
"629070","630870"," pour la symétrie et l'ordre."
"630870","634910"," Les facteurs déclenchants de ces accès de colère"
"634910","638290"," sont le changement de routine, la fatigue, le"
"638290","642950"," stress, la frustration, toujours en rapport avec la"
"642950","646070"," nourriture, d'où la nécessité d'une prise"
"646070","651190"," en charge psychothérapique spécifique et adaptée à ces"
"651190","651590"," patients."
"653730","658470"," À l'âge adulte, le tableau clinique est"
"658470","662270"," dominé par les complications de l'obésité, à"
"662270","666770"," savoir le diabète, l'atteinte respiratoire et cardiovasculaire. "
"667530","669490"," Donc, chez ces patients à l'âge adulte,"
"669550","673630"," chez les femmes, on constate une ménopause précoce"
"673630","676150"," et puis l'ostéoporose."
"680400","683460"," Qu'en est-il sur le plan génétique"
"683460","683820"," ?"
"686800","690280"," Il faut savoir que le syndrome de Prader "
"690280","694900","-Willi est une pathologie de l'empreinte parentale."
"695140","698360"," D'abord, c'est quoi l'empreinte parentale"
"698360","699000"," ?"
"699000","703540"," L'empreinte parentale, c'est une expression différentielle"
"703540","706220"," de certains gènes en fonction de l'origine"
"706220","708040"," paternelle ou maternelle. "
"708040","711440"," Vous savez qu'on est des sujets diploïdes."
"712040","716580"," Donc, pour les gènes localisés sur les autosomes,"
"717040","720460"," on a une version paternelle et une version"
"720460","721820"," maternelle."
"722400","725320"," En général, il y a expression de l "
"725320","728100","'allèle maternelle et de l'allèle paternelle pour"
"728100","732020"," chaque gène, sauf pour les gènes soumis à"
"732020","736140"," empreinte parentale, comme ceux impliqués dans le syndrome"
"736140","737120"," de Prader-Willi. "
"737120","741060"," Pour ces gènes impliqués, donc qui sont soumis"
"741060","744620"," à empreinte parentale, on aura l'expression soit"
"744620","748100"," de la version maternelle, soit de la version"
"748100","749200"," paternelle."
"750080","752600"," Donc, dans le cas de Prader-Willi, les"
"752600","755440"," gènes impliqués dans le syndrome de Prader-Willi,"
"755660","758000"," ils ne sont actifs que sur le chromosome"
"758000","761260"," 15 d'origine paternelle, alors qu'ils sont"
"761260","765140"," inactifs sur le chromosome 15 d'origine maternelle."
"765140","767940"," Je reviens sur la notion d'actif. "
"768060","769440"," C'est quoi un gène actif?"
"769600","772360"," Un gène actif, c'est un gène qui"
"772360","776820"," sera transcrit en ARN messager et traduit en"
"776820","777460"," protéines."
"777900","780620"," Un gène inactif, c'est un gène qui"
"780620","783800"," ne sera pas transcrit en ARN, donc il"
"783800","785500"," ne sera pas en ARN messager, donc il"
"785500","787780"," ne sera pas traduit en protéines."
"788540","790420"," Donc, je récapitule. "
"790980","793440"," Dans le cas du syndrome de Prader-Willi,"
"794060","797860"," les gènes impliqués sont actifs sur le chromosome"
"797860","801680"," 15 d'origine paternelle, alors que ceux qui"
"801680","805380"," sont sur le chromosome 15 d'origine maternelle,"
"805580","807040"," ils sont inactifs."
"807660","811320"," Dans quel cas on aura un syndrome de"
"811320","812440"," Prader-Willi?"
"812440","815320"," Donc, on aura un syndrome de Prader-Willi,"
"816000","819180"," soit s'il y a une déletion, absence"
"819180","823160"," de ces gènes-là sur la version paternelle"
"823160","826780"," du chromosome 15, ou bien perte de la"
"826780","830840"," fonction de cette région proximale du bras lent"
"830840","832780"," du chromosome 15."
"836200","840900"," Donc, vous voyez ici, à gauche, le chromosome"
"840900","841980"," 15. "
"842560","846080"," Et ici en rouge, la région proximale du"
"846080","850580"," chromosome 15 impliquée dans le syndrome de Prader "
"850580","851060","-Willi."
"851460","854580"," Elle est située entre la bande 1 et"
"854580","857700"," la bande 3 du bras lent du chromosome"
"857700","858700"," 15."
"859660","861120"," Donc, cette région-là. "
"862100","865220"," Donc, normalement, je vous ai dit que pour"
"865220","868140"," cette région impliquée dans le syndrome de Prader "
"868140","872780","-Willi, cette région est active sur le chromosome"
"872780","876760"," 15 d'origine paternelle et inactive sur le"
"876760","879480"," chromosome 15 d'origine maternelle."
"879480","882500"," On aura un syndrome de Prader-Willi s "
"882500","885240","'il y a absence ou inactivation de cette"
"885240","888440"," région sur le chromosome 15 d'origine paternelle."
"888700","889800"," Il est ombre. "
"890440","893480"," Alors qu'on a un autre syndrome, donc"
"893480","898780"," le syndrome de Dangelman, dont aussi c'est"
"898780","902580"," une anomalie de l'empreinte parentale sur la"
"902580","904620"," même région du chromosome 15."
"904620","907880"," Donc, ce syndrome-là, il associe un retard."
"907960","911940"," Le syndrome Dangelman associe un retard mental, une"
"911940","916940"," microcéphalie, une ataxie, des rires, et motivé. "
"917320","925060"," Donc, ce syndrome-là, le chromosome maternel en"
"925060","927940"," rose, donc les gènes dans cette région-là,"
"928160","932640"," 15Q proximale, sont actifs sur le chromosome 15"
"932640","934580"," d'origine maternelle en rose."
"934820","938080"," Et ils sont inactifs sur le chromosome 15"
"938080","940460"," d'origine paternelle en bleu."
"940780","942700"," Quand est-ce qu'on aura un syndrome"
"942700","943420"," Dangelman?"
"943420","947920"," Quand il y a des lesions ou inactivation"
"947920","953300"," au niveau de cette région 15Q proximale au"
"953300","956860"," niveau du chromosome 15 d'origine maternelle ici"
"956860","957600"," en rose. "
"965100","968480"," Donc, il faut savoir, pour que vous puissiez"
"968480","972540"," comprendre les mécanismes impliqués dans l'empreinte parentale,"
"973140","976780"," j'ai jugé nécessaire de vous faire un"
"976780","979820"," rappel sur le cycle de l'empreinte au"
"979820","981020"," cours de la vie."
"981580","983260"," Je vous ai dit tout à l'heure"
"983260","985560"," qu'on a des sujets diploïdes."
"985860","989560"," Au niveau des cellules gonadiques, que ce soit"
"989560","993060"," au niveau des ovocytes en rose ou des"
"993060","996360"," spermatogonies en bleu, vous les voyez sur le"
"996360","1001660"," schéma, donc, avant l'homéose, on a des"
"1001660","1004660"," sujets diploïdes. "
"1004720","1005040"," D'accord?"
"1005700","1011100"," Donc, au niveau des gonades, avant l'entrée"
"1011100","1012880"," homéose, qu'est-ce qui se fait?"
"1013380","1018380"," Il faut effacer cette empreinte parentale."
"1018820","1021060"," Parce que, si on prend l'exemple du"
"1021060","1024740"," syndrome de Prader-Willi, au niveau des gonocytes,"
"1024740","1026380"," je vous ai dit que c'est le"
"1026380","1029740"," chromosome 15 paternel qui est actif."
"1030800","1033880"," Donc, cette région proximale impliquée dans le syndrome"
"1033880","1036819"," de Prader-Willi, normalement, elle devait être active"
"1036819","1039680"," sur le chromosome d'origine paternelle en bleu"
"1039680","1045380"," et inactive sur le chromosome 15 maternel en"
"1045380","1045720"," rose. "
"1046339","1048760"," Mais avant l'homéose, qu'est-ce qui"
"1048760","1049480"," va se faire?"
"1049480","1053120"," On doit effacer cette empreinte."
"1053320","1057000"," Donc, on doit effacer l'empreinte au niveau"
"1057000","1060060"," du chromosome 15 d'origine maternelle."
"1060980","1064980"," Et après la division méiotique, donc la division"
"1064980","1069120"," équationnelle, donc, qu'est-ce qu'on doit"
"1069120","1069500"," avoir?"
"1069860","1074020"," On va avoir un chromosome par ovocyte. "
"1074020","1075480"," Donc, vous le voyez."
"1076700","1080080"," Et là, au niveau de ces ovocytes, qu "
"1080080","1080660","'est-ce qu'on aura?"
"1081040","1086000"," Ces ovocytes seront destinés à des allées d "
"1086000","1087660","'origine maternelle."
"1088720","1092280"," Donc là, on aura une apposition de l "
"1092280","1094720","'empreinte parentale maternelle. "
"1095220","1098200"," La même chose se fait pour les spermatozoïdes."
"1098200","1099840"," Après la division méiotique."
"1100320","1102660"," Donc, avant la division, il y a effacement"
"1102660","1106420"," de l'empreinte parentale paternelle. "
"1106940","1108200"," Donc, l'empreinte parentale."
"1108500","1111420"," Et après la division, on aura une apposition"
"1111420","1115280"," de l'empreinte parentale paternelle."
"1116800","1124020"," Donc, après la fécondation, on aura l'implantation. "
"1124020","1127620"," Donc, on aura l'implantation."
"1127840","1131340"," Durant cette phase qui suit l'implantation, on"
"1131340","1134840"," va maintenir cette empreinte parentale."
