"start","end","text"
"1160","5580"," Chers étudiants, nous entamons le dernier chapitre de"
"5580","9140"," l'immunopathologie de cette année, un chapitre consacré"
"9140","10680"," à l'immunothérapie."
"101470","107510"," L'immunothérapie, appelée également immunohintervention, consiste à intervenir"
"107510","110030"," sur le système immunitaire à plusieurs niveaux."
"110650","113450"," Soit pour corriger un état de déficit immunitaire,"
"114770","116470"," c'est ce qu'on appelle la substitution,"
"117410","121650"," ou le remplacement d'un acteur qui fait"
"121650","126810"," défaut, soit pour activer des acteurs du système"
"126810","132210"," immunitaire par une vaccination ou une stimulation, soit"
"132210","136790"," pour réguler des éléments du système immunitaire qui"
"136790","138590"," sont en déséquilibre, c'est ce qu'on"
"138590","142410"," appelle l'immunomodulation, soit pour induire un état"
"142410","145510"," d'inhibition ou d'immunosuppression. "
"145510","151610"," Cette immunothérapie trouve plusieurs indications en pratique clinique."
"152410","156070"," Elle est généralement administrée soit à visée préventive"
"156070","160210"," pour prévenir des infections, ou même certains cancers,"
"160370","163350"," on verra des exemples, soit à visée thérapeutique"
"163350","167970"," pour traiter soit des maladies inflammatoires, des maladies"
"167970","171570"," infectieuses, des maladies auto-immunes et également des"
"171570","172090"," myoplasies."
"173060","174930"," L'intérêt de ce chapitre est dans le"
"174930","178330"," fait que cette immunothérapie est d'abord une"
"178330","182210"," nécessité de prise en charge de beaucoup de"
"182210","183570"," maladies, d'essais immunitaires. "
"184210","187290"," Deuxièmement, elle a démontré son efficacité à travers"
"187290","190510"," des études cliniques et prouvées scientifiquement."
"191490","196470"," Troisièmement, il offre également des perspectives prometteuses pour"
"196470","200330"," prendre davantage en charge des maladies et d "
"200330","200890","'essais immunitaires."
"202090","204750"," Je vous propose ainsi d'aborder ce chapitre"
"204750","206510"," à travers trois axes. "
"206930","210190"," Le premier axe sera consacré à la vaccination,"
"211470","216090"," en étudiant les réponses immunitaires post-vaccinales et"
"216090","220410"," la notion de mémoire immunologique, également la cynique"
"220410","223370"," de la réponse humorale post-vaccinale, les mécanismes"
"223370","227970"," protecteurs induits selon le type de vaccin, les"
"227970","231210"," facteurs qui influencent la réponse post-vaccinale et"
"231210","234850"," avec également quelques notes sur les nouvelles approches"
"234850","236230"," vaccinales."
"236770","239190"," Comme deuxième axe, nous allons traiter les immunoglobules"
"239190","243710"," polyvalentes en abordant les objectifs de leur utilisation"
"243710","247690"," et les mécanismes de leurs actions, mais également"
"247690","249150"," les indications cliniques."
"249850","253190"," Et en troisième axe, nous traiterons l'immunosuppression,"
"254010","258110"," notamment les corticoïdes, les immunosuppresseurs et puis en"
"258110","260130"," dernier les anticorps monoclobules. "
"552600","554360"," Suite à l'introduction d'un vaccin dans"
"554360","557440"," un organisme, on va assister au développement de"
"557440","561520"," différentes réponses immunitaires avec une mémoire immunologique."
"562420","564520"," La reconnaissance d'un endogène vaccinal par un"
"564520","569060"," lymphocyte B naïf va entraîner l'activation de"
"569060","572740"," ce lymphocyte B qui va se différencier en"
"572740","574820"," plasmocytes producteurs d'anticorps."
"574820","578820"," Ces anticorps vont devoir subir deux phénomènes importants. "
"579440","583380"," Le premier consiste à assurer une maturation d "
"583380","585960","'affinité à travers ce qu'on appelle l "
"585960","589080","'hypermutation somatique, un phénomène qui s'opère au"
"589080","591600"," niveau des régions hypervariables des immunoglobulines."
"593120","597380"," Deuxièmement, comme ces anticorps sont initialement de type"
"597380","600120"," IgM, ils vont subir un deuxième phénomène qui"
"600120","603120"," s'appelle la commutation ésotépique qui consiste tout"
"603120","606400"," simplement à convertir l'IgM en d'autres"
"606400","609420"," classes, notamment l'IgG et l'IgA."
"610040","612920"," Avec ces plasmocytes producteurs d'anticorps spécifiques, on"
"612920","615900"," va assister également à la maturation de lymphocytes"
"615900","617740"," B et de plasmocytes mémoires. "
