"start","end","text"
"970","2610"," Chers étudiants, bonjour."
"3270","5670"," Aujourd'hui, ce sera notre dernier cours de"
"5670","8370"," ma partie de l'anatomie pathologique spéciale."
"8470","11270"," On va étudier ensemble les tumeurs de l "
"11270","11590","'ovaire. "
"12170","16110"," Alors, je suis docteur Raïs Hanen, enseignante et"
"16110","18050"," chef de service d'anatomie pathologique et on"
"18050","22490"," va essayer de décortiquer ensemble ce cours intitulé"
"22490","23750"," les tumeurs de l'ovaire."
"29260","31700"," Alors, les tumeurs de l'ovaire sont définies"
"31700","34180"," comme étant l'ensemble des tumeurs bénignes ou"
"34180","37640"," malignes, primitives ou secondaires développées au dépôt de"
"37640","38140"," l'ovaire."
"38640","41360"," Ce sont des tumeurs complexes et leur complexité"
"41360","46460"," dérive de la multiplicité des lésions histologiques rencontrées. "
"47780","52760"," C'est la conséquence d'une histogénèse et"
"52760","55480"," d'une embryogenèse qui est complexe, parce qu "
"55480","57520","'au niveau du tissu ovarien, on va trouver"
"57520","60620"," un revêtement épithélial, on va trouver des cellules"
"60620","63459"," germinales, on va trouver des tissus conjonctifs et"
"63459","66300"," tout ça peut donner des tumeurs à différents"
"66300","67200"," âges."
"67700","71660"," Alors, ils sont classés pour les tumeurs primitives"
"71660","74200"," de l'ovaire, en tumeurs bénignes qui sont"
"74200","76540"," majoritaires, heureusement, et qui survient entre 20 et"
"76540","78400"," 45 ans, les tumeurs malignes."
"78500","80160"," Le problème des tumeurs malignes, c'est que"
"80160","83700"," deux tiers sont diagnostiqués à un stade tardif"
"83700","90400"," et que c'est secondaire à la profondeur"
"90400","92640"," du siège anatomique de l'ovaire qui le"
"92640","95260"," rend accessible à l'examen clinique et qui"
"95260","99820"," peut rendre le pronostic grave. "
"109510","114730"," Alors, l'examen macroscopique d'une tumeur de"
"114730","118090"," l'ovaire montre des lésions qui sont polymorphes,"
"118090","121550"," avec parfois c'est juste un kiss simple,"
"121690","124430"," des fois c'est des tumeurs complexes avec"
"124430","126930"," des secteurs kystiques, des secteurs solides."
"128050","132370"," L'aspect macroscopique oriente le diagnostic, mais ne"
"132370","134010"," le confirme pas, il faut l'histologie."
"134650","138850"," Et puis, il oriente aussi le bilan d "
"138850","143170","'extension, mais il ne préjuge en rien le"
"143170","144870"," caractère bénormale de la lésion. "
"144870","150930"," Alors, la complexité lésionnelle et l'hétérogénéité du"
"150930","155110"," moral de l'ovaire rend judicieux de réaliser"
"155110","157070"," plusieurs prélèvements tissulaires."
"157470","158970"," Ce n'est pas une cassette ou deux"
"158970","160450"," cassettes, c'est plusieurs prélèvements."
"161130","163530"," Et là, le rôle du pathologiste est capital"
"163530","167210"," pour affirmer le diagnostic, évaluer le degré de"
"167210","171170"," malignité et fournir les éléments qui conditionnent le"
"171170","171810"," pronostic. "
"173120","177640"," On va adopter le plan suivant et les"
"177640","180380"," objectifs du cours sont pour différencier entre tumeurs"
"180380","184480"," ovariennes, épithéliales et non épithéliales, connaître les facteurs"
"184480","188840"," de risque des tumeurs ovariennes, définir les critères"
"188840","193900"," histologiques pour diagnostiquer et grader les tumeurs épithéliales"
"193900","197300"," de l'ovaire et connaître les facteurs pronostiques"
"197300","198700"," de l'ovaire."
"202130","207110"," Alors, comme rappel anatomique, l'ovaire est un"
"207110","214950"," organe profond, rétropéritoniel, qui est attaché à la"
"214950","218690"," trempe et c'est un organe père qui"
"218690","221170"," existe de part et d'autre de l "
"221170","221850","'utérus."
"222850","225950"," Alors là, c'est l'image macroscopique d "
"225950","228590","'un utérus fixé au formol. "
"228670","233210"," On voit très bien ici le corps utérin,"
"239280","242320"," les deux ovaires droite et gauche, la trempe"
"242320","247360"," ici avec un pavillon, et puis l'isme"
"247360","248960"," utérin et le col utérin."
"249960","254900"," Alors, au niveau de la trempe ovaire, la"
"254900","258440"," trempe est faite de quatre secteurs, une portion"
"258440","262680"," interstitielle intra-utérine, un isme, une ampoule et"
"262680","267320"," puis un pavillon qui se jette directement au"
"267320","270820"," niveau de l'eau verte."
"275270","279590"," Alors, sur le plan histologique, j'insiste sur"
"279590","283390"," ce plan puisque c'est la base de"
"283390","287210"," la compréhension de la tumorogénèse ovarienne. "
"287550","290690"," Alors, l'ovaire est bordé par un épithélium"
"290690","292990"," de surface cubique simple."
"292990","296610"," Cet épithélium, il a la potentialité de différencier"
"296610","299050"," son mullérienne multiple, c'est-à-dire qu "
"299050","302570","'il peut être cubique, comme il peut être"
"302570","305950"," cylindrique, cilié, comme il peut être pavimenteux, et"
"305950","308810"," donc il peut se différencier en les différents"
"308810","313810"," types histologiques de l'épithélium des organes mullériens,"
"313950","318290"," notamment le revêtement rénal, notamment endométrial, etc."
"320050","323950"," Alors, il est comporté, il va sur plan"
"323950","327990"," B, une corticale, cette corticale qui comporte des"
"327990","332930"," follicules ovariennes à différents stades de leur maturation,"
"333590","336490"," des cellules fibroblastiques et des cellules sécrétantes de"
"336490","337410"," l'hédi et sertoli. "
"339010","341510"," Et puis, une médulaire, là, il n'est"
"341510","344830"," pas visualisé en bas, qui comporte les vaisseaux"
"344830","346430"," sanguins et les lymphatiques."
"347250","349490"," Alors, c'est un schéma que j'adore,"
"349830","351950"," il est tiré d'un livre qu'on"
"351950","354090"," appelle le Rubens, c'est un classique d "
"354090","355090","'anatomie pathologique."
"355470","359590"," Alors, le revêtement épithélial de surface va donner"
"359590","362490"," les tumeurs épithéliales, que ce soit bénine, omaline"
"362490","363350"," ou borderline. "
"363810","367130"," Les follicules lymphoïdes, les cellules germinales vont donner"
"367130","368830"," les tumeurs germinales."
"368830","372010"," Alors, les cellules stromales vont donner les tumeurs"
"372010","373710"," du stroma et des cordons sexuels."
"374410","375850"," Et puis, du fait que c'est riche"
"375850","377910"," en vaisseaux sanguins, ça peut être le siège"
"377910","382010"," de métastases, notamment une métastase d'anadélocarcinome. "
"383510","387050"," Les facteurs de risque de cancer de l "
"387050","387430","'ovaire."
"387970","390850"," Alors, c'est essentiellement les antécédents personnels ou"
"390850","392950"," familiaux de cancer de l'ovaire."
"403270","406430"," Les antécédents personnels de cancer du sein, la"
"406430","413370"," descendance juive à Schenaz, l'hormonothérapie substitutive, le"
"413370","414970"," tabac à fumer et l'amiante. "
"415090","419990"," Les facteurs possibles à risque, c'est essentiellement"
"419990","422930"," l'obésité, malheureusement, l'application de poudre de"
"422930","423030"," soja, l'abstinence, l'abstinence, l'abstinence, l "
"423030","423130","'abstinence, l'abstinence."
"423130","424870"," Le talc au niveau des organes génitaux et"
"424870","428730"," l'adénomyosendométriose ovarienne."
"432250","436730"," Cliniquement, la symptomatologie est semblable, sauf pour les"
"436730","439210"," tumeurs fonctionnelles qui présentent des signes endocriniens. "
"439690","442350"," La symptomatologie est souvent sournoise lorsque la lésion"
"442350","445150"," est de petite taille et le volume tumoral,"
"445210","448530"," lorsqu'il est important, va réaliser une douleur"
"448530","453410"," abdominopelvienne, des compressions et invasions tumorales, masse latérotérile"
"453410","455750"," indépendante de l'utérus et on le sent"
"455750","459530"," lors du toucher rectal combiné à l'examen"
"459530","461650"," de l'abdomen clinique."
"462430","470830"," Et puis, syndrome endocrinien amélioré, disménoré, hémorragie génitale."
"472970","479330"," Alors, cliniquement, ces tumeurs peuvent comprimer les organes"
"479330","482170"," de voisinage s'ils sont de grande taille,"
"482330","484590"," s'ils sont malignes, peuvent même les infiltrer. "
"485350","488090"," Ils peuvent subir des torsions bénignes ou malignes,"
"488630","492470"," des hémorragies, des ruptures, une infection ou être"
"492470","494490"," compliqués par une acide s'ils sont des"
"494490","495270"," tumeurs malignes."
"496780","500420"," Les marqueurs tumorocériques, vous savez que c'est"
"500420","506320"," un moyen d'orientation diagnostique et aussi, surtout,"
"506900","511580"," essentiellement pour suivre la tumeur après traitement et"
"511580","513720"," voir une rechute ou bien une persistance de"
"513720","514360"," la tumeur."
"514880","520000"," Alors, on utilise le CA119-9 LACE pour"
"520000","524080"," les tumeurs mucineuses et le CA125 pour les"
"524080","524720"," tumeurs saines. "
"526120","528880"," C'est des données de l'échographie que"
"528880","532560"," les radiologues maîtrisent amplement."
"533400","536900"," L'essentiel pour nous, c'est un examen"
"536900","541600"," à demander en première intention, l'échographie abdominopelvienne"
"541600","545380"," avec une sonde vaginale ou bien une sonde"
"545380","546180"," abdominale."
"547020","549840"," Il permet la description de la lésion, le"
"549840","553400"," dépistage et de l'épanchement péritonial, l'examen"
"553400","556220"," de l'ovaire contralatéral et la recherche de"
"556220","557420"," pathologies associées. "
"557520","560040"," L'échographie ondo-vaginale en cas de Doppler"
"560040","563600"," couleur permet de mettre en évidence des tumeurs"
"563600","566160"," malignes, une orientation, non pas une confirmation, puisqu "
"566160","568180","'ils sont très vascularisés."
"573820","575300"," Alors, quels seront les prélèvements qu'on peut"
"575300","577280"," recevoir au service d'un atomique pathologique?"
"577280","580680"," On peut recevoir des prélèvements cytologiques, un liquide"
"580680","585620"," d'acide ou lavage péritonial, accompagnant une ovariectomie."
"587460","591300"," Cela permet de participer au staging des cancers"
"591300","593440"," de l'ovaire selon une stagification de figots. "
"593840","596460"," Ou bien les prélèvements tissulaires, une exérèse d "
"596460","601260","'un kyste ovarien, un kyste simple, un cystadénome,"
"601680","604220"," une annexiectomie, c'est-à-dire ovaire plus"
"604220","610120"," trempe, une hystérectomie totale non conservatrice avec onmontectomie,"
"610240","614400"," appendicectomie, surtout pour les tumeurs mucineuses, et la"
"614400","618600"," biopsie de l'ovaire contralatéral, les ganglions paraurtiques"
"618600","623520"," et un prélèvement de péritoine, une zone précise"
"623520","624760"," et les zones d'éclive."
"627800","633500"," Pour l'examen macroscopique, il faut orienter une"
"633500","635300"," pièce d'annexiectomie."
"635800","645900"," La trempe utérine et le méso salpinx sont"
"645900","648240"," en avant de l'ovaire. "
"651200","654720"," Cette pièce sera pesée et mesurée."
"654900","658400"," On mesure la trempe, la longueur, le diamètre"
"658400","662320"," et l'ovaire selon les trois dimensions."
"664320","666000"," Une fois que l'on reçoit une pièce"
"666000","669540"," d'ovariectomie, il faut l'ancrer à l "
"669540","670400","'encre de chine. "
"671320","674480"," Surtout lorsqu'on a une suspicion de végétation"
"674480","679300"," externe, par exemple ici, et on regarde les"
"679300","682320"," paramètres en encre pour voir l'extension de"
"682320","682860"," la lésion."
"684240","687900"," Alors là, c'est la classification anatomopathologique des"
"687900","688780"," tumeurs de l'ovaire."
"689880","693860"," Grosso modo, on a quatre grands chapitres des"
"693860","695200"," tumeurs ovariennes. "
"695420","700400"," On a les tumeurs épithéliales qui prennent naissance"
"700400","705220"," à partir du revêtement épithélial de surface ovarienne"
"705220","708700"," ou de la trempe et qui présentent des"
"708700","711080"," possibilités de différenciation mullérienne multiple."
"711560","714700"," Les cellules germinales vont donner les tumeurs germinales."
"714700","719160"," Les cellules du stroma ovarien vont donner les"
"719160","721240"," tumeurs du stroma et du cordon sexuel. "
"722120","725580"," Et le tissu conjonctif peut être le siège"
"725580","729780"," de métastase d'une tumeur à distance, notamment"
"729780","732840"," une tumeur coulique ou gastrique."
"733220","735680"," Ça c'est un tableau qui récapitule les"
"735680","739540"," caractéristiques des tumeurs de l'ovaire."
"739540","745960"," Les tumeurs ovariennes épithéliales sont fréquentes. "
"746080","749460"," Elles représentent 65% des tumeurs de l "
"749460","749800","'ovaire."
"749880","751220"," L'âge habituel, c'est au-delà de"
"751220","751760"," 20 ans."
"751760","761800"," Ils sont classés en tumeurs séreuses, mucineuses, endométriouides"
"761800","765080"," à cellules claires transitionnelles et autres en fonction"
"765080","768560"," de la différenciation mullérienne de la cellule épithéliale. "
"771640","775760"," La plupart des tumeurs malignes ovariennes sont des"
"775760","777500"," tumeurs d'origine épithéliale."
"777500","781900"," Les cellules germinales, les ovocytes, vont donner les"
"781900","782520"," tumeurs germinales."
"783480","785320"," C'est 15 à 20% des tumeurs"
"785320","785880"," de l'ovaire. "
"786240","788120"," L'âge habituel, c'est 0 à 20"
"788120","788380"," ans."
"788880","791400"," Soit c'est des teratomes matures ou immatures,"
"791500","796360"," des dysgerminomes, des tumeurs du sinus endodermique et"
"796360","797340"," du coriocarcinome."
"797400","799740"," Ils représentent 3 à 5% des tumeurs"
"799740","800480"," de l'ovaire. "
"800760","803000"," Les tumeurs du stroma et du cordon sexuel,"
"803160","805360"," c'est 5 à 10% des tumeurs"
"805360","805940"," de l'ovaire."
