"start","end","text"
"110","2450"," Nous abordons aujourd'hui le cours des tumeurs"
"2450","3110"," de la prostate."
"4910","8410"," On entend par tumeur prostatique l'ensemble des"
"8410","12990"," tumeurs bénignes ou malignes, primitives ou secondaires, développées"
"12990","14030"," au dépens de la prostate."
"16400","18460"," C'est le cancer urologique le plus fréquent"
"18460","19860"," chez l'homme de plus de 50 ans. "
"21020","24240"," Le diagnostic est suspecté devant une prostate augmentée"
"24240","27160"," de volume au toucher rectal et ou un"
"27160","29880"," dosage des marqueurs PSA."
"31710","34270"," Le diagnostic est confirmé sur biopsie."
"34990","37910"," Le type histologique le plus fréquent est l "
"37910","40150","'adénocarcinome de forme commune. "
"42740","44840"," Le rôle du pathologiste dans les tumeurs prostatiques"
"44840","49200"," est d'abord d'affirmer leur malignité, préciser"
"49200","53540"," le score de Gleason et émettre une stratification"
"53540","54360"," TNM."
"56570","61470"," Concernant les rappels anatomiques et histologiques, la grande"
"61470","67180"," prostatique se situe en avant du rectum, en"
"67180","68620"," dessous de la vessie."
"69760","72860"," Elle peut être subdivisée en trois zones, une"
"72860","79090"," zone périphérique, elle est plutôt le siège des"
"79090","88540"," adénocarcinomes, une zone centrale et une zone transitionnelle "
"88540","93300","-périphétrale, cette dernière est plutôt le siège des"
"93300","93980"," hyperplasies. "
"94940","99780"," Avec ces rappels, on peut comprendre aisément qu "
"99780","103320","'un adénocarcinome peut être repéré par un toucher"
"103320","106260"," rectal du fait de la proximité avec le"
"106260","106700"," rectum."
"107800","112220"," Aussi, les hyperplasies, qui siègent en périphétrale dans"
"112220","116360"," la zone transitionnelle, ont souvent des signes urinaires"
"116360","117620"," annonciatrices."
"119850","123350"," Toujours dans les rappels histologiques, la grande prostatique"
"123350","126170"," est formée par des glandes ramifiées qui sont"
"126170","130870"," tapissées par une double assise cellulaire, critère extrêmement"
"130870","134130"," important pour le diagnostic de l'adénocarcinome. "
"134830","140410"," En effet, dans l'adénocarcinome, la couche basale"
"140410","143630"," disparaît, il n'y a plus une double"
"143630","146050"," assise cellulaire mais une seule assise cellulaire."
"148000","150880"," En matière de tumeur prostatique, le matériel d "
"150880","154180","'étude peut être subdivisé en trois types de"
"154180","154680"," prélèvements."
"155280","158540"," D'abord, la biopsie éco-guidée, il s "
"158540","162120","'agit d'une biopsie étagée multiple devant obligatoirement"
"162120","166860"," englober la base, le corps et l'apexe,"
"166980","171260"," à droite et à gauche, en proximale et"
"171260","174680"," en distale, ce qui fait une cartographie prostatique"
"174680","179460"," qui va emporter 12 prélèvements dans 12 flacons"
"179460","185260"," séparés qui vont être techniqués avec une précision"
"185260","189580"," du siège exact de la biopsie. "
"191740","194160"," Deuxième type de prélèvements, ce sont les copeaux"
"194160","198780"," de résection trans-urétrale, ce sont matériel tumoral"
"198780","203640"," obtenu par uretroscopie, on va réséquer la tumeur"
"203640","207040"," pour obtenir des copeaux qu'on va inclure"
"207040","208840"," pour pouvoir l'étudier."
"209400","211620"," On peut aller jusqu'à une inclusion totale"
"211620","213840"," de tous les copeaux de résection."
"215560","217820"," Troisième type de prélèvements, c'est la pièce"
"217820","221460"," de prostatectomie radicale en cas de tumeur maligne"
"221460","222000"," de la prostate. "
"223930","226410"," Cette pièce, quand elle est reçue au laboratoire,"
"226610","229330"," elle doit être pesée, mesurée selon les trois"
"229330","229810"," dimensions."
"231170","232930"," Après, il s'agira d'orienter la pièce,"
"234010","237210"," on cédera des vésicules séminales qui accompagneront la"
"237210","239290"," pièce, qui sont situées en haut et en"
"239290","242570"," arrière, l'apexe de la prostate est en"
"242570","246710"," bas, la face postérieure plane et on peut"
"246710","250170"," répercurer le trajet de l'urètre, suite à"
"250170","254650"," quoi on ancre la capsule périphérique qui constitue"
"254650","257529"," la limite de résection de la pièce."
"259800","263140"," Les images de la pièce de prostatectomie radicale,"
"263220","266040"," la prostate avec les vésicules séminales et les"
"266040","269180"," canaux d'effet droit et gauche, c'est"
"269180","273580"," une pièce qui arrive non ancrée, une fois"
"273580","276780"," l'orientation faite, un ancrage avec un encre"
"276780","280480"," indélébile est effectué, cet encre reste même après"
"280480","286600"," la technique, ici, on peut ainsi facilement voir"
"286600","288080"," s'il y a une infiltration tumorale qui"
"288080","290420"," arrive à la limite de résection au niveau"
"290420","291000"," de la capsule. "
"293180","296240"," Une fois ancrée, la pièce sera coupée selon"
"296240","300220"," un protocole bien identifié, le protocole de Stanford."
"301880","304360"," La pièce de prostatectomie radicale est l'une"
"304360","306900"," des pièces les plus difficiles à couper en"
"306900","307900"," anatomie pathologique."
"308860","313620"," Ici, à titre indicatif, seulement les étapes qui"
"313620","317260"," seront faites selon le protocole de Stanford. "
"318460","321600"," En pratique, on coupe la prostate de bas"
"321600","325560"," en haut, on répertorie toutes les tranches, chaque"
"325560","329760"," tranche est coupée en morceaux antérieur droit, antérieur"
"329760","335140"," gauche, postérieur droit, postérieur gauche, chaque morceau est"
"335140","338120"," mis dans une cassette différente, le nombre de"
"338120","342700"," cassettes est extrêmement important dans une pièce de"
"342700","343920"," prostatectomie radicale."
"346760","349580"," La classification de l'OMS des tumeurs de"
"349580","353480"," la prostate est reprise dans ce tableau, mais"
"353480","357920"," en pratique, l'adénocarcinome prostatique est la tumeur"
"357920","360920"," principale au niveau de la prostate."
"362220","365580"," Entamons maintenant le chapitre de la description histopathologique"
"365580","366560"," des tumeurs prostatiques. "
"367240","370620"," Nous nous attardons au début aux lésions précancéreuses,"
"370960","375380"," appelées PIN pour Néoplasie intraépithéliale prostatique."
"376640","380280"," Comme dans la majorité des tumeurs, ces lésions"
"380280","382480"," précancéreuses peuvent être classées en bas grade et"
"382480","382960"," haut grade."
"384240","388780"," Les tumeurs prostatiques ont toutefois une particularité, c "
"388780","389840","'est que dans le contrôle de l'anatome"
"389840","393040"," pathologique, seule la présence de PIN de haut"
"393040","395320"," grade doit être signalée. "
"397160","400380"," Dans le PIN de haut grade, l'architecture"
"400380","402700"," en général est conservée."
"404020","407040"," Toutefois, les canaux deviennent de plus grande taille"
"407040","408900"," avec une lumière dilatée."
"410000","413460"," Le revêtement devient multistratifié, formant même à l "
"413460","416200","'extrême des touffes ou des papilles. "
"417880","421880"," Concernant le détail cytologique, les noyaux sont atypiques."
"423000","426440"," Ils présentent les mêmes atypies que l'adénocarcinome."
"428850","432030"," A la différence de l'adénocarcinome, dans les"
"432030","434490"," PIN de haut grade, l'assise basale est"
"434490","435150"," conservée. "
"436030","438990"," Une double assise est obligatoire pour poser le"
"438990","440530"," diagnostic de PIN de haut grade."
"442600","444660"," Voici des images de lésions de PIN."
"447540","448820"," Les tubes sont augmentés de taille. "
"448820","452660"," Un revêtement multistratifié."
"453440","455360"," Des atypies nucléaires."
"456540","462460"," Cette multistratification forme des touffes, voire des papilles. "
"463540","467080"," A l'extrême, ces papilles vont devenir coalescentes"
"467080","469440"," et donner même un aspect cribrifant."
"471840","477040"," Toutefois, la recherche de la couche basale par"
"477040","479700"," l'immunohistochimie s'avère positive."
"479700","482200"," Il s'agit donc d'un PIN de"
"482200","484580"," haut grade et non d'un adénocarcinome. "
"486850","489990"," On passe maintenant aux adénocarcinomes dans leur forme"
"489990","490970"," commune."
"491210","493230"," C'est le type histologique le plus fréquent."
"494710","496970"," 95% des carcinomes de la prostate sont"
"496970","497910"," des adénocarcinomes. "
"498770","500870"," C'est le premier cancer des organes génitaux"
"500870","501410"," urinaires."
"502850","505230"," L'âge de survenu est autour de 70"
"505230","505530"," ans."
"506410","509810"," Il est exceptionnel de faire le diagnostic d "
"509810","512030","'un adénocarcinome avant 40 ans. "
"514600","517159"," Le siège principal de développement de l'adénocarcinome"
"517159","520659"," est la zone périphérique postérieure, donc accessible au"
"520659","521380"," toucher rectal."
"522400","527000"," L'extension est d'abord locale, par contiguïté,"
"528480","530720"," mais aussi à distance dans les formes évoluées"
"530720","535040"," avec développement de métastases osseuses, notamment vertébrales."
"536930","541330"," Les circonstances de découverte peuvent être diverses. "
"542190","547960"," Fortuites, suite à des complications, notamment des retentions"
"547960","551360"," aiguës d'urine, ou bien par le développement"
