"start","end","text"
"1480","3880"," Le cours d'aujourd'hui concerne les tumeurs"
"3880","6600"," de la vessie et des voies excrétrices."
"8840","10820"," Il s'agit de l'ensemble des tumeurs"
"10820","15900"," bénignes et malignes, primitives ou secondaires, développées au"
"15900","17040"," dépôt des voies urinaires."
"18180","22700"," Principalement la vessie, mais aussi les calices, bassinées,"
"23460","25360"," urtères et uretres. "
"26780","30200"," Dans ces tumeurs, il existe une notion de"
"30200","31659"," maladie de l'urotélium."
"34380","37340"," Cette notion de maladie de l'urotélium ou"
"37340","40300"," maladie de la muqueuse urotéliale vient du fait"
"40300","41960"," que dans 8 à 10% des cas,"
"42500","46260"," les tumeurs sont de localisations multiples ou multifocales"
"46260","48620"," sur l'ensemble de l'arbre urinaire."
"52690","56370"," Nous consacrerons la majeure partie de ce cours"
"56370","59110"," à étudier les tumeurs de la vessie parce"
"59110","61190"," qu'elle constitue la grande majorité des tumeurs"
"61190","63010"," développées au niveau des voies urinaires. "
"64030","67290"," Elle représente le deuxième cancer urologique après celui"
"67290","71010"," de la prostate, principalement les tumeurs épithéliales."
"73410","76170"," Les tumeurs de vessie présentent un large spectre"
"76170","80410"," de lésions, depuis des tumeurs simplement récidivantes localement,"
"81290","83790"," jusqu'aux tumeurs agressives et métastatiques."
"86970","88830"," Voici le plan que nous allons suivre dans"
"88830","89750"," notre cours aujourd'hui. "
"91640","95840"," En guise de rappel anatomique, les voies urinaires"
"95840","99160"," s'étendent d'urin avec les calices, le"
"99160","104240"," bassinet, les deux urtères, puis la vessie et"
"104240","104680"," l'urètre."
"108350","111390"," Ces voies urinaires sont toutes tapissées par un"
"111390","114370"," épithélium dit transitionnel ou urotélium."
"115570","117750"," C'est la base de développement des tumeurs"
"117750","118890"," urotéliales. "
"120520","124900"," La paroi, en plus de la muqueuse, comprend"
"124900","128699"," un plan musculaire très développé, le muscle détrusor"
"128699","129699"," au niveau de la vessie."
"130500","135220"," Et en périphérie, on retrouve un adventis qui"
"135220","137880"," est couvert d'une séreuse seulement à la"
"137880","139400"," partie supérieure de la vessie."
"143570","145690"," Concernant la classification des tumeurs de la vessie"
"145690","148330"," et des voies excatrices, elles sont dominées par"
"148330","152710"," les tumeurs épithéliales, principalement de type urotélial. "
"154280","158160"," Les tumeurs non-épithéliales, beaucoup moins fréquentes, peuvent"
"158160","160400"," être de type mesenchymateuse ou autre."
"161680","164900"," Attention à ne pas confondre une tumeur primitive"
"164900","167380"," avec une métastase d'un cancer à distance"
"167380","170520"," ou surtout l'extension d'une tumeur de"
"170520","171080"," voisinage."
"173660","178080"," En images, la classification des tumeurs urotéliales. "
"181100","184640"," Quelques notions importantes avant de commencer la description"
"184640","186580"," de nos tumeurs de vessie."
"188860","191460"," Nous parlerons des tumeurs urotéliales de la vessie."
"192300","193300"," Elles peuvent être scindées en deux. "
"193880","196100"," Tumeurs papillaires, c'est-à-dire qui développent"
"196100","197500"," des papilles en surface."
"198660","201280"," Et des tumeurs non-papillaires, qui ne développent"
"201280","202200"," pas de papilles."
"203720","205960"," Les tumeurs papillaires sont les plus fréquentes. "
"205960","208000"," Elles sont scindées en deux."
"210100","215300"," Non-invasives ou infiltrant le chorion et dites"
"215300","216500"," donc invasives."
"218600","220820"," Dans les tumeurs papillaires non-invasives. "
"222060","224000"," Elles peuvent être scindées en papillomes."
"225640","228620"," Tumeurs papillaires de faible potentiel de malignité."
"229940","231800"," Le carcinome papillaire de bas grade. "
"232660","234960"," Le carcinome papillaire de haut grade."
"236530","242090"," Les tumeurs papillaires infiltrant le chorion ou dites"
"242090","242630"," invasives."
"243130","245590"," On aura alors ce qu'on appelle le"
"245590","247850"," carcinome urotélial infiltrant. "
"248530","250770"," Qui peut être de bas grade ou de"
"250770","251210"," haut grade."
"253360","255100"," Pour les tumeurs non-papillaires."
"256220","257880"," On a deux stades. "
"259100","260320"," Celui de carcinome insidu."
"260660","262160"," Comme dans toutes les autres tumeurs."
"263460","264450"," Et le stade suivant. "
"265200","267600"," C'est celui de carcinome urotélial infiltrant."
"268160","268920"," De bas grade."
"269920","270980"," Ou de haut grade. "
"275000","276720"," Toujours dans les notions importantes."
"276880","279900"," Avant d'entamer la description anatomopathologique des tumeurs"
"279900","280980"," de la vessie."
"281860","284540"," Et nous parlons des lésions urotéliales non-invasives. "
"284960","286420"," C'est à dire n'infiltrant pas le"
"286420","286740"," chorion."
"287840","288740"," Elles sont scindées en deux."
"289380","291440"," Selon qu'elles soient d'origine papillaire. "
"292460","293620"," Ou non-papillaire."
"294800","296020"," Pour les non-papillaires."
"296160","298160"," Elles ne diffèrent pas des autres tumeurs des"
"298160","299160"," autres localisations. "
"299920","303140"," La prolifération urotéliale à potentiel de malignité incertain."
"303880","305220"," C'est ce qu'on appelle l'hyperplasie."
"306360","307940"," La dysplasie. "
"308240","309820"," Et le carcinome insidu."
"312280","314580"," Intéressons nous maintenant aux lésions papillaires."
"314680","316740"," Qui sont particulières des tumeurs urotéliales. "
"317860","319960"," On a d'abord le papillome."
"319980","322500"," Avec une variante dite papillome inversé."
"323920","327720"," La néoplasie urotéliale papillaire de faible potentiel de"
"327720","328220"," malignité. "
"329260","331520"," Et le carcinome urotélial."
"331680","334060"," Papillaire de bas grade."
"335100","335960"," Et de haut grade. "
"337020","339760"," Notez le terme de carcinome urotélial."
"340520","342460"," Même si c'est non-invasif."
"342620","345820"," Une particularité des tumeurs urotéliales. "
"349580","351980"," Entendons la description des tumeurs de vessie."
"352260","354420"," En prenant comme type de description les tumeurs"
"354420","355600"," urotéliales vésicales."
"357070","360000"," En général, les tumeurs de vessie viennent au"
"360000","362620"," niveau du deuxième rang des tumeurs urogénitales. "
"363380","364600"," Une prédominance masculine."
"365540","367260"," Et un âge moyen de 65 ans."
"368700","371160"," 90% des tumeurs de vessie sont des"
"371160","372420"," tumeurs urotéliales. "
"373560","377180"," Avec un spectre allant d'une prolifération récidivante"
"377180","377520"," localement."
"378380","382660"," A des tumeurs agressives, voire qui vont métastaser."
"384320","386700"," Concernant les tumeurs urotéliales vessicales. "
"387300","389440"," 70% sont des tumeurs superficielles."
"392220","394180"," On verra ce que c'est ultérieurement."
"394880","397900"," 25% sont des tumeurs infiltrant le muscle,"
"398240","398920"," le détruisor. "
"399340","402080"," On verra l'importance de ce critère."
"402920","405880"," Et 5% sont des tumeurs métastatiques."
"409360","410560"," Concernant les facteurs de risque. "
"410860","415840"," On retrouve le tabac et l'exposition professionnelle."
