"start","end","text"
"460","3040"," Le cours d'aujourd'hui s'intitule méthode"
"3040","6660"," d'étude des organes lymphoïdes et lésions élémentaires."
"10240","14040"," On regroupe sous le terme organes lymphoïdes les"
"14040","19580"," ganglions, la rate, la moelle osseuse et le"
"19580","20100"," thymus."
"21700","26920"," Nous étudierons aujourd'hui principalement les ganglions, la"
"26920","28720"," rate et la moelle osseuse. "
"31689","35350"," Le diagnostic anatomopathologique des lymphomes nécessite des conditions"
"35350","38250"," optimales tant au niveau du prélèvement que de"
"38250","38950"," la conservation."
"39450","42750"," Il s'agit notamment de privilégier le site"
"42750","47750"," cervical pour le ganglion, privilégier la biopsie exérèse"
"47750","50490"," et proscrire autant que possible la biopsie partielle"
"50490","51270"," pour le ganglion."
"52050","54770"," L'acheminement rapide est la bonne conservation du"
"54770","55190"," prélèvement. "
"56330","59110"," Accompagnez ce prélèvement d'une fiche de renseignement"
"59110","61870"," clinique et biologique la plus complète possible."
"64560","68280"," Le diagnostic nécessitera une étude morphologique et très"
"68280","71240"," souvent un examen immunostochimique."
"72180","76240"," Parfois, des techniques complémentaires sont nécessaires comme la"
"76240","78860"," biologie moléculaire et l'étude cytogénétique. "
"81770","86150"," La responsabilité diagnostique est partagée entre le pathologiste"
"86150","87150"," et le chirurgien."
"87150","90670"," Ce dernier doit faire un bon prélèvement non"
"90670","95970"," écrasé avec des renseignements bien remplis et acheminés"
"95970","97370"," le plus rapidement possible."
"100310","103350"," Les ganglions lymphatiques représentent des éléments clés du"
"103350","105310"," système lymphatique et immunitaire. "
"106430","108530"," Ils sont placés en petits groupes ou chaînes"
"108530","109810"," en des points stratégiques."
"111190","114250"," Ils drainent les lymphatiques de diverses régions anatomiques."
"115690","119530"," A leur niveau se produisent des mécanismes de"
"119530","123770"," filtre avec reconnaissance d'antigènes et la production"
"123770","124410"," d'anticorps. "
"125410","128750"," L'architecture du ganglion est complexe avec de"
"128750","136750"," nombreux compartiments interactifs, forme macroscopique d'un ganglion"
"136750","137570"," normal."
"141780","145400"," Sur le plan histologique, le ganglion lymphatique comporte"
"145400","151220"," de la périphérie au centre, une capsule suivie"
"151220","154800"," du sinus sous-capsulaire, de la zone folliculaire"
"154800","156940"," à la zone médulaire."
"157900","162140"," Au niveau de sa partie convexe, on retrouve"
"162140","165100"," les lymphatiques afférents qui rentrent au niveau du"
"165100","165540"," ganglion. "
"166860","170160"," Dans sa partie concave, l'huile, d'où"
"170160","171940"," part le lymphatique efférent."
"173280","177080"," Au niveau de la zone corticale, on trouve"
"177080","181600"," deux petites zones, la zone folliculaire avec les"
"181600","185880"," follicules lymphoïdes et la zone parafolliculaire entre les"
"185880","186280"," follicules."
"191300","194400"," Sur ces deux photos, on voit l'organisation"
"194400","199600"," fonctionnelle des ganglions avec les lymphatiques afférents qui"
"199600","201320"," amènent les cellules immunitaires. "
"201320","206480"," Au niveau de la zone folliculaire et parafolliculaire"
"206480","210280"," du cortex, on va rejoindre la médulaire par"
"210280","213100"," ou pas, les lymphatiques afférents."
"213680","217500"," Sur l'image histologique, le cortex avec les"
"217500","222240"," follicules qui sont bien visibles, la médulaire, capsule"
"222240","222820"," périphérique."
"226780","230980"," Toujours les images histologiques avec la zone folliculaire"
"230980","233880"," avec un follicule lymphoïde, un autre follicule lymphoïde"
"233880","238760"," entre les deux, la zone paracorticale ou parafolliculaire. "
"242020","244960"," Le follicule lymphoïde peut être de deux types,"
"246300","250740"," primaire ou naïf et secondaire ou avec un"
"250740","254420"," aspect clair au milieu ou centre germinatif."
"256920","261100"," Les images histologiques, le follicule primaire et le"
"261100","264360"," follicule secondaire avec cet aspect clair au milieu"
"264360","267740"," de ce centre germinatif."
"270620","273960"," Toujours l'image histologique d'un follicule lymphoïde"
"273960","278080"," avec un centre germinatif clair et une zone"
"278080","278840"," plus sombre. "
"279760","284160"," Et en périphérie de ce follicule lymphoïde, on"
"284160","286300"," trouve une autre zone qu'on appelle la"
"286300","291320"," zone du manteau qui enveloppe le follicule lymphoïde."
"295000","298720"," Toujours un autre follicule lymphoïde avec un centre"
"298720","302020"," germinatif clair au centre."
"304430","307770"," Au niveau de la zone parafolliculaire, un élément"
"307770","310150"," important à connaître c'est ces veines qui"
"310150","312010"," paraissent un petit peu hyperplasiques qu'on appelle"
"312010","316870"," les veines postcapillaires qui sont caractéristiques de la"
"316870","318210"," zone parafolliculaire. "
"321740","324040"," La forme des cellules ou la morphologie des"
"324040","326460"," cellules est très variable au niveau des ganglions"
"326460","327060"," lymphatiques."
"328180","331480"," Des cellules jeunes à des cellules plus matures,"
"332020","332860"," plus évoluées."
"335560","338060"," Ces différentes cellules sont mélangées entre elles au"
"338060","339580"," niveau des différents territoires. "
"340480","341920"," Ce qui fait que la connaissance de la"
"341920","345780"," bonne morphologie des cellules est capitale pour établir"
"345780","348760"," un bon diagnostic, notamment de l'info."
"352510","356230"," Aspect des cellules alimatae et ignosées."
"359110","363870"," En général, en pathologie tumorale, ganglionnaire, on va"
"363870","367710"," s'aider de l'examen immunohistochimique et notamment"
"367710","372170"," de deux anticorps, le CD20 et le CD3. "
"373650","376190"," Si on les utilise, on va noter qu "
"376190","379470","'ils vont marquer des territoires différents les uns"
"379470","379890"," des autres."
"380870","384910"," Le CD20 marque les follicules lymphoïdes, donc la"
"384910","387590"," zone B, la zone des lymphocytes B."
"388530","393490"," Le CD3 marque la zone parafolliculaire, la zone"
"393490","396090"," des lymphocytes T."
"400120","403300"," Un autre anticorps à l'examen immunohistochimique qui"
"403300","409180"," peut être intéressant, c'est le KI67 qui"
"409180","411860"," représente l'index mythotique, c'est à dire"
"411860","414600"," les cellules qui sont en cycle, en train"
"414600","419220"," de se multiplier, sont marquées par cet anticorps."
"421140","425080"," En pratique, au niveau du cortex, la zone"
"425080","428800"," folliculaire est une zone B qui est composée"
"428800","432640"," de centres germinatifs avec des lymphocytes transformés, en"
"432640","436320"," centrocytes, des petites cellules, et en centroblasts, de"
"436320","437220"," grandes cellules. "
"437560","438800"," On trouve aussi des macrophages."
"439570","442960"," En périphérie des follicules, on retrouve le manteau"
"442960","447240"," folliculaire formé par de petits lymphocytes en couronne"
"447240","448760"," autour du follicule lymphoïde."
"449620","451880"," Entre les follicules lymphoïdes, on a la zone"
"451880","458060"," T paracorticale qui comporte beaucoup de lymphocytes T"
"458060","459880"," et quelques lymphocytes B."
"461060","464040"," Au niveau de la médulaire, on a principalement"
"464040","465080"," des plasmocytes. "
"466120","470020"," Enfin, dans les sinus, notamment en dessous de"
"470020","474460"," la capsule, on retrouve énormément de dyslucites."
"477260","480280"," En image, la zone corticale avec les zones"
"480280","486400"," folliculaires B, la zone T entre les follicules"
"487220","488760"," et avant la médulaire."
"492520","494740"," Concernant la forme et la taille des cellules,"
"495520","498980"," on note les cellules de petite taille et"
"498980","500060"," les cellules de grande taille. "
"501040","503920"," Ces cellules peuvent être un noyau régulier, ça"
"503920","505180"," peut être des lymphocytes B ou T."
"506620","508980"," Elles peuvent être un petit peu encochées, ce"
"508980","511140"," sont à ce moment-là des centrocytes type"
"511679","511980"," B."
"514770","517970"," Pour les grandes cellules, on a les centroblasts"
"517970","519809"," et les immunoblasts."
"520350","523210"," Les centroblasts sont plutôt des cellules B."
"523970","527050"," Les immunoblasts peuvent être B ou T."
"528370","531030"," A chaque fois qu'on parle de cellules"
"531030","533490"," avec une terminaison en cytes, c'est des"
"533490","534090"," petites cellules."
"534910","537550"," Une terminaison en blasts, c'est des grandes"
"537550","538030"," cellules. "
"540930","543570"," Aspect des cellules au niveau du follicule lymphoïde"
"543570","546530"," entre des lymphocytes de petite taille au niveau"
"546530","550910"," du manteau, des centroblasts de grandes cellules, des"
"550910","556570"," centrocytes, mais aussi, attention, aux macrophages qui sont"
"556570","559050"," à l'intérieur des follicules lymphoïdes."
"561800","565460"," Toujours dans ce long chapitre des rappels, un"
"565460","566900"," rappel immunologique."
"569700","573220"," La cellule lymphoïde prend son origine d'une"
"573220","578000"," cellule commune, cellule souche lymphoïde, qui va soit"
"578000","581320"," se différencier vers la voie des lymphocytes B"
"581320","585780"," ou la voie des lymphocytes T jusqu'à"
"585780","588440"," arriver à la cellule mature, notamment les plasmocytes"
"588440","592000"," pour les B et les cellules lymphocytes T"
"592000","594840"," matures pour les lymphocytes T."
"596460","599040"," Dès le début et jusqu'au cours de"
"599040","601900"," la phase finale de sa maturation, la cellule"
"601900","606780"," va avoir des marqueurs ou des récepteurs antigéniques"
"606780","610360"," en surface ou cytoplasmiques. "
"610780","613980"," Ces marqueurs vont se modifier au cours de"
"613980","614900"," la différenciation."
"615660","620520"," CD34 au début qui va disparaître, le CD19"
"620520","623300"," qui va apparaître et perdurer, et ainsi de"
"623300","623820"," suite."
"624220","627120"," Ceci pour la voie B et pour la"
"627120","628420"," voie T."
"629240","632600"," Ces éléments sont extrêmement importants pour le diagnostic"
"632600","635280"," des lymphomes parce qu'ils représentent des marqueurs"
"635280","638820"," qu'on va pouvoir chercher à l'examen"
"638820","642580"," immunohistochimique pour voir quelle cellule, est-ce que"
"642580","644580"," c'est une cellule B, donc un lymphome"
"644580","647800"," B, ou une cellule T, donc un lymphome"
"647800","650900"," T, et surtout à quelle phase de maturation"
"650900","652700"," s'est arrêtée la cellule. "
"656090","658550"," Passons maintenant au matériel d'étude."
"660690","663930"," Tout d'abord la cytoponction ganglionnaire."
"664830","667430"," A chaque fois que le ganglion est accessible,"
"668270","671750"," on peut le ponctionner et étaler le contenu"
"671750","675290"," sur une lame qui pourra être étudiée et"
"675290","679730"," analysée et un diagnostic peut être suspecté ou"
"679730","681650"," affirmé très rapidement. "
"683270","685650"," C'est une technique qui est peu coûteuse"
"685650","689030"," et qui peut être efficace entre les mains"
"689030","690070"," d'experts."
"692980","696860"," Donc la cytoponction ganglionnaire est un examen facile"
"696860","700880"," qui peut permettre un diagnostic rapide surtout si"
"700880","702480"," elle est entre les mains d'une personne"
"702480","703320"," experte."
"704800","708020"," Elle va étudier la cytologie mais ne va"
"708020","710200"," pas renseigner sur l'architecture. "
"711200","712660"," Elle n'a de valeur qu'en cas"
"712660","713700"," de positivité."
"717030","719870"," Deuxième matériel d'étude, la biopsie ganglionnaire."
"720230","722110"," C'est un geste simple qui est peu"
"722110","722950"," traumatisant. "
"723890","726250"," Il peut apporter des informations à des fins"
"726250","732870"," diagnostiques, pronostiques et être un geste thérapeutique."
"735170","739050"," La biopsie ganglionnaire doit être représentative de la"
"739050","739430"," lésion."
"740390","742710"," Attention aux lésions focales au niveau d'un"
"742710","743110"," ganglion. "
"744310","748570"," Pour éviter les faux négatifs, la biopsie exerèse"
"748570","749490"," est indiquée."
"750290","753310"," Elle doit être faite délicatement pour ne pas"
"753310","755130"," écraser le tissu."
"758130","761170"," Pour le choix du ganglion, la biopsie ganglionnaire"
"761170","762910"," doit être guidée par l'examen clinique. "
"764010","766530"," On ciblera un ganglion qui est pathologique, soit"
"766530","770810"," par sa taille, sa forme, sa consistance ou"
"770810","772590"," son adhérence à son environnement."
"773550","778490"," En pratique, toujours éviter le ganglion inguinal ou"
"778490","778890"," rétrocrural."
"783250","786310"," Autant que possible, choisir la plus grosse adénopathie"
"786310","789490"," et éviter de biopsier un ganglion au voisinage"
"789490","792210"," d'un foyer inflammatoire, ce qui peut gêner"
"792210","796530"," l'interprétation anatomopathologique, et les ganglions inguinaux, car"
"796530","799810"," souvent remaniés par de la fibrose et l "
"799810","800410","'inflammation. "
"803540","806500"," Le ganglion prélevé doit être bien conditionné."
"807620","808840"," Deux cas de figure."
"809240","812980"," Si un laboratoire d'anatomopathologie est à proximité,"
"814280","816900"," il faut d'abord avertir l'anatomopathologiste. "
"817620","820120"," Lui adresser le ganglion le plus rapidement possible,"
"820800","821320"," non couper."
"822680","825880"," L'adresser frais, non fixé."
"826160","828280"," C'est l'anatomopathologiste qui le fixera. "
"829860","832580"," Mais il ne faut pas le laisser se"
"832580","833080"," dessécher."
