"start","end","text"
"1420","4460"," Aujourd'hui, je vous présente les luxations pérennariennes"
"4460","5020"," du carpe."
"8140","10960"," Elles sont décrites par la perte de contact"
"10960","13300"," total entre l'unatome et le reste du"
"13300","14200"," massif carpien."
"14840","18820"," Souvent, elles sont postérieures et souvent non diagnostiquées"
"18820","21400"," en urgence à la première consultation, d'où"
"21400","25440"," la proportion très importante des luxations pérennariennes du"
"25440","26540"," carpe invétérée. "
"27560","30140"," On commencera par un rappel anatomique."
"30140","33060"," Alors, le carpe s'organise en deux rangées,"
"33700","36160"," comme vous le voyez sur cette coupe frontale."
"36260","38280"," Une première rangée composée du dehors vers le"
"38280","41600"," devant, jusqu'à phoïdes, du lunatome et du"
"41600","44360"," trichéterone, et une deuxième rangée inférieure qui est"
"44360","45840"," composée toujours du dehors vers le devant, du"
"45840","51280"," trapézoïde, capitatome et amatome. "
"54130","56590"," Autre élément anatomique à rappeler, c'est cette"
"56590","61930"," configuration sur une coupe sagittale qui est l "
"61930","65570","'alignement du troisième état carpien avec le capitatome,"
"65790","68870"," avec le lunatome et l'extrémité inférieure du"
"68870","69130"," radieux."
"69230","72130"," Je vous rappelle ces éléments-là pour une"
"72130","75650"," bonne analyse radiologique où on va retrouver cet"
"75650","76190"," alignement."
"77570","81150"," Dans ce rappel anatomique, on s'intéressera au"
"81150","86730"," canal carpien qui est un espace ostéofibreux, livrant"
"86730","91350"," passage au tendon fléchisseur des doigts et au"
"91350","91970"," nerf médian. "
"92130","93930"," C'est un espace qui risque d'être"
"93930","100530"," diminué et faisant souffrir le nerf médian, d "
"100530","104190","'où ces symptômes on verra lors du chapitre"
"104190","108970"," clinique, où on retrouvera des signes de souffrance"
"108970","112550"," du nerf médian, voire même paralysie du nerf"
"112550","113030"," médian."
"113030","116990"," Sur le plan éthiopathomogénique, c'est une entité"
"116990","119910"," qui est peu fréquente, atteignant surtout le sexe"
"119910","123590"," masculin et l'adulte jeune, et souvent le"
"123590","124730"," mécanisme est indirect."
"127660","130220"," Toujours dans le chapitre éthiopathomique, le mécanisme est"
"130220","131380"," indirect, c'est-à-dire c'est un"
"131380","134580"," mécanisme par une hyper-extension du poignet du"
"134580","136520"," fait d'une chute sur la forme de"
"136520","139080"," la main et fait déplacer le corps par"
"139080","140540"," rapport au lunatome. "
"142750","148250"," Wagner s'est intéressé au mécanisme survenu de"
"148250","153090"," ces luxations, et a distingué quatre lignes, dites"
"153090","156910"," lignes de dislocation du corps, selon Wagner."
"157550","159650"," On retrouvera quatre."
"160510","162710"," Alors la plus classique, la plus connue en"
"162710","166630"," rouge, c'est la trichétro-lunocapitadoradioscaphoïdienne, où il"
"166630","167550"," n'y a pas de fracture, c'est"
"167550","170150"," une luxation périlunaire du cas. "
"170870","175890"," La trichétro-lunocapitadoradioscaphoïdienne, qui se terminera sur l "
"175890","177630","'extrémité inférieure du radius avec une fracture de"
"177630","179890"," la scyloïde, c'est celle en violet."
"180630","183830"," La trichétro-lunocapitadoradioscaphoïdienne, où la ligne de force"
"183830","186070"," va se terminer sur le scaphoid, va le"
"186070","189070"," fracturer, et on retrouvera les fractures transscaphoïdiennes, une"
"189070","192530"," variante ou forme clinique de ces luxations périlunairiennes."
"192810","194910"," Et enfin, la toute dernière en bleu, c "
"194910","201170","'est la trichétro-lunocapitadoscaphotrapézoïdienne, c'est une luxation"
"201170","206170"," périlune qui s'associe à une luxation scaphotrapézoïdienne,"
"206250","210870"," et le bloc lunatome-trapézoïde va se désolidariser"
"210870","212390"," du reste du corps. "
"214450","218210"," Les circonstances de survenue de cette lésion, c "
"218210","221290","'est souvent un traumatisme de haute énergie, c "
"221290","223830","'est le classique high energy trauma chez les"
"223830","226190"," anglo-saxons, ou bien c'est un accident"
"226190","228830"," de la voie publique, souvent dans notre contexte"
"228830","232490"," régional, les accidents de motocyclette, ou encore les"
"232490","234950"," chutes d'un lieu élevé avec réception sur"
"234950","236630"," la peau de l'âme."
"238610","243370"," Sur le plan anatomopathologique, la luxation rétro-lunaire"
"243370","245730"," du corps est retrouvée dans la majorité des"
"245730","248930"," cas, pouvant être associée à des fractures, notamment"
"248930","252490"," la luxation transscapholunaire, ou bien, plus rare, c "
"252490","253830","'est la luxation antilunaire."
"254770","257510"," On notera aussi la fracture de l'acyloïde"
"257510","259750"," radial, les fractures des os du corps, le"
"259750","261730"," plus souvent c'est le trichéthrome, ou encore"
"261730","264150"," le grand os rentrant dans le cadre du"
"264150","265610"," syndrome de Fenton. "
"265870","269270"," Lésion neurologique, c'est surtout la lésion lunaire"
"269270","269790"," médiane."
"270970","273970"," Nous arrivons au chapitre clinique, et nous avons"
"273970","275590"," pris comme type de description, c'est la"
"275590","276770"," luxation rétro-lunaire."
"277490","279770"," Alors à l'interrogatoire, on se retrouve devant"
"279770","282870"," un sujet jeune, ayant un traumatisme du poignet,"
"282950","284710"," dans une circonstance souvent d'accident de la"
"284710","287510"," voie publique, avec une chute sur la paume"
"287510","290770"," de la main, en extension, et rapportant la"
"290770","294930"," notion de douleur importante, impotence fonctionnelle, et des"
"294930","299170"," fourmillements, des paresthésies du premier et deuxième doigt"
"299170","299750"," de la main. "
"300930","304630"," A l'inspection, on remarquera un poignet épaissi,"
"305230","306930"," déformé en dos de fourchette."
"306930","308830"," Cet aspect de dos de fourchette est un"
"308830","311150"," peu plus bas par rapport au dos de"
"311150","312730"," fourchette classique qu'on retrouve au niveau des"
"312730","313810"," fractures de couteau-côte."
"314290","318390"," On retiendra un aspect de main plombée, qui"
"318390","320810"," est typique de ce type de traumatisme. "
"321830","326530"," A la palpation, l'examen neurologique va retrouver"
"326530","328590"," des signes de compression du nerf médian."
"329330","333350"," L'impossibilité de mobilisation des doigts, une douleur"
"333350","335970"," exquise au niveau de la face antérieure du"
"335970","340930"," poignet, voire même la perception du lunatome luxé"
"340930","341750"," dans certains cas."
"343830","348070"," Devant cette symptomatologie, une radiographie du poignet, de"
"348070","351210"," face et de profil, qui doit être interprétée"
"351210","356330"," de manière soigneuse et permettra le diagnostic de"
"356330","357330"," cette entité. "
"358810","362110"," Avant d'interpréter des radiographies, de vous montrer"
"362110","367710"," les aspects radiologiques que peut prendre cette entité,"
"369090","373090"," il est judicieux de revoir avec vous les"
"373090","377690"," repères normaux d'une radiographie du poignet."
"377770","379810"," Notamment de face, on retrouvera ces trois lignes"
"379810","383950"," concentrées que vous voyez à gauche de la"
"383950","384650"," diapositive."
"384650","390830"," La première ligne qui va matérialiser l'interligne"
"390830","395070"," radiocarpienne, et les deux lignes concentrées qui matérialisent"
"395070","400190"," les surfaces articulaires de la première rangée du"
"400190","402110"," carpe, et de la deuxième rangée, ce qu "
"402110","404970","'on appelle les classiques lignes de Guillouard, qui"
"404970","410010"," doivent être parallèles devant un carpe normal. "
"410010","412490"," Ces lignes de Guillouard seront perturbées, on va"
"412490","415950"," voir sur les radiographies pathologiques, on ne les"
"415950","418690"," retrouvera pas, cet aspect concentrique est parallèle."
"419030","420730"," Par contre sur la face, sur le profil"
"420730","425430"," plutôt, sur la partie droite de la diapositive,"
"425830","427050"," vous verrez cet alignement que je vous ai"
"427050","430170"," déjà décrit dans le rappel anatomique, cet alignement"
"430170","433190"," passant pour le troisième métacarpine, le grand os,"
"433370","436550"," l'unatome et l'extrémité inférieure du radius,"
"436550","441870"," le croissant que forme l'unatome et qui"
"441870","446030"," vient tout juste au-dessus du sommet du"
"446030","446970"," capitatome."
"451680","454440"," Alors sur ces radiographies normales, vous voyez bien"
"454440","456820"," ces lignes de Guillouard, cet aspect harmonieux de"
"456820","458420"," ces lignes de Guillouard, on voit bien ces"
"458420","462860"," aspects des internines qui sont bien conservés. "
"463480","466800"," L'aspect quadrangulaire que vous voyez bien du"
"466800","469000"," lunatome à l'opposé, on verra que ça"
"469000","472360"," va changer devant une radiographie pathologique de face."
"472860","475240"," Et sur la radiographie de profil qui est"
"475240","478120"," à droite de la diapositive, cet alignement qui"
"478120","481820"," est l'alignement du troisième métacarpine avec le"
"481820","485060"," capitatome, le lunatome et l'extrémité inférieure du"
"485060","485420"," radius."
"488020","489420"," C'est la même chose, c'est juste"
"489420","492440"," agrandi avec le crayon qui est passé sur"
"492440","496040"," les internines et vous voyez bien ces lignes"
"496040","500380"," de Guillouard, ces arcs concentriques que vous voyez,"
"500460","502640"," que vous devez retrouver sur des aspects normaux"
"502640","504920"," de radiographie de face du poignet et le"
"504920","510760"," profil, l'alignement, capitatome, semi-lunaire et extrémité"
"510760","511760"," inférieure du radius. "
"513299","516500"," Alors les signes radiologiques dans ces luxations périlunaires"
"516500","519520"," du cas, tout d'abord cette perte de"
"519520","523300"," la forme quadrangulaire du lunatome qui se retrouve"
"523300","526440"," avec un aspect triangulaire en forme de toupie"
"527220","531400"," du fait du chevauchement du lunatome sur le"
"531400","534260"," grand os devant une radiographie de face."
"535320","538840"," Sur cette radiographie de face, on revoit cet"
"538840","541760"," aspect triangulaire du lunatome qui est en fait"
"541760","544400"," la traduction de la superposition de ce lunatome"
"544400","547000"," qui a basculé et mettant en évidence sa"
"547000","550040"," corne postérieure par rapport à la corne antérieure"
"550040","554660"," et qui se superpose sur la tête du"
"554660","555300"," capitatome."
"555860","557580"," Et aussi on le voit bien sur cet"
"557580","562040"," aspect, sur cette radiographie de face qui est"
"562040","564820"," sur la partie droite de la diapositive. "
"567160","570760"," Sur cette diapositive, on voit à droite cette"
"570760","574140"," radiographie de profil où est perdu cet alignement"
"574140","583280"," du troisième métacarpien du capitatome, lunatome et extrémité"
"583280","583860"," inférieure du radius."
"584040","585980"," On voit bien qu'il y a eu"
"585980","590160"," une désaxation et la partie inférieure articulaire du"
"590160","592160"," lunatome est déshabitée."
"592400","595560"," On ne retrouve plus le capitatome au-dessous"
"595560","598900"," témoignant de la luxation et le passage de"
"598900","602040"," ce capitatome avec le reste du carp en"
"602040","603860"," arrière par rapport au lunatome. "
"604380","607160"," Et on voit bien ce lunatome qui regarde"
"607160","610940"," en avant donnant sur une radiographie de face"
"610940","614120"," que nous avons vue lors de la diapo"
"614120","618240"," précédente une bascule de cette corne postérieure et"
"618240","620700"," cet aspect triangulaire qu'on va retrouver sur"
"620700","622380"," la radiographie de face."
"622380","626120"," Retenir un seul message est essentiel au niveau"
