"start","end","text"
"1220","2860"," Chers étudiants, bonjour."
"5340","7780"," Le cours d'aujourd'hui s'intitule «"
"7780","14500"," Les traumatismes des nerfs périphériques »."
"14500","16940"," Voici un petit aperçu de notre cours."
"17960","20040"," Il s'agit d'un patient de 32"
"20040","23820"," ans qui se présente aux urgences deux heures"
"23820","26880"," après une imprudence, c'est une main contre"
"26880","29140"," la vitre, pour une plaie de la face"
"29140","32640"," antérieure et médiale du poignet droit par bris"
"32640","33200"," de verre. "
"38240","40700"," Quels seront les objectifs de ce cours ?"
"40700","42860"," Tout d'abord, il faudra identifier les nerfs"
"42860","45440"," susceptibles d'être atteints lors d'un traumatisme"
"45440","46520"," de membres."
"47420","50080"," Il faut savoir examiner un déficit des nerfs"
"50080","55240"," périphériques et prendre en charge une lésion nerveuse,"
"55660","59460"," notamment sur le plan thérapeutique et le suivi."
"62830","65710"," Les traumatismes des nerfs périphériques représentent l'ensemble"
"65710","70130"," des lésions nerveuses périphériques, intéressant le membre supérieur"
"70130","70790"," ou inférieur. "
"71610","75570"," Ces lésions peuvent être ouvertes par effractions cutanées"
"75570","78750"," entraînant des sections qu'elles soient partielles ou"
"78750","82710"," totales ou fermées pouvant aller de la contusion"
"82710","83810"," jusqu'à la rupture."
"84890","89330"," Par exemple, les paralysies du plexus brachial, images"
"89330","91630"," qu'on voit en bas et à droite."
"96900","99040"," Ce sont des lésions fréquentes causées le plus"
"99040","102680"," souvent par des agressions à l'arme blanche"
"102680","104820"," ou par des accidents de moto. "
"105600","107700"," Elles se voient chez l'adulte jeune actif"
"108540","112660"," entraînant un handicap majeur pouvant retentir sur le"
"112660","116080"," plan psychologique, socio-professionnel et économique du patient."
"117040","120520"," Plusieurs modalités thérapeutiques sont proposées, dont la chirurgie"
"120520","121140"," nerveuse."
"122060","124780"," Le pronostic reste cependant réservé, d'où l "
"124780","126360","'intérêt de la prévention. "
"127320","129600"," Comme vous le savez, les nerfs périphériques aux"
"129600","132200"," membres supérieurs proviennent du plexus brachial."
"134440","137380"," Le plexus brachial prend son origine des racines"
"137380","141180"," cervicales C5, C6, C7 et C8 et de"
"141180","143040"," la première racine thoracique T1."
"144700","147780"," Les racines C5, C6 se réunissent pour former"
"147780","148940"," le tronc supérieur. "
"149980","152320"," C7 à elle seule forme le tronc moyen"
"152320","155720"," et C8 et T1 se réunissent pour former"
"155720","156900"," le tronc inférieur."
"159060","162900"," Le tronc supérieur moyen et inférieur vont former"
"162900","169280"," en postérieur le faisceau postérieur en marron responsable"
"169280","171150"," de l'extension du membre supérieur."
"172140","174780"," Il donnera le nerf axillaire et le nerf"
"174780","175320"," radial. "
"177340","180540"," En avant, le tronc supérieur et moyen vont"
"180540","184600"," former le faisceau latéral qui donnera le nerf"
"184600","189140"," musculo-cutané et le tronc inférieur va former"
"189140","193420"," le faisceau inférieur qui donnera le nerf cutané"
"193420","196160"," médial du bras, cutané médial de l'avant "
"196160","198040","-bras et le nerf ulnaire."
"200300","202400"," Quant au nerf médian, il naît de la"
"202400","206340"," réunion du faisceau latéral et du faisceau inférieur."
"210120","212580"," Ce schéma représente les branches terminales du plexus"
"212580","215100"," brachial qui cheminent le long du membre supérieur. "
"216200","219040"," Nous avons en avant et en dedans de"
"219040","223000"," l'artère axillaire le nerf musculo-cutané qui"
"223000","225600"," naît, si vous vous le rappelez, du faisceau"
"225600","227260"," latéral du plexus brachial."
"228900","231440"," Le nerf médian naît en avant de l "
"231440","234500","'artère axillaire et chemine ensuite en dedans d "
"234500","234640","'elle."
"235860","238240"," Il longe l'avant-bras pour passer dans"
"238240","239560"," le canal carpien. "
"241340","244220"," En ce qui concerne le nerf ulnaire, celui "
"244220","246400","-ci naît en dedans de l'artère."
"247180","249280"," Il va ensuite cheminer le long du bras"
"249280","254380"," puis passe superficiellement dans la gouttière postéromédiale entre"
"254380","256720"," l'épicondyle médial et l'olécrane."
"258060","260060"," Il continue son trajet le long du bord"
"260060","262960"," médial de l'avant-bras accompagné du muscle"
"262960","266240"," flexoire carpie ulnaris jusqu'à son passage dans"
"266240","267260"," le canal de gluant. "
"270740","272840"," Pour le plan postérieur, donc en arrière de"
"272840","276280"," l'artère axillaire, le nerf axillaire ou le"
"276280","279800"," nerf circonflexe va contourner le col chirurgical de"
"279800","280380"," l'humérus."
"282610","286370"," Le nerf radial, qui présente un contact intime"
"286370","289070"," avec la face postérieure de la diaphyse humérale,"
"290050","292930"," donc c'est un élément important à connaître."
"293830","297350"," Toute fracture de la diaphyse humérale doit absolument"
"297350","299410"," rechercher une paralysie radiale. "
"300550","302990"," Il faut savoir aussi que le nerf radial"
"302990","306370"," va contourner le bord latéral du bras à"
"306370","308770"," 4 travers de doigt de l'épicondyle latéral"
"309210","311210"," et vient se terminer au-dessus du coude"
"311210","313810"," pour donner ses branches terminales."
"316970","320230"," Les territoires sensitifs du membre supérieur sont représentés"
"320230","323350"," par les nerfs sensitifs cutanées médiales du bras,"
"324010","326150"," cutanées médiales de l'avant-bras en dedans"
"326550","329730"," et des branches sensitives des nerfs mixtes destinées"
"329730","330850"," au membre supérieur."
"332270","335890"," Leur connaissance est indispensable pour détecter une atteinte"
"335890","337810"," nerveuse à l'examen clinique. "
"341650","344670"," L'innervation du membre inférieur provient de la"
"344670","347650"," réunion des racines du plexus lombaire et sacrée,"
"348630","351610"," donnant comme racine terminale en avant le nerf"
"351610","354370"," fémoral responsable de la flexion de la hanche"
"354370","355770"," et de l'extension du genou."
"356790","360170"," Le nerf purement sensitif, le nerf cutané latéral,"
"360170","363350"," donne la sensibilité de la face latérale de"
"363350","365790"," la cuisse et en arrière le nerf grand"
"365790","369270"," sciatique responsable de la flexion du genou et"
"369270","372370"," de la flexion dorsale et plantaire du pied."
"376060","379660"," Maintenant nous allons faire un bref rappel sur"
"379660","383660"," l'anatomie, l'histologie et la physiologie de"
"383660","384380"," la fibre nerveuse. "
"385120","388140"," Le nerf périphérique est constitué d'un ensemble"
"388140","391200"," de fibres nerveuses regroupées en fascicules."
"392580","397340"," Ces fascicules vont constituer des structures candictrices qui"
"397340","400360"," sont les axones ainsi qu'un appareil de"
"400360","402240"," soutien et de protection qui est le tissu"
"402240","403720"," conjonctif et ses vaisseaux."
"405420","409780"," La fibre nerveuse est représentée par un axone"
"409780","412220"," et la cellule de Schwann avec au centre"
"412220","414560"," sa gaine de myéline qui va l'entourer. "
"415040","416780"," C'est l'unité élémentaire."
"417440","419940"," Alors que le fascicule qui est représenté par"
"419940","423220"," la fibre nerveuse et son tissu conjonctif représente"
"423220","425700"," l'unité chirurgicale."
"427530","429890"," Sur une coupe transversale, le tronc nerveux se"
"429890","434490"," présente sous une forme plurifasciculaire maintenue par une"
"434490","436550"," gaine de tissu conjonctif l'épinèvre. "
"437750","440370"," A l'intérieur du fascicule se trouvent des"
"440370","444650"," fibres nerveuses myéliniques et amyéliniques entourées de tissu"
"444650","446230"," conjonctif l'endonèvre."
"447210","450150"," Le fascicule est quant à lui entouré du"
"450150","450770"," périnèvre."
"451530","455970"," La réparation du nerf la plus utilisée lors"
"455970","458850"," de la suture nerveuse, c'est la réparation"
"461050","461810"," épipérinorale. "
"463890","466190"," Pour mieux comprendre les lésions nerveuses et leurs"
