"start","end","text"
"1350","4510"," Très bien, donc les fractures mandibulaires, pour nous"
"4510","7650"," en chirurgie maxilofaciale, c'est l'urgence la"
"7650","11690"," plus fréquente en chirurgie maxilofaciale, comme les fractures"
"11690","14070"," de la jambe, comme les fractures supracondyliennes chez"
"14070","14510"," l'enfant."
"15710","17890"," Toujours pour les mêmes raisons, comme l'appelait,"
"18250","20350"," c'est l'agression dans 35% des"
"20350","22270"," cas, c'est les accidents de la voie"
"22270","26250"," publique dans 75% des cas, nous avons"
"26250","28670"," les accidents de la voie publique et nous"
"28670","30250"," avons l'agression."
"31490","34390"," Les fractures sont des lésions de l'os"
"34390","36570"," mandibulaire qui regroupent les fractures de la portion"
"36570","38430"," dentée et la portion rétrodentée. "
"38930","41050"," Dès maintenant, on va considérer deux parties de"
"41050","41670"," la mandibule."
"42030","44610"," Celle qui porte les dents, il y a"
"44610","48210"," la partie du corps, la fièvre ciné, et"
"48210","49850"," c'est dit d'emblée des fractures ouvertes,"
"50330","51950"," même si elles ne sont pas ouvertes."
"52670","55090"," Parce que quand l'os est cassé, à"
"55090","56690"," cause de la muqueuse et des dents, il"
"56690","59230"," est en communication avec la cavité buccale, exactement"
"59230","60890"," comme une plaie de la muqueuse. "
"62250","64150"," Et donc ce sont des fractures, des ressemblances"
"64150","66930"," antibiotiques, pas des fractures ouvertes des jambes."
"67590","69670"," Et nous avons celles qui sont rétrodentées, les"
"69670","71890"," muscles, elles sont fermées."
"72970","75230"," Elles sont problématiques parce qu'elles peuvent être"
"75230","78390"," responsables du non-kylose temporomandibulaire, ça veut dire"
"78390","80950"," que l'articulation va coller et l'être"
"80950","83710"," humain ne va plus pouvoir ouvrir ses dents. "
"85130","86010"," Radiation liquide."
"86310","88670"," Plus possible d'ouvrir la bouche."
"90610","92370"," Elles peuvent aussi, quand elles surviennent chez l "
"92370","94430","'enfant, créer des troubles de la croissance. "
"94670","96250"," Un enfant de 7 ans, s'il a"
"96250","99330"," le malheur d'avoir une fracture condylienne, qui"
"99330","101570"," est le centre actif de la croissance, c "
"101570","103070","'est lui pour son visage, il va être"
"103070","103670"," dysmorphique."
"104030","106270"," Parce qu'il ne finit la croissance de"
"106270","108470"," la mandibule jusqu'à l'âge de 16"
"108470","108610"," ans."
"109370","113230"," Et donc la fracture va empêcher la mandibule"
"113230","115850"," de descendre, donc il aura un visage en"
"115850","116650"," profil d'oiseau. "
"117610","120070"," Le maxillaire qui avance et la mandibule qui"
"120070","120450"," recule."
"121370","123710"," Le diagnostic, il est clinique et il est"
"123710","126390"," confirmé par une seule radio, c'est l "
"126390","129650","'orthopentomogramme ou bien la radio panoramique."
"129990","132530"," Si je pose un QCM, quelle est l "
"132530","136350","'exploration utile dans les fractures mandibulaires ?"
"136350","137530"," Orthopentomogramme. "
"137530","138930"," Est-ce que c'est clair ?"
"140610","144130"," Mais chez le scanner, orthopentomogramme, sauf bien sûr"
"144130","146170"," qu'il y a des contre-indications, il"
"146170","147550"," a calomnié, il ne peut pas s'asseoir"
"147550","149290"," ou là il est comateur, mais s'il"
"149290","151590"," est bien conscient, la radio panoramique."
"151770","153850"," Malgré l'arrivée du scanner, malgré l'arrivée"
"153850","156230"," de toutes les explorations, c'est la radio"
"156230","158450"," panoramique, qui est une radio standard, qui reste"
"158450","160870"," le gold standard dans le diagnostic."
"161910","165950"," Le traitement peut être chirurgical, fonctionnel, et dans"
"165950","168110"," tous les cas, il est fonctionnel, parce que"
"168110","170210"," c'est une articulation qui bouge comme le"
"170210","171370"," genou, comme le coude. "
"171970","174410"," Tu opères, il faut faire la rééducation et"
"174410","175590"," l'alimentation liquide."
"176570","178850"," Donc le traitement fonctionnel, il est toujours de"
"178850","181870"," mise, mais il y a le traitement chirurgical,"
"182230","184450"," bien sûr, qui peut être soit orthopédique, soit"
"184450","185250"," avec des plaques."
"185730","187770"," La prévention, elle est de mise, bien sûr. "
"188210","190910"," Quand on voit que 70% de nos"
"190910","193370"," fractures sont liées aux accidents de la voie"
"193370","195710"," publique et à l'agression, on a le"
"195710","196850"," châleur raciale qui s'arrête."
"197250","199350"," Je vais en Suisse, qui dit qu'il"
"199350","200570"," y a un chauffeur à quatre heures du"
"200570","202730"," mois, et on voit un chauffeur dans la"
"202730","204690"," nuit, dans la nuit, c'est la dernière"
"204690","204970"," chose."
"206290","207770"," Vous avez compris ?"
"207770","208790"," Il n'y a pas de chauffeur à"
"208790","210970"," quatre heures du mois, et on voit un"
"210970","213030"," chauffeur dans la nuit, dans les périodes piques. "
"213350","215090"," Dans la nuit, il y a deux, trois,"
"215510","215650"," quatre."
"216050","218310"," Ce n'est pas des jambes, ce n "
"218310","219950","'est pas des membres, c'est le visage,"
"220030","220950"," le visage, les hijabs."
"220950","223490"," Normalement, on se protège pour ne pas recevoir"
"223490","224110"," de coups. "
"224130","225070"," C'est une farce."
"226110","228270"," Nous sommes des champions dans le monde, dans"
"228270","229950"," la fracturologie faciale."
"229950","231850"," C'est malheureux, à Marrakech. "
"232610","234150"," C'est malheureux parce que c'est trop."
"235310","236510"," Dans le monde, il n'y a pas"
"236510","238990"," de boxe de maxilos faciales pour les urgences."
"239030","240950"," Le maxilo, normalement, c'est..."
"243950","248230"," On a trois résidents, un interne et un"
"248230","252370"," externe, qui fait la garde dans le service?"
"252570","253610"," Est-ce qu'il y a un externe"
"253610","254570"," dans le service parmi vous?"
"255589","256589"," Non, il n'y a personne. "
"257589","258950"," Vous, vous avez fait la garde?"
"263910","267310"," Ce n'est pas normal."
"267830","269010"," Le jour où j'ai été affecté dans"
"269010","271170"," cette faculté, j'ai crié, j'ai hurlé"
"271170","272470"," à quelqu'un de me donner des résidents"
"272470","274030"," et de me donner des boxes aux urgences."
"274290","275310"," Ce que j'ai vu dans cette ville,"
"275390","276230"," j'ai été à l'étranger, je ne"
"276230","277390"," l'ai jamais vu quelque part dans le"
"277390","277590"," monde. "
"278970","281410"," Donc, malheureusement, je dois former des médecins généralistes"
"281410","282650"," qui savent suturer les faces."
"283210","284230"," Parce que nous, on ne peut pas tout"
"284230","285930"," suturer au CHE."
"286290","287430"," Vous devez tout faire chez vous. "
"287690","289150"," Là où vous êtes affecté, vous vous trouvez,"
"289230","290310"," vous devez assurer la suture."
"290690","292050"," Si on va passer la nuit à passer"
"292050","294170"," 150 plaies par nuit, vous avez failli l "
"294170","294750","'avoir."
"295110","296970"," D'ailleurs, nous sommes très contents parce qu "
"296970","298390","'aujourd'hui, les élèves de la faculté de"
"298390","300110"," médecine, ils sont nombreux, la fac a diplômé"
"300110","300810"," 2000 médecins. "
"301250","303630"," Tous les urgentistes généralistes issus de cette faculté"
"303630","305510"," suturent les plaies dans les cliniques, dans les"
"305510","306850"," hôpitaux périphériques, partout."
"308950","310330"," Il y a une pluie comme une pandémie."
"310530","311670"," C'est comme une épidémie. "
"316530","319470"," Vous savez que Marrakech est caractéristique par ses"
"319470","320570"," motos et ses bicyclettes."
"322190","323790"," Et bien sûr, tout le monde met le"
"323790","327610"," casque, que ce soit les motocycles moteurs ou"
"327610","328510"," les bicyclettes."
"329830","330690"," Pas de casque. "
"331350","332530"," Et donc, toute chute est une plaie."
"332530","334570"," Ou bien une fracture de la face."
"336850","338050"," C'est tout. "
"338930","339730"," Nous sommes les deux."
"339910","341730"," D'ailleurs, quand on a publié nos publications,"
"342610","344690"," la seule ville qui écrit comme nous, c "
"344690","345770","'est la seule ville de l'Indonésie."
"345950","346130"," C'est tout. "
"349230","352190"," C'est les villes où se trouve le"
"352190","357370"," transport par moto, cycle, où il y a"
"357370","358710"," beaucoup d'accidents, bien sûr."
"359270","360730"," Bien sûr, il y a autre chose ici."
"360730","362410"," C'est qu'on est au Maroc profond"
"362410","363770"," et les gens sont fiers. "
"368050","369630"," Il est fier."
"372890","376930"," Il met la ceinture pour sa sécurité personnelle."
"381330","382930"," Il est fier. "
"384190","386370"," Alors qu'il est tout le temps en"
"386370","388270"," train de conduire, mettez la ceinture s'il"
"388270","388550"," vous plaît."
"388550","390150"," Il doit être plus prudent que tout le"
"390150","390330"," monde."
"391950","393950"," Vous comprenez ?"
"393950","395830"," Le non-port de la ceinture de sécurité"
"395830","397470"," égale des fractures de la face et des"
"397470","398630"," pare-brise et des plaies de la face"
"398630","400750"," parce que devant tout coup de frein à"
"400750","402890"," frein, la face se projette vers le pare "
"402890","404850","-brise et on a des dégâts incontestables. "
"405510","407110"," On a des polytraumatismes de la face."
"408470","410950"," Et donc, la fracture mandibulaire s'intègre dans"
"410950","411810"," ce processus."
"414810","417170"," Vous vous faites des gardes aux urgences et"
"417170","419150"," vous savez, c'est la jeunesse, c'est"
"419150","422210"," la pauvreté, c'est le profil social, c "
"422210","424890","'est la toxicomanie, c'est ça. "
"425410","426410"," Il y a beaucoup d'agressions."
"426530","427910"," Il y a l'agression de la femme"
"427910","429730"," par le mari, de l'ami par l "
"429730","431450","'ami, de l'homme à l'homme, la"
"431450","432170"," femme à la femme."
"432530","433190"," On a tout vu. "
"434170","435690"," La femme qui se met à agresser ses"
"435690","436070"," enfants."
"437130","439710"," L'agression, elle est à un niveau très,"
"439930","440890"," très élevé à Marrakech."
"441170","441990"," On ne le dit pas. "
"442190","443170"," On est une ville de tourisme."
"443450","444510"," Mais nous, on est en train de faire"
"444510","444610"," ça."
"444830","447530"," Nous devons le savoir et nous devons nous"
"447530","450130"," assurer de la prévention. "
"450390","452070"," Nous devons sensibiliser la population."
"452330","453490"," Nous devons sensibiliser les jeunes."
"454650","457730"," Sensibiliser la sécurité civile, bien sûr. "
"459310","460950"," C'est pour cela que je mets ici"
"460950","464530"," prévention ciblée, diagnostic précoce, bien sûr, et un"
"464530","465550"," traitement adéquat."
"466670","469430"," Donc, il y a les objectifs éducationnels."
"470130","471450"," Il y a le rappel de l'anatomie. "
"471630","473830"," Vous savez que la mandibule, elle comporte un"
"473830","477490"," corps qui porte des dents et un rameus,"
"477510","479070"," une branche montante où il n'y a"
"479070","479610"," pas de dents."
"480170","480910"," On l'a dit déjà."
"481830","484130"," Vous avez donc le coroné là en haut. "
"484470","485610"," Vous avez le condyle."
"485770","487250"," Si vous vous rappelez, en anatomie, on a"
"487250","487610"," eu ça."
"488050","492010"," La branche montante, le corps, la partie alvéolaire"
"492010","493510"," et la sortie du nerf dentaire. "
"494730","496690"," Cette subdivision fait les formes cliniques."
"496850","497610"," Après, topographique."
"497730","499710"," Après, on va voir les fractures du coroné,"
"500090","502810"," les fractures du condyle, les fractures de la"
"502810","504590"," branche montante et les fractures de langue. "
"504930","507090"," Ça, c'est la partie rétrodentée."
"507290","509070"," Et puis, nous avons les fractures de la"
"509070","512650"," région symphysère en avant de la canine et"
"512650","515990"," les fractures de la région branche horizontale qui"
"515990","517770"," sont entre la canine et la dent de"
"517770","518169"," sagesse."
"518490","520850"," Ça, c'est la subdivision anatomique que nous"
"520850","524410"," allons voir après dans la subdivision des formes"
"524410","525190"," topographiques. "
"525570","527870"," Quelle est la particularité de cette osse quand"
"527870","530110"," tous les os du corps la traversent d "
"530110","530750","'un nerf ?"
"531290","532890"," Il y a un nerf qui le traverse,"
"533310","535430"," c'est le nerf mandibulaire."
"535990","536910"," C'est-à-dire, quand il y a"
"536910","540510"," une fracture, la nécessité de chercher une hypoesthésie"
"540510","542470"," qui est médico-légale."
"542950","544810"," Et donc, vous voyez que le nerf, il"
"544810","547110"," sort à côté de la canine. "
"547470","549910"," Donc, toutes les fractures qui sont devant la"
"549910","554370"," canine ne comportent pas d'hypoesthésie labio-montonnière."
