"start","end","text"
"10","2370"," Je pense qu'il est deux heures passées"
"2370","3250"," dans quelques minutes."
"4010","11850"," Aujourd'hui, on va parler de la limitation"
"11850","14990"," de l'ouverture buccale comme étant un symptôme"
"14990","18910"," très fréquent en pratique médicale."
"19090","21770"," La limitation de l'ouverture buccale qui peut"
"21770","25370"," apparaître à l'occasion d'un certain nombre"
"25370","26910"," de phénomènes pathologiques. "
"28950","32850"," Donc, il convient de rappeler que l'ouverture"
"32850","37510"," buccale dépend de la mobilité de l'organe,"
"41410","43850"," dépend de la mobilité de la mandibule par"
"43850","47530"," levier de son articulation temporomandibulaire et sous l "
"47530","52050","'action du relâchement des muscles élévateurs de la"
"52050","55470"," mandible qui sont les muscles masticateurs, massétères, ptéroglydiens,"
"55590","61970"," médiales, muscles temporaux et contraction des muscles sosoïdiens,"
"63209","71950"," muscles myloïdiens, génioïdiens et ventre antérieur des muscles"
"71950","72610"," digastriques."
"74050","76010"," Pour qu'on ait une ouverture buccale normale,"
"76130","77350"," il faut que l'ensemble de l'appareil"
"77350","80590"," monducateur soit normal."
"81430","82250"," Donc, il ne faut pas qu'il y"
"82250","85190"," ait des anomalies ni au niveau du squelette,"
"85190","87630"," ni au niveau de ce qui recouvre les"
"87630","91010"," squelettes, comme les muscles, les muqueuses, la peau. "
"92130","93770"," Il faut qu'on ait une articulation normale,"
"94110","95650"," une articulation temporomandibulaire normale."
"96350","99470"," Donc, dans l'imitation de l'ouverture buccale,"
"100830","104010"," il convient de rappeler qu'une ouverture buccale"
"104010","107430"," normale chez un adulte, elle est d'environ"
"107430","108190"," combien ?"
"117700","247870"," Est-ce qu "
"247870","248770","'il veut le micro ?"
"248770","252270"," Et comment je fais disparaître cette barre ?"
"252270","253010"," Elle va rester là."
"254030","254550"," Tant pis pour nous. "
"255649","260370"," Bon, une ouverture buccale normale, elle est de"
"260370","262570"," l'ordre de 40 mm chez l'adulte."
"264270","267670"," Et deux, ça dépend de quel enfant on"
"267670","267770"," parle."
"267770","268710"," On parle d'un enfant, d'un petit"
"268710","269550"," enfant, d'un nourrissant. "
"270610","272290"," En général, on parle d'une ouverture qui"
"272290","273850"," va aller jusqu'à 30 mm chez l "
"273850","273950","'enfant."
"273950","274990"," Mais ce qu'il faut savoir, c'est"
"274990","277270"," que ce qui nous intéresse, c'est quand"
"277270","279110"," est-ce que l'ouverture buccale ne va"
"279110","280870"," pas être normale."
"281230","282770"," Donc, on parle d'une limitation d'ouverture"
"282770","284990"," buccale quand elle est inférieure à 20 mm"
"284990","287550"," chez l'enfant et inférieure à 30 mm"
"287550","289150"," chez l'adulte. "
"290250","292590"," Donc, cette limitation d'ouverture buccale, ça va"
"292590","294990"," être un symptôme qui est très fréquent, qui"
"294990","296950"," est très fréquent en pratique médicale."
"297070","298150"," Surtout pour les gens qui vont faire de"
"298150","300190"," la réanimation, les gens qui vont être chirurgiens,"
"300190","303850"," les gens qui vont vouloir examiner la cavité"
"303850","307690"," buccale, le pharynx, le larynx."
"308110","309790"," Je pense que tout médecin, que ce soit"
"309790","311690"," généraliste, spécialiste, va être amené à faire un"
"311690","314510"," examen buccal. "
"314850","315130"," Pourquoi?"
"315290","316110"," Parce qu'il y a un certain nombre"
"316110","317830"," de pathologies qui vont avoir des signes au"
"317830","318990"," niveau de la cavité buccale, au niveau de"
"318990","320570"," la muqueuse, au niveau de la langue, au"
"320570","323850"," niveau du palais, au niveau des joues, au"
"323850","324910"," niveau des amygdales."
"324910","325550"," D'accord?"
"325730","329370"," Donc, vous devez compléter votre examen général par"
"329370","331130"," un examen de la cavité buccale."
"332810","334730"," Ne serait-ce que pour envoyer un banc"
"334730","336930"," d'examen chez un dentiste ou chez un"
"336930","340010"," chirurgien, pour lui dire que notre patient, il"
"340010","341550"," a une mauvaise hygiène buccodentaire. "
"342490","343950"," Chose qu'on n'aime pas toujours recevoir."
"344070","348370"," On aime bien recevoir des examens buccaux bien"
"348370","349830"," faits pour nous dire qu'il s'agit"
"349830","352150"," de telle pathologie et de telle chose chez"
"352150","353770"," ce patient qu'on suspecte de E2."
"355130","360450"," Donc, l'accès à la cavité buccale est"
"360450","365070"," une chose primordiale pour un examen convenable du"
"365070","365690"," corps humain. "
"368740","368980"," Pourquoi pas?"
"369060","370960"," Vous avez déjà fait de la dématologie, vous"
"370960","374260"," avez déjà étudié les anémies, que ce soit"
"374260","377760"," l'anémie fériprive ou l'anémie par manque"
"377760","385690"," de vitamine B, les folates ou les folates,"
"385810","388590"," l'acide folique, B1, B2, B3, ça va"
"388590","391390"," avoir une manifestation sur les muqueuses."
"392410","394310"," Il y aura des troubles de trophicité au"
"394310","397010"," niveau des muqueuses, que ce soit du tube"
"397010","399770"," digestif, mais le départ du tube digestif étant"
"399770","400530"," la cavité buccale."
"400650","404150"," Donc, on aura des troubles trophiques, des lents"
"404150","406490"," qui sont dépapillés, des glucides qu'on appelle"
"406490","408970"," les glucides dentaires, on aura des déchaussements de"
"408970","411490"," dents, tout ça en rapport avec des pathologies"
"411490","412870"," plus ou moins générales. "
"413330","415290"," Donc, l'accès à la cavité buccale est"
"415290","417690"," primordial pour faire un examen convenable."
"418630","423510"," Si on cherche les énantèmes dans les pathologies"
"423510","425990"," infectieuses de l'enfant, le signe de couplique,"
"425990","427330"," il est à la face interne de la"
"427330","427490"," joue."
"428190","430490"," Si on cherche, si on a une tubifaction"
