"start","end","text"
"140","2540"," On va assurer donc cette première série de"
"2540","4760"," cours de chirurgie maxillofaciale."
"4780","5960"," Je crois que je vous ai eus en"
"5960","9060"," deuxième année pour la sémiologie maxillofaciale."
"9600","12040"," Alors, cette série de cours va comporter une"
"12040","15680"," partie de traumatologie, donc tout ce qui est"
"15680","18240"," urgences et tout ce qui est fractures et"
"18240","21600"," plaies, et puis une partie qui va concerner"
"21600","24860"," la pathologie tumorale, donc les cancers de la"
"24860","26680"," cavité buccale que je vais faire moi-même. "
"26680","29060"," Le professeur Bouilly vous fera les tumeurs bénignes"
"29060","32120"," de la face et les cellulites, et l "
"32120","35280","'articulation temporomandibulaire qui sera assurée avec tout ce"
"35280","38380"," qui est salivaire, qui sera assuré par le"
"38380","41720"," professeur Abouchedi, et je crois que Cédazie Zekelia"
"41720","45180"," fera aussi une partie du programme."
"46140","48580"," Alors, quelle est l'utilité de vous enseigner"
"48580","50180"," la chirurgie maxillofaciale ?"
"50180","51520"," Moi, je me demande, ça sert à quoi"
"51520","52700"," ?"
"52700","55120"," On vous emmène, on vous embête pour une"
"55120","56860"," spécialité qu'on n'enseignait même pas avant."
"57500","59420"," Eh bien, d'abord, ceci est lié à"
"59420","60780"," l'importance de la face. "
"60920","63560"," Vous savez très bien que quand on communique"
"63560","66100"," avec les gens, on communique avec le visage,"
"66340","67060"," avec la face."
"67500","68380"," Je vois ici qu'il y a beaucoup"
"68380","71200"," de filles qui sont couvertes, qui couvrent la"
"71200","74540"," tête, donc pour des raisons de croyances, il"
"74540","77260"," y a des gens même qui se couvrent"
"77260","78820"," parce qu'ils ont un défaut à cacher,"
"78820","82180"," mais le visage, on le garde."
"83140","85820"," Et quand on a un défaut, une dysmorphie"
"85820","89940"," ou un problème, ça devient problématique et le"
"89940","92280"," problème de la communication s'impose. "
"93000","94300"," C'est un problème qu'on ne peut"
"94300","97980"," pas nier dans notre société, dans la société"
"97980","98440"," moderne."
"98860","100880"," D'ailleurs, vous n'arrêtez pas de prendre"
"100880","103840"," vos téléphones pour vous selfier du matin à"
"103840","106320"," l'après-midi et essayer de montrer le"
"106320","107380"," mieux de ce que vous avez."
"107380","110020"," Vous vous prenez de face, ce n'est"
"110020","112700"," pas joli, vous prenez le trois quarts, en"
"112700","114200"," haut, en bas, c'est ce que vous"
"114200","116560"," trouvez le meilleur de vous-même à offrir"
"116560","118500"," au grand public parce que c'est comme"
"118500","119900"," ça que marchent les choses aujourd'hui. "
"120280","122760"," Nous n'allons pas dire là, on ne"
"122760","123200"," le fait pas."
"123340","126100"," Nous, maintenant, c'est une monnaie courante, on"
"126100","128560"," offre le visage, on communique avec maintenant la"
"128560","130060"," photo ou bien la vidéo."
"130880","134460"," Et dans cet esprit que cette discipline doit"
"134460","136440"," être de mise à 100 % dans les"
"136440","139840"," facultés de médecine, parce que nous devons soigner"
"139840","141060"," les faces correctement. "
"142260","145000"," Une face qui a une fracture mal soignée"
"145000","147480"," risque non seulement d'être gênée sur le"
"147480","151400"," plan fonctionnel, mais d'avoir une asymétrie qui"
