"start","end","text"
"2380","6540"," Chers étudiants, nous allons donc aujourd'hui voir"
"6540","11620"," le sujet des glaucomes, c'est un sujet"
"11620","15700"," hyper important, vu sa fréquence très importante partout"
"15700","18960"," dans le monde, et surtout par le risque"
"18960","23520"," de sicité irréversible par rapport à la cataracte"
"23520","27160"," qui entraîne une sicité réversible."
"32820","40670"," Ce cours va être abordé sous le plan"
"40670","45070"," suivant, après notre introduction, il y aura un"
"45070","47890"," rappel, nous allons nous intéresser aussi à l "
"47890","51850","'épidémiologie, à la classification des différentes glaucomes."
"52550","54870"," Glaucome primitif à angle ouvert qui est le"
"54870","57510"," plus fréquent, glaucome aiguë par fermeture de langue"
"57510","60610"," qui est une urgence et glaucome congénitale qui"
"60610","64950"," représente une idéologie très particulière chez les nouveaux "
"64950","69810","-nés et les nourrissants, glaucome secondaire, secondaire à"
"69810","73170"," d'autres pathologies, avant donc de conclure. "
"74070","77010"," Alors les glaucomes représentent un ensemble de maladies"
"77010","80810"," qui ont en commun une neuropathie optique caractéristique"
"80810","84370"," associée à une perte de la fonction visuelle."
"85770","88070"," L'élévation de la pression intraoculaire est le"
"88070","92410"," principal facteur de risque, son diagnostic clinique et"
"92410","98810"," l'imagerie a complètement changé le diagnostic et"
"98810","100850"," la surveillance de ces glaucomes."
"101170","103770"," Il y a énormément de progrès thérapeutiques, aussi"
"103770","108090"," bien médicaux grâce à la découverte de nouvelles"
"108090","117490"," médications, des progrès thérapeutiques dans le domaine du"
"117490","122130"," laser qui permet de changer énormément de protocoles"
"122130","125310"," et des progrès aussi thérapeutiques dans le cadre"
"125310","129090"," de la chirurgie de ces glaucomes qui a"
"129090","132210"," bouleversé la prise en charge de ces glaucomes. "
"134380","136920"," C'est une des principales causes de sicité"
"136920","137880"," irréversible."
"141520","143940"," La circulation de l'hémorragueuse, il se fait"
"143940","147100"," des procécilia, la sécrétion se fait au niveau"
"147100","149680"," de la chambre postérieure entre le cristallat et"
"149680","153160"," l'iris et l'hémorragueuse passe par un"
"153160","156840"," pertuit, passe au niveau de la chambre antérieure"
"156840","162500"," puis elle est réabsorbée au niveau du trabeculum"
"162500","166520"," pour passer au niveau des veines épisclérales, regagner"
"166520","171700"," les veines épisclérales et passer dans la circulation"
"171700","173240"," générale."
"173580","176900"," Donc toute perturbation à ce niveau-là, au"
"176900","181300"," niveau de cette circulation, va entraîner automatiquement une"
"181300","185300"," perturbation au niveau du tonus oculaire. "
"187080","195100"," Donc, voilà, après avoir vu la circulation de"
"195100","198000"," l'hémorragueuse à l'intérieur de l'œil,"
"198800","202780"," cette hémorragueuse à la fin de sa circulation"
"202780","207500"," va transiter par un élément hyper important qui"
"207500","209840"," est l'ongle iridocorne."
"210060","214020"," Cet ongle iridocorne est situé à la partie,"
"214200","217240"," à la jonction entre la corne et l "
"217240","219680","'iris ainsi que l'esclère."
"220600","222820"," Donc à ce niveau-là, il y a"
"222820","227060"," des éléments anatomiques d'une importance capitale qui"
"227060","231920"," vont conditionner la circulation à l'extérieur de"
"231920","233980"," l'œil de l'hémorragueuse. "
"234860","239480"," Donc, cet ongle iridocorne, nous devons faire un"
"239480","242960"," rappel anatomique des différents constituants qui sont très"
"242960","246580"," importants à connaître, à savoir la bande ciliaire,"
"247520","250500"," à savoir le trabeculon qui est criblé comme"
"250500","254420"," vous le voyez ici, qui est enchevêtré et"
"254420","259060"," qui est donc responsable de l'excrétion de"
"259060","262520"," l'hémorragueuse à travers ce trabeculon et il"
"262520","267240"," va passer au niveau du canal de Schlemm."
"267660","269260"," Au niveau du canal de Schlemm et à"
"269260","271260"," travers le canal de Schlemm, il va rejoindre"
"271260","273760"," les veines épisclérales et rejoindre par la suite"
"273760","279640"," la circulation sanguine au niveau de l'orbite."
"280280","282520"," Il y a, après le trabeculon, on trouve"
"282520","286280"," un épaississement de la lame de Desmet en"
"286280","287740"," niveau de la coronée qu'on appelle l "
"287740","288480","'anneau de cheval. "
"288880","292900"," C'est quatre éléments qu'on schématise généralement"
"292900","295260"," par la lettre bêta, B c'est la"
"295260","300820"," bande ciliaire, T c'est le trabeculon, E"
"300820","305220"," c'est les prehenses sclérales, T c'est"
"305220","309640"," le trabeculon et le A c'est l "
"309640","310300","'anneau de cheval."
"310480","314020"," C'est quatre éléments, leur visibilité est très"
"314020","314820"," très importante."
"314820","317660"," Comme on va voir au cours de la"
"317660","323380"," gonioscopie, parce qu'il conditionne le diagnostic d "
"323380","325700","'un glaucome à un autre. "
