"start","end","text"
"60","9100"," C'est le même, j'ai enseigné l "
"9100","10960","'anatomie du cours et j'enseigne également en"
"10960","11320"," même temps."
"12020","13860"," C'est dans le même chemin, c'est"
"13860","16280"," ce qu'on appelle l'enseignement intégré, d "
"16280","16660","'accord ?"
"17360","18420"," Intégré, c'est-à-dire c'est le"
"18420","20720"," même enseignant qui enseigne aussi bien l'anatomie"
"20720","21480"," que la pathologie."
"23000","26460"," Alors rappel anatomique, la région numéro 1, c "
"26460","27240","'est quoi ?"
"35470","45530"," La région"
"54140","55060"," numéro 1, c'est quoi ?"
"55060","65740"," Oui, d "
"65740","65980","'accord. "
"83660","93360"," La région, euh, Jugo, de la région numéro"
"93360","122680"," quatre- quatre "
"122680","123040","-dix-huit-huit-huit-huit- quatre-dix "
"123040","125320","-huit-huit-huit-huit- quatre-dix-huit "
"125320","127080","-huit-huit-huit- quatre-dix-huit-huit "
"127080","127660","-huit-huit- quatre-dix-huit-huit-huit "
"127660","129820","-huit-huit- quatre-dix-huit-huit-huit "
"129820","134400","-huit- quatre-dix-huit-huit-huit-huit "
"134400","139960","- quatre-dix-huit-huit-huit-huit-"
"163460","168680"," quatre-dix-huit-huit-huit-huit-huit-huit "
"168680","168780","-huit-huit-huit-huit-huit-huit-huit-huit "
"168780","168880","-huit-huit-huit-huit-huit-huit-huit-huit "
"168880","168980","-huit-huit-huit-huit-huit-huit-huit-huit "
"168980","169080","-huit-huit-huit-huit-huit-huit-huit-huit "
"169080","169180","-huit-huit-huit-huit-huit-huit-huit-huit "
"169180","169280","-huit-huit-huit-huit-huit-huit-huit-huit "
"169280","169380","-huit-huit-huit-huit-huit-huit-huit-huit "
"169380","169480","-huit-huit-huit-huit-huit-huit-huit-huit "
"169480","294500","-huit-huit-huit déconceptif"
"294500","298420"," positif concernant une adénopathie cervicale, vous connaissez tous"
"298420","301740"," que ça se base sur trois éléments successifs,"
"302520","305000"," l'interrogatoire, l'examen clinique et les examens"
"305000","305640"," paracliniques."
"305800","306720"," Alors qu'est-ce qu'on va chercher"
"306720","307960"," à l'interrogatoire?"
"310240","310340"," Oui."
"313940","317260"," La durée de l'évolution, très bien. "
"317260","317840"," Oui."
"321290","327680"," Le terrain de football, très bien."
"328480","332490"," Par exemple, est-ce qu'il est excellent,"
"332630","332790"," oui. "
"334170","335530"," Est-ce qu'il est tabagique, oui."
"335670","337590"," Est-ce qu'il est alcoolique, quoi d "
"337590","337690","'autre?"
"340590","342710"," Alors, il va dire quelque chose, oui."
"345440","350920"," La douleur, le cantage tuberculeux. "
"355470","357470"," Il faut se poser la question sur l "
"357470","358690","'origine du patient."
"359230","362530"," Ainsi, chercher une notion d'irradiation dans l "
"362530","362930","'enfance."
"368210","369330"," Il faut chercher ce qu'il y a"
"369330","373390"," amigressement, ce qu'il y a péritique, la"
"373390","375010"," fièvre, ce qu'il y a des signes"
"375010","379510"," respiratoires comme la toux, les ronflements dysphoriques. "
"387430","396080"," Donc, on commence par l'identité du patient."
"398000","404940"," Ensuite, on va chercher le motif de consultation."
"405360","410940"," Donc, ça fait après les antécédents, après les"
