"start","end","text"
"390","5350"," Bonjour, c'est professeur Hashimi, c'est notre"
"5350","10890"," deuxième cours de cette série de cours des"
"10890","14210"," soins palliatifs, la prise en charge des symptômes"
"14210","16450"," et des complications en soins palliatifs."
"17370","21590"," Cette série de cours comporte quatre cours, je"
"21590","24950"," vais traiter trois et professeur Ziedi le quatrième."
"26230","30350"," Les objectifs de ce cours seront comme suit,"
"31049","35950"," gérer les urgences en soins palliatifs et gérer"
"35950","38890"," les symptômes et les complications, que ce soit"
"38890","43910"," neurologique, respiratoire, gastrointestinaux, cutanée ou urinaire. "
"46140","49820"," Pour évaluer cette urgence, on doit répondre à"
"49820","50480"," six questions."
"50480","53380"," La première, quel est le problème d'avoir,"
"54240","56380"," puis est-ce que ce problème il est"
"56380","57320"," réversible ou pas."
"58700","62380"," Troisièmement, la correction et le traitement de cette"
"62380","65160"," urgence, est-ce que ça va maintenir ou"
"65160","67300"," améliorer la qualité de vie de ce patient. "
"68160","72240"," Quatrièmement, quelle est notre évaluation clinique et en"
"72240","76280"," dernier, et c'est plus important, que veut"
"76280","80020"," le patient et que veulent les proches et"
"80020","80440"," la famille."
"81900","85580"," On va traiter les cinq urgences les plus"
"85580","89800"," fréquentes qui sont l'hypercalcémie maligne, l'hémorragie"
"89800","94700"," massive, les crises épileptiques, la compression modulaire et"
"94700","96640"," le syndrome CAV supérieur."
"97950","104970"," L'hypercalcémie maligne, on la trouve dans le"
"104970","107830"," minimum multiple, dans 10 à 20% des"
"107830","112270"," cancers, elle est secondaire à une lise osseuse"
"112270","116070"," avec libération du calcium osseux et une diminution"
"116070","117510"," de l'excrétion urinaire. "
"119190","123150"," Ça va se manifester cliniquement par des symptômes"
"123150","128130"," généraux tels du douleur osseuse, une poulerie ou"
"128130","131270"," une poulerie d'hypsie, sur le plan digestif"
"131270","135150"," par de l'anorexie, nos évomissements et constipation,"
"135750","139010"," sur le plan neurologique avec de la somnolence,"
"139350","141390"," de la confusion jusqu'au coma."
"142630","145550"," Pour le traitement, ça va se baser sur"
"145550","151830"," trois mesures, une réhydratation prudente essentiellement si le"
"151830","155250"," malade est en insuffisance rénale, du furosémie et"
"155250","159150"," des biphosphonates, par exemple le zélédronate."
"160990","164630"," L'hémorragie massive, elle est secondaire à une"
"164630","168870"," érosion vasculaire, à une rupture de la risse"
"168870","172310"," oesophagienne en cas de cirrhose, en cas de"
"172310","174530"," troubles de la coagulation ou une traumopénie. "
"175070","177750"," Le traitement, il est local en cas d "
"177750","182230","'épistaxe et il est général en commençant par"
"182230","185890"," arrêter les médicaments en favorisant l'hémorragie."
"186430","189490"," En cas d'hémorragie digestive, le traitement est"
"189490","191570"," basé sur le cliotide."
"192190","195990"," En cas d'insuffisance hépatique, la vitamine K,"
"196950","200850"," la transfusion en cas de besoin et comme"
"200850","204610"," ultime mesure, c'est la sédation en cas"
"204610","205490"," de détresse. "
"208680","211880"," Pour les convulsions, les causes les plus fréquentes"
"211880","216260"," sont une épilepsie préexistante, un syndrome de sevrage,"
"218620","221880"," un hématome ou une tumeur cérébrale, une cause"
"221880","223600"," métabolique ou infectieuse."
"224320","227620"," Le traitement de la crise se base sur"
"227620","230660"," des molécules de courte durée d'action telles"
"230660","234180"," que le diazepam, le nidazolam ou le phenobarbital."
"234860","238400"," Pour la prévention et la réduction de l "
"238400","241160","'intensité des crises, c'est le valproate sodium"
"241160","242520"," et le phenétoïne. "
