"start","end","text"
"1040","9740"," On va voir la physiopathologie des insuffisances respiratoires"
"9740","12940"," aiguës, la clinique et on va voir une"
"12940","17680"," entité qui est fréquente en réanimation et une"
"17680","20620"," atteinte respiratoire qui est le SDRA, le syndrome"
"20620","21600"," respiratoire aiguë."
"24500","30220"," Donc, premièrement, on"
"30220","38320"," devrait faire un petit tour pour vous donner"
"38320","42780"," la parole concernant les insuffisances respiratoires aiguës."
"42900","45120"," Donc, comme on a perdu du temps, on"
"45120","47520"," va entamer le cours directement. "
"48900","53140"," Donc, on va voir la physiopathologie, comment faire"
"53140","57920"," un diagnostic d'une insuffisance respiratoire aiguë, les"
"57920","62100"," principes de prise en charge, les indications de"
"62100","64960"," la ventilation mécanique et on va voir le"
"64960","68820"," SDRA ou le syndrome de détresse respiratoire aiguë."
"71180","73420"," Si vous avez des questions, on peut, au"
"73420","75780"," fur et à mesure, discuter et vous donner"
"75780","76120"," la parole."
"76940","79240"," Si vous n'avez pas compris quelque chose,"
"79340","80020"," vous pouvez m'arrêter. "
"80820","92650"," Donc, un petit rappel concernant l "
"92650","95890","'appareil respiratoire."
"96630","101230"," Je vous le rapporte du nouveau."
"101610","105290"," La trachée, les branches chouches, le poumon, on"
"105290","108330"," a les divisions branchiques, on a les segmentaires,"
"108450","112730"," les sous-segmentaires et les divisions après. "
"112730","117010"," Puis, il y a l'unité fonctionnelle du"
"117010","120850"," poumon qui est un groupement d'alvéoles qui"
"120850","124030"," sont entourées de capillaires."
"125510","130070"," Donc là, on a un alvéole avec du"
"130070","132850"," sang qui vient pour avoir de l'oxygène"
"132850","133890"," enrichi en CO2."
"134710","136850"," C'est le rotor vénum qui arrive dans"
"136850","140830"," le cœur droit, puis il est assimilé au"
"140830","142710"," poumon par l'artère pulmonaire. "
"142710","146070"," Puis, il est enrichi en oxygène et appauvri"
"146070","148110"," en CO2, donc CO2."
"148290","151310"," Il est dégagé dans les alvéoles pour qu "
"151310","155290","'il puisse être expiré et on aura le"
"155290","159130"," sang qui est enrichi d'oxygène, qui va"
"159130","165150"," encore une fois être véhiculé au niveau des"
"165150","169940"," tissus pour la définition."
"170280","173100"," L'insuffisance respiratoire aiguë, c'est un syndrome. "
"174720","178420"," Ce n'est pas une pathologie, ce n "
"178420","180560","'est pas une maladie, c'est un syndrome."
"180980","183400"," Donc, un syndrome, ça veut dire qu'il"
"183400","186300"," y a un ensemble de signes et il"
"186300","189600"," y a une multitude d'étiologies ou de"
"189600","190060"," causes."
"190480","192020"," D'accord ?"
