"start","end","text"
"390","3130"," Pour le SO-Module, si vous voulez, parce"
"3130","8450"," que SO-Module, ici, on a deux SO "
"8450","12390","-Module, donc urgence et réanimation, et douleurs et"
"12390","18470"," soins palliatifs, avec une partie de la chirurgie"
"18470","23750"," plastique, professeur Benchamcha, qui a été mise avec"
"23750","25310"," nous dans SO-Module."
"26770","29930"," Même si ça ne se figure pas pour"
"29930","31250"," la nomination du module."
"32770","37030"," Donc, pour douleurs et soins palliatifs, on a"
"37030","38430"," au total six cours. "
"39550","45730"," Donc, je ferai trois cours, professeur Ziedi, trois"
"45730","46010"," cours."
"47370","47570"," D'accord?"
"48070","51250"," Donc, on a un cours aujourd'hui."
"52370","56950"," Vendredi, ça sera professeur Ziedi, parce que j "
"56950","60710","'ai un empêchement pour vendredi, et je terminerai"
"60710","62790"," avec vous la semaine prochaine. "
"63830","69130"," On aura séance mardi et jeudi."
"70230","72730"," Et professeur Ziedi continuera les deux cours qui"
"72730","73790"," restent."
"78070","81530"," Donc, pour les trois cours, initialement, on a"
"81530","84070"," ce premier cours qu'on va parler de"
"84070","87510"," l'approche palliative ou du concept des soins"
"88130","88730"," palliatifs. "
"89950","94590"," Deuxièmement, on aura tout ce qui concerne les"
"94590","102830"," soins palliatifs en matière de communication éthique, deuil,"
"104860","105240"," agonie."
"106040","108440"," Et le dernier cours, ce sera à propos"
"108440","112000"," des symptômes et la prise en charge des"
"112000","114080"," symptômes et des complications des soins palliatifs."
"115760","143790"," Donc, pour ce premier cours, qu "
"143790","145090","'est-ce que vous avez comme notion à"
"145090","146130"," propos des soins palliatifs?"
"151620","152220"," C'est quoi?"
"152220","154660"," Ça concerne qui?"
"155540","156780"," Ça commence quand?"
"158060","161980"," On fait comment pour démarrer les soins palliatifs?"
"163240","165400"," Les structures qui existent?"
"166240","166340"," Oui. "
"188920","198920"," Ça veut dire jusqu'à"
"198920","199900"," ce qu'on décide qu'il n'y"
"199900","201820"," a pas d'altérance thérapeutique et on commence"
"201820","202880"," les soins palliatifs."
"204400","206120"," On va voir ça aussi."
"227500","229060"," Oui, effectivement. "
"229580","232060"," Donc, ça doit commencer tôt au cours de"
"232060","236240"," la prise en charge des malades qui ont"
"236240","238260"," un pronostic réservé."
"239760","240100"," Oui."
"242620","242980"," Votre idée?"
"248140","249800"," Ça concerne quel genre de malade?"
"254410","254550"," Pardon?"
"257589","258589"," Les sujets âgés. "
"258850","259089"," Oui."
"261410","266550"," Donc, les sujets qui ont eu longtemps et"
"266550","267570"," qui sont fragiles."
"267570","268050"," Oui. "
"271180","271940"," Oui."
"273240","275100"," Les cancéreurs en phase finale."
"285000","286660"," Les infirmités. "
"287800","288780"," Les malades infirmes."
"297080","299540"," En fait, ça enveloppe toute une liste."
"299680","306140"," Donc, même par exemple, pour une tuberculose qui"
"306140","311540"," a une tuberculose résistante et qu'on ne"
"311540","314700"," trouve pas, qu'on n'est plus en"
"314700","315620"," mesure de le traiter. "
"316480","319060"," Donc, il va s'altérer au fur et"
"319060","321060"," à mesure, tout doucement, progressivement."
"321800","323720"," Et lui aussi, il sera candidat aux soins"
"323720","324300"," palliatifs."
"326840","328260"," Les maladies HIV. "
"330400","330720"," D'accord."
"331540","334000"," Les maladies qui ont des complications, par exemple,"
"335120","337240"," un malade incisant cardiaque en stade final."
"337240","339020"," Donc, il ne peut rien faire. "
"339140","340220"," Il ne peut plus bouger."
"340480","342040"," Donc, lui aussi, il peut être un candidat"
"342040","342920"," aux soins palliatifs."
"347240","349800"," Ça se trouve où on peut les prendre"
"349800","350280"," en charge?"
"355020","356280"," Il y a un service. "
"361600","363820"," Ça existe, mais pas en oncologie."
"368850","369070"," Oui."
"370830","376820"," Éventuellement, chez nous, dans la maison. "
"382120","388460"," Même à domicile, pour les malades ou les"
"388460","391520"," patients qui ont un soutien familial."
"391920","395320"," Donc, on peut avoir, on peut dédier une"
"395320","396980"," chambre et on peut prendre en charge un"
"396980","397920"," malade chez lui."
"402360","404820"," Et on gère ça comment?"
"408890","409630"," Les soins palliatifs. "
"410630","415910"," Les décisions, ça se fait comment?"
"423000","423380"," Pardon?"
"425160","425540"," Oui."
"426040","426540"," Donc, la famille."
"429820","430060"," Pardon?"
"435690","436070"," Oui. "
"436410","437990"," Donc, l'équipe médicale."
"444120","444560"," L'équipe."
"444960","446600"," Donc, l'équipe soignante, si vous voulez. "
"447600","452430"," Donc, la famille, l'équipe soignante, le patient"
"452430","453030"," lui-même."
"454470","456870"," Il a le dernier mot à dire."
"458830","460730"," Normalement, on n'est pas obligé à le"
"460730","462830"," traiter ou à lui administrer quoi que ce"
"462830","463810"," soit, s'il n'est pas d'accord. "
"467120","470180"," Quatrième ou quatrième facteur qui intervient."
"471120","473660"," Donc, la famille, le malade, l'équipe soignante"
"475620","477980"," et la nature de la maladie aussi."
"479540","481840"," Il y a la nature de la maladie"
"481840","482220"," aussi. "
"483240","486620"," On va voir tous et tout ça."
"487340","491840"," Donc, avant de voir la définition proprement dite"
"491840","496460"," qui a été émise par l'OMS, l "
"496460","497640","'Organisation mondiale de la santé."
"498400","502160"," Il y a certains experts, certains volontaires qui"
"502160","508180"," ont travaillé en soins palliatifs et docteur Thérèse. "
"508380","510860"," Donc, c'est une qui est décédée en"
"510860","511440"," 2004."
"512159","513919"," Elle a dit les soins palliatifs, c'est"
"513919","515380"," tout ce qu'il reste à faire quand"
"515380","516419"," il n'y a plus rien à faire."
"518890","520270"," C'est ça, son point de vue. "
"521130","523110"," Et puis un autre, il a dit ajouter"
"523110","524810"," de la vie à chaque jour."
"524810","527830"," Quand on ne peut plus ajouter des jours"
"527830","528270"," à la vie."
"529650","532590"," Donc, il faut, c'est si on veut"
"532590","535530"," affiner ça, c'est en matière de qualité"
"535530","535930"," de vie. "
"536250","539650"," Donc, assurer une meilleure qualité de vie durant"
"539650","542490"," les jours qui restent."
"543370","545130"," Donc, les objectifs de cours, on va voir"
"545130","548270"," la définition, les principes de l'approche palliative."
"549750","552810"," L'approche sur la démarche interdisciplinaire. "
"552810","555470"," On va voir que c'est différent par"
"555470","557870"," rapport à la multidisciplinaire."
"558950","562090"," Les patients qui sont candidats aux soins palliatifs,"
"562310","564970"," les phases de l'approche palliative ou des"
"564970","568070"," soins palliatifs et l'organisation des soins palliatifs."
"568910","571590"," Donc, pour l'OMS, elle décrit les soins"
"571590","574630"," palliatifs comme les soins ou l'ensemble des"
"574630","578730"," soins dispensés aux personnes atteintes d'une maladie"
"578730","580590"," avec pronostic réservé. "
"580590","584330"," Donc là, le mot clé, c'est pronostic"
"584330","584830"," réservé."
"584970","587190"," Ça ne veut pas dire seulement les cancers"
"587190","589210"," ou certaines maladies."
"589790","590690"," On va voir la liste. "
"591370","597410"," Donc, comme objectif, principalement, c'est l'atténuation"
"597410","602770"," de la douleur, des autres symptômes, tous problèmes"
"602770","606870"," psychologiques, sociaux et spirituels."
"607590","610090"," Donc, les soins palliatifs, ça englobe tout ce"
"610090","617090"," qui est médical, psychologique, social et spirituel."
"617550","619530"," Donc, quatre facettes de la prise en charge,"
"620330","622630"," aux quatre volets de la prise en charge"
"622630","623550"," des soins palliatifs. "
"624390","630170"," Donc, médical, psychologique, social et spirituel."
"632030","634630"," Et on va le voir aussi au fur"
"634630","636190"," et à mesure, il n'y a pas"
"636190","639210"," les gens qu'on prend en charge pour"
"639210","640270"," des soins palliatifs, ce n'est pas que"
"640270","640710"," les patients."
"641690","643250"," Il y a les patients, il y a"
"643250","646570"," la famille et il y a aussi l "
"646570","653070","'équipe soignante parce qu'elle risque, avec le"
"653070","657930"," rythme avec lequel elle travaille cette équipe, elles"
"657930","661290"," peuvent être victimes de burn-out ou d "
"661290","662550","'épuisement professionnel. "
"662550","667090"," Donc, trois qui bénéficient des soins palliatifs."
"667330","668930"," Donc, l'objectif, comme on l'a dit"
"668930","670910"," tout à l'heure, c'est d'assurer"
"670910","674030"," ou d'obtenir la meilleure qualité de vie"
"674030","675970"," possible durant les jours qui restent."
"677530","679790"," Les soins palliatifs sont organisés et dispensés grâce"
"679790","684570"," aux efforts et collaborations d'une équipe multidisciplinaire"
"684570","689290"," dans son organisation, dans son composition, mais elle"
"689290","692810"," est interdisciplinaire en matière de son travail. "
"693130","693930"," On va voir la différence."
"696460","701860"," L'historique, donc déjà pour Hippocrate, il décrit"
"701860","709700"," certaines qualités du médecin, parmi d'autres, soulager,"
"709860","714760"," guérir quand c'est possible, assister, accompagner toujours"
"714760","718240"," et témoigner d'une véritable compassion."
"719140","723060"," Donc, ces principes-là, c'est parmi les"
"723060","724660"," piliers de la prise en charge des soins"
"724660","725180"," palliatifs. "
"726360","728900"," La première unité de soins palliatifs ou le"
"728900","732340"," premier hôpital de soins palliatifs a été mis"
"732340","734340"," en place en 1907 à Londres."
"736600","743400"," Toujours en historique, un psychiatre, madame Elisabeth Kobler "
"743400","747920","-Ross, nous a décrit dans son livre Les"
"747920","753640"," derniers instants de vie, les étapes de réaction"
"753640","757900"," face à une maladie grave, à un malade."
"759000","763100"," Après, en 1978, la première unité de soins"
"763100","768640"," palliatifs francophones et les soins palliatifs comme spécialité. "
"768980","772500"," Ça a été reconnu en Angleterre en 1987"
"772500","774080"," comme spécialité."
"775300","777120"," Chez nous, pas encore."
"777320","781080"," Ça fait partie de l'oncologie et de"
"781080","781800"," la radiothérapie. "
"782460","792040"," En 1993, ils ont commencé à"
"792040","795480"," enseigner les soins palliatifs pour les infirmiers et"
"795480","796120"," les médecins."
"797080","799260"," Elle a été reconnue chez eux comme spécialité"
"799260","800220"," en 2004."
"801540","804440"," Et aux États-Unis, c'est jusqu'en"
"804440","807360"," 2007 où elle a été reconnue comme spécialité. "
"811040","812020"," C'est juste pour information."
"812780","816620"," Sur le plan épidémiologique, le besoin en soins"
"816620","820220"," palliatifs, ça augmente progressivement."
"820480","822300"," On va voir certains chiffres. "
"822740","825960"," Donc, vu le vieillissement de la population et"
"825960","829640"," vu la multiplication ou l'augmentation de la"
"829640","832420"," fréquence des maladies non transmissibles et transmissibles."
"833940","837560"," Et quand on instaure des soins palliatifs, ça"
"837560","841280"," permet, durant le parcours de soins d'un"
"841280","843120"," malade, il permet de réduire le nombre d "
"843120","847660","'hospitalisations inutiles et de réduire le recours aux"
"847660","848380"," services de santé."
"849240","850560"," Donc, ça réduit la prise en charge. "
"854880","861800"," Là, c'est un rapport de 2021 d "
"861800","870840","'une organisation de l'Alliance de l'Etat."
"870840","875340"," Donc, on a 57 millions de patients durant"
"875340","877700"," l'année 2021 qui ont nécessité des soins"
"877700","878200"," palliatifs."
"879320","881660"," 57 millions à travers le monde. "
"885820","888260"," Parmi ces 57 millions, 7% ce sont"
"888260","888700"," des enfants."
"905290","906890"," 7% ce sont des enfants."
"909410","918890"," 12%, 12% seulement qui ont des soins"
"918890","920990"," palliatifs du moins les deux fois. "
"920990","923490"," parce qu'ils ont bel et bien reçu"
