"start","end","text"
"580","4400"," Au campus, vous allez vous retrouver, S8iek, professeur"
"4400","6720"," Edib, le premier cours, téléchargez le premier cours."
"7080","7960"," Non, le COMA."
"9600","11320"," Donc, vous avez mes quatre séances. "
"11480","13540"," Vous avez COMA, c'est un acide aux"
"13540","18920"," diabétiques, arrêt cardiaque et traumatisé grave."
"20360","23760"," Alors, pour les quatre sessions, le COMA et"
"23760","26280"," les complications du diabète, on va les faire"
"26280","28880"," sous forme de travaux de groupe."
"29520","33100"," Je vais vous départager en plusieurs groupes. "
"34720","37740"," Je vous donne une vignette clinique et vous"
"37740","40680"," avez 15 minutes pour répondre à une question."
"40960","42500"," Chaque groupe a une question différente."
"43720","44320"," C'est clair ?"
"45260","48000"," A la fin, que chaque groupe ait répondu"
"48000","51200"," à la question, vous allez passer, vous allez"
"51200","53400"," donner ce qu'on appelle un ambassadeur du"
"53400","53700"," groupe. "
"54340","55880"," C'est lui qui va exposer le résultat"
"55880","56580"," du travaux du groupe."
"57160","59880"," Donc, il va répondre à la question que"
"59880","60480"," nous avons faite."
"61460","62180"," Ça va ?"
"63620","64379"," C'est clair ?"
"65900","67280"," D'accord, ça, on va le faire pour"
"67280","68900"," ces deux, COMA et l'acide aux séptômes. "
"69420","71000"," Pour le trauma grave, on va le faire"
"71000","72940"," sous forme d'un sérieux game, un jeu."
"73600","77000"," On va jouer ensemble sur deux scénarios pré "
"77000","78120","-hospitalier et à l'hospitalier."
"79520","81040"," Et l'arrêt cardiaque, on va le faire"
"81040","81720"," sous forme de cuisse. "
"82980","83420"," C'est bon ?"
"83420","83760"," C'est bon ?"
"83760","89340"," Alors, on commence par répartir, j'ai besoin"
"89340","94640"," de onze, onze groupes."
"100530","101790"," Onze groupes."
"111820","115320"," Donc, vous approchez avec elle. "
"117870","126790"," Donc, groupe un, groupe deux, groupe"
"126790","133410"," trois, groupe quatre, d'accord ?"
"133410","140500"," Donc, groupe trois, groupe quatre, groupe cinq, groupe"
"140500","140980"," six."
"143140","146140"," Il y a eu moins de groupes six."
"150960","161300"," Alors, groupe sept, huit, neuf,"
"161860","162940"," dix. "
"164140","165620"," La question dix."
"167120","177100"," Alors, retenez la vignette"
"177100","177620"," clinique."
"180040","185020"," Donc, vous avez le droit, les groupes, vous"
"185020","188020"," avez le droit de vous référer au cours. "
"188900","192700"," De toute façon, les réponses et questions vont"
"192700","194440"," être inspirées du cours que vous avez."
"195400","197100"," Mais si vous voulez chercher ailleurs, il n "
"197100","197660","'y a pas de problème."
"198800","200180"," D'accord ?"
"200180","201600"," Donc, vous avez accès à Internet. "
"205710","206230"," Vignette."
"207290","211750"," Un homme de 50 ans est amené par"
"211750","214510"," les pompiers de sa maison aux urgences pour"
"214510","214750"," coma."
"215030","216950"," Donc, il était chez lui, il a été"
"216950","219850"," ramené par les sapeurs-pompiers pour coma. "
"221010","224350"," Le patient n'ouvre pas les yeux, ne"
"224350","227030"," bouge pas les membres, n'émet aucun sang"
"227030","228490"," à la stimulation douloureuse."
"231110","232530"," Ça va, c'est clair ?"
"232530","233030"," Retenu."
"238420","240300"," S'agit-il d'un coma ?"
"240300","241940"," Et pourquoi ?"
"244040","246200"," S'agit-il vraiment d'un coma ?"
"246860","247660"," Et pourquoi ?"
"250380","251320"," Ça va, c'est clair ?"
"258019","258860"," Deuxième groupe. "
"261089","263690"," Quelle est votre attitude immédiate ?"
"266330","269050"," Quelle est votre attitude immédiate ?"
"271580","272140"," C'est bon ?"
"273600","274420"," Troisième groupe."
"275560","277680"," Que cherchez-vous à l'interrogatoire ?"
"278680","280480"," De lui ou de sa famille ?"
"282720","283280"," C'est bon ?"
"286360","289040"," Alors, le groupe 3 ne tenait pas compte"
"289040","290060"," de cet interrogatoire."
"291280","293580"," Ne tenez pas compte de cet interrogatoire. "
"294180","296100"," Vous allez rechercher des choses à l'interrogatoire."
"296880","299420"," Le groupe 4, ils ont fait l'interrogatoire"
"299420","300980"," et vous avez ces données en plus."
"302400","304280"," Alors, tous les autres groupes, 1, 2, 3,"
"304380","305820"," ne tiennent pas compte de ça. "
"306320","307620"," Juste la première vignette clinique."
"309340","309840"," Groupe 4."
"310260","312520"," L'interrogatoire de sa femme nous apprend que"
"312520","315460"," le patient est traité par metformine, un comprimé"
"315460","315920"," par jour."
"316760","319380"," Depuis six jours pour un diabète révélé par"
"319380","320460"," une infection pulmonaire. "
"321840","324140"," Pour laquelle il a reçu un traitement par"
"324140","324760"," amoxyciline."
"325020","325840"," Les arrivants."
"327840","329800"," Vous êtes le groupe 11. "
"330640","331760"," Le groupe 11."
"339740","342500"," Alors, l'interrogatoire de sa femme nous apprend"
"342500","344600"," que le patient est traité par metformine."
"344740","346660"," Un comprimé par jour depuis six jours pour"
"346660","349460"," un diabète révélé par une infection pulmonaire. "
"350000","351940"," Pour laquelle il a reçu un traitement par"
"351940","352740"," amoxyciline."
"355020","356840"," Chaque mot a à son poids."
"357420","359740"," Elle déclare également qu'il se sentait très"
"359740","361840"," mal et n'acceptait pas sa maladie. "
"363300","366740"," Et en rentrant de course, elle, elle était"
"366740","368240"," en train de faire le cours, il l "
"368240","371380","'a retrouvé inconscient après avoir pris une douche."
"372780","373500"," Ça va?"
"374440","375720"," Pour tous les groupes, ça va?"
"376560","378560"," Parce que là, vous allez répondre en fonction"
"378560","382000"," du cours et contextualiser à cette vignette clinique."
"382000","386620"," Il y a un groupe 4."
"387040","389120"," Quelles sont vos orientations éthiologiques?"
"391660","391920"," C'est bon. "
"394080","394940"," Groupe 5."
"397190","399670"," Quelles sont les principales étapes de l'examen"
"399670","400930"," neurologique?"
"405240","406440"," Ça va, c'est clair."
"407760","408680"," Groupe 6."
"411780","415460"," Quel examen paraclinique faut-il demander en urgence?"
"417860","421060"," Les examens cliniques paracliniques à demander chez ce"
"421060","421500"," patient-là."
"423320","423720"," OK. "
"425140","426220"," Groupe 7."
"427120","427820"," Avec les filles."
"430810","431970"," À quelle éthiologie?"
"433110","433950"," Pensez-vous?"
"435310","436270"," Là, il y a une différence."
"439440","441400"," Vos orientations, c'est très large. "
"442880","445040"," Là, à quelle éthiologie?"
"446320","446740"," Pensez-vous?"
"448220","448520"," C'est bon."
"450300","450620"," 8."
"451880","453240"," Quelles sont vos prescriptions?"
"454760","457720"," Thérapeutiques pour les 24 premières heures suivant l "
"457720","458180","'hospitalisation."
"459980","461020"," Prescriptions thérapeutiques. "
"463080","464200"," C'est bon, c'est clair?"
"465680","466560"," Groupe 9."
"467940","470420"," Quels sont les éléments de surveillance de ce"
"470420","470700"," patient?"
"471520","472840"," Vous m'arrêtez de relayer la prescription."
"473560","474800"," Vous, les éléments de surveillance."
"476360","477080"," C'est bon. "
"478080","478700"," Groupe 10."
"480700","482880"," Quelles complications peuvent survenir?"
"484440","486080"," Bien entendu, vous remarquez qu'il y a"
"486080","487660"," pas mal de redondances dans les groupes."
"487660","489720"," Il y a des choses qui vont se"
"489720","490540"," répéter, bien sûr. "
"491740","491980"," OK."
"493500","494300"," Dernière question."
"495080","495640"," Groupe 11. "
"496300","498920"," Quels sont les éléments de mauvais pronostic chez"
"498920","499360"," ce patient?"
"501040","502700"," Donc, c'est un patient qui est arrivé."
"503560","505240"," Alors, je vous remets la vignette."
"507160","507620"," Lula. "
"508780","510440"," C'est un homme de 50 ans."
"511100","512940"," Amené par les sapeurs-pompiers."
"513419","514799"," Dans un tableau de coma. "
"515220","515860"," Ils disent coma."
"515860","518860"," L'examen, il n'ouvre pas les yeux,"
"518919","519860"," ne bouge pas les membres."
"520100","522059"," N'émet aucun sang à la simulation douloureuse. "
"524280","525240"," Fleur interrogatoire."
"526200","527040"," Vous avez ça."
"529710","530050"," C'est bon. "
"531630","533270"," Donc, vous avez 15 minutes."
"533870","535390"," Au bout de 15 minutes."
"538670","539950"," Au bout de 15 minutes. "
"540630","543590"," Vous allez nous donner un ambassadeur parmi vous."
"544110","545490"," Qui va répondre aux questions."
