"start","end","text"
"3019","4480"," Je peux commencer ?"
"4480","6600"," Vous voulez encore répondre ?"
"29660","36240"," Je pense qu'avant-hier, on est arrivé"
"36240","37760"," à la fin de la conférence."
"41420","44480"," Si vous vous rappelez, on a parlé de"
"44480","46840"," tout ce qui entrave la cicatrisation, qu'on"
"46840","49960"," peut scinder en deux grandes catégories."
"50880","52720"," Il peut s'agir d'âmes pas cicatricielles"
"52720","54360"," ou de cicatrices pathologiques. "
"58680","62220"," Les cicatrices pathologiques, et qu'on peut..."
"66800","71300"," On va aborder les cicatrices pathologiques."
"73060","74080"," Je ne sais pas s'il y a"
"74080","75140"," quelque chose qui ne marche pas."
"76080","76620"," Voilà. "
"78380","80560"," Tout d'abord, on va commencer par la"
"80560","81980"," cicatrisation en excès."
"83180","84520"," Vous vous rappelez, on a parlé de la"
"84520","89940"," réaction inflammatoire comme étant un principe important pour"
"89940","94160"," que la cicatrisation soit faite dans les bonnes"
"94160","94620"," conditions."
"95200","97820"," L'inflammation est constituée aussi un facteur important. "
"98380","100540"," Parfois, cette inflammation se fait d'une manière"
"100540","101620"," très exagérée."
"102340","104460"," Ce qui aboutit à ce qu'on appelle"
"104460","107580"," les cicatrices en excès ou cette cicatrisation en"
"107580","108080"," excès."
"108600","111980"," Alors, la cicatrisation normale, si vous voyez, vous"
"111980","114480"," arrivez à suivre cette courbe, vous voyez donc"
"114480","116660"," la cicatrisation normale, il y a quand même"
"116660","119280"," de l'inflammation, mais cette inflammation commence à"
"119280","123000"," disparaître, la première courbe, l'inflammation commence à"
"123000","127240"," disparaître sur des mois pour disparaître complètement au"
"127240","129380"," bout de 18 à 24 mois. "
"130900","133780"," Parfois, cette inflammation, quand même, elle prend un"
"133780","136220"," peu de temps, elle prend plus de temps,"
"136540","138560"," donc elle va persister d'une manière plus"
"138560","141880"," importante, mais quand même, elle va disparaître."
"142500","144920"," Même si elle est importante, elle va quand"
"144920","146740"," même disparaître dans un délai."
"146740","148520"," Et ça, c'est ce qui qualifie ce"
"148520","151240"," qu'on appelle les cicatrices hypertrophiques. "
"151640","153940"," Ce sont des cicatrices qui sont hypertrophiques, certes,"
"154440","157020"," mais qu'elles vont disparaître peut-être avec"
"157020","159060"," le temps et c'est là où on"
"159060","161960"," peut conclure que ces cicatrices, elles peuvent être"
"161960","165100"," la cible d'un traitement médical, juste un"
"165100","167080"," traitement médical, et on va voir de quoi"
"167080","170080"," il s'agit, et pour améliorer cette qualité"
"170080","174820"," de cicatrisation en luttant surtout contre l'inflammation."
"176280","179760"," Mais parfois, cette cicatrisation, elle dépasse, donc elle"
"179760","181800"," ne va jamais se résorber, elle va se"
"181800","184500"," continuer dans le temps et définit ce qu "
"184500","186640","'on appelle les cicatrices kéroïdes."
"187720","189580"," Vous avez fait la part des choses. "
"189840","191720"," L'inflammation, c'est quelque chose qui existe."
"193280","195120"," Elle va disparaître en quelques mois."
