"start","end","text"
"1800","5560"," Ceci est un cours destiné aux étudiants de"
"5560","6460"," 5e année de médecine."
"7760","10320"," Nous allons aborder dans ce cours l'accouchement"
"10320","11480"," en présentation de sommets."
"15250","16790"," Nous avons adopté le plan suivant. "
"17630","20770"," Après une brève introduction, nous allons faire quelques"
"20770","24250"," rappels anatomiques, puis nous aborderons les diagnostics cliniques"
"24250","27710"," puis paracliniques, nous parlerons de la mécanique obstétricale,"
"28770","30330"," et nous finirons par une conduite à tenir"
"30330","31549"," pratique avant de conclure."
"36090","37830"," La présentation de sommets est la présentation la"
"37830","38510"," plus fréquente."
"41210","43130"," Elle concerne 95% des accouchements. "
"44050","45930"," C'est une présentation dite autopsique."
"47630","51350"," Il s'agit d'une présentation céphalique caractérisée"
"51350","54570"," par une flexion maximale de la tête, et"
"54570","57050"," donc le repère essentiel est l'occipite."
"62140","68430"," Sur le plan rappel anatomique, les éléments de"
"68430","71010"," l'accouchement en présentation de sommets sont constitués"
"71010","74090"," essentiellement par le bassin obstétrical et l'homobile"
"74090","76630"," fétale, et essentiellement la tête fétale. "
"78710","81130"," Pour le bassin obstétrical, il est caractérisé par"
"81130","83630"," la présence de trois détroits, le détroit supérieur,"
"83790","85530"," le détroit moyen, le détroit inférieur."
"86470","88810"," Ces détroits sont caractérisés par leur diamètre."
"89730","92850"," Pour le détroit supérieur, on distingue essentiellement le"
"92850","94890"," transverse médian qui est de 12 à 12 "
"94890","99850",",5 cm, le diamètre promontorétropubien qui est de"
"99850","101710"," l'ordre de 10,5 cm. "
"101710","105990"," Quant au détroit moyen, le diamètre essentiel est"
"105990","110650"," le diamètre bisciatique, dit biépineux, qui est en"
"110650","113430"," moyenne de 11 cm, et le détroit inférieur"
"113430","117410"," est caractérisé par le diamètre bisciatique qui mesure"
"117410","118610"," en moyenne 11 cm."
"122110","125690"," En présentation de sommets, avec le bassin obstétrical"
"125690","128350"," interagit le pôle céphalique fétal."
"128970","130630"," Le pôle céphalique est un ovale à grosse"
"130630","131750"," extrémité postérieure. "
"131750","135530"," Il est caractérisé par deux fontanelles, la fontanelle"
"135530","138830"," antérieure, dite brégma, et la fontanelle postérieure, dite"
"138830","139210"," landa."
"140710","142890"," La présentation de sommets, elle correspond à la"
"142890","144890"," flexion maximale de ce pôle céphalique."
"145510","149730"," Elle est caractérisée par le diamètre sous-occipitoprégmatique"
"149730","151970"," qui est de l'ordre de 9,5"
"151970","152490"," cm. "
"156360","159000"," Le diagnostic de la présentation de sommets est"
"159000","159980"," essentiellement clinique."
"161520","163320"," Il se fait au cours du travail."
"163320","170260"," L'examen physique retrouve au palpé abdominal une"
"170260","174580"," présentation longitudinal, permet de rechercher le pôle céphalique"
"174580","178560"," et le siège, d'apprécier la hauteur utérine,"
"179540","181420"," de rechercher le plan du dos par la"
"181420","184140"," manœuvre de l'iopôle, et l'identification du"
"184140","186700"," foyer du bruit cradiaque fétal. "
"193130","195690"," Le toucher vaginal est l'étape clé de"
"195690","196410"," l'examen clinique."
"197190","201670"," Il permet de confirmer le diagnostic, en recherchant"
"201670","204410"," le repère de la présentation de sommets qui"
"204410","205770"," est la fontanelle postérieure."
"207330","214070"," Cette dernière permet, grâce à sa position, de"
"215510","216810"," préciser la variété. "
"218490","219930"," Et on distingue quatre variétés."
"221290","224170"," D'abord, la variété occipito-iliaque gauche antérieure,"
"224250","226390"," la plus fréquente, 57% des cas."
"226390","230750"," L'occipito-iliaque droite postérieure, avec 33%"
"230750","231110"," des cas. "
"231810","234930"," L'occipito-iliaque gauche postérieure, dont 6%"
"234930","235290"," des cas."
"236250","238350"," Et l'occipito-iliaque droite antérieure."
"241450","243950"," Il ne faut pas oublier de signaler certains"
"243950","246690"," éléments importants pour le pronostic de l'accouchement,"
"247150","249410"," tels que les données de l'examen général,"
"249670","252190"," à savoir la tension artérielle, la température, la"
"252190","254170"," présence ou non d'endomènes des membres inférieurs. "
"255750","258630"," L'évaluation des contractions utérines avec leur fréquence,"
"258769","259810"," durée et intensité."
"260850","264030"," La présence ou non de rupture des membranes."
"265290","268330"," L'appréciation du liquide amniotique avec son aspect,"
"268510","269390"," couleur et odeur. "
"270630","272170"," Et à la fin, apprécier le score de"
"272170","274690"," Bishop qui évalue la position, l'effacement, la"
"274690","278870"," dilatation, la souplesse cervicale, ainsi que la hauteur"
"278870","279380"," de la présentation."
"283140","287240"," En ce qui concerne le diagnostic paraclinique, le"
"287240","289800"," monitorage obsétrical permet d'apprécier le bien-être"
"289800","295220"," fétal, et l'échographie pérenniale peut être utile"
"295220","299080"," dans certains cas pour apprécier la variété de"
"299080","299720"," la présentation."
"303500","306420"," L'accouchement en présentation de sommet va concerner"
"306420","307580"," trois niveaux. "
"308620","311180"," D'abord l'engagement qui concerne le Détroit"
"311180","315980"," supérieur, puis la descente-rotation qui se fait"
"315980","318640"," au niveau du Détroit moyen, et finalement le"
"318640","321320"," dégagement qui se fait au niveau du Détroit"
"321320","321780"," inférieur."
"325520","328800"," L'engagement correspond à la traversée du Détroit"
"328800","330340"," supérieur par la présentation."
"331520","334380"," Certains phénomènes préparatoires sont de mise, tels que"
"334380","338200"," l'orientation de la présentation dans un diamètre"
"338200","342900"," oblique, une flexion maximale de la tête qui"
"342900","347820"," correspond à la présentation de sommet, un asynclitis"
"347820","351080"," qui peut être antérieur ou postérieur, et dans"
"351080","354080"," certains cas un léger chevauchement des os du"
"354080","354300"," crâne. "
"358450","361330"," Le diagnostic de l'engagement se fait essentiellement"
"361330","364190"," par le douché vaginal, par le signe de"
"364190","364750"," Faraboeuf."
"365670","368150"," On introduit deux doigts dirigés vers le deuxième"
"368150","368930"," vertèbre sacré."
"369910","373650"," Ces deux doigts butent quand la présentation est"
"373650","374090"," engagée. "
"377810","380210"," La deuxième étape est le franchissement du Détroit"
"380210","380570"," moyen."
"380570","382610"," Deux phénomènes à signaler."
"383970","386230"," La descente de la tête qui se fait"
