"start","end","text"
"6060","8740"," Ceci est un cours destiné aux étudiants de"
"8740","11020"," cinquième année des études médicales dans le cadre"
"11020","14140"," du module de gynécologie obstétrique de la Faculté"
"14140","16620"," de médecine et de pharmacie de Marrakech."
"16780","18820"," Il s'agit du cours sur la délivrance"
"18820","20920"," normale et pathologique."
"22280","25380"," Ce cours revêt un intérêt important du fait"
"25380","29040"," de la gravité de certaines complications, de l "
"29040","33240","'importance de cette période et de cet événement"
"33240","36460"," qui est la délivrance qui fait suite immédiatement"
"36460","38060"," à l'accouchement. "
"38640","40940"," Il est défini comme étant l'ensemble des"
"40940","43960"," phénomènes qui font suite à l'accouchement aboutissant"
"43960","46960"," au décollement du placenta et de ses membranes"
"46960","49900"," ainsi qu'à son expulsion hors de la"
"49900","50360"," cavité."
"51520","54240"," Sur le plan chronologique, il est défini comme"
"54240","57940"," étant les deux heures suivant l'expulsion fatale"
"57940","63099"," et dans la littérature anglophone, on considère et"
"63099","67200"," il est nommé comme étant la troisième ou"
"67200","69760"," le troisième stade du travail et qui va"
"69760","73520"," comporter trois étapes successives sur le plan physiologique"
"73520","75800"," qu'on va voir et étudier."
"76240","78900"," La première étape, c'est le décollement du"
"78900","81100"," placenta et les mostazes. "
"81100","83900"," La deuxième, c'est la migration du placenta"
"83900","86360"," dans le segment inférieur puis dans le vagin"
"86650","89220"," et la troisième, c'est l'expulsion du"
"89220","92240"," placenta et des membranes hors de la vulve."
"94380","98040"," Comme on a dit, ce chapitre revêt une"
"98040","101720"," importance capitale du fait de la gravité de"
"101720","104880"," certaines complications et on considère que cette période"
"104880","108900"," de délivrance est la période la plus dangereuse"
"108900","112200"," pour la mère vu le risque d'hémorragie"
"112200","115160"," et la mortalité et la morbidité liées à"
"115160","116920"," ce risque-là, comme on va le voir,"
"117400","121060"," d'où l'intérêt de la vigilance dans"
"121060","122960"," la prise en charge et la surveillance de"
"122960","126080"," cette période-là du fait de l'augmentation"
"126080","130440"," des complications maternelles et surtout de l'hémorragie"
"130440","135720"," qui constitue la première cause de mortalité maternelle"
"135720","138200"," partout dans le monde, y compris dans notre"
"138200","138980"," pays."
"139480","141320"," Donc, avant d'aborder le côté clinique, il"
"141320","145040"," est utile de rappeler quelques éléments anatomiques et"
"145040","149140"," qui vont nous permettre de comprendre certaines particularités"
"149140","151180"," de cette période, d'abord la vascularisation de"
"151180","154760"," l'utérus, la structure et la structure aussi"
"156220","159620"," de la caduque, c'est-à-dire de"
"159620","164800"," la partie la plus profonde du placenta et"
"164800","167320"," qui est la partie qui conditionne son insertion. "
"170890","173090"," Donc, comme vous le savez déjà très bien,"
"173210","176450"," la vascularisation de l'utérus est une vascularisation"
"176450","179810"," très riche et qui dépend de plusieurs artères,"
"180010","184230"," quoique l'artère principale est l'artère utérine"
"184230","186410"," qui est une branche de l'artère épigastrique,"
"186870","191290"," cependant il y a aussi une anastomose très"
"191290","193710"," riche avec les branches de l'artère vaginale"
"193710","195270"," qui est aussi une branche de l'artère"
"195270","198170"," épigastrique et de l'artère ovarique qui vient"
"198170","200390"," directement de la horte, comme vous le voyez"
"200390","204050"," sur ce schéma, et donc un réseau anastomotique"
"204050","207030"," très important entre le côté droit, le côté"
"207030","210470"," gauche et entre les trois composantes de cette"
"210470","211410"," vascularisation."
"212350","216390"," De ce fait-là, toute hémorragie utérine, surtout"
"216390","220010"," dans la période de la grossesse, est gravissime"
"220010","223990"," vu la richesse de cette vascularisation initialement et"
"223990","227090"," son développement très important au cours de la"
"227090","227610"," grossesse."
"228590","231310"," Deuxième chose à savoir, c'est surtout l "
"231310","236890","'insertion du placenta et l'anatomie du placenta"
"236890","241550"," qui est faite sous forme de plusieurs cotylédons"
"241550","245790"," qui constituent l'unité fonctionnelle et ces cotylédons"
"245790","250090"," contiennent la chambre intervilleuse dans laquelle baignent les"
"250090","253870"," structures vasculaires fétales et cette chambre intervilleuse est"
"253870","257470"," irriguée par des artères, ce qu'on appelle"
"257470","262450"," les artères spirales qui proviennent des branches de"
"262450","264190"," l'artère utérine. "
"264650","267430"," Donc c'est une vascularisation très importante avec"
"267430","270190"," des vaisseaux qui sont baignants et qui vont"
"270190","272770"," se déverser dans ces chambres-là."
"273950","275710"," Deuxième chose qu'on peut voir sur ce"
"275710","279350"," schéma-là, c'est l'insertion placentaire qui"
"279350","284630"," se fait au niveau de l'ancien endomètre"
"284630","287210"," qui a constitué la caduque et qui est"
"287210","293030"," séparée en deux parties, la caduque spongieuse qui"
"293030","296230"," va constituer la partie qui va rester au"
"296230","298870"," niveau de l'utérus et la partie compacte"
"298870","301450"," qui part avec le placenta et donc l "
"301450","306610","'existence d'un plan de clivage entre ces"
"306610","310430"," deux couches-là est très important pour la"
"310430","314030"," délivrance et pour le décollement du placenta comme"
"314030","315750"," on va le voir tout à l'heure."
"315890","317510"," Donc on revoit la même chose sur ce"
"317510","320090"," schéma-là, ce que je viens de dire,"
"321150","323310"," ça en haut c'est la face fétale"
"323310","325150"," du placenta et en bas c'est la"
"325150","329990"," face maternelle, vous voyez la vascularisation fétale qui"
"329990","332670"," baigne dans les chambres intervilleuses et vous voyez"
"332670","338390"," les crampons placentaires qui sont centrés par les"
"338390","342970"," vaisseaux spiralés et vous voyez à la base"
"342970","349090"," l'hémiomètre puis la couche basale résiduelle puis"
"349090","351630"," la couche spongieuse et la couche compacte et"
"351630","354170"," donc l'existence d'un plan de clivage"
"354170","360610"," entre la couche spongieuse et la couche compacte"
"360610","364170"," est un impératif anatomique pour un bon déroulement"
"364170","367530"," de la délivrance et du décollement. "
"368570","374830"," Donc sur le plan physiologique, les phases de"
"374830","378390"," la délivrance peuvent être subdivisées en plusieurs étapes,"
"378490","380630"," la première étape est celle qui va faire"
"380630","385210"," suivre immédiatement après l'expulsion fétale, on va"
"385210","389990"," assister à une rétraction utérine de façon physiologique"
"392410","395730"," et qui va entraîner un enchâtonnement, c'est "
"395730","399930","-à-dire des pressions sur la partie latérale"
"399930","404650"," du placenta, donc ceci est secondaire à une"
"404650","409930"," rétraction par les fibres élastiques contenues dans l "
"409930","413690","'hémiomètre, donc c'est une rétraction passive puis"
"413690","417910"," va suivre une rétraction par des contractions utérines"
"417910","420150"," qui vont reprendre 5 à 10 minutes après"
"420150","423430"," l'expulsion et la création d'un nématome"
"423430","427830"," rétro-placentaire qui est physiologique, puis par la"
"427830","430570"," suite, la phase suivante c'est la phase"
"430570","433170"," de migration et d'expulsion du placenta, puis"
"433170","437270"," la phase de rétraction utérine et des moustaches,"
"437390","440830"," donc le décollement, comme on vient de le"
"440830","444590"," dire, après le dégagement, l'utérus va subir"
"444590","448470"," une rétraction élastique passive sur toute la partie"
"448470","451110"," utérine sauf au niveau de la partie de"
"451110","454670"," l'insertion, ce qui va exercer une pression"
"454670","459390"," sur le pourtour du placenta et un tassement"
"459390","465330"," physiologique du placenta, ce qui va créer un"
"465330","469530"," début de décollement, une déchirure de certains vaisseaux"
"469530","476030"," utéro-placentaires qui vont créer cet hématome rétro "
"476030","479910","-placentaire physiologique, donc au cours de cette partie"
"479910","482350"," on va assister à une diminution de la"
"482350","486670"," hauteur utérine et dans le même temps l "
"486670","491110","'intensité des contractions va diminuer, mais il n "
"491110","496550","'est pas ressenti par la patiente ni par"
"496550","497230"," la coucheur."
"497690","501990"," Ensuite la phase de décollement qui va être"
"501990","506170"," débutée après 10 à 15 minutes, donc on"
"506170","510270"," va voir la réapparition des contractions utérines qui"
"510270","515929"," vont devenir cliniquement perceptibles, ce renforcement précédé quelques"
"515929","519210"," minutes par l'augmentation des concentrations d'ocytocine,"
"519409","525170"," donc après l'expulsion et donc lors de"
"525170","528230"," la distension vaginale, il y aura un réflexe"
"528230","529910"," qu'on appelle le réflexe de Ferguson qui"
"529910","532770"," va stimuler le post-hypophyse et qui va"
"532770","537270"," synthétiser l'ocytocine qui va entraîner cette augmentation"
"537270","538690"," des contractions utérines."
"539010","542870"," Donc le placenta qui est enchâtonné physiologiquement et"
"542870","544730"," dont le porto est cerné par un anneau"
"544730","548470"," musculaire va subir des pressions concentrées qui vont"
"549530","552390"," tendre à le faire bomber dans la cavité"
"552390","555090"," et créer ainsi des décollements par endroits qui"
"555090","560070"," vont aboutir rapidement à un hématome rétro-placentaire. "
"562170","564390"," Donc comme vous le voyez sur le schéma"
"564390","567090"," en haut, donc la création de cet hématome"
"567090","572210"," et qui va entraîner l'inversion du placenta"
"572210","575290"," et la création de cet hématome et donc"
"575290","577590"," le décollement qui va se compléter au fur"
"577590","581550"," et à mesure jusqu'à intéresser toute la"
"581550","584150"," surface du placenta et à partir de ce"
"584150","589710"," moment là, la phase de décollement est accomplie"
"589710","592670"," et on va assister après à la phase"
"592670","593370"," d'expulsion."
"593390","595310"," Donc le clivage, comme on l'a dit"
"595310","599230"," au tout début, nécessite l'existence d'un"
"599230","601990"," plan de clivage entre la caduque spongieuse et"
"601990","605450"," la caduque compacte et qui grâce à la"
"605450","608190"," rétraction physiologique de l'utérus et les contractions"
"608190","613210"," utérines va pouvoir se détacher et donc constitution"
"613210","615190"," de l'hématome comme on a dit par"
"615190","617670"," clivage et ouverture des sinus véneux."
"622820","624780"," Ça c'est ce qu'on vient de"
"624780","627380"," dire par rapport à ce décollement et qui"
"627380","630560"," va libérer la zone d'insertion placentaire permettant"
"630560","633360"," au myomètre situé en regard de parchever sa"
"633360","636660"," rétraction élastique passive puis active sous l'effet"
"636660","638700"," des contractions. "
"638920","641840"," Donc une fois cette phase de décollement terminée,"
"642840","645580"," on va assister à la phase de migration"
"645580","648160"," du délivre qui va se faire sous l "
"648160","652060","'influence des contractions utérines réflexes et qui va"
"652060","654620"," se faire selon deux modes différents en fonction"
"654620","658260"," du type d'insertion du placenta, on appelle"
"658260","660020"," le mode de Baudelot qui est de loin"
"660020","664300"," le plus fréquent puisqu'il considère les placentas"
"664300","670340"," normalement, il est donc il est correspondant aux"
"670340","673520"," placentas normalement insérées et le mode 2 d "
"673520","678260","'Encant c'est le mode qui est spécifique"
"678260","680300"," aux placentas bas insérées."
"680420","681920"," Donc le premier mode qui est le plus"
"681920","687180"," fréquent, après le décollement du placenta et la"
"687180","692660"," constitution de l'hématome rétro-placentaire physiologique, la"
"692660","697140"," pression qui se fait par le poids du"
"697140","700180"," placenta, par les contractions utérines, par l'hématome"
"700180","702140"," qui est en train de pousser le fond"
"702140","706700"," du placenta, ce placenta va s'inverser et"
"706700","712040"," être extériorisé et expulsé par la face fétale"
"712040","715160"," comme on le voit sur ce schéma là."
"716520","721640"," Donc cette migration va se faire au fur"
"721640","724380"," et à mesure que les membranes elles aussi"
"724380","726500"," vont se décoller au fur et à mesure"
"726500","730220"," et le placenta va être extériorisé de l "
"730220","733840","'utérus et expulsé hors de l'utérus sous"
"733840","738240"," l'effet du poids de la contraction et"
"738240","741000"," aussi parfois de la traction du cordon exercée"
"741000","742940"," par la coucheur. "
"745350","747650"," Donc à la fin, sous l'effet des"
"747650","751250"," contractions utérines, le placenta va quitter le segment"
"751250","756370"," inférieur et va être propulsé vers le vagin."
"757130","760210"," A ce moment là le fond utérin va"
"760210","764110"," redescendre et il va former au dessus de"
"764110","767010"," la symphyse pubienne ce qu'on appelle le"
"767010","769930"," globe de sécurité, l'élément de sécurité qui"
"769930","773650"," va témoigner d'une bonne contracture utérine."
"775980","778220"," Le mode de Duncan c'est, il est"
"778220","782000"," plutôt révélateur des placentas bas insérées donc le"
"782000","788120"," décollement et l'expulsion va se faire par"
"788120","791960"," glissement puisque le décollement se fait sous l "
"791960","795040","'effet des contractions et de l'hématome et"
"795040","798420"," donc puisque le placenta est latéral, il n "
"798420","800000","'est pas fendique, il n'y aura pas"
"800000","802620"," d'inversion mais il y aura plutôt un"
"802620","806660"," glissement et comme on peut le comprendre la"
"806660","810080"," migration va se faire à ce niveau là"
"810080","813280"," et puis l'extériorisation va se faire par"
"813280","815960"," la face maternelle et comme on peut aussi"
"815960","821580"," le comprendre la traction exercée sur la partie"
"821580","826200"," contralatérale des membranes va être importante et de"
"826200","829180"," ce fait là le risque de déchirure des"
"829180","832220"," membranes lors de l'expulsion et ainsi de"
"832220","836400"," rétention membrane est plus élevé dans ce mode"
"836400","836600"," là. "
"841190","843770"," A la fin donc l'expulsion hors du"
"843770","846570"," vagin peut se faire spontanément sans l'aide"
"846570","849250"," d'une pierre d'une tierce personne comme"
"849250","852730"," elle peut se faire par des manœuvres aidant"
"852730","856850"," l'expulsion soit de compression du fond utérin"
"856850","861070"," soit de traction douce sur le cordon."
"861470","864350"," En principe la présence du placenta dans le"
"864350","868250"," vagin au contact du plancher périnéal va stimuler"
"868250","871790"," les efforts expulsifs de la patiente qui va"
"871790","876590"," achever l'expulsion hors du vagin."
"878350","878670"," A la fin de l'expulsion hors du"
"878670","881910"," vagin, la fin phénomène très important et qui"
"881910","886490"," constitue la sécurité de la patiente c'est"
"886490","889070"," l'hémostase c'est à dire l'arrêt"
"889070","890730"," de l'hémorragie comme on l'a vu"
"890730","895190"," sur les schémas au début les vaisseaux utéro "
"895190","898150","-placentaires et les vaisseaux spirale et les artérioles"
"898150","902730"," spirale sont béantes ouvertes sur le placenta sur"
"902730","907310"," les chambres intervalleuses après le décollement de ce"
"907310","910370"," placenta ces vaisseaux si elles restent béantes vont"
"910370","913830"," entrainer une hémorragie très importante et de ce"
"913830","916490"," fait là leur hémostase est assurée par deux"
"916490","920050"," principaux mécanismes le mécanisme le plus important c "
"920050","921690","'est ce qu'on appelle les ligatures vivantes"
"921690","925890"," de pinard il s'agit de l'obturation"
"925890","929850"," de ces vaisseaux là par les fibres musculaires"
"929850","932430"," qui les entourent suite à la contraction de"
"932430","934530"," l'utérus et donc de ce fait là"
"934530","937950"," l'élément principal pour l'hémostase immédiate après"
"937950","941870"," un accouchement c'est la rétraction et la"
"941870","944230"," contraction de l'utérus comme on l'a"
"944230","948270"," vu qu'on va appeler le globe de"
"948270","950790"," sécurité donc c'est le garant de l "
"950790","953490","'hémostase initial puis par la suite suite à"
"953490","957870"," l'activation du processus de l'hémostase pour"
"957870","960750"," lequel la patiente était bien préparée par l "
"960750","964210","'augmentation de la synthèse des facteurs de coagulation"
"964210","967590"," au cours de la grossesse on va assister"
"967590","971450"," à une hémostase définitive par la constitution du"
"971450","975290"," caillot sanguin qui va obturer tous ces vaisseaux"
"975290","976790"," sous l'effet comme on a dit de"
"976790","979450"," l'activation de l'hémostase et qui est"
"979450","984610"," stimulé aussi par la richesse placentaire en thromboplastine"
"985230","988690"," qui sont des substances pro-coagulantes qui vont"
"988690","993330"," être libérées lors du décollement donc en résumé"
"993330","996970"," le bon déroulement de la délivrance nécessite un"
