"start","end","text"
"2580","5280"," Je vais vous parler de la maladie inflammatoire"
"5280","5780"," du pelvis."
"11060","13780"," Par rapport au diaporama de l'année dernière,"
"14140","15219"," j'ai fait quelques mises à jour."
"16500","18760"," Il faut tenir compte du diaporama de cette"
"18760","18920"," année. "
"21160","23340"," Il y a eu quelques modifications, des choses"
"23340","24820"," que j'ai retirées, des choses que j "
"24820","27560","'ai ajoutées, des choses que j'ai changées."
"29100","31659"," Donc, si vous voulez préparer, si vous voulez"
"31659","33960"," réviser, il vaut mieux que ce soit sur"
"33960","34880"," ce diaporama."
"38260","40760"," Donc, comme son nom l'indique, maladie inflammatoire"
"40760","44220"," du pelvis, on l'appelait auparavant les salpingites"
"45200","45740"," aiguës. "
"45740","50180"," Alors, les salpingites aiguës, ça ne traduit pas"
"50180","52660"," exactement ce qui se passe sur le plan"
"52660","53300"," pathologique."
"53900","56740"," Donc, le terme le plus proche, c'est"
"56740","59480"," une maladie inflammatoire du pelvis parce que dès"
"59480","63519"," qu'il y a une atteinte de trempe,"
"63860","66180"," tout le pelvis, tout le bas pelvis va"
"66180","68520"," être inflammé et c'est ce qui va"
"68520","73560"," causer tous les problèmes qui vont suivre, notamment"
"73560","76460"," le risque de GU, le risque de stérilité"
"76460","80060"," et le risque de douleurs pelviennes chroniques."
"80580","82280"," Donc, c'est ça, la maladie inflammatoire du"
"82280","86580"," pelvis, pelvic inflammatory disease des anglo-saxons. "
"87180","89780"," Donc, les Français, ils appellent ça les salpingites"
"89780","91140"," ou bien les infections génitales hautes."
"91680","94260"," On peut également les appeler infections génitales hautes."
"95040","96660"," Le terme le plus adéquat, c'est la"
"96660","99240"," maladie inflammatoire du pelvis, d'accord?"
"102180","114460"," Donc, comme généralité, il"
"114460","122140"," ne veut pas défiler, voilà alors déjà, qui"
"122140","124180"," dit infections génitales hautes ou bien maladies inflammatoires"
"124180","127820"," du pelvis, il faut savoir diagnostiquer l'élément"
"127820","129699"," important dans ce chapitre, c'est le diagnostic"
"129699","132600"," et le traitement, bien sûr, la prévention, le"
"132600","133060"," diagnostic. "
"133180","135780"," Donc, il faut savoir diagnostiquer et traiter une"
"135780","137560"," gonocoxie ou une chlamydiose."
"138000","141460"," Déjà, dès le départ, la maladie inflammatoire du"
"141460","144800"," pelvis dans plus de 85% des cas,"
"144840","147620"," c'est dû à une infection sexuellement transmissible."
"148460","150860"," C'est une maladie sexuellement transmissible ou une"
"150860","154500"," infection sexuellement transmissible dans 15% des cas,"
"154600","156600"," c'est dû à autre chose, notamment les"
"156600","160060"," gestes, les manœuvres ou bien les gestes en"
"160060","160600"," utérin. "
"161580","163820"," Donc, souvent, on va parler de maladies sexuellement"
"163820","166220"," transmissibles ou d'infections sexuellement transmissibles."
"166220","168660"," C'est pour cela que le chlamydia et"
"168660","171640"," le gonocoque sont de loin les germes les"
"171640","173720"," plus rencontrés dans ce contexte-là."
"175320","178440"," Donc, diagnostiquer et traiter, colloquer les principes de"
"178440","181700"," prévention, c'est très important et du dépistage"
"181700","186760"," des infections sexuellement transmissibles, notamment chez les partenaires. "
"187580","192420"," Donc, actuellement, dans notre contexte marocain, avant le"
"192420","196800"," mariage, on demande aux deux partenaires un certificat"
"196800","201420"," médical qui atteste qu'ils n'ont pas"
