"start","end","text"
"900","4000"," Mon deuxième cours, c'était le cycle instruel"
"4000","7000"," où il y a les saignements utérins anormaux"
"7000","11160"," qu'on avait déjà avancés dans ce cours "
"11160","12060","-là."
"22140","24800"," Maintenant, l'anglais est devenu incontournable."
"26960","29160"," L'anglais scientifique n'est pas un anglais"
"29160","34380"," qui est très poussé, mais il faut lire"
"34380","35580"," beaucoup d'articles en anglais. "
"39400","43560"," C'est devenu obligatoire dans beaucoup de domaines."
"45190","50250"," Donc, ablant la maladie de l'inglésie, qui"
"50250","53110"," est un terme de la FIGO, la Figuration"
"53110","56710"," Internationale Génétique Austrique, c'est elle qui réagit"
"56710","61270"," à beaucoup de recommandations, notamment la terminologie, pour"
"61270","64970"," essayer d'unifier la terminologie des saignements, des"
"64970","66650"," saignements gynécologiques."
"68130","72870"," Il y a des lacrymogènes, dont on a"
"72870","73830"," parlé un petit peu. "
"77760","81340"," Les causes structurelles, c'est-à-dire organiques,"
"82140","86240"," polypathinoméose, l'ionium, tumeur maligne."
"86240","89480"," Quand il y a un problème non structurel,"
"90160","95240"," problème de coagulopathie, problème endocrinien d'ovulation, problème"
"95240","100740"," endocrinien de l'endomètre ou des infections, ce"
"100740","103980"," n'est pas des problèmes organiques nécessitant souvent"
"103980","105780"," des traitements chirurgicaux."
"106580","110940"," Bien sûr, les autres causes de saignements allurements,"
"111480","113180"," c'est-à-dire quand on parle de"
"113180","118180"," saignements allurements, les saignements génitaux, ce n'est"
"118180","119400"," pas comme les saignements utérins. "
"120040","121520"," Les saignements utérins, c'est un saignement qui"
"121520","123740"," provient de l'utérus."
"124520","126360"," Les saignements génitaux, c'est un peu plus"
"126360","128720"," général, c'est-à-dire les saignements d "
"128720","131540","'origine vaginale ou vulvaire font partie des saignements"
"131540","134340"," génitaux, mais ne font pas partie des saignements"
"134340","134860"," utérins."
"135820","137240"," Alors tout ce qui est saignement par le"
"137240","140300"," vagin peut être dû à un saignement non"
"140300","142180"," utérin, c'est-à-dire un saignement par"
"142180","142580"," le vagin. "
"142580","145300"," C'est le tumeur vaginal, le vulvaire, les"
"145300","150800"," problèmes traumatiques et les problèmes de diaphragme qui"
"150800","151840"," peuvent parfois saigner."
"155220","157680"," Je vous avais dit dans le plan, on"
"157680","159680"," va commencer par les idéologies avant de faire"
"159680","162740"," la démarche diagnostique, qui va être simplement déjà"
"162740","164260"," en parlant de beaucoup de choses."
"165440","170520"," Alors, dans la démarche diagnostique, on commence toujours"
"170520","173900"," par l'histoire de la patiente, l'interrogatoire"
"173900","174980"," et l'examen physique. "
"177140","182120"," Les principales choses, les principales peurs devant un"
"182120","184020"," saignement utérin anormal, je vous ai dit deux"
"184020","187820"," choses, la grossesse et le cancer."
"187820","190400"," Donc ça revient ici."
"191240","199280"," En fonction de la gravité du saignement, le"
"199280","204020"," saignement utérin anormal, parfois on peut déjà avoir"
"204020","207100"," un retendissement qui doit être d'abord pris"
"207100","207660"," en charge. "
