"start","end","text"
"1029","8170"," Donc la présentation transverse, il n'y a"
"8170","10470"," pas grand chose à dire concernant la présentation"
"10470","11110"," transverse."
"11350","14170"," Ça fait partie des présentations dystociques."
"16950","19190"," Dans l'autre côté, on a les présentations"
"19190","21950"," autocyques et présentations dystociques. "
"23010","24810"," Dans les présentations dystociques, vous avez les présentations"
"24810","25390"," défléchiques."
"25490","26950"," Vous avez déjà étudié le front et la"
"26950","28810"," face de Briegma."
"29330","32050"," Il y a ceux qui sont 100%"
"32050","34610"," dystociques et ceux qui sont partiellement dystociques. "
"34610","36790"," Quand on parle de dystociques, on ne veut"
"36790","38290"," pas dire toujours par césarienne."
"39130","41770"," Mais il y a celles qui sont totalement"
"41770","45650"," dystociques, comme la présentation de front, qui exactement"
"45650","47790"," va finir en césarienne."
"48450","57080"," La présentation transverse fait partie de ces présentations"
"57080","57940"," totalement dystociques. "
"58660","60060"," Puisque s'il y a un mot à"
"60060","63239"," dire, c'est que la présentation transverse est"
"63239","63980"," égale césarienne."
"64880","66300"," On peut s'arrêter ici."
"69040","71360"," Le problème de la présentation transverse n'est"
"71360","73960"," pas la conduite à tenir, mais c'est"
"73960","76440"," surtout le diagnostic, parce que le diagnostic parfois"
"76440","77120"," n'est pas facile. "
"78300","80840"," Ça pose un diagnostic différentiel avec certaines présentations,"
"81420","85860"," notamment la présentation de siège."
"87620","88740"," Pourquoi ?"
"96130","98010"," Est-ce que vous croyez que vous pouvez"
"98010","100570"," vous tromper sur une présentation de siège en"
"100570","102510"," la prenant pour une transverse et vice-versa"
"105040","105740"," ?"
"105740","116570"," Oui ?"
"116570","127880"," Déjà, difficile."
"129300","132440"," Et même avant l'engagement, on va parler"
"132440","135260"," de fixation de la présentation avant l'engagement. "
"152590","158330"," Vous allez suspecter le diagnostic lorsque la présentation"
"158330","159590"," est transversale."
"159710","161930"," Non, parce que toutes les autres présentations sont"
"161930","162910"," longitudinales."
"164250","168030"," Il y a une manœuvre assez séduisante. "
"168710","171390"," Vous avez étudié dans le cours la manœuvre"
"171390","171950"," de Léopold."
"179280","180480"," On va le voir."
"180980","182980"," Cette manœuvre de Léopold, c'est la base"
"182980","184680"," de l'examen cétrical. "
"185280","185920"," C'est la base."
"186040","187120"," Pourquoi c'est la base ?"
"187120","188420"," Parce que c'est la base avec laquelle"
"188420","192760"," déjà vous allez faire un diagnostic."
"193860","195780"," La dernière consultation du neuvième mois. "
"196220","197940"," Parce que ce qui est intéressant, c'est"
"197940","199820"," déjà au neuvième mois que vous ayez une"
"199820","200000"," idée."
"200320","202500"," Est-ce que c'est une présentation longitudinale"
"202500","203720"," ou transversale ?"
"203720","205560"," Est-ce que j'ai un pôle céphalique"
"205560","207680"," en bas ?"
"207680","209400"," Ou bien j'ai un pôle céphalique en"
"209400","209760"," haut ?"
"211060","212780"," Et ça vous pouvez faire juste avec la"
"212780","213240"," palpation."
"213360","214700"," Vous n'avez pas besoin de toucher vaginale. "
"214800","216280"," Avant que le col commence à s'ouvrir."
"217900","219800"," Cette manœuvre est très importante, il faut la"
"219800","220140"," connaître."
"220700","223540"," Et donc, on va voir, il ne faut"
"223540","224160"," pas se tromper. "
"224320","225640"," Parce que le problème c'est quoi ?"
"225640","226800"," Le problème ce sont les femmes l'ont"
"226800","230280"," suivie et qui arrivent un jour au cours"
"230280","233240"," du travail, contractant avec une poche intacte et"
"233240","234040"," vous faites le toucher."
"234680","235720"," Vous avez quelque chose de mou."
"237560","240260"," Quelque chose de mou, très difficile de dire"
"240260","240660"," c'est quoi. "
"241320","242320"," Surtout s'il y a de l'odème,"
"242400","242600"," etc."
"242840","243840"," Vous ne savez pas si c'est un"
"243840","245560"," siège, si c'est une épaule."
"246460","249600"," Est-ce que c'est un franc ?"
"249600","251320"," Est-ce que c'est une face ?"
"252020","255519"," Parfois les repères, vous savez le toucher vaginale,"
"255600","256300"," il est fait à l'aveugle. "
"256399","257680"," Vous ne regardez pas, vous ne voyez pas"
"257680","258940"," les fesses, etc."
"259620","261300"," C'est pour ça que dans les présentations,"
"261980","263340"," on choisit des repères fixes."
"264520","267720"," Quel est le repère de la présentation de"
"267720","268600"," siège ?"
"276910","279330"," Le sacrum, qui est un repère osseux. "
"279430","281090"," Quel est le repère de la présentation transverse"
"281090","281950"," ?"
"283390","285130"," L'acromion, tout à fait, qui est un"
"285130","285890"," repère osseux."
"286050","292010"," Vous voyez que vous soyez anatomiste de naissance,"
"293450","295630"," faire la différence entre un acromion et un"
"295630","299590"," sacrum, vous voyez que c'est très difficile."
"300090","301670"," Même par quelqu'un d'expérimenté, vous voyez"
"301670","302730"," une structure osseuse dure. "
"303210","306190"," En plus, vous allez trouver du mou au "
"306190","306490","-dessus."
"307350","308530"," Donc parfois c'est difficile."
"309450","314350"," Par contre, si vous palpez, dès le départ,"
"314810","318050"," un pôle céphalique en haut, un pôle mou,"
"318330","320950"," un siège en bas, avec une présentation longitudinale,"
"321090","322370"," vous savez que là vous êtes sur une"
