"start","end","text"
"140","7810"," Nous allons entamer le côté obstétrique."
"8730","10630"," Je ne pense pas que vous avez fait"
"10630","18540"," la grossesse normale, c'est-à-dire les"
"18540","30800"," modifications physiologiques de la grossesse, le travail, mais"
"30800","32240"," la présentation du sommet, non."
"33420","37680"," Donc on va, bon, je ne sais pas"
"37680","41580"," parce qu'il nous bouleverse l'administration, normalement"
"41580","44860"," les cours doivent être successifs. "
"45800","47480"," On ne peut pas, par exemple, faire la"
"47480","50700"," présentation du siège avant de faire la présentation"
"50700","51320"," du sommet."
"52620","55000"," On ne peut pas faire la présentation du"
"55000","58660"," sommet avant de parler de l'accouchement du"
"58660","59140"," travail."
"60300","62260"," Le pile-vice..."
"62960","66940"," Donc on va parler des hypertension artérielle gravidique. "
"67020","69680"," Ça, bon, c'est pas grave, ça n "
"69680","71420","'a rien à voir avec l'accouchement."
"72940","73860"," Qu'est-ce que ça veut dire l "
"73860","75400","'hypertension artérielle gravidique ?"
"75400","77060"," C'est 10 hypertensions, ce n'est pas"
"77060","78260"," une seule hypertension."
"79940","83800"," Bon, c'est toute hypertension artérielle survenant chez"
"83800","84800"," une femme enceinte. "
"84800","88700"," Tout simplement, lorsque tu as une hypertension qui"
"88700","92280"," survient sur une hypertension artérielle chez une femme"
"92280","95880"," enceinte, on parle d'hypertension artérielle gravidique."
"99520","104560"," Si vous avez fait des modifications physiologiques au"
"104560","107780"," cours de la grossesse, vous allez trouver que"
"107780","112840"," chez la femme en général, au cours de"
"112840","116380"," la grossesse, il y a une vasodilatation périphérique"
"116380","119100"," qui va se manifester, tout à fait normale,"
"119220","120200"," tout à fait physiologique."
"120400","128039"," Toutes les femmes enceintes ont une vasodilatation et"
"128039","132580"," cette vasodilatation va se manifester par une diminution"
"132580","134120"," des chiffres tensionnaires. "
"134760","138920"," Donc, chez la femme enceinte normale, il y"
"138920","141940"," a toujours une diminution de la pression artérielle"
"141940","144740"," systolique et de la pression artérielle diastolique."
"144740","150200"," Par conséquent, les chiffres sont un peu moins"
"150200","152700"," que chez la femme qui n'est pas"
"152700","153180"," enceinte."
"153800","159840"," Il faut savoir également que l'hypertension artérielle"
"159840","164720"," gravidique et l'hémorragie de la délivrance sont"
"164720","168380"," les deux premières causes de la mortalité maternelle"
"168380","168900"," au Maroc. "
"169540","175440"," Donc, l'hypertension artérielle gravidique, parfois l'hémorragie,"
"175700","177580"," l'une première, l'autre deuxième."
"177860","180060"," Chaque fois, chaque année, il y a parfois"
"180060","186280"," des différences en fonction du nombre de femmes"
"186280","190640"," décédées, soit par hypertension artérielle gravidique, soit par"
"190640","191880"," hémorragie de la délivrance."
"194220","197520"," Il faut savoir que l'hypertension artérielle gravidique"
"197520","202180"," complique 10% des grossesses. "
"203000","207200"," Donc, une grossesse, une femme enceinte sur 10,"
"208140","211480"," va développer une hypertension artérielle gravidique."
"212080","220930"," Ça veut dire que si vous faites 13"
"220930","228290"," 000 accouchements par an, 1300 femmes sont hypertendues."
"228290","229390"," C'est énorme. "
"231810","235370"," Donc, il faut dire également que le pronostic"
"235370","237630"," de l'hypertension artérielle est mauvais, que ce"
"237630","239410"," soit pour la maman que pour le bébé."
"240090","242990"," C'est un mauvais pronostic photomaternel."
"243750","248350"," Et la physiopathologie n'est pas toujours, on"
"248350","251150"," ne le sait pas encore, mais ce qu "
"251150","254870","'on sait, c'est que l'hypertension artérielle"
"254870","258170"," survient, et on va voir les différentes formes,"
"258470","262570"," survient à cause de l'existence d'un"
"262570","264270"," fœtus au niveau de l'utérus. "
"266570","268590"," Ça, c'est la pré-éclampsie, on verra."
"270970","272330"," Voilà quelques objectifs."
"272570","273650"," Donc, voilà la définition. "
"273770","274910"," La définition est simple."
"275010","276870"," C'est une femme qui présente des chiffres."
"277090","278590"," Elle fait, au cours de la grossesse, soit"
"278590","283770"," une pression artérielle systolique supérieure ou égale à"
"283770","287510"," 140 mm de mercure, donc déjà à 14"
"287510","291670"," cm de mercure, c'est déjà une hypertension"
"291670","292510"," artérielle. "
"292850","296010"," Donc, une pression artérielle systolique supérieure ou égale"
"296010","300210"," à 140 mm de mercure, et ou une"
"300210","303690"," pression artérielle diastolique supérieure ou égale à 90"
"303690","305410"," mm de mercure."
"306250","311330"," En général, il faut refaire l'examen deux"
"311330","313010"," fois, à quatre heures d'intervalle."
"313370","315730"," Donc, la femme dit un, on la laisse"
"315730","319510"," se reposer, on prend la tension artérielle, puis"
"319510","322270"," on attend quatre heures et on recontrôle. "
"322570","324610"," Vous allez voir que si tu fais une"
"324610","327170"," erreur de diagnostic, tu introduis une femme qui"
"327170","331750"," a des chiffres tensionnels qui sont normaux, comme"
"331750","335410"," une femme hyper tendue, et par conséquent, elle"
"335410","337230"," va faire tout un bilan, nous allons voir"
"337230","339250"," le bilan, et ce n'est pas la"
"339250","342610"," peine si vous mesurez quatre heures plus tard"
"342610","345030"," la tension de la femme et vous trouvez"
"345030","346270"," que c'est tout à fait normal."
"349530","352490"," Donc, pourquoi j'ai dit que ce sont"
"352490","355210"," des hyper tensions artérielles et non pas une"
"355210","355430"," ?"
"355430","360130"," Voilà la classification de l'American College des"
"360130","363870"," Obstétriciens et des Gynécologues, la COG, ils se"
"363870","367530"," réunissent chaque année, et il a fait une"
"367530","370490"," classification."
"371890","374050"," Pour moi, c'est la meilleure. "
"374050","376070"," Jusqu'à maintenant, il y a une classification"
"376070","379670"," française, mais la classification française n'est pas"
"379670","381890"," pratique parce qu'elle parle d'après l "
"381890","385630","'accouchement, alors qu'on charge la femme au"
"385630","387370"," cours de la grossesse et non pas après."
"387830","389850"," C'est pour ça que cette classification me"
"389850","393890"," paraît, peut-être que vous voyez les autres"
"393890","397310"," classifications, peut-être que vous allez trouver que"
"397310","399090"," c'est meilleur, mais pour moi, c'est"
"399090","401710"," un impact que vous allez voir sur le"
"401710","405150"," pronostic, l'évaluation du pronostic et sur l "
"405150","409970","'évaluation du traitement et sur même la conduite"
"409970","410610"," obstétrique."
"410850","411890"," Nous allons voir ça. "
"412510","416810"," Donc, ils ont classé les hyper tensions artérielles"
"416810","418110"," en quatre classes."
"418770","422190"," La première classe, c'est la pré-éclampsie."
"424660","430760"," La pré-éclampsie, en anglais pré-éclampsia, en"
"430760","432620"," français toxémie gravidique. "
"434620","436640"," On va définir d'abord."
"436740","439380"," La pré-éclampsie, c'est une femme au"
"439380","441940"," cours de la deuxième partie de la grossesse,"
"442140","443380"," c'est-à-dire à partir de 20"
"443380","448460"," semaines d'aménorrhée, va développer une élévation des"
"448460","449400"," chiffres tensionnaires."
"450800","454880"," Mais associée à ça, elle va développer une"
"454880","457480"," protéinurie et ça c'est important. "
"458120","460860"," Donc dans la pré-éclampsie, il y a"
"460860","465420"," une hypertension artérielle associée à une protéinurie."
"466200","467980"," S'il n'y a pas de protéinurie,"
"468340","471220"," on ne parle pas de pré-éclampsie, on"
"471220","473740"," parle d'hypertension artérielle gravidique."
"473740","475280"," Est-ce que vous avez compris?"
"475660","482040"," C'est important parce que même les profs"
"482040","486760"," assistants, ils avaient un amalgame entre pré-éclampsie"
"486760","490440"," et hypertension artérielle gravidique et vous allez voir"
"490440","493560"," que le pronostic et la présence art ne"
"493560","494460"," sont pas les mêmes. "
"494460","499740"," Donc pré-éclampsie, je répète, ou toxémie gravidique,"
"500040","504240"," appelez-la comme vous voulez, c'est une"
"504240","506680"," femme au cours de la deuxième partie de"
"506680","506880"," la grossesse."
"506880","510140"," Et on va voir la physiopathologie, pourquoi la"
"510140","512960"," deuxième partie de la grossesse, la deuxième moitié"
"512960","514840"," de la grossesse, après 20 semaines, elle va"
"514840","518659"," développer une hypertension artérielle associée à une protéinurie."
"519440","523660"," En général, cette pré-éclampsie, c'est elle"
"523660","526200"," qui est due à l'existence de fœtus"
"526200","528680"," et de placenta au niveau de l'utéros. "
"529140","533340"," Parce qu'après l'accouchement, tout rentre en"
"533340","533760"," ordre."
"534340","537040"," On n'a plus de protéinurie, on n "
"537040","539740","'a plus de chiffre tensionnel élevé."
"540320","541680"," Donc ça c'est le type 1, la"
"541680","543900"," pré-éclampsie ou la toxémie gravidique. "
"545520","550200"," Vous connaissez l'éclampsie, non ?"
"550200","553480"," Les convulsions qui surviennent chez une femme enceinte,"
"553600","554660"," hypertendue."
"556540","557880"," Ça va être un chapitre."
"560880","564600"," Pourquoi on parle de pré-éclampsia en anglais"
"564600","565080"," ?"
"565080","568020"," C'est la forme qui se complique d "
"568020","570200","'éclampsie, c'est-à-dire des complications d "
"570200","573460","'origine vasculaire au cours de la grossesse. "
"574460","575660"," C'est pour ça qu'elle est appelée,"
"575740","577820"," pour qu'elle soit percutante comme nom."
"579280","580080"," Pré-éclampsie."
"580860","583320"," Attention, une femme qui a une hypertension artérielle"
"583320","585580"," associée à une protéinurie, elle peut se compliquer"
"585580","586900"," de plusieurs complications. "
"587080","589320"," Mais parmi ces complications, la plus grave, c "
"589320","589900","'est l'éclampsie."
"590020","590760"," Qu'est-ce que ça veut dire l "
"590760","591480","'éclampsie ?"
"591480","595320"," C'est une crise convulsive au cours de"
"595320","597340"," la grossesse chez une femme qui a une"
"597340","600760"," pré-éclampsie ou une toxémie graphique, comme vous"
"600760","601000"," voulez."
"601800","602380"," Le type 1."
"602940","605960"," Le type 2, c'est l'hypertension artérielle"
"605960","606420"," chronique. "
"608860","612900"," L'hypertension artérielle chronique, en général, la pré "
"612900","616040","-éclampsie, en général, survient chez la primipare."
"617440","618780"," Elle est jeune, elle est primipare."
"620180","624540"," L'hypertension artérielle chronique, par contre, elle survient"
"624540","626460"," chez une femme d'un certain âge. "
"626460","630600"," C'est une hypertension artérielle chronique, comme ce"
"630600","632320"," que vous avez eu en cardiologie."
"632560","633220"," C'est la même chose."
"633760","634640"," C'est la même chose. "
"635120","637260"," Ça veut dire que la femme, elle est"
"637260","641240"," enceinte, elle va développer une hypertension artérielle gravidique,"
"641540","644340"," mais en général, elle n'a pas de"
"644340","645240"," protéinurie."
"646020","648220"," Ce qui diffère la première de la deuxième."
"650830","653610"," En général, elle survient même au premier trimestre"
"653610","654370"," de la grossesse. "
"655750","657990"," En fait, on ne sait rien."
"658350","661910"," C'est une femme qui vient à 10"
"661910","664570"," semaines ou 12 semaines d'aménorée."
"664730","666270"," Elle vient consulter parce qu'elle a un"
"666270","667030"," retard de règle. "
"667910","671010"," La première des choses pour un examen pré "
"671010","677590","-natal, la consultation pré-natale, le premier examen"
"677590","679830"," à faire, c'est prendre la tension artérielle"
"679830","682290"," et les bandelettes urinaires."
"682370","683230"," Ça, c'est obligatoire."
"684370","687010"," On trouve des chiffres élevés, mais on ne"
"687010","687510"," sait pas. "
"687970","690170"," Est-ce que cette femme avait une hypertension"
"690170","694070"," artérielle avant la grossesse ou là, au cours"
"694070","695790"," de la grossesse ?"
"695790","698450"," Mais lorsqu'on n'a pas de protéinurie,"
"698970","703490"," on est rassuré parce que cette hypertension artérielle,"
"704370","707290"," hormis qu'elle peut entraîner les problèmes de"
"707290","709990"," l'hypertension artérielle, mais pas au cours de"
"709990","715450"," la grossesse et en général à 60 ans,"
"715490","719490"," 65 ans, elle développera des signes dégénératifs de"
"719490","723050"," l'hypertension artérielle, l'atteinte vasculaire, etc."
"724190","731570"," Donc pré-eclampsie, hypertension artérielle chronique, ça en"
"731570","734510"," général, hypertension artérielle chronique survient chez la multipart."
"734770","737150"," Le plus souvent, pas obligatoirement, mais le plus"
"737150","739390"," souvent, c'est une multipart d'un certain"
"739390","742250"," âge, au-delà de 36-38 ans. "
"744450","747970"," Troisième type, c'est la toxémie surajoutée."
"748670","750510"," C'est quoi la toxémie surajoutée ?"
"750510","751950"," C'est une femme qui a une hypertension"
"751950","756770"," artérielle chronique qui, au cours de la grossesse,"
"756890","758450"," va développer une protéinurie."
"759130","761990"," Donc c'est une femme connue, hypertendue. "
"762610","770240"," Elle tombe enceinte, on dose la protéinurie et"
"770240","771720"," elle est augmentée."
"772080","774520"," Donc c'est une toxémie surajoutée qui a"
"774520","777340"," le même pronostic que la pré-eclampsie, c "
"777340","779660","'est-à-dire qu'elle peut se compliquer"
"779660","782540"," d'éclampsie, de Alp syndrome, etc."
"782720","783520"," On verra tout ça. "
"784480","788160"," Et troisièmement, l'hypertension artérielle transitoire."
"790460","792480"," Ça c'est quelque chose qu'on ne"
"792480","792920"," sait pas."
"792920","797340"," C'est une hypertension artérielle isolée qui survient"
"797340","799560"," au cours de la grossesse et qui disparaît"
"799560","800520"," après la grossesse. "
"801140","804540"," Pour chaque grossesse, elle survient et elle disparaît."
"804920","808000"," En général, c'est une hypertension artérielle de"
"808000","808700"," bon pronostic."
"809320","813420"," Donc deux formes de bons pronostics, deux formes"
"813420","815880"," de mauvais pronostics, la pré-eclampsie et la"
"815880","817620"," toxémie surajoutée. "
"818840","822880"," Sur le plan épidémiologique, 10 à 15%"
"822880","826160"," des grossesses se compliqueront de l'hypertension artérielle."
"826400","828440"," Il y a un certain nombre de facteurs,"
