"start","end","text"
"3440","5520"," Donc, qu'est-ce que c'est la"
"5520","8300"," présentation du siège ?"
"8300","10380"," C'est l'inverse de la présentation céphalique."
"10560","14100"," La présentation céphalique, je parle de présentation céphalique,"
"14260","16720"," et non pas de présentation du sommet."
"17340","18460"," Vous connaissez ça. "
"19000","20760"," La présentation du sommet, c'est lorsque la"
"20760","22160"," tête est bien fléchie."
"22740","25580"," La présentation céphalique, c'est toutes les présentations"
"25580","26500"," de la tête."
"27260","29400"," Je vais vous faire la prochaine fois les"
"29400","31640"," présentations céphaliques des fléchies, c'est-à-dire"
"31640","35060"," les autres présentations céphaliques que le sommet, que"
"35060","37020"," vous avez fait, je pense, avec Harold. "
"37860","39660"," Donc, la présentation du siège, c'est lorsque"
"39660","42560"," le bébé se présente au détroit supérieur par"
"42560","43980"," les fesses, tout simplement."
"45920","48380"," Donc, la tête, c'est en haut, et"
"48380","50000"," le siège, c'est en bas, le siège"
"50000","51720"," avec les pieds et les membres inférieurs."
"52420","54120"," Donc, c'est une présentation, c'est l "
"54120","57160","'extrémité pelvienne qui se présente en premier au"
"57160","58280"," détroit supérieur. "
"60460","62840"," Ce n'est pas une présentation dystoïque."
"63140","65440"," Les vraies présentations dystoïques sont de deux."
"65720","67040"," Vous pouvez les écrire comme ça. "
"69140","69620"," Deux."
"71760","74180"," Deux présentations qui sont dystoïques, c'est-à "
"74180","77240","-dire qui sont incompatibles avec l'accouchement normal."
"78380","79980"," Tu fais le diagnostic, il faut faire une"
"79980","80400"," césarie. "
"81620","88530"," La présentation du front ou la présentation de"
"88530","89290"," l'épaule."
"92150","94130"," Donc, c'est les deux présentations qui sont"
"94130","94990"," dystoïques."
"96910","102270"," Le reste, c'est des présentations eutoïques, mais"
"102270","103470"," avec des conditions. "
"104210","106650"," Pour le sommet, vous avez vu les conditions."
"108550","110290"," Si tu as un bip au-delà de"
"110290","114510"," 11 centimètres, 110, c'est un macrozone, il"
"114510","115010"," ne peut pas."
"115010","119090"," Mais à poids normal, une présentation du sommet,"
"119230","120670"," c'est une présentation eutoïque. "
"120850","123070"," La présentation du siège, également, c'est une"
"123070","124490"," présentation eutoïque."
"124990","126830"," C'est-à-dire que le bébé peut"
"126830","128430"," naître par voie naturelle."
"130630","134190"," Lorsque je dis présentation eutoïque, c'est-à "
"134190","136190","-dire la césarienne n'est pas systématique. "
"136850","140130"," Lorsque je dis présentation dystoïque, ça veut dire"
"140130","142730"," que la césarienne est systématique."
"142730","144570"," Dès que tu fais le diagnostic, tu dois"
"144570","145370"," faire la césarienne."
"146450","152890"," Ici, dans la présentation du siège, la présentation"
"152890","153750"," est eutoïque. "
"154150","156710"," Mais, toujours le « mais » de la"
"156710","162430"," médecine, c'est une présentation eutoïque à la"
"162430","166210"," limite de la dystoïe, c'est-à-dire"
"166210","169270"," n'importe quel accident au cours de la"
"169270","173370"," couche, quel incident au cours de l'accouchement,"
"173610","176490"," va rendre la présentation dystoïque."
"177230","179010"," Et il faut faire une césarienne."
"179030","180430"," C'est pour ça qu'elle est appelée"
"180430","184630"," présentation eutoïque, elle est qualifiée de présentation eutoïque"
"184630","186490"," à la limite de la dystoïe. "
"187250","189270"," De la dystoïe, mais c'est la dystoïe."
"200230","205850"," Qu'est-ce que c'est l'accouchement"
"205850","207830"," à rebousse-poil ?"
"207830","208970"," Vous connaissez ce que c'est que la"
"208970","210370"," rebousse-poil ?"
"214300","215220"," Message à la tête."
"217600","219280"," C'est ça. "
"219980","221520"," C'est ça ?"
"221520","225460"," Cette dérègle, c'est l'accouchement à rebousse "
"225460","226420","-poil."
