"start","end","text"
"60","2760"," Nous allons discuter aujourd'hui, c'est les"
"2760","6260"," suites de couches normales et pathologiques."
"7160","9620"," Alors, c'est un chapitre qui reste ou"
"9620","12180"," qui est très important à connaître, surtout pour"
"12180","13100"," un généraliste."
"13540","14980"," Parce que là, quand on fait les cours"
"14980","18000"," d'IAUNA pour vous, c'est des cours"
"18000","19640"," pour formation des généralistes. "
"20120","22400"," Donc, on essaye d'insister sur les choses"
"22400","24220"," qui vont être utiles pour vous quand vous"
"24220","26660"," allez pratiquer dans votre cabinet, quand vous allez"
"26660","28640"," être affecté dans un centre de santé ou"
"28640","29580"," quelque part dans le pays."
"30200","32100"," Donc, les suites de couches est une partie"
"32100","33780"," de la vie de la femme après l "
"33780","36440","'accouchement, juste après l'accouchement, qui peut se"
"36440","38200"," passer tout à fait naturellement."
"38420","40320"," Et c'est ce qui est arrivé autrefois"
"40320","43220"," pour nos grands-mamans, nos mamans aussi. "
"43840","45540"," Rien ne se passe, tout revient dans l "
"45540","48200","'ordre de façon naturelle, sans aucun problème."
"48960","52400"," Et puis, tout ce qui est culture traditionnelle"
"52400","54820"," permet de gérer un petit peu les problèmes"
"54820","55680"," qui peuvent survenir."
"56500","59220"," Par contre, et vous avez compris l'autre"
"59220","61820"," jour, on a fait ensemble la mortalité maternelle,"
"62400","63300"," et on a dit que c'est une"
"63300","68580"," mortalité qui peut survenir jusqu'à 41 jours"
"68580","69920"," après l'accouchement. "
"70120","73260"," Et donc, toute cette période peut être le"
"73260","75840"," moment d'apparition d'une complication."
"76400","78700"," Et là, ça va être une complication de"
"78700","81420"," l'accouchement, ou là, une complication de la"
"81420","83100"," période des suites de couches."
"83100","86120"," Ce qui fait qu'on devrait comprendre et"
"86120","89860"," connaître tout ce qui est normal et pouvoir"
"89860","93100"," diagnostiquer et pouvoir..."
"99710","116320"," Donc, on"
"116320","119540"," devrait connaître tout ce qui est normal, c "
"119540","121960","'est-à-dire quand on parle avec la"
"121960","124360"," patiente ou quand on examine la patiente dans"
"124360","125960"," les suites de couches, on devrait être capable"
"125960","127539"," de dire, oui, ça, c'est normal, c "
"127539","131100","'est naturel, et tranquilliser la patiente, soit dire,"
"131220","133320"," au contraire, non, ça, c'est pathologique, et"
"133320","140300"," donc, on devrait programmer une prise en charge"
"140300","141420"," particulière. "
"145760","154310"," Donc, si on veut définir cette période, c "
"154310","158230","'est justement une période qui débute après les"
"158230","158930"," 24 heures."
"158930","161430"," C'est-à-dire que la période des"
"161430","164810"," 24 heures post-accouchement, c'est une période"
"164810","166930"," du post-partum immédiat."
"167710","171930"," Donc, les complications de cette période sont spécifiques"
"171930","174330"," à cette période-là et elles sont marquées"
"174330","176930"," essentiellement par l'hémorragie. "
"177690","178950"," C'est-à-dire, ça, c'est le"
"178950","182370"," plus important des complications dans cette période des"
"182370","183090"," 24 heures."
"183610","185670"," Au-delà des 24 heures, on commence à"
"185670","188210"," parler de la période du post-partum ou"
"188210","190950"," la période des suites de couches et qui"
"190950","194750"," va se prolonger jusqu'au retour des couches."
"194830","196130"," Le retour des couches, c'est-à-dire"
"196130","199930"," la reprise des menstruations normales. "
"200590","205370"," En général, cette période-là va durer entre"
"205370","207750"," six et huit semaines après l'accouchement, si"
"207750","208850"," la femme ne l'aide pas."
"209510","210910"," Parce que si la femme ne l'aide"
"210910","215950"," pas, en général, ces règles vont revenir rapidement"
"215950","217470"," et ça va se faire dans les trois"
"217470","218890"," à six semaines."
"219090","221770"," Et si on compte les huit semaines, ça"
"221770","224030"," fait deux mois, donc ça fait 60 jours"
"224030","226590"," à peu près, mais elle peut survenir avant"
"226590","229130"," dans les 40 jours, c'est-à-dire"
"229130","230550"," les six semaines, c'est un mois et"
"230550","232750"," demi, c'est 30 plus, c'est 45"
"232750","233490"," jours à peu près. "
"233990","235870"," Donc, on est dans le même concept des"
"235870","236510"," 40 jours."
"236690","239470"," Au-delà des 40 jours, la patiente qui"
"239470","241150"," ne l'aide pas, c'est-à-dire"
"241150","245130"," qui donne un allaitement artificiel, va voir revenir"
"245130","247070"," son cycle menstruel rapidement."
"247890","249930"," Ça peut se faire à cette date, comme"
"249930","251550"," ça peut se prolonger jusqu'à deux mois,"
"251830","252610"," il n'y a pas de problème. "
"252770","254570"," Sauf que cette période-là, il faut savoir"
"254570","257370"," que l'ovulation peut survenir à n'importe"
"257370","259950"," quel moment et que la patiente, si elle"
"259950","262430"," n'est pas sous contraception, elle risque de"
"262430","263730"," tomber enceinte encore."
"264390","269290"," Et puis, ça peut"
"271750","281490"," se prolonger"
"281490","283490"," jusqu'au-delà de trois mois et donc"
"283490","285130"," pour une patiente qui ne l'aide pas,"
"285430","287070"," ça, ce n'est pas normal, c'est "
"287070","291630","-à-dire que théoriquement, elle devait avoir le"
"291630","295730"," retour de couche avant trois mois."
"295950","298110"," Si ça dépasse trois mois, si elle vient"
"298110","299950"," se plaindre de ça, oui, il y a"
"299950","300490"," un problème. "
"300690","303670"," Donc, je dois faire les investigations nécessaires."
"304210","307210"," Puis pour les patientes qui allaitent, sachez que"
"307210","310070"," les patientes allaitantes peuvent ne pas avoir leurs"
"310070","312850"," règles pendant toute la période de l'allaitement."
"313190","314470"," C'est-à-dire qu'elles vont être"
"314470","317250"," onaménorées pendant toute la période de l'allaitement"
"317250","320490"," et surtout si, en plus de ça, on"
"320490","324770"," les met sous contraception type micro-progestatif qui,"
"324930","327110"," elle aussi, se prend en continu. "
"327290","329390"," Ce n'est pas comme la contraception oestro "
"329390","332870","-progestative dans laquelle on prend les comprimés pendant"
"332870","335470"," 21 jours puis on arrête pendant 7 jours"
"335470","337570"," et au cours de cet arrêt-là, les"
"337570","338990"," règles surviennent parce qu'il y a une"
"338990","342290"," chute de la progestérone comme dans le cycle"
"342290","342970"," naturel."
"342970","346230"," Mais quand on donne les micro-progestatifs, c "
"346230","348030","'est-à-dire la pilule de l'allaitement,"
"348850","351390"," on les prend en continu, c'est-à "
