"start","end","text"
"190","3790"," importante, parce que c'est la présentation qui"
"3790","5330"," est la plus fréquente au cours de l "
"5330","7450","'accouchement, la présentation de sommet."
"9630","11190"," Le cours de la présentation de sommet, il"
"11190","14270"," ressemble au cours de l'accouchement normal, parce"
"14270","17730"," que quand on parle d'accouchement normal, on"
"17730","23270"," est censé avoir une condition concernant la position"
"23270","25630"," du bébé, et qui est la présentation de"
"25630","25830"," sommet."
"25830","26430"," On vous l'a dit. "
"30380","33020"," On vous a dit que 95% des"
"33020","35980"," accouchements, c'est en présentation de sommet."
"37260","39180"," Alors il faut faire la différence entre une"
"39180","42200"," présentation de sommet et une présentation céphalique, parce"
"42200","42960"," que ce n'est pas la même chose."
"43260","52420"," Qui peut nous dire la différence ?"
"52420","53580"," Oui ?"
"60140","60520"," Très bien. "
"60700","66210"," Quelles sont les autres présentations céphaliques ?"
"66210","68070"," Les trois."
"69550","75890"," Donc, il y a la présentation céphalique, il"
"75890","76430"," y a deux types."
"76870","79950"," Il y a la présentation fléchie, et la"
"79950","81170"," présentation défléchie. "
"82810","85990"," La présentation fléchie, vous avez une seule, c "
"85990","87010","'est la présentation de sommet."
"88710","92290"," Et les autres sont des présentations défléchies, comme"
"92290","96370"," la définition le marque, c'est une déflexion"
"96370","96790"," de la tête."
"96990","100730"," Elle est soit totale, et on parle de"
"100730","107910"," présentation de face, intermédiaire, présentation de front, ou"
"107910","111670"," là, avec un angle moindre, donc on a"
"111670","114090"," dit totale, deux tiers, et le tiers, c "
"114090","115010","'est la présentation de bergman. "
"116870","119650"," C'est le degré de déflexion qui diffère"
"119650","120250"," entre les trois."
"121550","124610"," Je crois que vous n'avez pas eu"
"124610","128840"," le cours sur les présentations défléchies, parce que"
"128840","131100"," les présentations défléchies, on les regroupe sur un"
"131100","133880"," seul groupe, puisqu'ils représentent une seule entité,"
"134000","135400"," c'est la déflexion."
"136040","137960"," La présentation de sommet, elle est dans l "
"137960","142880","'autre groupe, qui est la présentation fléchie, et"
"142880","147120"," on va distinguer deux présentations fléchies, la présentation"
"147120","149980"," de sommet, en fonction de la variété. "
"150800","153320"," Vous avez les présentations de sommet fléchies en"
"153320","156520"," variété antérieure, et les présentations fléchies en variété"
"156520","157160"," postérieure."
"160020","161780"," Quelle est la différence entre une variété antérieure"
"161780","162800"," et une variété postérieure ?"
"162800","164960"," Comment peut-on faire la différence ?"
"176510","178290"," Parce que cette notion est très importante, la"
"178290","178710"," fléxion."
"180190","182330"," Imaginons qu'on va schématiser le bassin sous"
"182330","183090"," forme d'un cercle. "
"188420","194740"," On va dessiner un cercle, on va imaginer"
"194740","201940"," que cette partie-là constitue le pubis, et"
"201940","213370"," cette partie-là le sacrum, et"
"213370","216530"," ça c'est les ailes iliaques, donc le"
"216530","217310"," pourtour du bassin."
"219330","222250"," Et ça c'est une vue périnéale, c "
"222250","223670","'est-à-dire imaginez qu'on regarde le"
"223670","227090"," bassin par la vue périnéale, c'est-à "
"227090","229170","-dire la patiente en position gynécologique."
"230590","231870"," Vue du périnée. "
"232630","236210"," Vous savez que le bassin ça dépendra, on"
"236210","239150"," peut le schématiser en fonction de la position"
"239150","241830"," avec laquelle on le visualise, soit de façon"
"241830","245690"," latérale, ou en supérieure, ou en vue périnéale"
"245690","251710"," inférieure, et donc nos repères essentiellement c'est"
"251710","255490"," le pubis et le sacrum."
"262470","264710"," Alors ça c'est le repère du bassin,"
"264930","265490"," c'est-à-dire la mer."
"268860","274590"," Concernant le fœtus, quels sont les repères ?"
"280640","285930"," La tête, l'occipite, oui. "
"287470","290750"," Alors si on veut schématiser un crâne fœtal"
"293340","303850"," en vue supérieure, on"
"303850","306050"," va imaginer que ça c'est la racine"
"306050","308530"," du nez, ça c'est les joues, ça"
"308530","310450"," c'est les yeux, les joues."
"311370","314050"," Donc c'est une vue supérieure, vous avez"
"314050","317470"," l'occipite à ce niveau et le front"
"317470","319030"," à ce niveau."
"319470","320630"," C'est comme si on regardait la tête"
"320630","321270"," comme ça. "
"323250","325730"," Vous allez visualiser deux éléments importants."
"326410","330990"," D'abord une fontanelle triangulaire qui est postérieure,"
"331130","333710"," qui est occipitale, et vous avez les sutures"
"333710","343780"," sagittales, on va"
"343780","349790"," schématiser, et vous aurez une fontanelle antérieure qui"
"349790","350530"," est losangique."
"352210","357190"," Cette fontanelle on appelle le prégmat et cette"
"357190","359250"," fontanelle c'est la lambda. "
"361550","363470"," Fontanelle antérieure, fontanelle postérieure."
"364370","367970"," En fonction de ces fontanelles, la position de"
"367970","374160"," ces fontanelles, on va décider de la variété."
"376540","378600"," Vous voyez ça c'est quoi ?"
"380810","383810"," C'est une sorte de boîte, le contenant. "
"393270","398450"," Et ça c'est le contenu, c'est "
"398450","401310","-à-dire on va mettre cette tête à"
"401310","401770"," l'intérieur."
"404000","406860"," Et de là, vous avez toutes les notions"
"406860","410980"," de mécanique obstétricale, c'est-à-dire, ces"
"410980","415600"," diamètres-là normalement devraient être inférieurs au diamètre"
"415600","416160"," du bassin."
"417080","419940"," Parce que cette tête, si on la schématise"
"419940","423590"," comme ça, on va la mettre par exemple"
"423590","424370"," comme ça. "
"424750","433890"," De vue supérieure, c'est comme si vous"
"433890","435550"," regardez le bébé en accouchement."
"435550","436950"," C'est comme ça que ça va se"
"436950","437610"," présenter."
"438870","441290"," Il va se présenter avec la tête et"
"441290","441870"," tous les éléments. "
"446580","450320"," Et vous avez la position de cette fontanelle"
"450320","460870"," par rapport à l'ociliaque, au pubis, va"
"460870","462050"," déterminer la variété."
"463370","466330"," Lorsqu'elle se trouve sur la moitié antérieure,"
"466330","468610"," on parle de variété antérieure."
"469290","473210"," Lorsqu'elle se retrouve en moitié postérieure, on"
"473210","474590"," parle de variété postérieure. "
"475630","476590"," C'est clair ?"
"476590","477570"," Là, c'est un peu flou."
"479090","480710"," J'essaie de schématiser au maximum."
"481630","488380"," Et on va parler de variété antérieure et"
"488380","489720"," variété postérieure. "
"491540","493240"," Alors, est-ce qu'on peut affiner le"
"493240","500060"," cheveu pour le rendre plus fin ?"
"503340","504480"," Comme ça."
"512210","530140"," Donc, les variétés antérieures, on a occipito "
"530140","539580","-iliaque-gauche-antérieure, occipito-iliaque-gauche "
"539580","540520","-postérieure."
"547120","548740"," Ça, c'est les présentations les plus fréquentes. "
"563780","567340"," Mais vous avez aussi les occipito-iliaques-droite "
"567340","573160","-antérieure et les occipito-iliaques-droite-postérieure."
"574540","577060"," Vous voyez le P avec le P et"
"577060","577920"," le A avec le A."
"580150","580910"," Je m'explique."
"582350","586310"," On commence toujours par l'occipite, occipito. "
"587790","590220"," Il se trouve occipito-iliaque."
"592550","593590"," Gauche ou la droite ?"
"593590","594530"," On a affiné la gauche ou la droite"
"594530","594930"," ?"
"594930","595790"," Si je vous dis que c'est une"
"595790","598490"," vue pérenniale, vue d'accouchement."
"602790","604890"," Comme ça ou là comme ça ?"
"604890","605610"," Comme ça ?"
"606610","608350"," Là, ça, c'est quoi ?"
"608350","609350"," La gauche. "
"612380","613320"," Ça, c'est la droite."
"615990","619870"," Donc, occipito-iliaque-gauche-antérieure."
"621670","622950"," D'accord ?"
"622950","624570"," Occipito-iliaque-gauche-antérieure. "
"632940","642650"," Si je vous fais ça, on va"
"642650","643390"," à l'oxygène."
"643750","645130"," On va le deviner comme ça."
"647700","649680"," C'est quoi comme variété ?"
"652140","655460"," Occipito-iliaque-droite-postérieure. "
"655520","656300"," Ça fait le même truc."
"658120","660760"," Donc, comment on fait le diagnostic à l "
"660760","662800","'examen clinique ?"
"662800","665740"," Parce que la présentation de sommet, quel est"
"665740","670550"," le repère de la présentation de sommet ?"
"670550","672970"," La fontanelle postérieure, effectivement."
"673330","674370"," Qui est ?"
"674370","676270"," De quelle forme ?"
"676270","677010"," Triangulaire. "
"677330","685330"," Donc, le toucher vaginal, on va venir"
"685330","690250"," rechercher cette fontanelle postérieure."
"690250","692530"," Les fonctions orales se trouveront."
"695490","696650"," On va déterminer la variété. "
"697530","700110"," Bien sûr, peut-être que vous l'avez"
"700110","704310"," bien compris, lorsque la présentation est vraiment fléchie,"
"706330","712150"," la fontanelle antérieure, qui est le brégma, ne"
"712150","715210"," serait pas palpable dans une présentation de sommet."
"715930","717050"," Parce que si vous la palpez, c'est"
"717050","717490"," un brégma."
"718810","720970"," Il ne faut pas que vous palpiez les"
"720970","722050"," autres repères. "
"722050","725010"," Les autres présentations de fléchies, lesquelles ?"
"725010","727250"," Pour la variété de brégma, c'est le"
"727250","727570"," brégma."
"728330","732010"," Pour le front, c'est la racine du"
"732010","732210"," nez."
"733910","736630"," Et pour la face, c'est le menton. "
"737810","739730"," Pas de menton palpable, pas de racine du"
"739730","743470"," nez palpable, pas de brégma palpable."
"745130","747470"," Uniquement fontanelle postérieure."
"749150","751130"," Fontanelle postérieure détermine la variété. "
"754490","757630"," En fonction de sa position dans le bassin."
"760600","762740"," Et en fonction de ça, on peut plus"
"762740","766320"," ou moins deviner l'issue de l'accouchement."
"769190","770450"," D'accord ?"
"770450","775630"," Comment devrait se faire l'accouchement ici ?"
"775630","778330"," Vous avez eu les étapes de l'accouchement"
"779640","779740"," ?"
"780660","781580"," Non ?"
"785710","786790"," Le travail normal. "
"787750","788670"," Qu'est-ce qu'on vous a parlé"
"788670","790050"," dans le travail ?"
"792510","794250"," Les contractions ?"
"795230","799370"," Après les contractions, la dilatation cervicale, après on"
"799370","801590"," vous a pas parlé de différentes phases du"
"801590","802250"," travail ?"
"809200","812680"," Quel est l'élément clé dans l'accouchement"
"812680","813480"," ?"
"816070","817270"," A votre avis, quelle est la variété la"
"817270","818050"," plus fréquente ?"
"818570","818690"," Déjà."
"823080","824550"," Les antérieures ou les postérieures ?"
"826920","828100"," Non, les antérieures."
"830430","832210"," Les antérieures, quelle est la variété la plus"
"832210","836020"," fréquente ?"
"836020","837020"," La gauche ou l'antérieure ?"
"837020","837160"," Oui. "
"838260","842720"," Ça représente presque 60% des cas."
"843880","845500"," Les autres partagent les 40%."
"846200","849240"," Vous avez 60% pour le IGA, à"
"849240","851440"," peu près..."
"851440","855160"," Alors la droite antérieure est très rare, et"
"855160","859360"," la droite postérieure présente à peu près 38%,"
"859360","862460"," et la gauche postérieure à peu près 6%. "
"863440","864780"," Et ça, vous l'aurez dans le cours."
"865980","870400"," Et donc, l'élément clé, parce que quand"
"870400","872420"," je vous fais ce schéma-là, ça veut"
"872420","874240"," dire que la tête est engagée et qu "
"874240","878500","'elle concorde avec le diamètre du D3 supérieur."
"879760","883460"," Vous avez eu le cours, peut-être, que"
"883460","885580"," le D3 supérieur, il y a deux diamètres"
"885580","893170"," importants, il y a le diamètre promonto-rétropubien,"
"893270","896350"," donc la région rétropubienne, mais là, un peu"
"896350","898810"," plus oblique comme ça, ça veut dire que"
"898810","900710"," c'est le promontoire qui est au-dessus"
"900710","905170"," du sacrum, promonto-rétropubien, et vous avez le"
"907890","913510"," diamètre transverse, soit médian, soit maximum. "
"915110","919290"," Et puis vous avez le diamètre oblique, soit"
"919290","921330"," oblique gauche, ou oblique droit, et en fonction."
"921550","922910"," Là, c'est l'oblique droit, par exemple."
"925280","927280"," Donc, en général, l'engagement se fait dans"
"927280","928020"," un diamètre oblique. "
"928760","930800"," Vous aurez toujours la tête comme ça, qui"
"930800","931900"," prend un diamètre oblique."
"933260","934220"," En général, le gauche."
"935540","938480"," Par la suite, le bébé, par le biais"
"938480","941200"," des contractions utérines, va essayer de ramener sa"
"941200","948300"," fontanelle postérieure dans un plan axial. "
"950470","954070"," Et en général, la meilleure façon, le meilleur"
"954070","960210"," diamètre pour que le bébé sorte, c'est"
"960210","964110"," qu'il fasse un détour, qu'il ramène"
"964110","968130"," sa fontanelle postérieure au-dessous du pubis."
"969250","970510"," C'est pour ça que la gauche, comme"
"970510","972670"," on a parlé de la gauche, c'est"
"972670","974290"," plus facile, c'est un angle de 45"
"974290","974630"," degrés."
"981440","982820"," Alors qu'ici, c'est un angle de"
"982820","983880"," 135 degrés. "
"985700","986760"," 45 degrés."
"987980","991740"," Parfois, cela nécessite, bien sûr, la rotation."
"993120","994120"," C'est la deuxième phase. "
"994360","996220"," La rotation et la descente, il doit tourner."
