"start","end","text"
"2190","7350"," Pour le diagnostic différentiel, il se fait premièrement"
"7350","9410"," avec ce qu'on peut appeler une anxiété"
"9410","15970"," sociale normale, notamment dans des situations de rencontre"
"15970","20330"," avec des personnes nouvelles ou des situations impressionnantes"
"20330","23290"," ou des situations nouvelles, notamment chez des personnes"
"23290","25090"," qui sont timides."
"26610","30050"," C'est aussi des situations où le trac"
"30050","35210"," habituel dans des situations de performances inhabituelles à"
"35210","36350"," réaliser en public."
"37710","42830"," Cette anxiété reste légère, sans retentissement majeur. "
"43210","46370"," Elle n'est pas persistante, elle est peu"
"46370","49710"," gênante et tend à s'améliorer avec l "
"49710","53650","'expérience et avec la répétition des expériences."
"57470","62490"," Le diagnostic différentiel se fait aussi avec les"
"62490","68110"," autres troubles anxieux, avec le trouble panique ou"
"68110","69330"," la crainte."
"70170","73270"," L'anxiété anticipatoire, elle est en rapport avec"
"73270","76710"," la crainte de voir survenir une nouvelle attaque"
"76710","80210"," de panique, mais pas liée directement avec une"
"80210","81090"," situation sociale. "
"81870","84970"," Dans l'anxiété généralisée, comme on a vu,"
"85510","89090"," c'est des soucis qui sont de tout"
"89090","92130"," et de rien, donc des choses de la"
"92130","96670"," vie quotidienne et pas spécifiquement, ça peut concerner"
"96670","102470"," certaines situations, mais pas uniquement des situations sociales."
"104410","108030"," Le diagnostic différentiel se fait aussi avec les"
"108030","111410"," autres phobies, dont l'agoraphobie qu'on va"
"111410","118450"," voir, c'est la crainte des espaces ou"
"118450","120890"," des transports en commun par peur de voir"
"120890","125430"," survenir une crise ou des symptômes embarrassants."
"127340","133120"," Pour l'ésophobie spécifique, c'est des peurs"
"133120","136780"," en lien avec des objets ou certaines situations"
"136780","140860"," spécifiques, mais qui ne sont pas forcément en"
"140860","144020"," lien avec une situation d'interaction sociale. "
"148880","153000"," Pour le trouble obsessionnel compulsif et apparenté, notamment"
"153000","156060"," dans les obsessions impulsives, ou ce qu'on"
"156060","158020"," appelle aussi phobie d'impulsion, où le sujet"
"158020","164540"," a l'idée obsédante, intrusive, de craindre de"
"164540","167360"," faire un acte ridicule en public, mais cette"
"167360","169560"," idée obsédante est présente en dehors de toute"
"169560","172840"," situation, même en dehors de la situation sociale."
"175020","178020"," Dans l'obsession d'une dysmorphie corporelle, la"
"178020","180240"," crainte est liée à une partie du corps"
"180240","187500"," jugée non conforme ou déformée par le sujet."
"189700","194080"," Dans le trouble dépressif, il peut y avoir"
"194080","196680"," un retrait social, mais qui s'intègre dans"
"196680","201300"," le cadre global du syndrome dépressif, avec tristesse,"
"201420","205720"," avec anhédonie et les symptômes dépressifs associés. "
"208160","211580"," Le diagnostic différentiel se discute aussi avec certains"
"211580","215320"," troubles de personnalité, notamment des personnes psychotiques, comme"
"215320","219440"," l'oppression à l'étésquizoïde, ou qui sont"
"219440","223740"," caractérisés par un certain isolement, un certain désintérêt"
"223740","229080"," social, avec très peu d'interactions, mais généralement"
"229080","232220"," il y a aussi d'autres préoccupations par"
"232220","237080"," des thèmes bizarres, des thèmes ésotériques, on peut"
"237080","240700"," avoir aussi des idées délirantes qui font pencher"
"240700","243180"," le diagnostic différentiel."
"245180","248760"," Le diagnostic avec la personnalité évitante est un"
"248760","251740"," diagnostic qui reste très difficile, parce que les"
"251740","255760"," deux troubles sont généralement comorbides, et on peut"
"255760","259260"," considérer que le trouble de personnalité évitante est"
"259260","262960"," un désintérêt plus important et plus grave de"
"262960","265850"," l'anxiété sociale, parce que c'est tout"
"266320","270440"," un mode de fonctionnement qui a envahi tout"
"270440","274840"," le champ de la vie du sujet, et"
"274840","278700"," c'est généralement ces personnalités évitantes qui vont"
"278700","284880"," rationaliser leur comportement et vont rejeter leur comportement"
"284880","287920"," sur les autres, donc il y a une"
"287920","292360"," certaine inconscience des troubles qui n'est pas"
"292360","295120"," présente dans l'anxiété sociale où le sujet"
"295120","303020"," reconnaît le caractère excessif de sa peur."
"307380","311320"," Sur le plan éthiopathogénique, le modèle de l "
"311320","315460","'épigénèse avec cette double influence, avec une prédisposition"
"315460","321140"," héréditaire qui est influencée par des événements ou"
"321140","325660"," les influences environnementales est privilégiée, donc il y"
"325660","331000"," a des facteurs génétiques qui sont démontrés par"
"331000","333600"," certaines agrégations de cas de phobie sociale dans"
"333600","337180"," certaines familles, mais qui restent faibles. "
"337180","341320"," Sur le plan neurobiologique, on avance le rôle"
