"start","end","text"
"5200","6880"," Chers étudiants, bonjour."
"7880","10860"," Ravi de vous retrouver pour cette dernière séance"
"10860","14820"," et qui intéressera deux cours qui sont, à"
"14820","18540"," mon sens, très intéressants et très importants, à"
"18540","21260"," savoir les hypnotiques et puis les neuroleptiques et"
"21260","21680"," les antipsychotiques."
"26000","29660"," Un certain nombre de points et d'objectifs"
"29660","33780"," pédagogiques ont été fixés pour le premier cours"
"33780","37920"," qui s'intitule les hypnotiques et il va"
"37920","44540"," falloir, après cette séance, définir un hypnotique, connaître"
"44540","46780"," le mécanisme d'action et la classification des"
"46780","51240"," hypnotiques, cerner leurs indications, leurs contre-indications ainsi"
"51240","54640"," que les effets secondaires et surtout maîtriser leur"
"54640","55720"," modalité de prescription. "
"58620","61360"," Il me semble que pour ce cours, les"
"61360","66700"," hypnotiques, il faut prêter attention à votre rôle"
"66700","69560"," de médecin de famille, à votre rôle de"
"69560","73220"," médecin généraliste, c'est que vous serez amené"
"73220","75920"," à les prescrire régulièrement."
"76600","78820"," C'est le cas de tous les omnipraticiens"
"78820","83400"," pratiquement du Maroc et nous constatons, nous les"
"83400","85260"," psychiatres, qu'il y a quand même une"
"85260","91460"," prescription assez importante, assez parfois maladroite de ces"
"91460","94860"," molécules avec tout le corollaire que nous allons"
"94860","98020"," discuter durant cette séance."
"98780","100760"," C'est pour cela que j'ai opté"
"100760","103580"," pour pratiquement le même plan que les cours"
"103580","109600"," précédents, à savoir une définition et dire quels"
"109600","114220"," sont les enjeux de cette question, parler des"
"114220","118700"," mécanismes d'action des hypnotiques qui montrent comment"
"118700","122460"," ces molécules agissent, notamment par rapport aux troubles"
"122460","127919"," du sommeil, les classer pour mieux choisir parmi"
"127919","131400"," les différentes catégories celui qui est le plus"
"131400","134820"," adapté par rapport à votre patient et maîtriser"
"134820","137600"," toute la partie sur les indications, les contre "
"137600","141420","-indications ainsi que les effets secondaires et savoir"
"141420","147500"," prescrire, choisir et surveiller un patient sous hypnotique"
"147500","148680"," avant de conclure. "
"152000","159020"," Un médicament hypnotique est un médicament qui est"
"159020","162180"," capable d'induire et de maintenir le sommeil"
"162180","165700"," avec pour corollaire une action dépressive sur le"
"165700","167500"," système nerveux central et respiratoire."
"168620","170540"," Donc c'est d'abord l'induction du"
"170540","173640"," sommeil mais aussi le maintenir dans le temps"
"174140","176980"," afin que la personne, afin que le patient"
"176980","180760"," puisse améliorer à la fois la quantité d "
"180760","183400","'heures passées au lit mais aussi la qualité"
"183400","184920"," du sommeil, on le verra plus tard."
"186930","192910"," L'efficacité des molécules hypnotiques dépend de la"
"192910","195070"," diminution de la période de latence du sommeil"
"195070","200090"," ainsi que la réduction des réveils nocturnes et"
"200090","204040"," que le temps total du sommeil sera amélioré"
"204890","207710"," avec une évaluation subjective de la qualité du"
"207710","208030"," sommeil. "
"211310","213950"," Cette question est très importante, pourquoi?"
"213950","218130"," Parce que l'insomnie est une plainte subjective"
"218130","222330"," fréquente, c'est un motif de consultation très"
"222330","223650"," très fréquent en médecine générale."
"225170","227590"," Le deuxième point c'est que pour la"
"227590","231330"," soigner il y a deux approches à la"
"231330","234750"," fois non pharmacologiques et une qui est pharmacologique"
"234750","239050"," et que le choix de cette stratégie dépend"
"239050","242210"," bien évidemment des caractéristiques du patient et comment"
"242210","244030"," se présente son insomnie."
"245390","247750"," C'est ainsi que l'un des enjeux"
"247750","252250"," majeurs de cette question est d'optimiser le"
"252250","253970"," bon usage des hypnotiques. "
"256269","260190"," Et pour cette raison dans le deuxième paragraphe"
"260190","262350"," on s'intéressera aux mécanismes d'action des"
"262350","266090"," hypnotiques qui ont d'abord une action inhibitrice"
"266090","271730"," sur le système nerveux central ce qui explique"
"271730","274450"," leur effet sédatif."
"275110","276830"," Donc il y a une inhibition des systèmes"
"276830","280630"," monoaminergiques que ce soit la noradrénaline, la sérotonine"
"280630","283970"," ou la dopamine et selon la dose il"
"283970","286690"," y a un effet sédatif et un sommeil"
"286690","289390"," narcotique à des doses très importantes, on peut"
"289390","290430"," même assister à un coma."
"294210","300310"," Cette inhibition qui va toucher les trois catégories"
"300310","304610"," des monoamines vont induire chez le patient le"
"304610","310270"," sommeil et provoquer bien évidemment un effet hypnotique"
"310270","314370"," qui malheureusement risque avec le temps de créer"
"314370","316930"," chez le patient un effet de tolérance et"
"316930","318870"," que le patient va chercher à augmenter les"
"318870","325010"," doses pour chercher, pour arriver à des effets"
"325010","327070"," identiques antérieurs. "
"327570","329270"," C'est ainsi qu'un syndrome de sevrage"
"329270","332750"," ou d'un syndrome de dépendance s'installe"
"332750","333430"," chez notre patient."
"336330","339230"," Le deuxième point qui me semble intéressant c "
"339230","343010","'est que le mécanisme d'action va intéresser"
"343010","346670"," ce qu'on appelle les benzodiazépines apparentées qui"
"346670","350690"," agissent au niveau des récepteurs GABA et au"
"350690","352070"," niveau des récepteurs histaminiques."
"352630","355850"," Au niveau des récepteurs du système GABA il"
"355850","357830"," y a une modification des paramètres du sommeil"
"357830","362990"," qui touche le délai d'endormissement et la"
"362990","366570"," durée des stades que vous avez déjà étudié"
"366570","367990"," notamment en neurologie. "
"369150","369910"," Il y a ce qu'on appelle une"
"369910","375570"," augmentation du stade 2 et une réduction du"
"375570","378610"," stade 4 qui est le sommeil long, profond"
"378610","380950"," et le sommeil paradoxal."
"382370","385870"," Avec ces molécules benzodiazépines apparentées il y a"
"385870","387690"," ce qu'on appelle un échappement thérapeutique."
"388350","389010"," Ça veut dire quoi ?"
"389010","391650"," Au bout de 2 à 4 semaines le"
"391650","395670"," traitement n'aura pas le même effet qu "
"395670","396910","'en début du traitement. "
"397430","400690"," Au bout d'un mois, le patient aura"
"400690","403810"," limite un échappement thérapeutique, une sorte de résistance,"
"403890","405230"," de tolérance par rapport au traitement."
"409910","414890"," Le troisième point étant une autre catégorie des"
"414890","418670"," hypnotiques qui est les agonistes des récepteurs de"
"418670","419430"," la mélatonine."
"421010","423670"," Elle exercerait son action sur le sommeil par"
"423670","427170"," fixation sur les récepteurs de la mélatonine qui"
"427170","429970"," sont présents au niveau des noyaux suprachiasmatiques. "
"430590","433050"," Ces récepteurs sont appliqués dans l'induction du"
"433050","436850"," sommeil et la modulation des rythmes circadiens."
"441560","445060"," Les hypnotiques, qu'on appelle aussi des somnifères"
"445060","449700"," ont une biodisponibilité qui est très bonne."
"451040","454140"," Elle se fait par voie orale et on"
"454140","456060"," assiste à une bonne distribution parce que ce"
"456060","457860"," sont des molécules qui sont très lipophiles. "
"459020","461860"," Leur demi-vie plasmatique est variable mais il"
"461860","466860"," faut savoir aussi que certaines molécules benzodiazépiniques donnent"
"466860","471260"," naissance à des métabolites actifs ou inactifs qui"
"471260","476480"," ont une distribution et une biodisponibilité tout à"
"476480","478360"," fait différente de la molécule mère."
"491320","496200"," Quant aux propriétés pharmacodynamiques la vitesse d'élimination"
"496200","497520"," est variable."
"498520","501640"," On peut avoir une vitesse d'élimination très"
"501640","503980"," courte comme c'est le cas du zolpidène"
"504520","508320"," ou très longue comme le chlorazépate qui est"
"508320","509140"," un anxiolytique. "
"512860","517100"," Que dire des mécanismes d'action des hypnotiques"
"517100","518870"," en résumé ?"
"519159","521520"," Ce qu'il faut retenir c'est que"
"521520","525620"," les hypnotiques inhibent les systèmes monoaminergiques au niveau"
"525620","526680"," central."
"529080","534620"," Ces deux systèmes sont essentiellement le système GABA"
"534620","539240"," et l'histamine ce qui explique leur effet"
"539240","544780"," sédatif l'induction du sommeil et la modification"
"544780","545380"," des stages."
"547040","549780"," Un des effets secondaires le plus majeur étant"
"549780","551360"," l'échappement thérapeutique. "
"557370","560510"," Au niveau du chapitre sur les mécanismes d "
"560510","564030","'action vous avez constaté qu'on avait déjà"
"564030","567710"," évoqué les différentes catégories que je vais reprendre"
"567710","573550"," ici en quatre sous-groupes à savoir les"
"573550","579150"," benzodiazépines et les principes actifs apparentés les hypnotiques"
"579150","583810"," anti-histaminiques de première génération les agonistes des"
"583810","587590"," récepteurs de la mélatonine et d'autres molécules"
"587590","615240"," qui sont utilisées à viser hypnotiques Pour"
"615240","618100"," le chapitre 3 qui s'intéresse aux classifications"
"618100","622240"," des hypnotiques nous commencerons par la première catégorie"
"622240","628040"," qui est représentée par les benzodiazépines et les"
"628040","633200"," principes actifs apparentés Les benzodiazépines ont une forte"
"633200","636680"," affinité pour le récepteur GABA et pour les"
"636680","639100"," principes actifs apparentés il y a deux grandes"
"639100","641380"," classes qui sont connues et largement utilisées au"
"641380","646760"," Maroc qui sont les cyclopyrilone, le zopiclone et"
"646760","651900"," les imidazoperidine qui sont commercialisés sous le nom"
"651900","655820"," de stinox c'est le zolpidem ces deux"
"655820","659500"," dernières catégories, ou plutôt les trois réduisent le"
"659500","662500"," délai d'endormissement diminuent le nombre des événements"
"662500","665320"," nocturnes et on assiste à une augmentation de"
"665320","668620"," la durée totale du sommeil Pour le zopiclone"
"668620","671480"," et le zolpidem leur action sur l'architecture"
"671480","674080"," du sommeil est plus discrète que celle des"
"674080","678220"," benzodiazépines nous assistons ainsi à une augmentation du"
"678220","680860"," stade 2 sans modification des stades 3 et"
"680860","683920"," 4 du sommeil lent et on n'a"
"683920","690420"," pas de modification du sommeil paradoxal Pour les"
"690420","694820"," médicaments hypnotiques anti-histaminiques de première génération ils"
"694820","697680"," ont une forte affinité pour le récepteur H1"
"698900","703840"," nous citons l'alimémazine, le Terralen l'hydroxyzine,"
"703940","706500"," qui est un anti-histaminique, la Tarax et"
"706500","713120"," la prometazine, le Phenergan nous assistons avec ce"
"713120","715120"," médicament à une réduction du délai d'endormissement"
"715120","718400"," à une diminution du nombre des éveils et"
"718400","721140"," une augmentation de la durée totale du sommeil"
"721140","724220"," Ce sont des molécules lipophiles qui ont un"
"724220","730640"," volume de distribution élevé Quant à la nouvelle"
"730640","734160"," classe qui est représentée par les agonistes des"
"734160","738200"," récepteurs de la mélatonine elle entraînerait une diminution"
"738200","741260"," du délai d'endormissement un allongement du temps"
"741260","744580"," total du sommeil sans modification majeure de l "
"744580","751650","'architecture du sommeil La quatrième catégorie, ce sont"
"751650","755950"," d'autres molécules qui sont utilisées à visée"
"755950","760050"," hypnotique et je citerai à titre d'exemple"
"760050","763930"," un neuroleptique sédatif qui s'appelle le Levomepromazine,"
"764010","770210"," le Nozinan l'antidépresseur Amitriptyline, l'Aroxyl et"
"770210","775510"," je dirais que ces deux molécules existent au"
"775510","777450"," Maroc sous forme de solutions buvables, sous forme"
"777450","782070"," de gouttes ce qui facilite largement leurs prescriptions"
"782070","785510"," notamment en termes d'augmentation de posologie et"
"785510","787990"," de dégression des médicaments et il y a"
"787990","790230"," d'autres médecins qui peuvent utiliser la phytothérapie"
"790230","795230"," pour induire 100 données de médicaments hypnotiques de"
"795230","798710"," sommeil chez leurs patients et retrouver une qualité"
"798710","806700"," de vie meilleure Les médicaments hypnotiques sont indiqués"
"806700","810500"," principalement dans les insomnies et comme vous le"
"810500","814040"," savez parfaitement bien l'insomnie peut être de"
"814040","817580"," courte durée c'est-à-dire transitoire et"
"817580","819700"," à court terme et parfois on a des"
"819700","824120"," insomnies chroniques donc la première indication étant l "
"824120","825940","'insomnie à court terme c'est-à-dire"
"825940","829440"," qui est transitoire et elle dépend bien évidemment"
"829440","833280"," des caractéristiques du patient et surtout des caractéristiques"
"833280","836200"," de la plainte ce qui va vous amener"
"836200","839000"," plus tard en tant que médecin d'opter"
"839000","844800"," par l'approche éducative avant d'entamer ou"
"844800","848220"," avant de prescrire un hypnotique savoir si cette"
"848220","852400"," insomnie est liée à une pathologie organique est"
"852400","854920"," liée à la prise d'autres médicaments ou"
"854920","859240"," est en rapport avec une pathologie psychiatrique L "
"859240","862940","'insomnie à court terme est généralement très fréquente"
"862940","865760"," elle semble être liée à la dimension du"
"865760","869000"," stress réactionnelle à des événements de vie comme"
"869000","870340"," le deuil, etc."
"872060","875100"," Alors que pour l'insomnie chronique le traitement"
"875100","879640"," de premier choix étant la thérapie cognitivo-comportementale"
"879640","882220"," qui est marquée ici par les initiales TCC"
"882220","885840"," et on ne donnera des hypnotiques que si"
"885840","889580"," échec de ces TCC et il faut traiter"
"889580","893900"," au maximum durant 4 semaines par les benzodiazépines"
"898260","904480"," Les contre-indications des hypnotiques ont été résumées"
"904480","908560"," dans ce tableau à titre pédagogique et pour"
"908560","911620"," vous faciliter la tâche pour mieux les retenir"
"911620","916240"," Il faut savoir que l'insuffisance respiratoire sévère"
"916240","919620"," le syndrome d'apnée du sommeil la myasthémie"
"919620","923300"," sévère ou une hypersensibilité étant des contre-indications"
"923300","927680"," aux benzodiazépines et aux composés apparentés Tout ce"
"927680","933200"," qui est anti-histaminique est lié notamment au"
"933200","938740"," risque que le patient développerait un glaucome à"
"938740","943720"," une rétention urine C'est ainsi que la"
"943720","946640"," contre-indication principale ou les contre-indications principales"
"946640","948880"," étant le risque de glaucome par fermeture de"
"948880","952100"," longue risque de rétention urinaire ou lié à"
"952100","957960"," des troubles urethroprostatiques une hypersensibilité et bien évidemment"
"957960","962320"," pour l'hydroxyzinatarax toute pathologie susceptible d'entraîner"
"962320","964680"," un allongement de l'espace cuté Pour la"
