"start","end","text"
"840","3220"," Chers étudiants, j'ai le plaisir de vous"
"3220","6280"," retrouver aujourd'hui pour traiter ce cours sur"
"6280","7840"," les troubles des conduites sexuelles."
"13190","17290"," Les objectifs du cours sont reconnaître le rôle"
"17290","19490"," du médecin généraliste dans l'abord de la"
"19490","25150"," sexualité des patients en consultation reconnaître les difficultés"
"25150","27870"," d'aborder la sexualité par le médecin et"
"27870","32430"," pour le patient savoir pratiquer une anamnèse sexologique"
"34050","38790"," définir et citer les dysfonctions sexuelles définir les"
"38790","43390"," principales paraphilies reconnaître le retentissement de ces troubles"
"43390","46650"," sur l'individu et sur le couple et"
"46650","49110"," reconnaître les principes généraux de prise en charge"
"49110","53950"," des troubles sexuels La sexualité est une composante"
"53950","56890"," importante du bien-être global de l'individu"
"57770","59810"," Contrairement à ce que l'on peut penser,"
"60470","63069"," la santé sexuelle est une composante de la"
"63069","67790"," santé Les troubles sexuels ont la particularité d "
"67790","71670","'être rarement abordés spontanément par les patients ou"
"71670","76050"," patientes, encore moins et encore moins par le"
"76050","79430"," médecin Les troubles sexuels altèrent la qualité de"
"79430","83070"," vie et les relations dans le couple Les"
"83070","88110"," praticiens ne sont pas tous formés Cependant, certains"
"88110","90930"," problèmes peuvent s'améliorer rien qu'avec des"
"90930","93970"," conseils simples et par de l'éducation sexuelle"
"93970","98610"," On va passer maintenant à un historique bref"
"98610","103530"," sur la sexualité à travers les temps Dans"
"103530","107650"," l'Antiquité romaine, la principale référence était la"
"107650","112570"," virilité La société condamnait le fait d'être"
"112570","116110"," passif dans la relation sexuelle La passivité était"
"116110","118550"," un crime chez un homme de naissance libre"
"119530","122630"," Il existait également des activités sexuelles qui étaient"
"122630","127400"," contre nature, comme la bestialité ou la nécrophilie"
"128530","132430"," Au XVIIIe siècle, on considérait que les personnes"
"132430","134290"," de couleur noire ne sont pas des êtres"
"134290","138370"," humains mais des super singes Toute relation entre"
"138370","141210"," noir et blanc était considérée comme une relation"
"141210","147460"," contre nature Au XIXe siècle, le modèle de"
"147460","151360"," référence était l'instinct sexuel Toute activité sexuelle"
"151360","154140"," qui ne permettait pas la reproduction était considérée"
"154140","158420"," comme étant une perversion Par exemple, les activités"
"158420","163540"," sexuelles homogénitales A la fin du XXe siècle,"
"164260","168160"," dans le DSM, les facteurs socio-culturels continuaient"
"168160","170980"," d'influencer ce qui est considéré comme normal"
"170980","175020"," ou pathologique en matière de sexualité Par exemple,"
"175680","178300"," dans le contexte de la révolution sexuelle des"
"178300","182060"," années 1960 et 1970, et après une rencontre"
"182060","184860"," entre les associations d'homosexuels et les rédacteurs"
"184860","187860"," du DSM L'homosexualité n'a plus été"
"187860","198380"," considérée comme étant une maladie Les"
"198380","200820"," trois phases de la relation sexuelle de Master"
"200820","205460"," et Johnson correspondent à La phase d'excitation,"
"205860","207880"," c'est la phase 1, chez l'homme"
"207880","210320"," elle aboutit à l'érection Et chez la"
"210320","213680"," femme, à la lubrification vaginale et la tumeissance"
"213680","218100"," du vagin La phase 2 et 3, c "
"218100","221400","'est la phase en plateau, elle correspond à"
"221400","224800"," l'acte sexuel Les phénomènes de la phase"
"224800","228260"," d'excitation restent stables Elle aboutit à l "
"228260","232280","'orgasme, avec à la fin l'éjaculation chez"
"232280","235220"," l'homme et l'orgasme clitoridien et ou"
"235220","242050"," vaginal chez la femme La phase 4 est"
"242050","246270"," la phase de résolution Caractérisé par la diminution"
"246270","249890"," des phénomènes de la phase d'excitation Chez"
"249890","254610"," la femme, plusieurs organes successifs sont possibles Mais"
"254610","258209"," chez l'homme, il existe une phase réfractaire"
"258209","263590"," pendant laquelle toute stimulation sexuelle est inefficace Il"
"263590","267150"," s'agit d'un graphique qui illustre les"
"267150","274550"," quatre phases de la relation sexuelle Maintenant, on"
"274550","278870"," va voir les troubles sexuels basés sur la"
"278870","283440"," classification des SM5 D'abord, les dysfonctions sexuelles"
"284210","286890"," Ce sont des troubles liés au changement dans"
"286890","291290"," le désir sexuel ou dans la performance sexuelle"
"292080","295530"," Datant au moins 6 mois, est responsable d "
"295530","297970","'une détresse personnelle et ou dans le couple"
"299350","302370"," Chez l'homme, il s'agit d'un"
"302370","306350"," trouble d'éjaculation retardée, c'est l'incapacité"
"306350","310490"," ou le délai marqué de l'éjaculation Trouble"
"310490","313970"," d'éjaculation prématurée ou précoce, c'est une"
"313970","318290"," éjaculation qui survient avant ou immédiatement après l "
"318290","322090","'intromission Un trouble de l'érection, c'est"
"322090","325730"," l'incapacité d'obtenir ou de maintenir une"
