"start","end","text"
"60","3019"," J'ai laissé 30 minutes aux questions que"
"3019","3420"," vous avez."
"6690","8450"," Troubles psychiques de l'épilepsie."
"85820","86220"," On y va. "
"90000","93380"," Les troubles psychiatriques chez les patients épileptiques, s "
"93380","93660","'il vous plaît."
"94280","97960"," Pourquoi on a insisté sur…"
"101130","103670"," Pourquoi ce chapitre est important ?"
"105430","107910"," Déjà, la présence de troubles psychiatriques dans l "
"107910","108290","'épilepsie."
"108450","110290"," Déjà, qu'il y ait des troubles psychiatriques"
"110290","110990"," dans l'épilepsie. "
"110990","112090"," Ça, il faut le savoir."
"113790","115910"," Les troubles psychiatriques dans l'épilepsie sont un"
"115910","118350"," facteur de mauvais pronostic pour l'épilepsie."
"119050","122130"," Ce sont des troubles qui ne se stabilisent"
"122130","126190"," pas, les neuroleptiques, pardon, mais plutôt qui se"
"126190","129690"," stabilisent par la stabilisation de l'épilepsie en"
"129690","130009"," elle-même. "
"130470","133090"," L'épilepsie, les troubles psychiatriques."
"133190","134290"," On va expliquer comment."
"138170","141030"," Il y a trois types de troubles. "
"141030","142910"," Et ça, je poserai des questions au fur"
"142910","148210"," et à mesure."
"148310","149610"," Je poserai des questions à la fin de"
"149610","149810"," la session."
"151070","152350"," Il y a ce qu'on appelle des"
"152350","154870"," troubles psychiatriques de la crise épileptique. "
"155310","157550"," Il y a la crise qui fait partie"
"157550","158230"," de la crise."
"158910","161050"," C'est une crise sous forme de troubles"
"161050","164950"," psychiatriques qu'on appelle troubles psychiatriques critiques."
"165270","166610"," Critique, ça vient de crise. "
"170150","172310"," Qui font partie soit de la crise, soit"
"172310","173810"," de ses suites immédiates."
"173810","175890"," Quand je dis suites immédiates, c'est-à "
"175890","179850","-dire quelques heures, quelques minutes après la crise"
"179850","183090"," tonico-clonique généralisée, les crises l'équilibre justement."
"183810","185870"," Là, ils font partie de la crise en"
"185870","186230"," elle-même. "
"187070","190290"," Il y a des troubles psychiatriques intercritiques, c "
"190290","191450","'est-à-dire entre les crises."
"193740","195780"," Et il y a des troubles psychiatriques secondaires"
"195780","198100"," à l'atteinte cérébrale responsable de l'épilepsie."
"199520","201400"," On ne va pas le voir en détail. "
"201520","202700"," Ce qui nous intéresse, c'est les deux"
"202700","204500"," premières rubriques."
"205330","209900"," Par exemple, quand vous avez une tumeur temporale"
"209900","213100"," qui va en même temps causer des crises"
"213100","215580"," épileptiques de type temporale et en même temps"
"215580","219220"," causer une symptomatologie psychiatrique parce qu'au niveau"
"219220","223340"," temporal, au niveau frontal, l'atteinte temporale au"
"223340","225880"," frontal peut entraîner des troubles psychiatriques."
"229670","233610"," Manifestation critique, ça peut être des symptômes prodromiques. "
"233610","237190"," Dans la crise, le patient peut présenter instabilité,"
"237330","237810"," dysphorie."
"239170","242070"," Les troubles liés à la crise, proprement dit,"
"242550","244990"," c'est des automatismes psychomoteurs."
"248370","250650"," C'est des gestes automatiques que fait le"
"250650","255029"," patient et qui peuvent être interprétés de travers. "
"255029","260089"," Par exemple, une personne qui est en train"
"260089","262190"," de se déshabiller, c'est comme si c "
"262190","263750","'était mécanique, c'est comme si c'était"
"263750","265370"," un robot qui était en train de se"
"265370","265990"," déshabiller."
"267310","275260"," Ça peut être considéré, mal compris par les"
"275260","281010"," autres, ou dangereux à type de fugue, de"
"281010","283510"," conduite automobile."
"283650","285030"," Je crois que je vous ai donné l "
"285030","288850","'exemple de cette personne-là qui a conduit"
"288850","292790"," sa voiture sans s'arrêter, alors qu'il"
"292790","296090"," était au bon milieu de sa crise épileptique. "
"296710","298930"," Le risque, les troubles liés à la crise,"
"300850","302470"," c'est qu'il y a le risque"
"302470","307250"," de passage à l'acte auto, mais surtout"
"307250","308870"," hétéroagressif."
"310030","313490"," Il faut savoir qu'une bonne partie des"
"313490","316290"," patients médico-légaux qui étaient hospitalisés, je ne"
"316290","317450"," sais pas ce qu'il en est maintenant,"
"318410","320670"," mais quand j'étais résidente, une bonne partie"
"320670","322910"," des patients médico-légaux qui étaient hospitalisés dans"
"322910","325730"," notre hôpital étaient des patients épileptiques qui avaient"
"325730","328310"," des troubles du comportement, des troubles psychiatriques."
"328530","329710"," Ce n'était pas des schizophrènes, ce n "
"329710","331750","'était pas des bipolaires, mais c'était des"
"331750","332770"," patients épileptiques. "
"333750","337450"," Les actes médico-légaux que peuvent faire des"
"337450","339990"," patients épileptiques sont très graves, sont très dangereux."
"341150","342210"," Je ne sais pas si je vous en"
"342210","343810"," ai parlé, mais quel est le type d "
"343810","347760","'agitation le plus intense à votre avis ?"
"351180","355040"," Qui sont les patients les plus agités ?"
"355040","357560"," Qui sont passés par le service ?"
"358380","359560"," C'est les schizophrènes ?"
"360120","361860"," Les bipolaires ?"
"364100","365540"," Les épileptiques ?"
"365540","366660"," C'est les patients épileptiques."
"367100","369700"," La première agitation en termes d'intensité, c "
"369700","372100","'est la fureur, qu'on appelle fureur épileptique,"
"372480","373800"," qui change extrêmement la fureur. "
"373800","376400"," C'est les patients épileptiques en premier."
"377760","380620"," J'ai déjà vu un patient épileptique, il"
"380620","387460"," était dans l'hôpital, j'étais de garde."
"389740","391180"," J'ai allé à la salle de garde,"
"391240","392620"," et j'ai vu un patient épileptique qui"
"392620","393420"," se moquait de moi. "
"394260","395880"," Je vous assure, il se moquait de moi."
"397080","400160"," C'était le patient agité qui était menotté"
"400160","404160"," dans une des salles de garde."
"404220","406820"," Il était menotté par l'agitation. "
"408880","411280"," C'était l'extrême agitation."
"412120","414620"," Il y a les automatismes moteurs, qui sont"
"414620","415780"," les troubles de la conscience."
"416040","418460"," C'est normal, vous le connaissez, vous le"
"418460","419740"," savez mieux que moi, parce que c'est"
"419740","422080"," des crises épileptiques où vous pouvez trouver un"
"422080","424720"," syndrome confusionnel, une baisse de la vigilance. "
"427640","430700"," Des états crépusculaires, c'est aussi une baisse"
"430700","436320"," de la vigilance, et surtout une symptomatologie hallucinatoire"
"436320","440780"," multiple, surtout dans l'épilepsie temporale."
"441480","442920"," C'est ça en fait ce qui cause"
"442920","445940"," beaucoup de confusion quand on reçoit des patients,"
"446220","447380"," parce que c'est typiquement chacun."
"447860","450500"," On vous ramène un patient seul, par la"
"450500","453100"," police extrêmement agité, vous voyez qu'il est"
"453100","458480"," halluciné, des propos incohérents, délirants, impossible d'avoir"
"458480","459520"," un contact mère. "
