"start","end","text"
"220","2200"," Pour la première fois, les états dépressifs."
"3380","5960"," Aujourd'hui, on va voir les troubles bipolaires."
"6140","7740"," C'est toujours en pluriel parce qu'on"
"7740","10000"," va voir il y a plusieurs troubles bipolaires"
"10420","12780"," et il y a trois qui sont reconnus"
"12780","16180"," dans la classification du manuel statistique et diagnostique"
"16180","16780"," des maladies. "
"17200","19360"," Les autres, c'est des auteurs, des scientifiques"
"19360","23100"," qui ont essayé de décortiquer vraiment les symptômes"
"23100","26580"," pour sortir le trouble bipolaire type 4, 4 "
"26580","29760",",5, 5, 5,5, type 6, type 7,"
"30220","32020"," vraiment en fonction des symptômes."
"32680","35060"," Par rapport au type 1, 2, 3, le"
"35060","36220"," traitement est différent."
"36560","37680"," C'est pour ça qu'il faut connaître"
"37680","38940"," les trois types. "
"40740","43580"," Alors, les troubles bipolaires, c'est l'opposé,"
"43680","45460"," carrément l'opposé de ce que vous avez"
"45460","47340"," vu dans les états dépressifs."
"48960","50540"," Ce qu'il faut connaître à la fin"
"50540","52320"," de ce cours, d'abord définir les troubles"
"52320","55120"," bipolaires, décrire un accès maniaque."
"55420","57040"," Il y a une phase de début et"
"57040","58180"," une phase d'état. "
"58720","60700"," Les risques liés à l'accès maniaque, c "
"60700","61960","'est pour ça qu'il faut le prendre"
"61960","63560"," en charge précocement."
"64099","66580"," Les différents formes de troubles bipolaires les plus"
"66580","69200"," répandues auxquelles on a des traitements."
"70240","72780"," Définir l'hépomanie, c'est très important de"
"72780","74180"," connaître les symptômes de l'hépomanie. "
"74320","75760"," On a dit la dernière fois qu'il"
"75760","78760"," va carrément changer le diagnostic quand vous êtes"
"78760","81340"," devant un état dépressif et le patient a"
"81340","84160"," des antécédents d'hépomanie, ça change complètement le"
"84160","84520"," traitement."
"85400","87580"," L'évolution d'un trouble bipolaire avec et"
"87580","90500"," sans traitement, pour encourager les gens à prendre"
"90500","91640"," leur traitement."
"92340","94140"," Les facteurs de gravité, on va avoir des"
"94140","96180"," facteurs de gravité liés au trouble lui-même"
"96180","98520"," et des facteurs de gravité liés à la"
"98520","99280"," prise en charge. "
"99980","103340"," Bien sûr, le diagnostic différentiel, on élimine toujours"
"103340","105120"," au début tout ce qui est organique avant"
"105120","108360"," de penser à tout ce qui est organique"
"108360","109100"," psychiatrique."
"110040","112560"," Et bien sûr, traiter, donc connaître les grandes"
"112560","113480"," lignes du traitement."
"113740","115160"," On va voir, c'est un peu compliqué,"
"115620","117640"," mais vous devez quand même connaître les grandes"
"117640","118820"," lignes du traitement. "
"119340","121620"," L'essentiel aussi, c'est connaître les principaux,"
"122080","124560"," les principes de la psychoéducation comme ce que"
"124560","126880"," vous allez faire pour un diabétique, un épeur"
"126880","127300"," tendue."
"127800","130860"," Vous êtes censé faire la psychoéducation pour un"
"130860","132760"," patient bipolaire, pour un patient schizophrène."
"133940","136040"," Pour les deux pathologies, on ne va pas"
"136040","138380"," parler de psychoéducation pour le trouble anxieux parce"
"138380","141680"," que les deux pathologies, trouble bipolaire et la"
"141680","145720"," schizophrénie, sont des pathologies chroniques handicapantes qui peuvent"
"145720","148520"," handicaper le sujet sur le plan professionnel ou"
"148520","149100"," social. "
"150220","154560"," Alors la définition, c'est une récurrence d "
"154560","158860","'épisodes de manie, j'insiste, ou d'hypomanie"
"158860","162240"," avec ou sans épisodes dépressifs."
"163200","165280"," On va voir par la suite, donc le"
"165280","168920"," sujet peut faire des épisodes maniaques et à"
"168920","172400"," un moment, il va faire des épisodes dépressifs."
"173240","176020"," Il peut par exemple faire des épisodes hypomaniaques"
"176020","177600"," et à un moment, il va faire des"
"177600","179160"," épisodes dépressifs. "
"179900","182900"," Donc il peut ne faire que des épisodes"
"182900","187160"," maniaques ou que des épisodes hypomaniaques et malgré"
"187160","188640"," ça, on parle de bipolaire."
"188640","191100"," Même s'il ne fait que des épisodes"
"191100","193900"," maniaques à répétition et il vient chez vous"
"193900","195760"," alors qu'il vient de faire par exemple"
"195760","198240"," 5 épisodes maniaques, ça fait 5 ans qu "
"198240","200060","'il est suivi, c'est un trouble bipolaire."
"200420","200900"," Pourquoi ?"
"200900","202680"," Parce que quand on dit bipolaire, ça sous "
"202680","203540","-entend deux pôles. "
"203980","205280"," Mais même quand il ne fait que des"
"205280","207220"," accès maniaques, on parle de bipolaire parce qu "
"207220","211140","'on dit qu'il y a sûrement un"
"211140","213600"," épisode dépressif qui est passé inaperçu."
"215560","219180"," Alors le risque de tentative de suicide est"
"219180","220080"," très important."
"221240","223240"," Le suicide, on ne le trouve pas uniquement"
"223240","226540"," au niveau des phases dépressives mais aussi au"
"226540","227700"," niveau des phases maniaques. "
"228380","231920"," Un patient maniaque peut avoir un risque suicidaire."
"232540","232940"," Comment ?"
"232940","234040"," Est-ce que vous avez une idée ?"
"234040","236580"," Comment un patient maniaque qui a un accès"
"236580","240940"," maniaque peut faire une tentative de suicide ?"
"246090","248170"," C'est-à-dire ?"
"250380","251520"," Oui, qu'est-ce qu'il va se"
"251520","253540"," dire quand il conduit un grand suicide à"
"253540","257640"," un patient qui a un accès maniaque ?"
"257640","259700"," Il va conduire par exemple à 200 km"
"259700","260779"," à l'heure, qu'est-ce qu'il"
"260779","262080"," va se dire ?"
"265560","268160"," Je suis immortel, rien ne va m'arriver."
"269460","269960"," D'accord ?"
"269960","271420"," Parce qu'il est mégalomaniaque. "
"271800","273020"," Parce que dans l'accès maniaque, il est"
"273020","275340"," dans la joie, l'euphorie, la mégalomanie."
"275920","277120"," D'accord ?"
"277120","279660"," Ou bien il peut sauter du septième étage,"
"279720","281160"," il va se dire rien ne va m "
"281160","281420","'arriver."
"282200","284680"," Il peut même emporter avec lui ses enfants"
"284680","285320"," par exemple. "
"285760","287080"," Il va se dire rien ne va m "
"287080","288440","'arriver, on est immortel."
"289140","289860"," D'accord ?"
"289860","291740"," Ou bien rien ne va m'arriver et"
"291740","292900"," mes enfants je vais les sauver."
"293440","295860"," Je vais pouvoir voler avec eux, j'ai"
"295860","296640"," un pouvoir. "
"297200","299560"," C'est la mégalomanie, il est délirant."
"300400","300720"," D'accord ?"
"300720","301440"," C'est dans ce cadre."
"301900","303780"," C'est pas dans un cadre dépressif mais"
"303780","305000"," dans un cadre maniaque. "
"305000","307940"," Et il peut se suicider quand il est"
"307940","309500"," en accès dépressif."
"310000","312120"," Donc il est bipolaire, il peut se suicider"
"312120","314220"," soit quand il est en accès maniaque, soit"
"314220","315600"," quand il est en accès dépressif."
"315920","317040"," Donc le risque, il est là. "
"318180","321560"," Le traitement préventif, là, c'est une maladie"
"321560","322860"," chronique."
"322920","324960"," C'est une maladie qui peut handicaper le"
"324960","326760"," sujet, on va voir avec les symptômes."
"327280","329740"," Mais il y a un traitement préventif qui"
"329740","331340"," peut prévenir les accès. "
"331840","335000"," Ou bien au moins diminuer l'intensité des"
"335000","338300"," accès, diminuer la sévérité, diminuer la fréquence."
"338840","340900"," Et un sujet qui suit bien son traitement,"
"341440","343560"," un patient qui est trop bipolaire, il peut"
"343560","344340"," fonctionner normalement."
"345340","347100"," Il peut se marier, avoir des enfants, faire"
"347100","348640"," des études, avoir des diplômes. "
"349080","350760"," Autour de vous, vous connaissez, il y a"
"350760","354920"," des médecins bipolaires qui fonctionnent, qui travaillent."
"355580","357540"," Il y a des médecins, il y a"
