"start","end","text"
"4020","6780"," Le stress post-traumatique, en fait, c'est"
"6780","11580"," un trouble qui est caractérisé par un ensemble"
"11580","12340"," d'éléments cliniques."
"12620","16560"," C'est tout un mélange de symptomatologies cliniques"
"16560","20220"," qui sont durables dans le temps, qui sont"
"20220","22900"," éventuellement différées, c'est-à-dire pas forcément"
"22900","31860"," au décours du traumatisme, et qui s'installe"
"31860","34980"," chez une personne qui est exposée à un"
"34980","38680"," événement qui est potentiellement traumatisant, où la personne"
"38680","42780"," s'est retrouvée face à la mort, ou"
"42780","44920"," à la peur de mourir, ou à des"
"44920","45640"," blessures graves."
"46820","51800"," Et cette situation a généré chez cette personne"
"51800","54840"," un sentiment d'impuissance, un sentiment d'horreur"
"54840","56460"," et une peur extrême. "
"57520","59880"," Donc, ça peut être, ça peut concerner la"
"59880","63019"," mort de la personne elle-même ou de"
"63019","65940"," quelqu'un d'autre."
"71130","73450"," Donc, le sujet commence à, c'est un"
"73450","75630"," sujet qui connaît un regain d'intérêt dans"
"75630","76770"," tous les médias."
"77570","79210"," Et là, en ce moment, on vient de"
"79210","84010"," vivre une tragédie dans la région de l "
"84010","86950","'Eauze, le séisme de l'Eauze, qui est"
"86950","89470"," un événement très traumatisant. "
"89470","92330"," Donc, on voit dans les médias, tout le"
"92330","96150"," monde parle de soutien, d'accompagnement psychologique pour"
"96150","100190"," ces gens qui ont vécu ce drame."
"102570","106670"," C'est un trouble qui était souvent sous"
"106670","109970"," diagramme psychique là aussi, parce que les patients"
"110710","113570"," ne consultent pas, ne reconnaissent pas le caractère"
"113570","114170"," pathologique."
"114170","118650"," Mais avec cette médiatisation, ça risque aussi de"
"118650","122630"," tomber, on risque aussi de tomber dans le"
"122630","128650"," surdiagnostic et de diagnostiquer de façon abusive. "
"130910","133510"," Dans les classifications récentes, c'est un trouble"
"133510","136390"," aussi qui faisait partie des troubles anxieux."
"136890","140290"," Mais actuellement, dans le chapitre actuel, dans les"
"140290","142910"," classifications actuelles, que ce soit des SMS et"
"142910","146130"," CM11, ça ne fait plus partie des troubles"
"146130","146530"," anxieux."
"147110","150170"," Donc, ça constitue désormais un chapitre à part,"
"150570","153970"," appelé troubles liés à des traumatismes ou à"
"153970","155130"," des facteurs de stress. "
"159620","163600"," La prévalence, c'est un trouble, comme je"
"163600","165960"," disais, qui est assez fréquent avec une prévalence"
"165960","167080"," sur une vie qui peut aller jusqu'à"
"167080","167640"," 8%."
"167640","169760"," C'est un trouble qui touche deux fois"
"169760","173960"," les femmes que les hommes, mais cette prévalence"
"173960","175980"," est variable en fonction des populations."
"176220","179020"," Pour des populations qui sont exposées à des"
"179020","183020"," événements graves, à des catastrophes naturelles, cette prévalence"
"183020","188020"," va bien sûr être beaucoup plus que par"
"188020","189420"," rapport à la population générale. "
"190220","196900"," Pour les gens qui viennent de vivre ce"
"196900","199660"," séisme dans la région de Lille, on suppose"
"199660","202520"," que si on les suit dans le futur,"
"202660","206180"," la fréquence du trouble sera beaucoup plus élevée"
"206180","208500"," que par rapport aux gens qui n'ont"
"208500","215240"," pas été exposés aux mêmes catastrophes."
"216560","220020"," Quand vous voyez les vétérans de la guerre"
"220020","224040"," du Vietnam, les soldats américains qui ont participé"
"224040","228440"," à la guerre du Vietnam, on fait état"
"228440","230320"," d'une prévalence qui va jusqu'à 20 "
"230320","233040","% et jusqu'à 40% pour les"
"233040","236860"," soldats américains au retour de la guerre du"
"236860","239180"," Golfe en Irak."
"240540","243520"," Presque la moitié des soldats ont développé, par"
"243520","246300"," la suite, des états de stress post-traumatique"
"246300","250080"," parce que la période de guerre, c'est"
"250080","254080"," des événements atroces et potentiellement traumatisants. "
"256480","260200"," Dans l'étude clinique du trouble stress post "
"260200","264140","-traumatique, on va aborder l'événement traumatique, les"
"264140","268300"," réactions immédiates, le stress aigu, la phase de"
"268300","272220"," latence et le trouble stress post-traumatique proprement"
"272220","272400"," dit."
"275220","281720"," Pour l'événement traumatique, c'est un événement"
"281720","285840"," où la personne va se retrouver confrontée à"
"285840","288280"," la réalité de la mort, où il s "
"288280","290220","'est vu vraiment mourir ou a vu quelqu "
"290220","294660","'un mourir ou en tout cas, elle a"
"294660","298880"," vécu un événement tellement important, tellement exceptionnellement menaçant"
"298880","303760"," de sa vie ou de son intégrité physique."
"304940","307700"," C'est un événement qui va surprendre la"
"307700","311040"," personne dans un moment où elle n'est"
"311040","313280"," pas préparée, où elle ne s'attend pas"
"313280","316780"," à vivre cet événement. "
"316960","319140"," C'est exactement l'exemple qu'on vient"
"319140","322600"," de vivre avec le séisme, des gens qui"
"322600","328140"," étaient chez eux en train de dormir ou"
"328140","329640"," de prendre leur dîner."
"330120","331820"," C'est un moment où personne ne s "
"331820","334120","'y attend pas, qu'une secousse aussi violente"
"334120","337540"," s'est produite et a surpris tout le"
"337540","341980"," monde avec tous les dégâts qu'on a"
"341980","342560"," vécu."
"344940","349980"," C'est un événement bien sûr, cette dimension"
"349980","354520"," de surprise, de quelque chose d'incalculable, d "
"354520","359900","'inimaginable, difficile à décrire, qui fait que c "
"359900","362520","'est cette brutalité, cette violence de l'événement"
"362520","364400"," qui fait sans son exception. "
"366870","369850"," Ça peut être des catastrophes naturelles comme le"
"369850","375410"," séisme, les inondations, l'ouragan de la ville"
"375410","378130"," de Darnan, Libye, ça peut être des volcans,"
"378350","381090"," des tsunamis, mais ça peut être aussi des"
"381090","385390"," catastrophes d'origine humaine, comme l'explosion du"
"385390","386930"," port de Beyrouth il y a quelques années,"
"387270","389990"," où on a stocké des nitrates d'ammonium"
"389990","393350"," avec tous les dégâts que ça a donné."
"394150","398650"," Ça peut aussi être des conflits armés, des"
"398650","405810"," moments où des gens vivent des difficultés ou"
"405810","408290"," des événements très graves, comme la guerre en"
"408290","408610"," Syrie."
"409590","413090"," En tout cas, tous les conflits armés partout"
"413090","419010"," dans le monde sont des moments propices d "
"419010","421770","'engenrer ce genre de troubles. "
"423930","427150"," Ça peut être aussi des accidents, des accidents"
"427150","429050"," de la voie publique, des accidents de travail,"
"429290","432350"," des accidents graves où il y avait une"
"432350","437730"," mort violente, ça peut aussi être une personne"
"437730","439210"," qui a assisté à la mort d'une"
"439210","445090"," autre personne, une personne heurtée par une voiture"
"445090","448810"," sur la voie publique, ou qui a assisté"
"448810","451410"," par exemple à un suicide ou à quelqu "
"451410","453550","'un qui est tombé d'une certaine hauteur."
"454190","457930"," Le fait d'y assister est aussi considéré"
"457930","459810"," comme un événement traumatisant."
"460950","463770"," Ça pourrait être aussi tout ce qui est"
"463770","467150"," agressions, crimes et viols surtout. "
"467490","471490"," Les viols sont aussi des moments très traumatisants,"
"471630","476610"," parce que la victime de viol voit son"
"476610","479730"," intégrité physique, voire sa vie mise en jeu,"
"479950","481590"," donc on ne sait pas si l'agresseur"
"481590","485470"," va se contenter de voler ou de violer,"
"485790","489790"," mais il peut aussi tuer, donc c'est"
"489790","492130"," un moment où la personne peut voir l "
"492130","494830","'intégrité physique ou sa vie menacée."
"496790","499170"," Ça pourrait aussi être un moment bref dans"
"499170","505810"," une séquence de sévices ou de torture, surtout"
"505810","508750"," chez les personnes en captivité pendant plusieurs semaines"
"508750","512990"," ou plusieurs mois, donc avec des tortures régulières,"
"513250","517610"," quotidiennes, et ce n'est pas un événement"
"517610","521450"," exceptionnel en lui-même, mais des fois ces"
"521450","530630"," sévices répétés pendant une longue durée, c'est"
"530630","533750"," un moment précis où cette effraction traumatique se"
"533750","537130"," fait chez la personne dans ces circonstances."
"537910","540310"," C'est aussi le cas pour des personnes"
"540310","546570"," qui ont des visions répétées d'horreur, et"
"546570","548650"," là je cite les personnes qui travaillent dans"
"548650","551630"," les sauveteurs, les sapeurs-pompiers, qui sont tout"
"551630","555630"," le temps amenés à manipuler des cadavres, des"
"555630","560210"," fois déchiquetés, et à certains moments ça peut"
"560210","565690"," aussi donner lieu à une effraction traumatique. "
"569410","575030"," Donc cet événement traumatisant ou de d'effraction"
"575030","577250"," traumatique va être à l'origine d'une"
"577250","578730"," réaction, ce qu'on appelle une réaction d "
"578730","580490","'effroi, qui est au-delà de la peur,"
"582230","586310"," c'est un moment émotionnel très intense, on"
"586310","589550"," va se mélanger le sentiment de peur, le"
"589550","592150"," sentiment d'horreur, et surtout le sentiment d "
"592150","598650","'impuissance et d'abandon, lié à cette imminence"
"598650","601190"," de la mort."
"607600","609680"," L'événement traumatique va être à l'origine"
"609680","611560"," de plusieurs symptômes."
"612860","618180"," Dans l'immédiat, juste après l'événement traumatique"
"618180","620380"," ou juste après l'effraction traumatique, on peut"
"620380","624140"," trouver des symptômes de toutes sortes, ce qu "
"624140","626500","'on appelle des réactions immédiates-brèves. "
"626980","631260"," Les réactions immédiates-brèves, comme leur nom l "
"631260","633720","'indique, c'est immédiat et c'est bref"
"633720","638220"," puisque ça dure moins de 48 heures."
"640400","643060"," Quand les symptômes durent moins de 48 heures,"
"643380","646780"," on parle de réactions immédiates-brèves, mais les"
"646780","650380"," symptômes peuvent se prolonger et durer plus de"
"650380","650740"," deux jours."
"650740","653160"," En tout cas, dans les premières 48 heures,"
"653260","656560"," on parle de réactions immédiates-brèves qui sont"
"656560","658460"," dominées bien sûr par l'anxiété et l "
"658460","661600","'angoisse face à cette effraction traumatique, face à"
"661600","663100"," cet événement traumatisant. "
"663580","667540"," Cette anxiété peut être une anxiété adaptée à"
"667540","671240"," la situation qui n'est pas très importante."
"671640","674160"," On parle de stress adapté avec des réactions,"
