"start","end","text"
"590","5940"," Si on a le temps, on va étudier"
"5940","6640"," deux chapitres."
"7380","11120"," Un sur la grossesse, les troubles psychiques de"
"11120","12600"," la grossesse et du postpartum."
"14600","16400"," Et si on a le temps, on va"
"16400","20560"," faire un cours sur les troubles sexuels. "
"26690","29370"," Savoir que les troubles psychiatriques ou psychiques, s "
"29370","34610","'il vous plaît, les troubles psychiques de la"
"34610","36330"," grossesse et du postpartum."
"38030","41470"," C'est un cours qui me tient beaucoup"
"41470","41910"," à cœur."
"43770","46430"," C'est un chapitre que j'estime très"
"46430","53010"," important à connaître pour tout médecin généraliste et"
"53010","57330"," tout professionnel de la santé qui, un jour"
"57330","61510"," ou l'autre, va travailler dans une structure"
"61510","63930"," où il y a des femmes enceintes et"
"63930","65330"," des femmes qui viennent d'accoucher. "
"66650","70450"," Que vous soyez gynécologue, sage-femme, infirmière en"
"70450","74910"," gynécologie, infirmière en néonates, infirmière en pédiatrie, médecin"
"74910","78310"," généraliste dans un centre de santé, infirmière responsable"
"78310","78990"," de la vaccination."
"79710","81270"," C'est un chapitre très, très, très, très"
"81270","81790"," important."
"83930","88290"," Pourquoi, à votre avis, on va étudier les"
"88290","90990"," troubles psychiques de la grossesse et du postpartum"
"90990","91790"," ?"
"94260","95140"," C'est fréquent, oui. "
"100620","101880"," Pourquoi encore ?"
"107030","109290"," Oui, pourquoi il faut bien les gérer ?"
"114320","122030"," Les suicides, ça retentit non pas uniquement sur"
"122030","124650"," la femme enceinte ou qui vient d'accoucher,"
"125270","129850"," mais aussi sur le foetus en intra-utérin."
"129850","133490"," Pour le postpartum, c'est pour les nouveaux "
"133490","135910","-nés ou les enfants qui viennent de naître,"
"136010","137270"," les nourrissons de façon générale."
"137370","139590"," Ça ne retentit pas uniquement sur la patiente. "
"139790","153590"," Quoi encore ?"
"158040","160940"," À votre avis, il y a un retentissement"
"160940","163880"," négatif uniquement sur la maman et sur le"
"163880","171500"," nouveau-né, le mari, l'élève, risque de"
"171500","175100"," divorce, sur le couple de façon générale, sur"
"175100","175560"," la famille."
"177700","179420"," Pourquoi on étudie la grossesse et les troubles"
"179420","180600"," psychiatriques de la grossesse ?"
"181760","183660"," Pourquoi déjà il y a des femmes présentes"
"183660","185820"," des troubles psychiatriques au cours de la grossesse"
"185820","187140"," ou du postpartum ?"
"187140","189420"," Parce que la grossesse est un événement, qu "
"189420","191920","'on le veut ou non, majeur dans la"
"191920","192540"," vie d'une femme."
"193820","196260"," C'est un événement qui est caractérisé par"
