"start","end","text"
"1220","6500"," Ce qui est important pour la neurosyphilis, c "
"6500","9680","'est surtout le syndrome neurologique."
"10700","14880"," Ça c'est un prérequis, parce que je"
"14880","16960"," ne peux pas parler de la neurosyphilis sans"
"16960","20400"," parler des symptômes neurologiques, du syndrome neurologique."
"25570","28930"," La dysarthrie, les réflexos téotondideux. "
"29390","34070"," Moi, je ne poserai pas de questions sur"
"34070","35710"," le syndrome neurologique."
"36170","39570"," C'est vous qui avez fait la neurologie"
"39570","40670"," l'année dernière, pas moi."
"41850","44210"," Donc, je ne poserai pas de questions sur"
"44210","46630"," tout ce qui est neurologique, tout ce qui"
"46630","50010"," est symptomatologie neurologique, parce que ce n'est"
"50010","53090"," pas mon travail, ce n'est pas mon"
"53090","53930"," domaine. "
"57390","58110"," D'accord ?"
"61550","62370"," Excusez-moi."
"63930","65790"," Les consignes que j'ai données, c'est"
"65790","67270"," valable pour la première session."
"68550","69330"," Deuxième session. "
"72300","74140"," Pour ceux qui veulent faire un pass à"
"74140","76320"," la psychiatrie, deuxième session."
"77170","80800"," D'accord ?"
"80800","88740"," Excusez-moi, s'il vous plaît, s'il"
"88740","89080"," vous plaît."
"91310","94230"," Ce qu'il faut retenir dans la neurosyphilis,"
"94330","103110"," c'est la fréquence de symptomatologie psychotique type"
"103110","108700"," d'humeur instable, d'excitation hypomaniaque ou mégalomanie. "
"109960","116720"," Beaucoup de pathologies, beaucoup de neurosyphilis peuvent prendre"
"116720","120160"," la forme d'accès maniaque ou de symptomatologie"
"120160","120900"," maniaque."
"122220","122840"," D'accord ?"
"124920","127699"," Le début, c'est un début insidieux."
"130280","134760"," Bien sûr, ça peut être avec un déficit"
"134760","135920"," intellectuel. "
"137200","139020"," Ce qui m'intéresse, c'est surtout la"
"139020","142160"," symptomatologie psychiatrique avec un changement de caractère, de"
"142160","146920"," personnalité, des comportements absurdes ou délectueux."
"146920","150600"," C'est-à-dire des patients qui vont"
"150600","157180"," commencer à se dénuder, faire des avances aux"
