"start","end","text"
"460","3040"," Alors, aujourd'hui, on va traiter les addictions,"
"3640","7020"," donc on va traiter les addictions produits."
"8480","10080"," Parce que, comme vous savez, il y a"
"10080","13040"," les addictions comportementales et les addictions produits."
"13680","17720"," Les deux ont des conséquences négatives sur la"
"17720","22440"," santé psychique, sur la santé, sur l'authenticité"
"22440","26400"," sur la société, sur le plan professionnel, le"
"26400","27200"," plan familial. "
"27580","30420"," Mais les addictions produits ont beaucoup plus un"
"30420","34520"," retentissement plus grave sur la santé psychique, sur"
"34520","38440"," le fonctionnement personnel, familial et social, et aussi"
"38440","39700"," sur la santé physique."
"40260","41140"," Donc, c'est pour ça qu'on va"
"41140","45940"," consacrer les heures qu'on a consacrées pour"
"45940","48360"," les addictions uniquement aux addictions aux produits."
"49020","51080"," Donc, à la fin de ce cours, vous"
"51080","55780"," devez être capable de définir, connaître une addiction. "
"56820","60040"," Les différents stades de consommation, ça vous permettra"
"60040","62700"," d'intervenir de façon préventive."
"63620","66920"," Les critères de dépendance, donc pour sélectionner les"
"66920","70280"," gens qui sont dans la dépendance, qui ont"
"70280","72280"," une prise en charge beaucoup plus spécifique."
"73140","76320"," Différencier entre addiction physique et psychique pour pouvoir"
"76320","79240"," expliquer aux patients, soit qu'il est encore"
"79240","81440"," dans la phase critique, il a besoin de"
"81440","83600"," soutien, soit qu'il a dépassé la phase"
"83600","86320"," critique, il suffit juste qu'il patiente un"
"86320","90060"," petit peu pour arriver à l'abstinence. "
"90640","93200"," Les facteurs de vulnérabilité, ça c'est surtout"
"93200","94520"," l'intérêt de la prévention."
"94520","98680"," Les facteurs de protection pour sensibiliser les gens"
"98680","102420"," à ce qu'ils ont des ressources qui"
"102420","104700"," vont les aider à s'abstenir."
"105480","107400"," Et connaître surtout l'action des drogues sur"
"107400","110040"," le cerveau, ça c'est très important parce"
"110040","111340"," que c'est quelque chose que le patient"
"111340","112120"," va vous demander. "
"112780","115540"," Que ce soit des patients d'un niveau"
"115540","118020"," intellectuel élevé ou pas, ils vont vous demander"
"118020","120260"," de leur expliquer de façon biologique comment ça"
"120260","120560"," marche."
"120560","123800"," Et si vous leur expliquez ça, ça les"
"123800","126580"," aide aussi à comprendre pourquoi ils sont addicts"
"126580","130280"," et ça les aide aussi à être motivés"
"130280","132320"," pour l'abstinence."
"132940","135020"," Et bien sûr, connaître l'effet psychique et"
"135020","138080"," physique parce que vous aurez à les donner"
"138080","141340"," aux patients si, et j'insiste, s'ils"
"141340","142120"," le demandent. "
"142720","145180"," Et bien sûr, les grandes lignes de prise"
"145180","147980"," en charge d'un patient addict, ça relève"
"147980","148980"," du spécialiste."
"149780","152320"," Mais en tant que médecin généraliste, en tant"
"152320","156360"," que médecin spécialiste, vous allez être confronté à"
"156360","158400"," des patients qui ont des pathologies X ou"
"158400","159920"," Y et qui consomment."
"160920","165640"," La majorité, ça va être des consommations courantes,"
"165740","168000"," des consommations fréquentes comme par exemple le tabac. "
"168000","172220"," Donc vous avez à connaître la moindre des"
"172220","173880"," choses dans la prise en charge qui est"
"173880","175120"," la psychoéducation."
"175680","176420"," Donc ça, c'est important."
"177620","180420"," Donc là, vous avez, je pense, deviné le"
"180420","183100"," chaton qui a trouvé la boule de cannabis"
"183100","185940"," et qui a consommé la boule de cannabis. "
"186280","187940"," Donc vous le voyez comment elle est."
"188160","189680"," C'est vrai, ça, on le voit."
"189680","191620"," Vous vous rappelez quand je vous ai dit"
"191620","194580"," sur l'aspect physique des patients qui ont"
"194580","195860"," des troubles bipolaires. "
"195960","198600"," Ce sont des patients qui sont excités, jovials,"
"198740","201800"," euphoriques, hyperactifs et dans leurs yeux, on voit"
"201800","202680"," cette brillance."
"203160","205220"," Là, vous voyez comment ça brille au niveau"
"205220","210280"," des yeux du chaton parce que les drogues,"
"210380","212720"," toutes les drogues, elles donnent au début."
"212720","215560"," Donc des fois, de façon rapide, de façon"
"215560","217620"," brutale, elles vont donner ce qu'on appelle"
"217620","220140"," un accès psychotique aiguë post-toxique d'allure"
"220140","220700"," maniaque. "
"221600","223760"," Elles vont donner un tableau maniaque."
"224260","225540"," Donc si vous ne posez pas la question,"
"225680","227800"," si le patient a pris quelque chose ou"
"227800","230460"," pas, vous allez errer dans les diagonales."
"230660","232760"," Vous allez penser à un trouble bipolaire alors"
"232760","236220"," que c'est un accès post-toxique d "
"236220","239080","'allure maniaque, carrément un tableau maniaque. "
"240040","241700"," Alors c'est quoi une addiction?"
"242640","244400"," Comment on définit une addiction?"
"246810","248510"," Idmen, comment on définit une addiction?"
"250850","253410"," Quels sont les mots-clés de la définition"
"253410","254030"," d'une addiction?"
"257450","258329"," La dépendance."
"258470","260850"," La dépendance, ça veut dire, ça s'entend"
"260850","261390"," addiction."
"262150","263750"," Quels sont les mots-clés de la définition"
"263750","264830"," de la dépendance?"
"266130","266570"," Addiction. "
"268070","270570"," Addict dans la littérature, ça veut dire esclave."
"271510","274870"," Un sujet devient addict à quelqu'un, ça"
"274870","277310"," veut dire qu'il devient son esclave."
"279050","280110"," Donc quels sont les mots-clés?"
"281610","283750"," Est-ce que le patient addict peut arrêter"
"283750","284530"," la consommation?"
"287210","290010"," Donc c'est l'impossibilité d'arrêter la"
"290010","292770"," consommation ou bien d'arrêter le comportement. "
"293950","295410"," Est-ce que le fait de dire aux"
"295410","300270"," gens, vous savez, l'addiction la plus fréquente,"
"300350","301630"," quelle est l'addiction la plus fréquente?"
"302550","303470"," C'est le tabac."
"304190","305170"," Est-ce que le fait de dire aux"
"305170","307950"," gens que le tabac donne des cancers, ça"
"307950","312470"," les motive, ça les stimule à arrêter?"
"312930","313050"," Non."
"314350","315650"," Est-ce que le fait de dire aux"
"315650","320050"," gens que l'addiction au jeu pathologique, ça"
"320050","323090"," va leur faire perdre tout leur argent, leur"
"323090","324270"," capital économique?"
"324750","324910"," Non. "
"325590","328370"," Donc c'est l'impossibilité d'arrêter malgré"
"328370","330770"," la connaissance des conséquences négatives."
"331510","333410"," Elle est dans l'impossibilité d'arrêter."
"334410","336210"," Et ça c'est important parce qu'après"
"336210","338270"," vous allez voir des patients qui vont vous"
"338270","341870"," dire, moi je ne veux pas arrêter pour"
"341870","344610"," le moment, ça me plaît toujours de consommer,"
"345010","346230"," je peux arrêter quand je veux. "
"347730","349870"," Alors que par définition, il ne peut pas"
"349870","350790"," arrêter quand il veut."
"351250","353130"," Ça c'est un, c'est quoi quand"
"353130","354570"," il dit je peux arrêter quand je veux?"
"356230","359030"," Une résistance ou bien le déni."
"359830","360710"," Ils sont dans le déni. "
"361410","362970"," Donc des gens comme ça, il faut travailler"
"362970","364030"," avec eux et leur déni."
"364930","366310"," Ça c'est des éléments importants."
"366850","370590"," Alors c'est l'impossibilité répétée de contrôler"
"370590","371470"," un comportement. "
"372030","373610"," Il ne peut pas se contrôler, il ne"
"373610","377130"," peut pas arrêter le comportement et la poursuite"
"377130","381130"," de ce comportement malgré la connaissance des conséquences"
"381130","381670"," négatives."
"381670","382810"," C'est pour ça que ça ne sert"
"382810","384890"," à rien, ça donne des cancers, ça donne"
"384890","386030"," ça, ça donne ça, ça donne ça."
"386170","388910"," Si le patient ne le sait pas et"
"388910","391070"," il le demande, oui, là il faut le"
"391070","391770"," sensibiliser. "
"392190","393750"," C'est la psycho-éducation."
"396560","398160"," Parce que quand vous lui dites ça, c "
"398160","400240","'est comme ce que disent les parents."
"401400","403260"," Ses parents lui-même lui disent ça. "
"406600","407400"," D'accord?"
"407880","409720"," Donc si vous dites la même chose, vous"
"409720","411720"," allez prendre le côté des parents."
"411720","414080"," Alors il existe, comme on a dit, deux"
"414080","416580"," types, les addictions comportementales et les addictions aux"
"416580","416980"," produits."
"417300","418840"," Quelles sont les addictions aux produits que vous"
"418840","419280"," connaissez?"
"425030","425750"," Les jeux vidéo. "
"426970","429870"," Qui dit jeux vidéo dit Internet."
"431370","432110"," Quoi d'autre?"
"439800","442620"," Les jeux pathologiques aussi."
"443360","444460"," C'est les jeux de course. "
"444460","444560"," C'est les jeux de course."
"446640","448400"," Vous les connaissez."
"449100","450720"," Vous les connaissez. "
"453450","454030"," Les courses."
"455930","457290"," Les casinos."
"457830","458630"," Les jeux au casino. "
"459730","461970"," Il y en a qui perdent vraiment énormément"
"461970","464270"," d'argent dans ces jeux-là."
"464490","466790"," Il y a aussi les addictions alimentaires."
"467610","469870"," Ça peut être considéré aussi comme une addiction. "
"470350","471650"," Les addictions sexuelles."
"472190","474790"," Les addictions à la télévision, à l'Internet,"
"474890","475690"," aux jeux pathologiques."
"477790","478990"," Alors, toutes les deux. "
"479950","481710"," Comme on a dit, elles ont un petit"
"481710","483450"," peu les mêmes conséquences, mais les plus graves,"
"483530","484630"," c'est les addictions aux produits."
"485450","486770"," Alors c'est une perte de la liberté"
"486770","488350"," de s'abstenir aux toxiques."
