"start","end","text"
"780","5180"," On va voir deux petits cours concernant les"
"5180","6300"," cours de la pédopsychiatrie."
"7400","9800"," On va voir le trouble du spectre de"
"9800","14500"," l'autisme et le TDAH, trouble hyperactivité déficit"
"14500","15059"," de l'attention."
"16660","18480"," On va les voir en même temps, comme"
"18480","21060"," ça vous allez comparer parce que c'est"
"21060","24120"," vrai qu'il y a des comorbidités entre"
"24120","27480"," les deux et l'un peut représenter le"
"27480","29460"," diagnostic différentiel de l'autre, mais vous allez"
"29460","30580"," voir qu'ils sont différents. "
"32640","35320"," Alors, le trouble du spectre de l'autisme,"
"36620","42160"," vous avez déjà vu des enfants autistes autour"
"42160","44780"," de vous, dans votre entourage, est-ce que"
"44780","47660"," vous avez déjà vu des enfants autistes ?"
"47660","49660"," Oui, dans les films, il y a des"
"49660","51860"," films aussi qui parlent des enfants autistes."
"52560","54420"," Donc, on va voir d'abord la définition,"
"54880","57760"," en plus ce qui est important c'est"
"57760","61800"," d'avoir les caractéristiques pour le diagnostic précoce"
"61800","64379"," et pour la prise en charge précoce, parce"
"64379","67400"," que c'est un diagnostic de mauvais pronostic,"
"67960","69780"," mais si la prise en charge est précoce,"
"69920","71280"," on peut améliorer les choses."
"73040","75480"," Alors vous, autant que médecin généraliste ou bien"
"75480","80320"," autant que médecin spécialiste, vous aurez à voir"
"80320","84300"," des enfants, que ce soit en tant que"
"84300","87340"," pédiatre ou bien spécialiste dans les autres spécialités,"
"87840","89860"," et si vous arrivez vraiment à faire le"
"89860","92860"," diagnostic, à détecter, à orienter les parents précocement,"
"93260","95400"," ce sera un grand avantage pour l'enfant. "
"97390","101930"," Alors, le tableau est un peu bizarre."
"102610","112780"," Il y a un cadran vert, il"
"114610","125260"," ne voit pas le"
"125260","134660"," truc, mais il voit l'écran."
"136920","139300"," Le trouble du spectre de l'autisme est"
"139300","140860"," un trouble neurodéveloppemental. "
"140920","143500"," Quand on parle de troubles neurodéveloppementaux, ce sont"
"143500","147700"," des troubles qui arrivent lorsqu'il y a"
"147700","150780"," atteinte du cerveau au cours de son développement."
"151500","153920"," Donc, les troubles neurodéveloppementaux sont un ensemble d "
"153920","156880","'affections qui débutent durant la période de développement"
"156880","160180"," de l'enfant, donc la période de développement"
"160180","162420"," du cerveau."
"162420","165740"," Anciennement, on les appelait les troubles envahissants du"
"165740","169080"," développement, et maintenant on parle des troubles du"
"169080","170720"," spectre de l'autisme, parce qu'il y"
"170720","171840"," a l'autisme et il y a d "
"171840","173960","'autres apparentés à l'autisme. "
"175100","179260"," Nous, on va voir les caractéristiques essentielles du"
"179260","181260"," trouble du spectre de l'autisme."
"181820","185480"," Alors, ils sont marqués par un déficit persistant"
"185480","189540"," de la communication sociale réciproque, c'est-à "
"189540","193500","-dire l'enfant n'arrive pas à comprendre"
"193500","196360"," les autres quand il lui parle, et lui,"
"196780","198920"," quand il parle aux autres, les autres n "
"198920","200000","'arrivent pas à le comprendre."
"200300","202300"," Donc, il y a un déficit de communication"
"202300","207160"," sociale réciproque et des interactions sociales. "
"207600","210600"," Donc, l'enfant a du mal à interagir"
"210600","213900"," avec les autres et les autres aussi, ils"
"213900","216040"," ont du mal à interagir avec l'enfant."
"217580","220040"," Donc, il a un mode restreint et répétitif"
"220040","222540"," des comportements, des intérêts et des activités."
"223480","225820"," Donc, il a un monde restreint à lui,"
"227100","229040"," c'est comme l'isolement que vous trouvez"
"229040","233080"," chez le patient en schizophrène, un monde restreint"
"233080","236920"," et qu'il ne voudra jamais changer, et"
"236920","239820"," il est terrifié, angoissé des fois quand on"
"239820","243380"," essaie de changer son monde ou bien son"
"243380","246960"," comportement, et dans les comportements, il présente souvent,"
"247020","249200"," on va le voir, des comportements répétitifs. "
"249800","253060"," Des fois, il répète la même chose, que"
"253060","254760"," ce soit au niveau des jeux, que ce"
"254760","256260"," soit au niveau de la parole, que ce"
"256260","258320"," soit au niveau de la communication avec les"
"258320","261079"," autres, il va répéter le même comportement, la"
"261079","262320"," répétition des comportements."
"262800","265460"," Alors, les symptômes sont présents depuis la petite"
"265460","268740"," enfance, avant l'âge de 3 ans, et"
"268740","271660"," limitent ou retentissent, bien sûr, sur le fonctionnement"
"271660","272740"," de la vie quotidienne."
"273400","276880"," Donc, le diagnostic, il doit se faire très"
"276880","278940"," préconcemment parce qu'on va le voir, il"
"278940","281600"," y a un grand retentissement, que ce soit"
"281600","283520"," par rapport à la scolarité de l'enfant"
"283520","286520"," ou bien par rapport à la communication sociale,"
"286800","289640"," aux interactions sociales avec les autres, avec les"
"289640","291640"," enfants ou bien avec les adultes par la"
"291640","291860"," suite. "
"294650","297290"," Donc, la prévalence, elle est importante et elle"
"297290","298310"," est en augmentation."
"299210","301320"," Pourquoi la prévalence, elle est en augmentation ?"
"303350","310500"," Non, ça peut être un facteur, oui, c "
"310500","316560","'est aussi un facteur, oui, c'est surtout"
"316560","317180"," pour cette raison."
"317800","319760"," Là, maintenant, on commence à faire le diagnostic"
"319760","321380"," de façon plus précoce. "
"321920","323520"," Là, on parle beaucoup d'autisme."
"324160","325660"," Autour de vous, vous allez voir, et dans"
"325660","327220"," les médias, vous allez voir qu'on parle"
