"start","end","text"
"70","4330"," Concernant la physiologie de l'étape intestinale, on"
"4330","8790"," est maintenant arrivé à étudier la motricité intestinale,"
"9090","10930"," c'est à dire, du moment où on"
"10930","14210"," avait parlé des différentes sécrétions, notamment la sécrétion"
"14210","17210"," pancréatique et la sécrétion biliaire qui sont déversées"
"17210","21410"," au niveau du biodénome, cette partie intestinale elle"
"21410","24190"," a également une activité motrice qui va jouer"
"24190","28750"," plusieurs rôles qui vont intervenir dans la digestion"
"28750","30410"," et l'absorption des nutriments."
"30830","32950"," Donc le cours d'aujourd'hui, on va"
"32950","35390"," surtout parler de la motricité de l'intestin"
"35390","38550"," grêle avant de parler de la fonction d "
"38550","40610","'absorption au niveau intestinal."
"45540","47760"," Donc ce qu'on attend de cette fonction"
"47760","50880"," motrice de l'intestin grêle, c'est essentiellement"
"50880","52900"," quatre rôles primordiaux. "
"53260","56680"," D'abord cette fonction motrice devra être capable"
"56680","60280"," de mélanger ce chyme qui arrive de l "
"60280","62640","'estomac avec les sécrétions dont on a parlé"
"62640","63300"," précédemment."
"64040","66860"," Elle devra également mettre en contact ce chyme"
"66860","71440"," avec la muqueuse intestinale qui elle va être"
"71440","72900"," capable de l'absorber."
"74140","79040"," Et pour assurer cette absorption et cette motricité,"
"79380","82540"," elle devra également pousser ce chyme et être"
"82540","84880"," capable d'assurer sa progression. "
"85640","87980"," Et à la fin et surtout en période"
"87980","93020"," interdigestive, la motricité intestinale a une quatrième fonction"
"93020","96240"," ou un quatrième rôle qui est de nettoyer"
"96240","99700"," cet intestin grêle pour éviter la stagnation et"
"99700","102220"," de l'a éviter la pullulation microbienne."
"104080","106720"," Bien sûr d'un point de vue anatomique"
"106720","110400"," vous connaissez tous les différentes parties de l "
"110400","113820","'intestin grêle qui sont représentées par le diodénome,"
"114040","115340"," le jéjunome et l'illéant."
"115900","118940"," Donc c'est ce tube qui est replié"
"118940","122540"," sur lui-même et qui présente différentes ondulations"
"122540","123860"," au niveau abdominal. "
"124620","126480"," C'est un tube qui a une longueur"
"126480","129900"," qui peut atteindre les cinq mètres avec une"
"129900","132720"," psychologie très particulière."
"133560","136460"," La paroi est constituée des cinq couches qui"
"136460","139140"," sont de l'intérieur vers l'extérieur, la"
"139140","141420"," muqueuse, la soumiqueuse, la musculeuse."
"142500","146220"," Cette musculeuse est représentée par deux couches, une"
"146220","149520"," circulaire interne et une longitudinale externe et bien"
"149520","151280"," sûr il est recouvert d'une serreuse. "
"151720","155940"," Cet intestin est également bien énervé grâce à"
"155940","160180"," l'innervation intrinsèque et à l'innervation extrinsèque."
"161560","164780"," Et pour assurer cette structure-là lui permet"
"164780","167720"," d'assurer ses fonctions motrices qui vont être"
"167720","169040"," organisées comme suite."
"169420","172740"," Tout d'abord en période interdigestive, c'est"
"172740","174280"," à dire on n'a pas mangé, il"
"174280","175440"," n'y a pas d'aliments dans l "
"175440","177460","'intestin grêle, c'est là où on a"
"177460","179520"," besoin de cette fonction de nettoyage. "
"179960","181840"," Et vous vous rappelez qu'on a parlé"
"181840","184580"," du complexe moteur migrant qui naît au niveau"
"184580","187600"," de l'estomac avec ces trois phases et"
"187600","189320"," qui va se propager tout au long de"
"189320","191580"," cet intestin grêle à un rythme qui varie"
"191580","193320"," de 90 à 120 minutes."
"193820","196000"," Donc on va avoir un complexe moteur migrant"
"196000","200400"," qui va balayer et nettoyer les débris alimentaires,"
"200480","202860"," les sécrétions digestives, tout ce qui va rester"
"202860","206800"," dans cet intestin grêle pour le nettoyer et"
"206800","208700"," le vider et éviter qu'il y ait"
"208700","210460"," une pululation microbienne."
"210800","214880"," Donc la fonction de nettoyage en interdigestive elle"
"214880","217800"," est assurée par le complexe moteur migrant. "
"220360","229580"," En période postprandiale, comme on a dit, là"
