"start","end","text"
"940","3600"," Bonjour, le cours d'aujourd'hui va porter"
"3600","5720"," sur la physiologie colique."
"6240","9220"," Effectivement, c'est l'étape après la partie"
"9220","12660"," absorption intestinale, et donc après l'étape physiologique"
"12660","13760"," de l'intestin grêle."
"14180","19040"," Notre alimentation a actuellement subi des modifications, puis"
"19040","21740"," les éléments nutritifs ont été absorbés. "
"22200","24100"," Le reste va passer dans le colon."
"24100","28580"," Au niveau du colon, on a quand même"
"28580","31860"," un certain nombre de fonctions, aussi bien des"
"31860","36200"," modifications chimiques que des modifications mécaniques."
"36320","38760"," Il y a également une fonction d'absorption. "
"39000","41380"," Ceci dit, il y a plusieurs fonctions qui"
"41380","43960"," vont se faire au niveau de cette partie"
"43960","46140"," colon, et qu'il y a des bases"
"46140","50060"," anatomophysiologiques à connaître, et ça répond également à"
"50060","54100"," une certaine régulation qui va coordonner et intégrer"
"54100","57600"," cette fonction colique avec le reste des fonctions"
"57600","59740"," de l'appareil digestif."
"60960","63120"," Au niveau du colon, comme j'ai dit,"
"63260","65560"," il y a également une digestion qui va"
"65560","66040"," se faire."
"66380","69860"," Cette digestion va se faire essentiellement grâce aux"
"69860","73440"," bactéries qui vivent à nos dépends et qui"
"73440","76840"," vont constituer le microbiote intestinal. "
"76840","80560"," Ce microbiote est un ensemble de familles de"
"80560","83480"," bactéries ou de souches bactériennes qui vont vivre"
"83480","86420"," au niveau du gros intestin."
"86760","88640"," Ce sont des bactéries qui ne sont pas"
"88640","92160"," pathogènes, mais ce sont des bactéries qui vont"
"92160","96740"," nous aider à métaboliser un certain nombre de"
"96740","100580"," substances, en particulier des sucres dont on n "
"100580","104260","'a pas l'arsenal enzymatique nécessaire pour les"
"104260","104740"," dégrader."
"104740","107840"," Du coup, c'est surtout la cellulose qui"
"107840","109780"," va subir l'action de ces bactéries. "
"111340","114620"," Une fois que le liquide qui vient de"
"114620","117360"," l'intestin grêle sera déversé au niveau du"
"117360","120180"," sécum, il va se trouver en présence d "
"120180","123100","'une flore bactérienne qui va jouer le rôle"
"123100","129120"," de le fermenter et d'essayer de dégrader"
"129120","134400"," cette cellulose qui contient des substances dont on"
"134400","140540"," ne peut pas dégrader par nos propres enzymes."
"141000","143760"," Cette dégradation suite à cette fermentation par la"
"143760","147380"," flore bactérienne va libérer un certain nombre de"
"147380","150520"," substances, notamment des acides organiques qui vont être"
"150520","154840"," absorbés et des acides volatiles ainsi qu'un"
"154840","161120"," gaz qui est le CO2CH4H2 qui sera responsable"
"161120","164400"," du déballonnement intestinal."
"164880","168260"," Tout au long également de la paroi du"
"168260","170920"," colon, du gros colon, il y aura une"
"170920","174160"," sécrétion du mucus justement pour protéger cette paroi"
"174160","176760"," et il y aura une réabsorption d'eau"
"176760","182000"," et d'électrolytes pour rééquilibrer les différentes pressions"
"182000","183980"," de part et d'autre de la paroi"
"183980","185280"," intestinale. "
"185620","187860"," Donc il y a ce phénomène de digestion"
"187860","190100"," qui va se faire et il y a"
"190100","193460"," des phénomènes d'absorption qui vont également avoir"
"193460","196420"," lieu au niveau du gros intestin."
"198140","201620"," Ces mouvements d'eau et d'électrolytes vont"
"201620","207260"," être réalisés en complément de ce qui s "
"207260","210220","'est fait au niveau de l'intestin grêle"
"210220","214680"," et donc cette absorption est surtout liée à"
