"start","end","text"
"10","3310"," Bismillah ar-Rahman ar-Rahim Salat wa salam"
"3310","4930"," ala rasul Allah wa alihi wa sahbihi ajma "
"4930","8090","'in Chers étudiants, on va continuer avec la"
"8090","12030"," série de cours sur la physiologie respiratoire."
"12930","15149"," Le cours d'aujourd'hui s'intitule le"
"15149","16570"," transport des gaz dans le sang."
"17310","21570"," Nous avons vu la mécanique ventilatoire. "
"22210","23690"," Nous avons vu les échanges gazeux."
"23850","24850"," Alors, qu'est-ce qui se passe après"
"24850","27010"," les échanges gazeux ?"
"27730","31170"," On va voir un autre chapitre qui concerne"
"31170","34930"," le transport du gaz carbonique et de l "
"34930","36350","'oxygène dans le sang."
"39530","41690"," Quels sont les objectifs de ce cours ?"
"41930","44410"," D'abord, il faut connaître les différentes formes"
"44410","47910"," de transport de l'oxygène, définir la saturation"
"47910","52230"," en oxygène de l'hémoglobine, donc oxy-hémoglobiné,"
"52690","55050"," et préciser les caractéristiques essentielles. "
"55750","58310"," Interpréter la courbe de dissociation de l'oxygène,"
"58410","59610"," qui est très très importante."
"60770","64170"," Définir la P50 et l'affinité de l "
"64170","65510","'hémoglobine pour l'oxygène."
"66090","68090"," Citer les facteurs diminuant l'affinité de l "
"68090","70030","'hémoglobine pour l'oxygène. "
"70850","73950"," Numérer les différentes formes de transport du gaz"
"73950","74270"," carbonique."
"75110","77830"," Interpréter la courbe de dissociation du gaz carbonique"
"77830","80070"," et définir l'effet Aldane."
"80550","83130"," Expliquer les étapes de transport de l'oxygène"
"83130","85590"," du gaz carbonique et des ions H+,"
"85590","89510"," par les hématies au niveau tissulaire et pulmonaire. "
"91770","94270"," Cela va se faire selon ce plan."
"94730","97250"," Premièrement, quelques généralités."
"97890","99730"," Nous allons après parler du transport de l "
"99730","102290","'oxygène dans le sang, le transport du gaz"
"102290","105510"," carbonique, l'interaction entre le transport de l "
"105510","107990","'oxygène, du gaz carbonique et des ions H "
"107990","109630","+, avant de conclure. "
"113460","117480"," Les gaz sont transportés dans le liquide, le"
"117480","119920"," plasma, le cytoplasme."
"120260","122360"," Dans un liquide, le gaz est présent sous"
"122360","123160"," deux formes."
"123880","126360"," Il y a la forme dissoute, qui dissout"
"126360","129340"," dans le liquide, donc a priori le sang,"
"130060","131540"," et il y a une autre forme qui"
"131540","135220"," est combinée, combinée à un transporteur, après réaction"
"135220","135700"," chimique. "
"137260","142320"," Seule la fraction dissoute, libre, participe aux échanges"
"142320","144940"," gazeux et à la pression partielle."
"144940","147900"," La forme combinée ne participe pas aux échanges,"
"148400","149960"," ne participe pas du tout à la pression"
"149960","150380"," partielle."
"150860","153340"," Quand vous voyez une pression partielle en oxygène"
"153340","156680"," ou en gaz carbonique, il s'agit exclusivement"
"156680","157620"," de la forme dissoute. "
"158780","161360"," La concentration ou le contenu d'un gaz"
"161360","164700"," dans un liquide et la quantité totale de"
"164700","165440"," gaz présente."
"166060","169520"," C'est la forme combinée ou liée plus"
"169520","170800"," la forme dissoute."
"172620","182020"," Pour vous schématiser un petit peu, le volume"
"182020","185000"," de gaz dissout dans un liquide dépend de"
"185000","188380"," la coefficient de solubilité α, de la pression"
"188380","191400"," partielle du gaz, et de la température du"
"191400","191880"," liquide. "
"192100","193260"," Là, vous voyez, c'est la loi d "
"193260","193620","'Henri."
"194200","198120"," Concentration du gaz en fonction du coefficient de"
"198120","201840"," solubilité α, la pression partielle du gaz sur"
"201840","204760"," 760, qui est la pression barométrique."
"204760","209500"," La température et la pression barométrique varient en"
"209500","211260"," fonction de la température. "
"213840","218160"," Seule la fraction dissoute du gaz participe à"
"218160","219180"," la pression partielle."
"219540","221200"," Là, vous voyez, par exemple, vous avez deux"
"221200","221700"," liquides."
"222760","224520"," Le liquide A et le liquide B."
"225040","227980"," La pression à l'intérieur du liquide A"
"227980","231040"," est égale à la pression à l'intérieur"
